arm,kind,fault,seed,traceHash,decisionStateHash,finalDecisionStateHash,decisionStateMaxDifference,geometryHash,selectorHash,kernelTraceHash,kernelStateHash,scheduleHash,prefixScheduleHash,probePrefixScheduleHash,prefixStateExact,graphAdmissible,changedSenderEdges,nonincidentSenderEdges,affectedCount,changedSlotCount,candidateProper,prepareBytes,maxResponseBytes,protectedSlotFree,barrierClosed,motionAuthorized,graphActivationFrame,commitReady,allReactivated,reactivatedCount,finalSuppressedCount,prepareBudgetExhausted,commitBudgetExhausted,motionStartSec,motionLatencySec,motionGateExact,capsuleMaximumRatio,capsuleBoundSatisfied,criticalCapsuleMaximumRatio,criticalCapsuleBoundSatisfied,criticalCapsulePairChecks,criticalRadialMaximumRatio,criticalRadialBoundSatisfied,minimumOmittedEdgeMargin,radialConstructionPremise,radialTheoremCertified,reliabilityCertificateHash,transactionHorizonFeasible,transactionFailureUpperBound,completionProbabilityLowerBound,prepareFailureUpperBound,evidenceFailureUpperBound,responseFailureUpperBound,commitFailureUpperBound,maxCommandPairDeviation,maxLeaderPairDeviation,maxOtherPairDeviation,maxCommandPairRadialContraction,maxLeaderPairRadialContraction,maxOtherPairRadialContraction,actualPhysicalSubset,actualSenderSubset,actualSubsetCheckSamples,emergencyEnabled,emergencyParallelMode,emergencyMappingExact,emergencySuppressedDemand,emergencyOpportunities,emergencyMinimumNodeOpportunities,emergencyMaximumNodeOpportunities,emergencyRecipientSuccess,emergencyRecipientErasure,emergencyRecipientCollision,kernelCollisionFrames,expectedCollisionRecipients,observedCollisionFrames,dataOutcomeMismatches,dataSkippedNoQueue,crossPlaneOverlaps,expectedDataSuccess,observedDataSuccess,expectedDataErasure,observedDataErasure,controlAttempts,expectedControlAttempts,controlBytes,controlAirtime,expectedControlAirtime,clockConflictFree,clockResidual,futureRandomReads,receiverTruthReads,RMSE,MISSION_RMSE,MINSEP,SAFEFAIL,DIVERGED,DATA_AIRTIME,MANAGEMENT_AIRTIME,TOTAL_COST
closure-prepare-blackout-emergency,closure,prepare-blackout,16094228,1906509,12175202,12175202,0,1538086,628428,18709356540,52479278,656522592,139630278,139630278,1,1,4,2,5,4,1,52,56,1,0,0,NaN,0,0,0,4,1,0,NaN,NaN,1,1.0567905003008,0,1.0567905003008,0,14344,0.9958333122472,1,0.0979979120317509,1,1,4697041,1,0.000957440425984,0.999042559574016,0.00033792,8.1920425984e-05,0.0002816,0.000256,0.156560453654983,0.221926005063168,0.103281613265203,0.0738278955960019,0.209124995571912,0.0631626296183834,1,1,326,1,1,1,116,116,0,29,210,51,0,0,0,0,0,0,0,972,972,276,276,10,10,436,0.013952,0.013952,1,4.44089209850063e-16,0,0,0.153556176084091,0.167491381244163,1.05408399641188,0,0,1.47455999999999,0.013952,0.141763047619047
closure-commit-blackout-emergency,closure,commit-blackout,16094228,1906509,12175202,12175202,0,1538086,628428,18639282844,55287299,656446370,139630278,139630278,1,1,4,2,5,4,1,52,56,1,1,1,21,1,0,1,4,0,1,4.29992352334093,0.299923523340933,1,1.05720917137863,0,1.05720917137863,0,13722,0.995842977323676,1,0.0929705532426659,1,1,4697041,1,0.000957440425984,0.999042559574016,0.00033792,8.1920425984e-05,0.0002816,0.000256,0.156901113873016,0.222013925989513,0.103346090379683,0.0643642707367316,0.209127025237972,0.0630303707236632,1,1,326,1,1,1,122,122,6,29,218,55,0,0,0,0,0,0,0,966,966,282,282,123,123,4448,0.142336,0.142336,1,4.44089209850063e-16,0,0,0.157191025839278,0.159430771079209,1.04085153198635,0,0,1.47455999999999,0.142336,0.153990095238094
closure-iid20-emergency,closure,none,16094229,1049609,16001922,16001922,0,1849622,628428,18773434554,54762005,655829565,139607478,139607478,1,1,4,2,5,4,1,52,56,1,1,1,22,1,1,5,0,0,0,4.51491969950798,0.514919699507979,1,1.21121847057532,0,1.21121847057532,0,13744,0.929812006634872,1,0.0890052418618774,1,1,4697041,1,0.000957440425984,0.999042559574016,0.00033792,8.1920425984e-05,0.0002816,0.000256,0.13341947508479,0.234305221607,0.133234031763285,0.0802880925607887,0.195260521393323,0.0528891420968409,1,1,326,1,1,1,28,28,5,6,57,4,0,0,0,0,0,0,0,994,994,254,254,105,105,3526,0.112832,0.112832,1,8.88178419700125e-16,0,0,0.14314745312914,0.143791173889025,1.02321563556193,0,0,1.47455999999999,0.112832,0.151180190476189
closure-response-blackout-emergency,closure,response-blackout,16094229,1049609,16001922,16001922,0,1849622,628428,18532378852,53064061,656155662,139607478,139607478,1,1,4,2,5,4,1,52,56,1,1,1,22,0,0,0,5,0,0,4.51491969950798,0.514919699507979,1,1.16532402055402,0,1.16532402055402,0,13744,0.924460266785833,1,0.0985946364688164,1,1,4697041,1,0.000957440425984,0.999042559574016,0.00033792,8.1920425984e-05,0.0002816,0.000256,0.131009732370734,0.229588319957248,0.128185642260942,0.0808970524521548,0.194136656025025,0.0555139439269672,1,1,326,1,1,1,145,145,29,29,262,57,0,0,0,0,0,0,0,1000,1000,248,248,306,306,13818,0.442175999999998,0.442176,1,8.88178419700125e-16,0,0,0.140645881738516,0.141109750717455,1.0382311479159,0,0,1.47455999999999,0.442175999999998,0.182546285714285
closure-response-blackout-no-emergency,closure,response-blackout,16094229,1049609,16001922,16001922,0,1849622,628428,18532378852,53064061,396445566,139607478,139607478,1,1,4,2,5,4,1,52,56,1,1,1,22,0,0,0,5,0,0,4.51491969950798,0.514919699507979,1,7.21606674766576,0,7.21606674766576,0,13744,6.25171573193953,0,-0.213493557457647,1,0,4697041,1,0.000957440425984,0.999042559574016,0.00033792,8.1920425984e-05,0.0002816,0.000256,0.475092240003434,0.865237856434113,0.793767342243234,0.224355712178985,0.675157770841568,0.687688730513348,0,0,326,0,0,1,145,0,0,0,0,0,0,0,0,0,0,0,0,738,738,191,191,306,306,13818,0.442175999999998,0.442176,1,8.88178419700125e-16,0,0,0.388280452734257,0.401270227164717,0.756506442542353,0,0,1.02912,0.442175999999998,0.140123428571428
closure-prepare-blackout-emergency,closure,prepare-blackout,16094229,1049609,16001922,16001922,0,1849622,628428,18747753045,52569523,655825463,139607478,139607478,1,1,4,2,5,4,1,52,56,1,0,0,NaN,0,0,0,4,1,0,NaN,NaN,1,1.16262982324895,0,1.16262982324895,0,14344,0.924351761915324,1,0.102967839220239,1,1,4697041,1,0.000957440425984,0.999042559574016,0.00033792,8.1920425984e-05,0.0002816,0.000256,0.131072171442499,0.22934295364771,0.127889280557384,0.080718615973209,0.194113870002218,0.0557227428897638,1,1,326,1,1,1,116,116,0,29,215,46,0,0,0,0,0,0,0,1002,1002,246,246,11,11,460,0.01472,0.01472,1,1.11022302462516e-16,0,0,0.137897583053943,0.150316913045837,1.07296783922024,0,0,1.47455999999999,0.01472,0.14183619047619
closure-commit-blackout-emergency,closure,commit-blackout,16094229,1049609,16001922,16001922,0,1849622,628428,18676264993,55335865,656306609,139607478,139607478,1,1,4,2,5,4,1,52,56,1,1,1,22,1,0,1,4,0,1,4.51491969950798,0.514919699507979,1,1.16478289284571,0,1.16478289284571,0,13744,0.924455202415719,1,0.0975569646768208,1,1,4697041,1,0.000957440425984,0.999042559574016,0.00033792,8.1920425984e-05,0.0002816,0.000256,0.130815029455662,0.229543050412934,0.128126118213028,0.0807503249073376,0.194135592507301,0.0555342112171613,1,1,326,1,1,1,121,121,5,29,224,47,0,0,0,0,0,0,0,1004,1004,244,244,109,109,3638,0.116416,0.116416,1,8.88178419700125e-16,0,0,0.140297071956085,0.140732143207625,1.03720825468386,0,0,1.47455999999999,0.116416,0.151521523809523
closure-iid20-emergency,closure,none,16094230,1820466,15017867,15017867,0,1097135,628428,18720760266,54310547,656656370,139599878,139599878,1,1,4,2,5,4,1,52,56,1,1,1,23,1,1,5,0,0,0,4.72991587567503,0.729915875675026,1,1.03934118161127,0,1.03934118161127,0,13766,1.02808997370535,0,0.0993655068672425,1,0,4697041,1,0.000957440425984,0.999042559574016,0.00033792,8.1920425984e-05,0.0002816,0.000256,0.114692688039841,0.218261648138366,0.0893016946178254,0.0993381163899967,0.215898894478124,0.0676975195855247,1,1,326,1,1,1,40,40,8,8,68,20,0,0,0,0,0,0,0,998,998,250,250,124,124,4548,0.145536,0.145536,1,1.11022302462516e-16,0,0,0.1467804443317,0.149931378265496,1.02593470561066,0,0,1.47455999999999,0.145536,0.154294857142856
closure-response-blackout-emergency,closure,response-blackout,16094230,1820466,15017867,15017867,0,1097135,628428,18479704564,52375583,656110770,139599878,139599878,1,1,4,2,5,4,1,52,56,1,1,1,23,0,0,0,5,0,0,4.72991587567503,0.729915875675026,1,1.02942129372775,0,1.02942129372775,0,13766,1.01675335735126,0,0.0962211748824775,1,0,4697041,1,0.000957440425984,0.999042559574016,0.00033792,8.1920425984e-05,0.0002816,0.000256,0.115176361029239,0.216178471682827,0.0893016946178254,0.100539283040246,0.213518205043765,0.0692137247809894,1,1,326,1,1,1,145,145,29,29,257,62,0,0,0,0,0,0,0,1005,1005,243,243,309,309,13916,0.445311999999998,0.445312,1,1.11022302462516e-16,0,0,0.147240173574381,0.150417490362295,1.02639778713325,0,0,1.47455999999999,0.445311999999998,0.182844952380951
closure-response-blackout-no-emergency,closure,response-blackout,16094230,1820466,15017867,15017867,0,1097135,628428,18479704564,52375583,396527364,139599878,139599878,1,1,4,2,5,4,1,52,56,1,1,1,23,0,0,0,5,0,0,4.72991587567503,0.729915875675026,1,7.47945794574087,0,7.47945794574087,0,13766,6.68658348858041,0,-0.191386729739222,1,0,4697041,1,0.000957440425984,0.999042559574016,0.00033792,8.1920425984e-05,0.0002816,0.000256,0.475813694450696,0.869056078825601,0.822740374031495,0.286027880817483,0.731753840762432,0.735524183743845,0,0,326,0,0,1,145,0,0,0,0,0,0,0,0,0,0,0,0,748,748,181,181,309,309,13916,0.445311999999998,0.445312,1,1.11022302462516e-16,0,0,0.41139054671771,0.426195220894672,0.778613270260778,0,0,1.02912,0.445311999999998,0.140422095238095
