stage,seed,scenario,scenarioLabel,family,arm,pointIndex,parameterValue,method,methodLabel,feedbackMode,N,topology,plant,macType,pAccess,configuredPAccess,backgroundLoad,carrierSenseDensity,interferenceDensity,stationaryMeanDataLoss,stationaryMeanAckLoss,meanBadDurationDataSec,meanBadDurationAckSec,RMSE,MINSEP,SAFEFAIL,DIVERGED,ROLL_PEAK_DEG,PITCH_PEAK_DEG,SATURATION,CONTROL_EFFORT,MEAN_TRUE_AOI,P95_TRUE_AOI,P99_TRUE_AOI,MAX_TRUE_AOI,MEAN_EST_AOI,MEAN_AOI_GAP,DATA_GENERATED,DATA_ATTEMPTED,DATA_DELIVERED,ACK_ATTEMPTED,ACK_ENTRIES_DELIVERED,DATA_RECIPIENT_ATTEMPTS,DATA_RECIPIENT_SUCCESS,DATA_RECIPIENT_LOSS,ACK_RECIPIENT_ATTEMPTS,ACK_RECIPIENT_SUCCESS,ACK_RECIPIENT_LOSS,TERMINAL_ACTIVE_FRAMES,TERMINAL_DATA_INFLIGHT,TERMINAL_ACK_INFLIGHT,COLLISION_FRAMES,COLLISION_RATE,QUEUE_DROPS,SUPERSEDED,RETRIES,OBSOLETE_RETRY_DROPS,MAX_QUEUE,MAX_HISTORY,historySize,STALE_DATA_DISCARDED,STALE_ACK_DISCARDED,EXPIRED_HISTORY_ACK,ACK_BEFORE_ACCEPT,ACK_STANDALONE,ACK_ENTRIES_PIGGYBACKED,ACK_ENTRIES_TRANSFERRED,CHANNEL_UTIL,ADAPTIVE_ACK_PERMITTED,ADAPTIVE_ACK_DEFERRED,ADAPTIVE_ACK_FORCED,MEAN_LOCAL_BUSY,MAX_LOCAL_BUSY,LOAD_GUARD_BLOCKED,LOAD_GUARD_BLOCKED_BUSY,LOAD_GUARD_BLOCKED_QUEUE,LOAD_GUARD_BRANCH3,LOAD_GUARD_BRANCH4,OFFERED_UTIL,DATA_AIRTIME,ACK_AIRTIME,PIGGYBACK_AIRTIME,BACKGROUND_BUSY_TIME,BACKGROUND_COLLISION_FRAMES,ENERGY_PROXY_J,DATA_GOODPUT_HZ,RECIPIENT_GOODPUT_HZ,ACK_GOODPUT_HZ,MEAN_ACCESS_DELAY,P95_ACCESS_DELAY,MEAN_CONFIRM_DELAY,P95_CONFIRM_DELAY,JAIN_FRAME_GOODPUT,DATA_CHANNEL_ATTEMPTS,ACK_CHANNEL_ATTEMPTS,DATA_BAD_ATTEMPT_FRACTION,ACK_BAD_ATTEMPT_FRACTION,TRACE_DATA_BAD_FRACTION,TRACE_ACK_BAD_FRACTION,NETWORK_RUNTIME_SEC,INVARIANT_VIOLATIONS,TRACE_HASH_EXACT,CHANNEL_STATE_HASH,CHANNEL_MODEL_SIGNATURE,ESTIMATOR_HASH_EXACT,CONFIG_HASH,route,factorMacAloha,factorAdaptive,primaryFactorialFlag,basePAccess
holdout,16022057,n5-moderate,N5 Moderate matched,EXP16 matched route-by-MAC factorial,aloha-fixed-hybrid,6,NaN,causal-broadcast,ALOHA fixed-deadline hybrid,hybrid,5,ring2,6dof,aloha,0.2,0.2,0,1,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.0799566358603304,0.484124451455441,0,0,9.61073395840429,12.9142762236758,0,1.03640926474142,0.118883360972913,0.359999999999999,0.559999999999999,0.699999999999999,0.202642343836373,0.0837589828634606,983,2234,419,324,418,4098,719,3379,1059,418,641,0,0,0,1907,0.745504300234558,0,70,1322,11,2,32,32,0,0,0,0,324,670,24,0.495666666666689,0,0,0,0.395789575391578,0.525680392184321,0,0,0,0,0,0.776999999999955,8.93599999999946,0.388,0.171520000000002,0,0,1.86479999999989,34.9166666666667,59.9166666666667,34.8333333333333,0.00905355746677098,0.024,0.0340239234449762,0.0540000000000003,0.986547160799078,4307,389,0.102391455769677,0.0925449871465296,0.100456590568239,0.0983802699550075,1.4043455,0,667082625706,21199911670,105363559,0,137396877,fixed-hybrid,1,0,0,0.2
holdout,16022058,n5-moderate,N5 Moderate matched,EXP16 matched route-by-MAC factorial,csma-adaptive,1,NaN,mac-aware-broadcast,CSMA adaptive,adaptive,5,ring2,6dof,csma,0.2,0.2,0,1,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.0539130037607754,0.531371137197912,0,0,9.61036345525941,12.273164272551,0,1.03668698032161,0.0715091210613597,0.140000000000001,0.199999999999999,0.24,0.138430071862907,0.0669209508015479,724,868,682,59,737,1599,1181,418,1000,737,263,0,0,0,164,0.176914778856526,0,3,147,0,2,32,32,0,0,0,0,59,877,2,0.271499999999977,59,0,0,0.231190696527374,0.274065166310673,0,0,0,0,0,0.298833333333334,3.472,0.114,0.224512000000002,0,0,0.717200000000001,56.8333333333333,98.4166666666667,61.4166666666667,0.00757605177993534,0.0220000000000002,0.0457774762550883,0.104,0.990531763102413,1918,123,0.0844629822732012,0.0975609756097561,0.0981303116147309,0.094600899850025,1.1339135,0,666878219894,21188431896,105363559,0,137377031,adaptive,0,1,1,0.2
holdout,16022058,n5-moderate,N5 Moderate matched,EXP16 matched route-by-MAC factorial,csma-piggyback,2,NaN,causal-broadcast,CSMA piggyback-only,piggyback,5,ring2,6dof,csma,0.2,0.2,0,1,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.0541609668344125,0.529821290240963,0,0,9.61036345525941,12.273164272551,0,1.03668695355168,0.0705030403537865,0.140000000000001,0.199999999999999,0.24,0.140232172470978,0.0697291321171919,700,835,670,0,717,1548,1161,385,945,717,226,1,2,2,143,0.17125748502994,0,1,137,0,1,32,32,0,0,0,0,0,945,0,0.253833333333313,0,0,0,0.221049989354507,0.304904940791781,0,0,0,0,0,0.278333333333334,3.34,0,0.241920000000002,0,0,0.668000000000001,55.8333333333333,96.75,59.75,0.00753772455089828,0.0220000000000002,0.0450767085076709,0.104,0.989202291758484,1899,0,0.0932069510268562,0,0.0981303116147309,0.094600899850025,1.1055639,0,666878219894,21188431896,105363559,0,107729646,piggyback,0,0,1,0.2
holdout,16022058,n5-moderate,N5 Moderate matched,EXP16 matched route-by-MAC factorial,csma-fixed-hybrid,3,NaN,causal-broadcast,CSMA fixed-deadline hybrid,hybrid,5,ring2,6dof,csma,0.2,0.2,0,1,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.0586268746682113,0.525365231072339,0,0,9.63149878327875,12.3868980628153,0,1.03666383916535,0.0808070757324487,0.16,0.219999999999999,0.280000000000001,0.115279159756771,0.0344720840243228,608,739,566,498,821,1354,989,365,1004,821,183,0,0,0,206,0.166531932093775,0,3,134,0,2,32,32,0,0,0,0,498,344,3,0.275249999999977,0,0,0,0.251333537053213,0.313069857961427,0,0,0,0,0,0.300583333333334,2.956,0.651,0.0880640000000002,0,0,0.721400000000001,47.1666666666667,82.4166666666667,68.4166666666667,0.00650929668552956,0.0219999999999998,0.0324725943970768,0.053,0.985771432088128,1474,660,0.0983717774762551,0.0878787878787879,0.0981303116147309,0.094600899850025,1.1952434,0,666878219894,21188431896,105363559,0,137393602,fixed-hybrid,0,0,0,0.2
holdout,16022058,n5-moderate,N5 Moderate matched,EXP16 matched route-by-MAC factorial,aloha-adaptive,4,NaN,mac-aware-broadcast,ALOHA adaptive,adaptive,5,ring2,6dof,aloha,0.2,0.2,0,1,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.0831797844014019,0.480660987201385,0,0,9.61073395840429,13.1679317300161,0,1.03635706185919,0.114494195688225,0.319999999999999,0.459999999999999,0.539999999999999,0.205085682697623,0.0905914870093976,934,2205,424,312,398,4046,744,3302,1133,398,735,0,0,0,1868,0.742153357171236,0,32,1303,7,2,32,32,0,0,0,0,312,740,16,0.49375000000002,312,13,0,0.393196448938652,0.539911548669002,0,0,0,0,0,0.767583333333289,8.81999999999947,0.391,0.189440000000002,0,0,1.84219999999989,35.3333333333333,62,33.1666666666667,0.00961223678982923,0.0252000000000001,0.036030150753769,0.0579999999999998,0.97587666919987,4351,393,0.0930820501034245,0.104325699745547,0.0981303116147309,0.094600899850025,1.5283431,0,666878219894,21188431896,105363559,0,137379911,adaptive,1,1,1,0.2
holdout,16022058,n5-moderate,N5 Moderate matched,EXP16 matched route-by-MAC factorial,aloha-piggyback,5,NaN,causal-broadcast,ALOHA piggyback-only,piggyback,5,ring2,6dof,aloha,0.2,0.2,0,1,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.0868860973217489,0.481068940278312,0,0,9.61073395840429,13.1679317300161,0,1.03639437147692,0.125207296849088,0.32,0.700000000000001,1.06,0.296871199557767,0.171663902708679,1036,2479,399,0,285,4593,684,3909,1256,285,971,0,0,0,2059,0.830576845502219,0,44,1487,8,1,32,32,0,0,0,0,0,1256,15,0.50366666666669,0,0,0,0.413134136282947,0.559875354016503,0,0,0,0,0,0.826333333333279,9.91599999999935,0,0.321536000000001,0,0,1.98319999999987,33.25,57,23.75,0.00997821702299324,0.0250000000000004,0.0482491228070176,0.1056,0.981177775723398,5031,0,0.0952096998608627,0,0.0981303116147309,0.094600899850025,1.3635945,0,666878219894,21188431896,105363559,0,107732632,piggyback,1,0,1,0.2
holdout,16022058,n5-moderate,N5 Moderate matched,EXP16 matched route-by-MAC factorial,aloha-fixed-hybrid,6,NaN,causal-broadcast,ALOHA fixed-deadline hybrid,hybrid,5,ring2,6dof,aloha,0.2,0.2,0,1,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.0741912038143679,0.497463808417411,0,0,9.61073395840429,13.1679317300161,0,1.03638676330577,0.11632946379215,0.300000000000001,0.460000000000001,0.579999999999998,0.212028745163073,0.0956992813709234,935,2180,416,321,418,4047,731,3316,1067,418,649,0,0,0,1860,0.743702518992403,0,39,1284,8,2,32,32,0,0,0,0,321,650,19,0.485916666666684,0,0,0,0.385625360983323,0.557994805789521,0,0,0,0,0,0.760999999999957,8.71999999999948,0.412,0.166400000000002,0,0,1.8263999999999,34.6666666666667,60.9166666666667,34.8333333333333,0.00943542582966818,0.0250000000000004,0.033263157894737,0.0521500000000003,0.985737069947596,4319,417,0.0956239870340357,0.0911270983213429,0.0981303116147309,0.094600899850025,1.4026268,0,666878219894,21188431896,105363559,0,137396879,fixed-hybrid,1,0,0,0.2
holdout,16022059,n5-moderate,N5 Moderate matched,EXP16 matched route-by-MAC factorial,csma-adaptive,1,NaN,mac-aware-broadcast,CSMA adaptive,adaptive,5,ring2,6dof,csma,0.2,0.2,0,1,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.0530620108165068,0.533302675505758,0,0,9.59138523289688,12.3039361115789,0,1.03668595680691,0.0718518518518518,0.140000000000001,0.199999999999999,0.26,0.134372581536761,0.0625207296849089,707,836,677,60,758,1524,1167,357,962,758,204,0,0,0,141,0.157366071428571,0,2,131,1,2,32,32,0,0,0,0,60,837,2,0.265416666666645,60,0,0,0.229038197733703,0.298341302232404,0,0,0,0,0,0.288416666666667,3.344,0.117,0.214272000000002,0,0,0.692200000000001,56.4166666666667,97.25,63.1666666666667,0.00750781250000007,0.0229999999999999,0.0456569920844329,0.104,0.993505663035821,1825,125,0.0750684931506849,0.064,0.0956007332111315,0.100913181136477,1.1420512,0,667246119728,21196531329,105363559,0,137377033,adaptive,0,1,1,0.2
holdout,16022059,n5-moderate,N5 Moderate matched,EXP16 matched route-by-MAC factorial,csma-piggyback,2,NaN,causal-broadcast,CSMA piggyback-only,piggyback,5,ring2,6dof,csma,0.2,0.2,0,1,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.0528298993914445,0.531946170542528,0,0,9.59138523289688,12.3039361115789,0,1.03667110747364,0.0694416804864565,0.140000000000001,0.18,0.219999999999999,0.138883360972913,0.0694416804864566,719,852,678,0,725,1566,1188,378,956,725,231,0,0,0,145,0.17018779342723,0,7,140,0,1,32,32,0,0,0,0,0,956,5,0.25899999999998,0,0,0,0.215613259485365,0.254291773519669,0,0,0,0,0,0.284,3.408,0,0.244736000000002,0,0,0.681600000000001,56.5,99,60.4166666666667,0.00751525821596249,0.0234500000000001,0.0451655172413794,0.0949999999999999,0.988610262807002,1922,0,0.0816857440166493,0,0.0956007332111315,0.100913181136477,1.1241994,0,667246119728,21196531329,105363559,0,107729648,piggyback,0,0,1,0.2
holdout,16022059,n5-moderate,N5 Moderate matched,EXP16 matched route-by-MAC factorial,csma-fixed-hybrid,3,NaN,causal-broadcast,CSMA fixed-deadline hybrid,hybrid,5,ring2,6dof,csma,0.2,0.2,0,1,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.0570973455291306,0.527623810627602,0,0,9.59138523289688,12.3420980449769,0,1.03664264202641,0.0800442233278053,0.16,0.220000000000001,0.34,0.116926478717523,0.0368822553897181,593,680,571,503,822,1261,999,262,1023,822,201,0,0,0,138,0.11665257819104,0,1,88,0,2,32,32,0,0,0,0,503,371,2,0.264499999999978,0,0,0,0.25074278889766,0.324699681939921,0,0,0,0,0,0.2805,2.72,0.646,0.0949760000000004,0,0,0.6732,47.5833333333333,83.25,68.5,0.00620625528317842,0.0190000000000001,0.0320498783454989,0.0500000000000007,0.989817696079175,1393,652,0.0926058865757358,0.108895705521472,0.0956007332111315,0.100913181136477,1.1905351,0,667246119728,21196531329,105363559,0,137393604,fixed-hybrid,0,0,0,0.2
