macType,route,metric,meanRoute,meanHybrid,relativePct,difference,pairedTLo,pairedTHi,nPairs,nDropped,complete
csma,adaptive,RMSE,0.0543123308112106,0.0578016871909751,-6.03677253958994,-0.00348935637976446,-0.00366703849675095,-0.00331167426277797,100,0,1
csma,adaptive,MEAN_TRUE_AOI,0.0726748479823106,0.0791422885572138,-8.17191503152922,-0.00646744057490321,-0.00682095125183116,-0.00611392989797526,100,0,1
csma,adaptive,OFFERED_UTIL,0.283395833333334,0.2873025,-1.35977468579865,-0.00390666666666666,-0.00580175104745367,-0.00201158228587964,100,0,1
csma,adaptive,CHANNEL_UTIL,0.262429166666645,0.269489166666644,-2.61977135753741,-0.00705999999999901,-0.00829204221871441,-0.00582795778128361,100,0,1
csma,adaptive,COLLISION_FRAMES,126.86,159.58,-20.5038225341522,-32.72,-38.1857505911143,-27.2542494088857,100,0,1
csma,adaptive,DATA_ATTEMPTED,819.98,694.97,17.9878268126682,125.01,119.276958587689,130.743041412311,100,0,1
csma,adaptive,ACK_ATTEMPTED,62.53,522.34,-88.0288700846192,-459.81,-462.527944152077,-457.092055847923,100,0,1
csma,adaptive,ACK_STANDALONE,62.57,522.6,-88.027171833142,-460.03,-462.758423845073,-457.301576154927,100,0,1
csma,piggyback,RMSE,0.0537806892721741,0.0578016871909751,-6.95654074164944,-0.00402099791880095,-0.00419648136743803,-0.00384551447016386,100,0,1
csma,piggyback,MEAN_TRUE_AOI,0.0715834162520729,0.0791422885572138,-9.55099030232918,-0.00755887230514088,-0.00795506306236752,-0.00716268154791425,100,0,1
csma,piggyback,OFFERED_UTIL,0.275993333333334,0.2873025,-3.93632727409843,-0.0113091666666666,-0.0130931814742064,-0.0095251518591269,100,0,1
csma,piggyback,CHANNEL_UTIL,0.255068333333313,0.269489166666644,-5.35117367117382,-0.0144208333333313,-0.0155828092067751,-0.0132588574598874,100,0,1
csma,piggyback,COLLISION_FRAMES,122.12,159.58,-23.4741195638551,-37.46,-42.6020094712761,-32.3179905287239,100,0,1
csma,piggyback,DATA_ATTEMPTED,827.98,694.97,19.1389556383729,133.01,127.614225815806,138.405774184194,100,0,1
csma,piggyback,ACK_ATTEMPTED,0,522.34,-100,-522.34,-525.128794146606,-519.551205853394,100,0,1
csma,piggyback,ACK_STANDALONE,0,522.6,-100,-522.6,-525.402986893395,-519.797013106605,100,0,1
aloha,adaptive,RMSE,0.0793052870386171,0.0790883581445126,0.274286758751768,0.000216928894104584,-0.00166399388637499,0.00209785167458416,100,0,1
aloha,adaptive,MEAN_TRUE_AOI,0.114842012161415,0.113837700386954,0.882231256470598,0.00100431177446104,-0.00251082629408758,0.00451944984300965,100,0,1
aloha,adaptive,OFFERED_UTIL,0.768434999999956,0.772433333333289,-0.517628274284714,-0.00399833333333299,-0.010682135270886,0.00268546860422004,100,0,1
aloha,adaptive,CHANNEL_UTIL,0.49393250000002,0.495656666666687,-0.347855034062637,-0.00172416666666715,-0.00487109475683014,0.00142276142349585,100,0,1
aloha,adaptive,COLLISION_FRAMES,1875.52,1894.06,-0.978849666853213,-18.54,-42.26582966303,5.18582966303,100,0,1
aloha,adaptive,DATA_ATTEMPTED,2208.13,2218.76,-0.479096432241437,-10.63,-31.8471460631,10.5871460631,100,0,1
aloha,adaptive,ACK_ATTEMPTED,309.09,314.25,-1.6420047732697,-5.16,-10.136248546709,-0.183751453291038,100,0,1
aloha,adaptive,ACK_STANDALONE,309.18,314.4,-1.66030534351144,-5.22,-10.180147925004,-0.259852074995965,100,0,1
aloha,piggyback,RMSE,0.0880420707136419,0.0790883581445126,11.3211511519418,0.00895371256912931,0.00582300644551428,0.0120844186927443,100,0,1
aloha,piggyback,MEAN_TRUE_AOI,0.132038363736871,0.113837700386954,15.9882563404303,0.0182006633499171,0.0132250902811539,0.0231762364186804,100,0,1
aloha,piggyback,OFFERED_UTIL,0.813993333333281,0.772433333333289,5.38039960298547,0.0415599999999916,0.0322337834878513,0.050886216512132,100,0,1
aloha,piggyback,CHANNEL_UTIL,0.50360416666669,0.495656666666687,1.60342844845605,0.00794750000000274,0.00423961257894501,0.0116553874210605,100,0,1
aloha,piggyback,COLLISION_FRAMES,1996.01,1894.06,5.38261723493448,101.95,69.0038814471465,134.896118552854,100,0,1
aloha,piggyback,DATA_ATTEMPTED,2441.98,2218.76,10.060574374876,223.22,194.786737191322,251.653262808678,100,0,1
aloha,piggyback,ACK_ATTEMPTED,0,314.25,-100,-314.25,-318.033477355834,-310.466522644166,100,0,1
aloha,piggyback,ACK_STANDALONE,0,314.4,-100,-314.4,-318.168165727298,-310.631834272702,100,0,1
