seed,rmseAdaptiveMinusPiggyCsma,rmseAdaptiveMinusPiggyAloha,rmseInteraction,offered_utilAdaptiveMinusPiggyCsma,offered_utilAdaptiveMinusPiggyAloha,offered_utilInteraction
16022001,0.000863402049241298,-0.0214834178229952,-0.0223468198722365,0.00750000000000001,-0.0711666666666549,-0.0786666666666549
16022002,0.000100701105772601,-0.00465974164261319,-0.00476044274838579,0.00233333333333302,-0.078916666666654,-0.081249999999987
16022003,0.000363271411273902,-0.0129589898237064,-0.0133222612349803,0.00383333333333302,-0.029333333333327,-0.03316666666666
16022004,0.000302052771804798,-0.0001302181899481,-0.000432270961752898,0.022416666666667,-0.061583333333323,-0.08399999999999
16022005,-0.0015877913082103,-0.0097561465746116,-0.0081683552664013,-0.00424999999999998,0.00283333333333591,0.00708333333333588
16022006,0.0010251982095193,0.0131285327535483,0.012103334544029,-0.000166666666666981,0.0185833333333351,0.018750000000002
16022007,0.00119967360261559,-0.0102587978210442,-0.0114584714236598,0.00341666666666601,-0.0619999999999901,-0.0654166666666561
16022008,-0.000849978701189101,-0.0217434478565041,-0.020893469155315,0.016166666666666,-0.075333333333321,-0.091499999999987
16022009,0.000658544194665794,-0.0092634798989442,-0.00992202409361,-0.000666666666666982,0.0339999999999999,0.0346666666666669
16022010,0.000412076458377701,-0.0060702038963593,-0.006482280354737,0.00716666666666604,0.0117500000000029,0.00458333333333688
16022011,-1.35602753706041e-05,0.0117769678652862,0.0117905281406568,-0.000333333333333019,-0.0479166666666581,-0.047583333333325
16022012,-0.0006122533786692,-0.00250341851141081,-0.00189116513274161,0.0135,-0.0298333333333269,-0.043333333333327
16022013,0.000276667131928005,-0.00643196460662171,-0.00670863173854971,0.019833333333334,-0.064583333333322,-0.084416666666656
16022014,0.0017889841842474,-0.0029401573778069,-0.0047291415620543,0.00174999999999997,-0.00691666666666202,-0.00866666666666199
16022015,0.001295384582466,0.0123646921000755,0.0110693075176095,0.005583333333334,8.33333333369879e-05,-0.00549999999999701
16022016,0.000351089084015196,0.0027530430113884,0.0024019539273732,0.010416666666667,0.00766666666666904,-0.00274999999999798
16022017,8.56418656246041e-05,-0.0300937713560584,-0.030179413221683,0.00933333333333397,-0.105333333333318,-0.114666666666652
16022018,-0.000676321483422802,0.0088418951382333,0.0095182166216561,0.00141666666666695,0.0298333333333339,0.028416666666667
