formationErrorTarget,communicationCostA,communicationCostB,costDifferenceAminusB
0.111891448054356,25.975,20.1154031041029,5.85959689589711
0.115696494959388,24.6096106208095,18.1373993778156,6.47221124299393
0.119501541864421,23.2442212416191,16.3705535706914,6.87366767092771
0.123306588769453,21.8788318624286,15.2738284744317,6.60500338799695
0.127111635674485,20.5134424832382,14.177103378172,6.33633910506618
0.130916682579517,19.1480531040477,13.0803782819123,6.06767482213541
0.134721729484549,17.7832766099186,12.1660526644152,5.61722394550339
0.138526776389581,16.4190826924948,11.4834818180197,4.93560087447507
0.142331823294613,15.054888775071,10.8009109716242,4.25397780344674
0.146136870199645,13.9731222245235,10.1183401252287,3.85478209929483
0.149941917104677,12.9757022582888,9.70224634534567,3.2734559129431
0.15374696400971,11.4670115791378,9.36228309319109,2.10472848594671
0.157552010914742,10.8241476964738,9.0223198410365,1.80182785543734
0.161357057819774,10.2079347435916,8.68235658888192,1.5255781547097
0.165162104724806,9.8726137266662,8.34239333672733,1.53022038993886
0.168967151629838,9.6041244106692,8.00243008457275,1.60169432609645
0.17277219853487,9.3356350946722,7.66246683241816,1.67316826225404
0.176577245439902,9.0671457786752,7.32250358026358,1.74464219841162
0.180382292344934,8.7986564626782,6.98254032810899,1.81611613456921
0.184187339249966,8.53016714668121,6.64257707595441,1.8875900707268
0.187992386154999,8.27853677507636,6.30261382379982,1.97592295127653
0.191797433060031,8.11914780718731,6.09693220886283,2.02221559832448
0.195602479965063,7.95975883929826,5.93668521480317,2.0230736244951
0.199407526870095,7.80036987140921,5.7764382207435,2.02393165066572
0.203212573775127,7.64098090352017,5.61619122668383,2.02478967683633
0.207017620680159,7.48159193563112,5.45594423262417,2.02564770300695
0.210822667585191,7.32220296774207,5.2956972385645,2.02650572917757
0.214627714490223,7.16281399985302,5.13545024450483,2.02736375534819
0.218432761395255,7.00342503196398,4.97520325044517,2.02822178151881
0.222237808300288,6.84403606407493,4.8826527663841,1.96138329769083
0.22604285520532,6.68464709618588,4.79391149309535,1.89073560309053
0.229847902110352,6.52525812829683,4.70517021980659,1.82008790849024
0.233652949015384,6.36586916040778,4.61642894651784,1.74944021388995
0.237457995920416,6.20648019251874,4.52768767322908,1.67879251928965
0.241263042825448,6.04709122462969,4.43894639994033,1.60814482468936
0.24506808973048,5.94939111724305,4.35020512665158,1.59918599059147
0.248873136635512,5.86953331640939,4.26146385336282,1.60806946304657
0.252678183540544,5.78967551557573,4.17272258007407,1.61695293550166
0.256483230445577,5.70981771474206,4.08398130678531,1.62583640795675
0.260288277350609,5.6299599139084,3.99524003349656,1.63471988041184
0.264093324255641,5.55010211307474,3.90649876020781,1.64360335286693
0.267898371160673,5.47024431224108,3.81775748691905,1.65248682532202
0.271703418065705,5.39038651140741,3.7290162136303,1.66137029777712
0.275508464970737,5.31052871057375,3.64027494034154,1.67025377023221
0.279313511875769,5.23067090974009,3.55153366705279,1.6791372426873
0.283118558780801,5.15081310890643,3.46279239376404,1.68802071514239
0.286923605685833,5.07095530807276,3.37405112047528,1.69690418759748
0.290728652590866,4.9910975072391,3.29044840847044,1.70064909876866
0.294533699495898,4.93882373659817,3.23274850534284,1.70607523125532
0.29833874640093,4.88945017378435,3.17504860221525,1.71440157156911
0.302143793305962,4.84007661097054,3.11734869908765,1.72272791188289
0.305948840210994,4.79070304815673,3.05964879596005,1.73105425219668
0.309753887116026,4.74132948534291,3.00194889283245,1.73938059251047
0.313558934021058,4.6919559225291,2.94424898970485,1.74770693282425
0.31736398092609,4.64258235971529,2.88654908657725,1.75603327313804
0.321169027831122,4.59320879690147,2.82884918344965,1.76435961345182
0.324974074736155,4.54383523408766,2.77114928032205,1.77268595376561
0.328779121641187,4.49446167127385,2.71344937719445,1.7810122940794
0.332584168546219,4.44508810846003,2.65574947406685,1.78933863439318
0.336389215451251,4.39571454564622,2.59804957093925,1.79766497470697
0.340194262356283,4.34634098283241,2.54034966781165,1.80599131502075
0.343999309261315,4.29696742001859,2.48264976468406,1.81431765533454
0.347804356166347,4.24759385720478,2.44312344202584,1.80447041517894
0.351609403071379,4.19822029439097,2.41056002357856,1.7876602708124
0.355414449976411,4.14884673157715,2.37799660513129,1.77085012644586
0.359219496881444,4.09947316876334,2.34543318668402,1.75403998207932
0.363024543786476,4.05009960594953,2.31286976823674,1.73722983771278
0.366829590691508,4.00072604313571,2.28030634978947,1.72041969334624
0.37063463759654,3.9513524803219,2.2477429313422,1.7036095489797
0.374439684501572,3.90197891750809,2.21517951289492,1.68679940461316
0.378244731406604,3.85260535469427,2.18261609444765,1.66998926024662
0.382049778311636,3.80323179188046,2.15005267600038,1.65317911588008
0.385854825216668,3.75385822906665,2.1174892575531,1.63636897151354
0.3896598721217,3.71803835920403,2.08492583910583,1.6331125200982
0.393464919026733,3.68634558046808,2.05236242065855,1.63398315980953
0.397269965931765,3.65465280173213,2.01979900221128,1.63485379952085
0.401075012836797,3.62296002299618,1.98723558376401,1.63572443923217
0.404880059741829,3.59126724426022,1.96050808126823,1.63075916299199
0.408685106646861,3.55957446552427,1.94378837050062,1.61578609502365
