communicationBudget,formationErrorA,formationErrorB,errorDifferenceAminusB
2.86233333333333,0.492396138557567,0.318960900018485,0.173435238539082
3.09346,0.464646984247133,0.303719144660152,0.160927839586981
3.32458666666667,0.436897829936698,0.289044541749723,0.147853288186975
3.55571333333333,0.409148675626264,0.279134296211451,0.130014379414812
3.78684,0.383313036083774,0.26922405067318,0.114088985410594
4.01796666666667,0.365500916448276,0.259313805134909,0.106187111313368
4.24909333333333,0.347688796812779,0.249403559596638,0.0982852372161415
4.48022,0.329876677177282,0.239493314058366,0.0903833631189155
4.71134666666667,0.312064557541784,0.229583068520095,0.0824814890216894
4.94247333333333,0.294252437906287,0.219672822981824,0.0745796149244633
5.1736,0.282032814012904,0.213721852823823,0.0683109611890818
5.40472666666667,0.271020141506405,0.20823377604066,0.0627863654657446
5.63585333333333,0.260007468999905,0.202745699257498,0.0572617697424073
5.86698,0.248994796493406,0.197257622474336,0.05173717401907
6.09810666666667,0.240045165876983,0.191769545691174,0.0482756201858099
6.32923333333333,0.234527545559104,0.187694446652061,0.0468330989070433
6.56036,0.229009925241225,0.185107555856963,0.0439023693842625
6.79148666666667,0.223492304923346,0.182520665061864,0.0409716398614818
7.02261333333333,0.217974684605467,0.179933774266766,0.038040910338701
7.25374,0.212457064287588,0.177346883471668,0.0351101808159202
7.48486666666667,0.206939443969709,0.174759992676569,0.0321794512931395
7.71599333333333,0.20142182365183,0.172173101881471,0.0292487217703587
7.94712,0.195904203333951,0.169586211086373,0.0263179922475779
8.17824666666667,0.190386583016072,0.166999320291274,0.0233872627247972
8.40937333333333,0.185899236514554,0.164412429496176,0.0214868070183783
8.6405,0.182623695346725,0.161825538701078,0.0207981566456478
8.87162666666667,0.179348154178897,0.159238647905979,0.0201095062729172
9.10275333333333,0.176072613011068,0.156651757110881,0.0194208559001866
9.33388,0.172797071843239,0.154064866315783,0.0187322055274561
9.56500666666667,0.16952153067541,0.151477975520684,0.0180435551547255
9.79613333333334,0.166245989507581,0.148891084725586,0.0173549047819949
10.02726,0.162970448339752,0.146644603793076,0.0163258445466761
10.2583866666667,0.161045522768698,0.145356169321673,0.0156893534470247
10.4895133333333,0.159618341136834,0.144067734850271,0.0155506062865629
10.72064,0.158191159504969,0.142779300378868,0.0154118591261011
10.9517666666667,0.156763977873105,0.141490865907466,0.0152731119656393
11.1828933333333,0.155336796241241,0.140202431436063,0.0151343648051775
11.41402,0.153909614609376,0.138913996964661,0.0149956176447157
11.6451466666667,0.153675180956195,0.137625562493258,0.0160496184629364
11.8762733333333,0.153582043898739,0.136337128021856,0.0172449158768832
12.1074,0.153254394228036,0.135048693550453,0.0182057006775832
12.3385266666667,0.152372671546075,0.133760259079051,0.0186124124670243
12.5696533333333,0.151490948864113,0.132688623781137,0.0188023250829767
12.80078,0.150609226182152,0.131886738412898,0.0187224877692536
13.0319066666667,0.149727503500191,0.13108485304466,0.0186426504555304
13.2630333333333,0.148845780818229,0.130282967676422,0.0185628131418073
13.49416,0.147964058136268,0.129481082308184,0.0184829758280842
13.7252866666667,0.147082335454306,0.128679196939945,0.0184031385143611
13.9564133333333,0.146200612772345,0.127877311571707,0.018323301200638
