armId,methodFamily,method,parameterName,parameterValue,period_s,epsilonPosition_m,seedCount,failedRuns,divergedRuns,saturatedRuns,meanFormationRMSE_m,stdFormationRMSE_m,meanCost025PerChannel_Hz,stdCost025PerChannel_Hz,meanDataRatePerChannel_Hz,meanBroadcastRate_Hz,meanControlViolationRatio,isPareto
P1,Periodic,Periodic-1step,periodSamples,1,0.02,NaN,5,0,0,0,0.0886258634757743,9.06395109114867e-05,49.9666666666667,0,49.9666666666667,299.8,NaN,1
P2,Periodic,Periodic-2step,periodSamples,2,0.04,NaN,5,0,0,0,0.102559167655231,0.000610336636433321,24.9666666666667,0,24.9666666666667,149.8,NaN,1
P3,Periodic,Periodic-3step,periodSamples,3,0.06,NaN,5,0,0,0,0.118589837257718,0.000986669238031091,16.6333333333333,0,16.6333333333333,99.8,NaN,1
P4,Periodic,Periodic-4step,periodSamples,4,0.08,NaN,5,0,0,0,0.133045932188317,0.00138686260840216,12.4666666666667,0,12.4666666666667,74.8,NaN,1
P5,Periodic,Periodic-5step,periodSamples,5,0.1,NaN,5,0,0,0,0.146982386276291,0.000955713199415225,9.96666666666667,0,9.96666666666667,59.8,NaN,1
P8,Periodic,Periodic-8step,periodSamples,8,0.16,NaN,5,0,0,0,0.188954351785617,0.0011124806691112,6.21666666666667,0.00527046276694756,6.21666666666667,37.3,NaN,1
P10,Periodic,Periodic-10step,periodSamples,10,0.2,NaN,5,0,0,0,0.218635461619846,0.00496371067967631,4.96666666666667,0,4.96666666666667,29.8,NaN,1
P15,Periodic,Periodic-15step,periodSamples,15,0.3,NaN,5,0,0,0,0.290098768452112,0.0174212074048411,3.3,0,3.3,19.8,NaN,1
P20,Periodic,Periodic-20step,periodSamples,20,0.4,NaN,5,0,0,0,0.345053322081916,0.00670584855071818,2.46666666666667,0,2.46666666666667,14.8,NaN,1
P25,Periodic,Periodic-25step,periodSamples,25,0.5,NaN,5,0,0,0,0.403478498038076,0.0244339006846551,1.96666666666667,0,1.96666666666667,11.8,NaN,1
P40,Periodic,Periodic-40step,periodSamples,40,0.8,NaN,5,0,0,2,0.574162382373146,0.033483427760528,1.21666666666667,0.00527046276694725,1.21666666666667,7.3,NaN,1
CA1,Control-aware,Control-aware,epsilonPosition_m,0.05,NaN,0.05,5,0,0,0,0.111891448054356,0.000902237068818955,25.975,0.0236657863686049,22.5886666666667,147.886666666667,0.999333777481679,1
CA2,Control-aware,Control-aware,epsilonPosition_m,0.075,NaN,0.075,5,0,0,0,0.13277097165104,0.00159077436230376,18.4826666666667,0.0435547229228806,16.0786666666667,107.26,0.999267155229847,1
CA3,Control-aware,Control-aware,epsilonPosition_m,0.1,NaN,0.1,5,0,0,0,0.143206865561242,0.00158837734960813,14.7411666666667,0.021307927580546,12.8173333333333,85.9133333333333,0.999267155229847,1
CA4,Control-aware,Control-aware,epsilonPosition_m,0.15,NaN,0.15,5,0,0,0,0.153516604296138,0.00102187881512877,12.0386666666667,0.0367923980674749,10.4593333333333,64.0866666666667,0.999000666222518,1
CA5,Control-aware,Control-aware,epsilonPosition_m,0.2,NaN,0.2,5,0,0,0,0.153758453313919,0.00171006524170344,11.4385,0.029617937507906,9.93866666666667,61.7866666666667,0.998600932711526,1
CA6,Control-aware,Control-aware,epsilonPosition_m,0.3,NaN,0.3,5,0,0,0,0.162088379276818,0.00242886200187861,10.0895,0.0296308304154838,8.76933333333333,70.2666666666667,0.823904063957362,1
CA7,Control-aware,Control-aware,epsilonPosition_m,0.4,NaN,0.4,5,0,0,0,0.187404403849773,0.00193806057666834,8.30316666666667,0.0356019662378351,7.20866666666667,61.5933333333333,0.657561625582945,1
CA8,Control-aware,Control-aware,epsilonPosition_m,0.6,NaN,0.6,5,0,0,0,0.242116680661301,0.00187010602070531,6.01133333333333,0.0527461162340677,5.22266666666667,46.26,0.492085276482345,1
CA9,Control-aware,Control-aware,epsilonPosition_m,0.8,NaN,0.8,5,0,0,0,0.291090656942404,0.00381730386249428,4.9835,0.0457172773078675,4.342,38.9133333333333,0.411499000666223,1
CA10,Control-aware,Control-aware,epsilonPosition_m,1.2,NaN,1.2,5,0,0,0,0.386743008413134,0.00799898101601095,3.74233333333333,0.0717886558664467,3.258,30.0266666666667,0.303504330446369,1
CA11,Control-aware,Control-aware,epsilonPosition_m,1.6,NaN,1.6,5,0,0,0,0.492396138557567,0.00559703713534618,2.86233333333333,0.0547640139345376,2.49666666666667,23.3733333333333,0.231685542971352,1
CAUSALV3,Historical reference,Causal-v3 frozen,frozen,NaN,NaN,NaN,5,0,0,0,0.116904206002002,0.00132655959373681,20.9878333333333,0.0302742097795762,18.2313333333333,109.506666666667,NaN,0
