formationErrorTarget,communicationCostA,communicationCostB,costDifferenceAminusB,scenarioId
0.167674819223712,31.3522727272727,28.9162584094228,2.4360143178499,S2
0.170167764536907,22.7714686922951,19.4949387941441,3.27652989815096,S2
0.172660709850102,17.2727207191888,14.6891330823475,2.58358763684125,S2
0.175153655163297,15.2258198271822,12.0602165700242,3.16560325715809,S2
0.177646600476491,13.1789189351757,10.8681584566935,2.31076047848221,S2
0.180139545789686,11.1320180431692,9.80340894321828,1.32860909995091,S2
0.182632491102881,9.53479874799914,9.07988868179535,0.454910066203798,S2
0.185125436416075,8.97934295883871,8.35636842037241,0.622974538466298,S2
0.18761838172927,8.42388716967828,7.63284815894947,0.791039010728801,S2
0.190111327042465,7.86843138051784,6.90932789752654,0.959103482991301,S2
0.19260427235566,7.31297559135741,6.23738449426704,1.07559109709037,S2
0.195097217668854,6.75751980219697,6.02307868766584,0.73444111453113,S2
0.197590162982049,6.20206401303654,5.80877288106465,0.393291131971898,S2
0.200083108295244,5.64660822387611,5.59446707446345,0.0521411494126589,S2
0.202576053608438,5.22368008356613,5.38016126786225,-0.156481184296118,S2
0.205068998921633,5.08139714594969,5.16585546126105,-0.0844583153113598,S2
0.207561944234828,4.93911420833325,4.95134259492845,-0.012228386595198,S2
0.210054889548023,4.79683127071681,4.7361209207015,0.0607103500153077,S2
0.212547834861217,4.65454833310037,4.52089924647456,0.133649086625813,S2
0.215040780174412,4.51226539548393,4.30567757224761,0.206587823236321,S2
0.217533725487607,4.36998245786749,4.09045589802067,0.279526559846826,S2
0.220026670800801,4.22769952025105,3.87523422379372,0.352465296457332,S2
0.222519616113996,4.08541658263461,3.66001254956678,0.425404033067838,S2
0.225012561427191,3.94313364501817,3.44479087533983,0.498342769678344,S2
0.227505506740385,3.80085070740173,3.31777458878871,0.483076118613023,S2
0.22999845205358,3.65856776978529,3.27305524976414,0.385512520021153,S2
0.232491397366775,3.51628483216885,3.22833591073957,0.287948921429285,S2
0.23498434267997,3.37400189455241,3.183616571715,0.190385322837415,S2
0.237477287993164,3.23171895693597,3.13889723269042,0.0928217242455469,S2
0.239970233306359,3.08943601931953,3.09417789366585,-0.00474187434632078,S2
0.242463178619554,2.94715308170309,3.04945855464128,-0.102305472938189,S2
0.244956123932748,2.81471283239749,3.00473921561671,-0.190026383219223,S2
0.247449069245943,2.7776342888262,2.96001987659214,-0.182385587765937,S2
0.249942014559138,2.74055574525491,2.91530053756757,-0.174744792312652,S2
0.252434959872333,2.70347720168363,2.87058119854299,-0.167103996859366,S2
0.254927905185527,2.66639865811234,2.82586185951842,-0.159463201406081,S2
0.257420850498722,2.62932011454106,2.78114252049385,-0.151822405952795,S2
0.259913795811917,2.59224157096977,2.73642318146928,-0.144181610499509,S2
0.262406741125111,2.55516302739849,2.69170384244471,-0.136540815046224,S2
0.264899686438306,2.5180844838272,2.64698450342014,-0.128900019592938,S2
0.267392631751501,2.48100594025591,2.60226516439557,-0.121259224139653,S2
0.269885577064696,2.44392739668463,2.55754582537099,-0.113618428686367,S2
0.27237852237789,2.40684885311334,2.51282648634642,-0.105977633233081,S2
0.274871467691085,2.36977030954206,2.45506656593829,-0.0852962563962336,S2
0.27736441300428,2.33269176597077,2.39206205857666,-0.0593702926058883,S2
0.279857358317474,2.29561322239948,2.32905755121503,-0.033444328815543,S2
0.282350303630669,2.2585346788282,2.2660530438534,-0.0075183650251982,S2
0.284843248943864,2.22145613525691,2.20304853649176,0.0184075987651484,S2
0.287336194257059,2.18437759168563,2.14004402913013,0.0443335625554933,S2
0.289829139570253,2.14729904811434,2.0770395217685,0.070259526345839,S2
0.292322084883448,2.11022050454305,2.01403501440687,0.0961854901361847,S2
0.294815030196643,2.07314196097177,1.98828925684532,0.0848527041264482,S2
0.297307975509837,2.03606341740048,1.9732221291546,0.0628412882458831,S2
0.299800920823032,1.9989848738292,1.95815500146388,0.0408298723653184,S2
0.302293866136227,1.96190633025791,1.94308787377316,0.0188184564847529,S2
0.304786811449422,1.92482778668662,1.92802074608244,-0.00319295939581221,S2
0.307279756762616,1.88774924311534,1.91295361839172,-0.0252043752763771,S2
0.309772702075811,1.85067069954405,1.89788649070099,-0.0472157911569422,S2
0.312265647389006,1.81359215597277,1.88281936301027,-0.0692272070375077,S2
0.3147585927022,1.77651361240148,1.86775223531955,-0.0912386229180722,S2
0.317251538015395,1.73943506883019,1.85268510762883,-0.113250038798638,S2
0.31974448332859,1.70235652525891,1.83761797993811,-0.135261454679203,S2
0.322237428641785,1.66527798168762,1.82255085224739,-0.157272870559768,S2
0.324730373954979,1.62819943811634,1.80748372455667,-0.179284286440333,S2
0.327223319268174,1.60779917925732,1.79241659686595,-0.184617417608629,S2
0.329716264581369,1.59686687617058,1.77734946917523,-0.180482593004644,S2
0.332209209894563,1.58593457308385,1.76228234148451,-0.176347768400658,S2
0.334702155207758,1.57500226999711,1.74721521379379,-0.172212943796673,S2
0.337195100520953,1.56406996691038,1.73214808610307,-0.168078119192688,S2
0.339688045834148,1.55313766382364,1.71708095841234,-0.163943294588703,S2
0.342180991147342,1.54220536073691,1.70201383072162,-0.159808469984718,S2
0.344673936460537,1.53127305765017,1.6869467030309,-0.155673645380732,S2
0.347166881773732,1.52034075456344,1.67187957534018,-0.151538820776747,S2
0.349659827086926,1.5094084514767,1.65681244764946,-0.147403996172762,S2
0.352152772400121,1.49847614838996,1.64174531995874,-0.143269171568777,S2
0.354645717713316,1.48754384530323,1.62667819226802,-0.139134346964791,S2
0.357138663026511,1.47661154221649,1.6116110645773,-0.134999522360806,S2
0.359631608339705,1.46567923912976,1.59654393688658,-0.130864697756821,S2
0.3621245536529,1.45474693604302,1.58147680919586,-0.126729873152836,S2
0.364617498966095,1.44381463295629,1.56640968150514,-0.122595048548851,S2
0.367110444279289,1.43288232986955,1.55134255381442,-0.118460223944866,S2
0.369603389592484,1.42195002678281,1.53627542612369,-0.11432539934088,S2
0.372096334905679,1.41101772369608,1.52120829843297,-0.110190574736895,S2
0.374589280218874,1.40008542060934,1.50614117074225,-0.10605575013291,S2
0.377082225532068,1.38915311752261,1.49107404305153,-0.101920925528925,S2
0.379575170845263,1.37822081443587,1.47600691536081,-0.0977861009249392,S2
0.382068116158458,1.36728851134914,1.46093978767009,-0.093651276320954,S2
0.384561061471652,1.3563562082624,1.44587265997937,-0.0895164517169693,S2
0.387054006784847,1.34542390517567,1.43080553228865,-0.0853816271129837,S2
0.389546952098042,1.33449160208893,1.41573840459793,-0.0812468025089985,S2
0.392039897411237,1.32355929900219,1.40067127690721,-0.0771119779050133,S2
0.394532842724431,1.31262699591546,1.38560414921649,-0.0729771533010282,S2
0.397025788037626,1.30169469282872,1.37053702152577,-0.0688423286970428,S2
0.399518733350821,1.29076238974199,1.35546989383505,-0.0647075040930576,S2
0.402011678664015,1.27983008665525,1.34040276614432,-0.0605726794890722,S2
0.40450462397721,1.26889778356852,1.3253356384536,-0.0564378548850875,S2
0.406997569290405,1.25796548048178,1.31026851076288,-0.0523030302811021,S2
0.4094905146036,1.24703317739505,1.29520138307216,-0.0481682056771169,S2
0.411983459916794,1.23610087430831,1.28013425538144,-0.0440333810731315,S2
0.414476405229989,1.22516857122157,1.26506712769072,-0.0398985564691463,S2
0.416969350543184,1.21423626813484,1.25,-0.0357637318651611,S2
0.0892682847980216,32.5261363636364,27.7787580948867,4.74737826874966,S6
0.0923226777612624,25.2284112942244,22.0758949502272,3.15251634399718,S6
0.0953770707245032,21.2281754844119,18.4510819625315,2.77709352188039,S6
0.098431463687744,17.3681791286783,15.4950466308819,1.8731324977964,S6
0.101485856650985,16.0595286884476,13.1896180778359,2.86991061061166,S6
0.104540249614226,14.7508782482169,11.9187671608979,2.83211108731896,S6
0.107594642577466,13.4422278079862,11.0894676831484,2.35276012483781,S6
0.110649035540707,12.1335773677555,10.2601682053988,1.87340916235666,S6
0.113703428503948,10.8249269275248,9.63933682694757,1.18559010057719,S6
0.116757821467189,9.65731905209658,9.11380292012062,0.543516131975961,S6
0.119812214430429,9.25266102017357,8.58826901329368,0.664392006879897,S6
0.12286660739367,8.84800298825056,8.06273510646673,0.785267881783836,S6
0.125921000356911,8.44334495632756,7.53720119963978,0.906143756687777,S6
0.128975393320152,8.03868692440455,7.01166729281283,1.02701963159172,S6
0.132029786283393,7.63402889248154,6.48613338598589,1.14789550649565,S6
0.135084179246633,7.22937086055853,6.176865924539,1.05250493601954,S6
0.138138572209874,6.82471282863553,6.03209789089663,0.792614937738901,S6
0.141192965173115,6.42005479671252,5.88732985725425,0.532724939458266,S6
0.144247358136356,6.01539676478951,5.74256182361188,0.272834941177632,S6
0.147301751099597,5.61073873286651,5.59779378996951,0.012944942896997,S6
0.150356144062837,5.26499264270553,5.45302575632714,-0.188033113621609,S6
0.153410537026078,5.14517883616197,5.30825772268477,-0.163078886522793,S6
0.156464929989319,5.02536502961842,5.16348968904239,-0.138124659423975,S6
0.15951932295256,4.90555122307486,5.01872165540002,-0.113170432325159,S6
0.1625737159158,4.78573741653131,4.84803882156266,-0.0623014050313575,S6
0.165628108879041,4.66592360998775,4.67350686515807,-0.00758325517032166,S6
0.168682501842282,4.5461098034442,4.49897490875348,0.0471348946907151,S6
0.171736894805523,4.42629599690064,4.32444295234889,0.101853044551753,S6
0.174791287768764,4.30648219035708,4.1499109959443,0.156571194412789,S6
0.177845680732004,4.18666838381353,3.9753790395397,0.211289344273826,S6
0.180900073695245,4.06685457726997,3.80084708313511,0.266007494134864,S6
0.183954466658486,3.94704077072642,3.62631512673052,0.3207256439959,S6
0.187008859621727,3.82722696418286,3.45178317032593,0.375443793856936,S6
0.190063252584968,3.70741315763931,3.32406844560552,0.383344712033784,S6
0.193117645548208,3.58759935109575,3.27789614280452,0.309703208291231,S6
0.196172038511449,3.46778554455219,3.23172384000352,0.236061704548677,S6
0.19922643147469,3.34797173800864,3.18555153720251,0.162420200806124,S6
0.202280824437931,3.22815793146508,3.13937923440151,0.08877869706357,S6
0.205335217401171,3.10834412492153,3.09320693160051,0.0151371933210167,S6
0.208389610364412,2.98853031837797,3.04703462879951,-0.0585043104215357,S6
0.211444003327653,2.86871651183442,3.00086232599851,-0.132145814164089,S6
0.214498396290894,2.81262635951567,2.9546900231975,-0.142063663681832,S6
