cell,arm,N,rho,epsilon,n,meanAoII,meanMaxAoII,meanAttemptRate,meanSuccessRate,meanCollisionRate,meanFeedbackRate,meanPhaseDivergence
n10-rho20-eps05,delta-private-delayed,10,0.2,0.05,30,91.1777901666667,128.126488333333,1.5959619047619,0.283009523809524,0.49208253968254,7.89947619047619,0.639244444444444
n10-rho20-eps05,delta-public,10,0.2,0.05,30,132.019823166667,136.802988333333,0.263388888888889,0.190953968253968,0.0303126984126984,0.23127619047619,0
n10-rho20-eps05,max-age-first,10,0.2,0.05,30,0.354790666666667,2.791,1,0.94997619047619,0,0,0
n10-rho20-eps05,round-robin,10,0.2,0.05,30,0.416069666666667,3.289245,1,0.94997619047619,0,0,0
n10-rho20-eps05,zero-wait,10,0.2,0.05,30,0.9490085,6.86062,0.232342857142857,0.175384126984127,0.0230396825396825,0,0
n10-rho20-eps20,delta-private-delayed,10,0.2,0.2,30,57.7449461666667,113.035945,1.79306825396825,0.224071428571429,0.555701587301587,8.35611111111111,0.629649206349206
n10-rho20-eps20,delta-public,10,0.2,0.2,30,199.6474715,215.306698333333,0.314523809523809,0.182336507936508,0.0416825396825397,0.269460317460317,0
n10-rho20-eps20,max-age-first,10,0.2,0.2,30,0.517292,3.85495166666667,1,0.800387301587302,0,0,0
n10-rho20-eps20,round-robin,10,0.2,0.2,30,0.855006833333333,6.457665,1,0.800387301587302,0,0,0
n10-rho20-eps20,zero-wait,10,0.2,0.2,30,1.48901666666667,10.0501916666667,0.280990476190476,0.169568253968254,0.0329365079365079,0,0
n10-rho50-eps05,delta-private-delayed,10,0.5,0.05,30,107.515945833333,150.729685,1.96216666666667,0.249703174603175,0.62151746031746,8.84331746031746,0.750690476190476
n10-rho50-eps05,delta-public,10,0.5,0.05,30,145.265017833333,149.7796,0.785915873015873,0.39428253968254,0.168587301587302,0.583536507936508,0
n10-rho50-eps05,max-age-first,10,0.5,0.05,30,0.834516,4.957715,1,0.94997619047619,0,0,0
n10-rho50-eps05,round-robin,10,0.5,0.05,30,0.957636666666667,5.84283166666667,1,0.94997619047619,0,0,0
n10-rho50-eps05,zero-wait,10,0.5,0.05,30,4.17709933333333,20.2334633333333,0.643260317460317,0.326168253968254,0.135126984126984,0,0
n10-rho50-eps20,delta-private-delayed,10,0.5,0.2,30,55.1766478333333,102.455666666667,1.86240634920635,0.228895238095238,0.586928571428572,8.73046031746032,0.722493650793651
n10-rho50-eps20,delta-public,10,0.5,0.2,30,169.478888,185.932666666667,0.781006349206349,0.328660317460317,0.168080952380952,0.5783,0
n10-rho50-eps20,max-age-first,10,0.5,0.2,30,1.19627533333333,6.49444,1,0.800387301587302,0,0,0
n10-rho50-eps20,round-robin,10,0.5,0.2,30,1.85685283333333,10.7717666666667,1,0.800387301587302,0,0,0
n10-rho50-eps20,zero-wait,10,0.5,0.2,30,6.76215533333333,29.814565,0.759955555555556,0.290157142857143,0.175674603174603,0,0
n20-rho20-eps05,delta-private-delayed,20,0.2,0.05,30,39.65161475,139.389803333333,1.94415079365079,0.256106349206349,0.597377777777778,17.3377142857143,0.711253968253968
n20-rho20-eps05,delta-public,20,0.2,0.05,30,80.7573978333333,83.4110866666666,0.275006349206349,0.196220634920635,0.0329571428571429,0.239642857142857,0
n20-rho20-eps05,max-age-first,20,0.2,0.05,30,0.71289675,8.793025,1,0.94985873015873,0,0,0
n20-rho20-eps05,round-robin,20,0.2,0.05,30,0.838404916666667,10.5716516666667,1,0.94985873015873,0,0,0
n20-rho20-eps05,zero-wait,20,0.2,0.05,30,0.5800215,7.79942,0.261860317460318,0.187047619047619,0.0307301587301587,0,0
n20-rho20-eps20,delta-private-delayed,20,0.2,0.2,30,70.4058103333333,203.15913,2.00348571428571,0.210214285714286,0.60431746031746,17.3475555555556,0.665984126984127
n20-rho20-eps20,delta-public,20,0.2,0.2,30,665.48127825,764.658543333333,0.313209523809524,0.177528571428571,0.043184126984127,0.2654,0
n20-rho20-eps20,max-age-first,20,0.2,0.2,30,1.01321216666667,11.533655,1,0.799968253968254,0,0,0
n20-rho20-eps20,round-robin,20,0.2,0.2,30,1.71799983333333,20.3024966666667,1,0.799968253968254,0,0,0
n20-rho20-eps20,zero-wait,20,0.2,0.2,30,0.982504,11.9495783333333,0.328515873015873,0.183066666666667,0.0463634920634921,0,0
n20-rho50-eps05,delta-private-delayed,20,0.5,0.05,30,49.69405075,152.751033333333,2.18146031746032,0.228460317460317,0.66514126984127,18.1095238095238,0.797304761904762
n20-rho50-eps05,delta-public,20,0.5,0.05,30,82.9275070833333,90.73029,0.863928571428572,0.404095238095238,0.195066666666667,0.620515873015873,0
n20-rho50-eps05,max-age-first,20,0.5,0.05,30,1.65237341666667,12.9928533333333,1,0.94985873015873,0,0,0
n20-rho50-eps05,round-robin,20,0.5,0.05,30,1.90742441666667,16.0055916666667,1,0.94985873015873,0,0,0
n20-rho50-eps05,zero-wait,20,0.5,0.05,30,14.9134145833333,70.8738516666667,1.36065079365079,0.306880952380952,0.383353968253968,0,0
n20-rho50-eps20,delta-private-delayed,20,0.5,0.2,30,55.2719309166667,164.212546666667,2.00829206349206,0.212452380952381,0.616019047619048,17.632,0.772022222222222
n20-rho50-eps20,delta-public,20,0.5,0.2,30,636.27018425,727.010561666667,0.777236507936508,0.309711111111111,0.172726984126984,0.559965079365079,0
n20-rho50-eps20,max-age-first,20,0.5,0.2,30,2.32106908333333,16.3468,1,0.799968253968254,0,0,0
n20-rho50-eps20,round-robin,20,0.5,0.2,30,3.69077425,29.6819083333333,1,0.799968253968254,0,0,0
n20-rho50-eps20,zero-wait,20,0.5,0.2,30,43.8702828333333,178.888463333333,1.99593492063492,0.210371428571429,0.580496825396825,0,0
n5-rho20-eps05,delta-private-delayed,5,0.2,0.05,30,3.25305933333333,11.5732816666667,1.11516984126984,0.324966666666667,0.32565873015873,3.33998412698413,0.491509523809524
n5-rho20-eps05,delta-public,5,0.2,0.05,30,246.938492666667,247.895723333333,0.256122222222222,0.190334920634921,0.0271587301587302,0.227739682539683,0
n5-rho20-eps05,max-age-first,5,0.2,0.05,30,0.178169666666667,0.804078333333333,1,0.949450793650794,0,0,0
n5-rho20-eps05,round-robin,5,0.2,0.05,30,0.206846,0.935488333333333,1,0.949450793650794,0,0,0
n5-rho20-eps05,zero-wait,5,0.2,0.05,30,1.510463,5.93217,0.19915873015873,0.159330158730159,0.0152650793650794,0,0
n5-rho20-eps20,delta-private-delayed,5,0.2,0.2,30,148.128627666667,163.354061666667,1.36610158730159,0.251296825396825,0.424812698412698,3.69520634920635,0.532036507936508
n5-rho20-eps20,delta-public,5,0.2,0.2,30,1480.19785333333,1523.34323333333,0.258253968253968,0.155223809523809,0.0309571428571429,0.225430158730159,0
n5-rho20-eps20,max-age-first,5,0.2,0.2,30,0.274776333333333,1.19678,1,0.799398412698413,0,0,0
