arm,boundaryRMSE,currentBoundaryRMSE,boundaryChargedUtil,currentBoundaryChargedUtil,boundaryFailures,currentBoundaryFailures,failureCellFailures,currentFailureCellFailures,dominatesBoundary,matchesBoth
periodic-tdma-p6p25,0.103340383655573,0.0951278625028128,0.125,0.330766666666667,0,0,0,25,0,0
periodic-tdma-p8p333,0.0819428949863803,0.0951278625028128,0.166666666666667,0.330766666666667,0,0,0,25,1,1
periodic-tdma-p10,0.0718248180245736,0.0951278625028128,0.2,0.330766666666667,0,0,0,25,1,1
periodic-tdma-p12p5,0.0608141370010141,0.0951278625028128,0.25,0.330766666666667,0,0,0,25,1,0
dtsa-common-view,0.0335085717346028,0.0951278625028128,0.999999999999926,0.330766666666667,0,0,0,25,0,0
dtsa-private-view,1.73724043981015,0.0951278625028128,2.99666666666682,0.330766666666667,0,0,30,25,0,0
chen-age-gain-private,0.0480971874192126,0.0951278625028128,0.807233333333281,0.330766666666667,0,0,0,25,0,0
delta-private-projection,0.0537980847506373,0.0951278625028128,0.877111111111051,0.330766666666667,0,0,0,25,0,0
