cell,N,rho,epsilon,nPairs,publicMeanAoII,privateMeanAoII,meanRelativePenalty,ciLo,ciHi,crossesZero,supported
n5-rho50-eps05,5,0.5,0.05,30,247.938632,6.35130066666667,7.4501871218975,6.77729469167394,7.89576484464145,0,1
n5-rho50-eps20,5,0.5,0.2,30,1486.864154,372.828939333333,3.32140375858788,2.4004369512362,4.13961561310146,0,1
n10-rho50-eps05,10,0.5,0.05,30,145.265017833333,107.515945833333,17.5127297335617,15.4870984816884,19.0404830727137,0,1
n10-rho50-eps20,10,0.5,0.2,30,169.478888,55.1766478333333,7.20896663024895,5.9726094037136,8.24375076177854,0,1
n20-rho50-eps05,20,0.5,0.05,30,82.9275070833333,49.69405075,33.1150194770106,30.2620630892235,35.0390439104431,0,1
n20-rho50-eps20,20,0.5,0.2,30,636.27018425,55.2719309166667,9.76728044448209,7.96641998697479,11.3148527718024,0,1
