seed,cell,arm,N,rho,lambda,epsilon,slots,burnIn,MEAN_AOII,MEAN_MAX_AOII,ATTEMPTS,ATTEMPT_RATE,SUCCESSES,SUCCESS_RATE,COLLISIONS,COLLISION_SLOT_RATE,ERASURES,FEEDBACK_GENERATED,FEEDBACK_DELIVERED,FEEDBACK_DROPPED,FEEDBACK_EVENT_RATE,PHASE_DIVERGENCE_FRACTION,MAX_FEEDBACK_QUEUE,FUTURE_FEEDBACK_READS,DRAW_HASH_EXACT
16027101,n10-rho20-eps05,round-robin,10,0.2,0.02,0.05,20000,1000,0.423865,3.34155,21000,1,19870,0.946190476190476,0,0,1130,0,0,0,0,0,0,0,451366153873
16027101,n10-rho20-eps20,delta-public,10,0.2,0.02,0.2,20000,1000,0.14996,0.8869,6948,0.330857142857143,4105,0.19547619047619,883,0.042047619047619,1024,6012,60120,0,0.286285714285714,0,0,0,451366153873
16027101,n10-rho20-eps20,delta-private-delayed,10,0.2,0.02,0.2,20000,1000,18.743415,66.2916,36541,1.74004761904762,5114,0.24352380952381,11270,0.536666666666667,1321,177050,159392,17632,8.43095238095238,0.669619047619048,5,0,451366153873
16027101,n10-rho20-eps20,zero-wait,10,0.2,0.02,0.2,20000,1000,1.583715,10.76605,6050,0.288095238095238,3580,0.17047619047619,729,0.0347142857142857,946,0,0,0,0,0,0,0,451366153873
16027101,n10-rho20-eps20,max-age-first,10,0.2,0.02,0.2,20000,1000,0.51227,3.8587,21000,1,16702,0.795333333333333,0,0,4298,0,0,0,0,0,0,0,451366153873
16027101,n10-rho20-eps20,round-robin,10,0.2,0.02,0.2,20000,1000,0.90253,6.81405,21000,1,16702,0.795333333333333,0,0,4298,0,0,0,0,0,0,0,451366153873
16027101,n10-rho50-eps05,delta-public,10,0.5,0.05,0.05,20000,1000,1.05445,4.10065,16833,0.801571428571429,8448,0.402285714285714,3567,0.169857142857143,493,12508,125080,0,0.595619047619048,0,0,0,451366153873
16027101,n10-rho50-eps05,delta-private-delayed,10,0.5,0.05,0.05,20000,1000,18.629285,60.56375,41713,1.98633333333333,5334,0.254,13244,0.630666666666667,314,188920,170177,18717,8.99619047619048,0.768952380952381,5,0,451366153873
16027101,n10-rho50-eps05,zero-wait,10,0.5,0.05,0.05,20000,1000,4.04734,20.035,13147,0.626047619047619,6776,0.322666666666667,2698,0.12847619047619,405,0,0,0,0,0,0,0,451366153873
16027101,n10-rho50-eps05,max-age-first,10,0.5,0.05,0.05,20000,1000,0.841315,5.01245,21000,1,19870,0.946190476190476,0,0,1130,0,0,0,0,0,0,0,451366153873
16027101,n10-rho50-eps05,round-robin,10,0.5,0.05,0.05,20000,1000,0.95631,5.8264,21000,1,19870,0.946190476190476,0,0,1130,0,0,0,0,0,0,0,451366153873
16027101,n10-rho50-eps20,delta-public,10,0.5,0.05,0.2,20000,1000,2.4623,8.4977,16947,0.807,7141,0.340047619047619,3608,0.171809523809524,1850,12599,125990,0,0.599952380952381,0,0,0,451366153873
16027101,n10-rho50-eps20,delta-private-delayed,10,0.5,0.05,0.2,20000,1000,21.20901,67.1983,38885,1.85166666666667,4938,0.235142857142857,12304,0.585904761904762,1229,184710,166268,18416,8.79571428571429,0.742285714285714,5,0,451366153873
16027101,n10-rho50-eps20,zero-wait,10,0.5,0.05,0.2,20000,1000,6.69373,30.0309,15550,0.740476190476191,6039,0.287571428571429,3524,0.167809523809524,1559,0,0,0,0,0,0,0,451366153873
16027101,n10-rho50-eps20,max-age-first,10,0.5,0.05,0.2,20000,1000,1.204485,6.56275,21000,1,16702,0.795333333333333,0,0,4298,0,0,0,0,0,0,0,451366153873
16027101,n10-rho50-eps20,round-robin,10,0.5,0.05,0.2,20000,1000,1.884765,11.01605,21000,1,16702,0.795333333333333,0,0,4298,0,0,0,0,0,0,0,451366153873
16027101,n20-rho20-eps05,delta-public,20,0.2,0.01,0.05,20000,1000,0.039045,0.4326,5913,0.281571428571429,4186,0.199333333333333,723,0.0344285714285714,229,5138,102760,0,0.244666666666667,0,0,0,891787387622
16027101,n20-rho20-eps05,delta-private-delayed,20,0.2,0.01,0.05,20000,1000,36.1278,130.91365,38771,1.8462380952381,5550,0.264285714285714,11927,0.567952380952381,314,355820,320737,35029,16.9438095238095,0.707666666666667,5,0,891787387622
16027101,n20-rho20-eps05,zero-wait,20,0.2,0.01,0.05,20000,1000,0.594415,7.9964,5592,0.266285714285714,3929,0.187095238095238,687,0.0327142857142857,223,0,0,0,0,0,0,0,891787387622
16027101,n20-rho20-eps05,max-age-first,20,0.2,0.01,0.05,20000,1000,0.73254,8.9892,21000,1,19878,0.946571428571429,0,0,1122,0,0,0,0,0,0,0,891787387622
16027101,n20-rho20-eps05,round-robin,20,0.2,0.01,0.05,20000,1000,0.8277825,10.5144,21000,1,19878,0.946571428571429,0,0,1122,0,0,0,0,0,0,0,891787387622
16027101,n20-rho20-eps20,delta-public,20,0.2,0.01,0.2,20000,1000,0.13948,1.39365,7540,0.359047619047619,4126,0.19647619047619,1082,0.0515238095238095,1126,6334,126680,0,0.301619047619048,0,0,0,891787387622
16027101,n20-rho20-eps20,delta-private-delayed,20,0.2,0.01,0.2,20000,1000,76.6883075,211.54745,43550,2.07380952380952,4220,0.200952380952381,13068,0.622285714285714,1121,368180,331919,36228,17.532380952381,0.648571428571429,5,0,891787387622
16027101,n20-rho20-eps20,zero-wait,20,0.2,0.01,0.2,20000,1000,0.99783,12.4274,6930,0.33,3851,0.183380952380952,991,0.0471904761904762,994,0,0,0,0,0,0,0,891787387622
