candidate,targetX,targetY,RMSE,minSepEval,maxNode10Accel,maxNode10Speed,minNode10Distance
1,-1.2,0.6,0.105253360219946,0.514003562347852,0.350716183180335,0.353569446781695,0.574768457055927
2,-1.1,0.55,0.103301056240192,0.514014714309275,0.349721976084114,0.346559216779361,0.524143009281258
3,-1.05,0.55,0.103833769313498,0.477215370879126,0.349918407272664,0.349692452398761,0.477215370879126
4,-1.05,0.5,0.101384852961722,0.483870725529395,0.34854978748085,0.337982586499488,0.483870725529395
5,-1,0.5,0.102081110636111,0.437232625808625,0.34875236477953,0.341629860339015,0.437232625808625
