scenarioId,scenario,seed,periodSamples,period_s,horizonSamples,horizon_s,delaySamples,successProbability,meanOracleValue,maxOracleValue,temporalCv,eventValueFraction,eventDurationFraction,eventAllocationRatio,topDecileEventFraction,topDecileEventAllocationRatio,formationRMSE_m,saturationFraction,traceHashExact,runtime_s
S1,Stationary-Moderate,27020001,10,0.2,25,0.5,4,0.8,0.000327325712962345,0.0014884837606991,0.572856388595068,NaN,NaN,NaN,NaN,NaN,0.148996498683233,0,47187688286,0.6561286
S1,Stationary-Moderate,27020002,10,0.2,25,0.5,4,0.8,0.000273770815982578,0.000875876754661557,0.412647665024353,NaN,NaN,NaN,NaN,NaN,0.143289349816605,0,47256918831,0.4483377
S1,Stationary-Moderate,27020003,10,0.2,25,0.5,4,0.8,0.000283435843094107,0.000966059869145356,0.444884000607014,NaN,NaN,NaN,NaN,NaN,0.143689774197484,0,47240498210,0.3624246
S1,Stationary-Moderate,27020004,10,0.2,25,0.5,4,0.8,0.000278972713247107,0.000761196701078139,0.412602967856398,NaN,NaN,NaN,NaN,NaN,0.145373277232808,0,47136378024,0.2446494
S1,Stationary-Moderate,27020005,10,0.2,25,0.5,4,0.8,0.000297635645274649,0.00101812328854563,0.439918240723926,NaN,NaN,NaN,NaN,NaN,0.146726084514901,0,47246216507,0.3235909
S2,Formation-switching,27020001,10,0.2,25,0.5,4,0.8,0.00040929111375587,0.00324138178649916,1.00618147725023,0.572991025306949,0.363636363636364,1.57572531959411,0.990909090909091,2.725,0.191026032081756,0,47187688286,0.2796042
S2,Formation-switching,27020002,10,0.2,25,0.5,4,0.8,0.000318890996934847,0.00115088206264726,0.504926770075595,0.447695878739978,0.363636363636364,1.23116366653494,0.8,2.2,0.187478424071444,0,47256918831,0.2626201
S2,Formation-switching,27020003,10,0.2,25,0.5,4,0.8,0.000330592813936619,0.00124544483059355,0.558158667057701,0.466566541460866,0.363636363636364,1.28305798901738,0.763636363636364,2.1,0.187834233799344,0,47240498210,0.2437804
S2,Formation-switching,27020004,10,0.2,25,0.5,4,0.8,0.00032115835784741,0.00110740335561081,0.498269243407446,0.454649406093522,0.363636363636364,1.25028586675719,0.863636363636364,2.375,0.190207654131379,0,47136378024,0.2481333
S2,Formation-switching,27020005,10,0.2,25,0.5,4,0.8,0.000341592993441175,0.0011198890003821,0.508358256912794,0.427735515096798,0.363636363636364,1.1762726665162,0.709090909090909,1.95,0.190392480436616,0,47246216507,0.2281375
S6,Dynamic-excitation,27020001,10,0.2,25,0.5,4,0.8,0.000350465351837155,0.00189901930363015,0.665785989825695,0.513217413266986,0.363636363636364,1.41134788648421,0.909090909090909,2.5,0.148727712393194,0,47187688286,0.3925492
S6,Dynamic-excitation,27020002,10,0.2,25,0.5,4,0.8,0.000294341332672231,0.00115667943496441,0.510340369432243,0.425017061690572,0.363636363636364,1.16879691964907,0.709090909090909,1.95,0.143819495869534,0,47256918831,0.2902414
S6,Dynamic-excitation,27020003,10,0.2,25,0.5,4,0.8,0.000315770324590498,0.00131984325164717,0.592215322678541,0.471886264392281,0.363636363636364,1.29768722707877,0.8,2.2,0.144380588699071,0,47240498210,0.2546744
S6,Dynamic-excitation,27020004,10,0.2,25,0.5,4,0.8,0.000303593623831819,0.00111839558887665,0.5152603187117,0.473611168324101,0.363636363636364,1.30243071289128,0.881818181818182,2.425,0.145810944510133,0,47136378024,0.2409704
S6,Dynamic-excitation,27020005,10,0.2,25,0.5,4,0.8,0.000382130021387279,0.0035916604789406,1.15300724585258,0.533276864274285,0.363636363636364,1.46651137675428,0.836363636363636,2.3,0.149171476323,0,47246216507,0.2529252
