seed,traceHash,stateHash,continuousHash,barrierClosed,motionAuthorized,commitReady,allAffectedReactivated,finalSuppressedCount,prematureActivationFrames,scheduledCollisionFrames,finalActiveColoringProper,routeCollisionRecipients,crossPacketStateWrites,forbiddenReads,logicalPacketCount,routedPacketCount,localOnlyPacketCount,physicalControlAttempts,physicalControlBytes,physicalControlAirtimeSec,attemptBound,integerAccountingExact,dynamicBundleEnvelopeExact,scheduleBuilt,kernelContinuousReplayExact,continuousDurationSec,firstConvergenceTimeSec,continuousAccountingExact,clockSchedulePreserved,controlDataNonOverlap,traceVersionHash,kernelVersionHash,scheduleError
16095227,138758235837,10153669,1051590516,1,1,1,1,0,0,0,1,0,0,0,31,30,1,340,13288,0.425216,340,1,1,1,1,2.29559301412057,1.44075387335493,1,1,1,64470,68109,
16095228,138756861585,10150311,1051859111,1,1,1,1,0,0,0,1,0,0,0,31,30,1,340,13288,0.425216,340,1,1,1,1,2.29559301412057,1.44075387335493,1,1,1,64470,68109,
16095229,138814299798,10143593,1051786967,1,1,1,1,0,0,0,1,0,0,0,31,30,1,340,13288,0.425216,340,1,1,1,1,2.29559301412057,1.44075387335493,1,1,1,64470,68109,
16095230,138464561392,10148639,1051391270,1,1,1,1,0,0,0,1,0,0,0,31,30,1,340,13288,0.425216,340,1,1,1,1,2.29559301412057,1.44075387335493,1,1,1,64470,68109,
16095231,138952393661,13697495,1076178590,1,1,1,1,0,0,0,1,0,0,0,32,31,1,344,13480,0.43136,356,1,1,1,1,2.36657087019481,1.60131346949878,1,1,1,64470,68109,
16095232,138953948295,10136873,1052149824,1,1,1,1,0,0,0,1,0,0,0,31,30,1,340,13288,0.425216,340,1,1,1,1,2.29559301412057,1.44075387335493,1,1,1,64470,68109,
16095233,138484375742,10140267,1051930951,1,1,1,1,0,0,0,1,0,0,0,31,30,1,340,13288,0.425216,340,1,1,1,1,2.29559301412057,1.44075387335493,1,1,1,64470,68109,
16095234,139219425091,10124231,1052404776,1,1,1,1,0,0,0,1,0,0,0,31,30,1,340,13288,0.425216,340,1,1,1,1,2.29559301412057,1.44075387335493,1,1,1,64470,68109,
16095235,138574217021,10136890,1051675512,1,1,1,1,0,0,0,1,0,0,0,31,30,1,340,13288,0.425216,340,1,1,1,1,2.29559301412057,1.44075387335493,1,1,1,64470,68109,
16095236,138518992707,10146128,1051605946,1,1,1,1,0,0,0,1,0,0,0,31,30,1,340,13288,0.425216,340,1,1,1,1,2.29559301412057,1.44075387335493,1,1,1,64470,68109,
16095237,138826851397,10142738,1051988660,1,1,1,1,0,0,0,1,0,0,0,31,30,1,340,13288,0.425216,340,1,1,1,1,2.29559301412057,1.44075387335493,1,1,1,64470,68109,
16095238,138840278045,10141918,1051530194,1,1,1,1,0,0,0,1,0,0,0,31,30,1,340,13288,0.425216,340,1,1,1,1,2.29559301412057,1.44075387335493,1,1,1,64470,68109,
16095239,138787545219,10136053,1052306377,1,1,1,1,0,0,0,1,0,0,0,31,30,1,340,13288,0.425216,340,1,1,1,1,2.29559301412057,1.44075387335493,1,1,1,64470,68109,
16095240,138983816396,10142758,1052113585,1,1,1,1,0,0,0,1,0,0,0,31,30,1,340,13288,0.425216,340,1,1,1,1,2.29559301412057,1.44075387335493,1,1,1,64470,68109,
16095241,138564839347,12258902,1439668153,1,1,1,1,0,0,0,1,0,0,0,38,37,1,432,18344,0.587008,436,1,1,1,1,2.74025783047322,2.2027673900556,1,1,1,64470,68109,
16095242,138854489870,10131854,1051452779,1,1,1,1,0,0,0,1,0,0,0,31,30,1,340,13288,0.425216,340,1,1,1,1,2.29559301412057,1.44075387335493,1,1,1,64470,68109,
16095243,138585740514,10137699,1051059150,1,1,1,1,0,0,0,1,0,0,0,31,30,1,340,13288,0.425216,340,1,1,1,1,2.29559301412057,1.44075387335493,1,1,1,64470,68109,
16095244,138811020102,10147815,1051600372,1,1,1,1,0,0,0,1,0,0,0,31,30,1,340,13288,0.425216,340,1,1,1,1,2.29559301412057,1.44075387335493,1,1,1,64470,68109,
16095245,138656181992,10148641,1051556301,1,1,1,1,0,0,0,1,0,0,0,31,30,1,340,13288,0.425216,340,1,1,1,1,2.29559301412057,1.44075387335493,1,1,1,64470,68109,
16095246,138702681161,10143612,1052144515,1,1,1,1,0,0,0,1,0,0,0,31,30,1,340,13288,0.425216,340,1,1,1,1,2.29559301412057,1.44075387335493,1,1,1,64470,68109,
16095247,138518293823,10141928,1051434708,1,1,1,1,0,0,0,1,0,0,0,31,30,1,340,13288,0.425216,340,1,1,1,1,2.29559301412057,1.44075387335493,1,1,1,64470,68109,
16095248,138691948090,10821076,1367571263,1,1,1,1,0,0,0,1,0,0,0,36,35,1,416,18472,0.591104,416,1,1,1,1,2.68310397439898,2.14561353398136,1,1,1,64470,68109,
16095249,138696507701,10143603,1051607837,1,1,1,1,0,0,0,1,0,0,0,31,30,1,340,13288,0.425216,340,1,1,1,1,2.29559301412057,1.44075387335493,1,1,1,64470,68109,
16095250,139057423541,10121695,1051362367,1,1,1,1,0,0,0,1,0,0,0,31,30,1,340,13288,0.425216,340,1,1,1,1,2.29559301412057,1.44075387335493,1,1,1,64470,68109,
16095251,138887563960,10140247,1051633367,1,1,1,1,0,0,0,1,0,0,0,31,30,1,340,13288,0.425216,340,1,1,1,1,2.29559301412057,1.44075387335493,1,1,1,64470,68109,
16095252,138955271194,10127650,1051103861,1,1,1,1,0,0,0,1,0,0,0,31,30,1,340,13288,0.425216,340,1,1,1,1,2.29559301412057,1.44075387335493,1,1,1,64470,68109,
16095253,138924389559,10153672,1051949313,1,1,1,1,0,0,0,1,0,0,0,31,30,1,340,13288,0.425216,340,1,1,1,1,2.29559301412057,1.44075387335493,1,1,1,64470,68109,
16095254,138839573694,10139400,1051970059,1,1,1,1,0,0,0,1,0,0,0,31,30,1,340,13288,0.425216,340,1,1,1,1,2.29559301412057,1.44075387335493,1,1,1,64470,68109,
16095255,138879033313,12318550,1385587890,1,1,1,1,0,0,0,1,0,0,0,36,35,1,420,18376,0.588032,420,1,1,1,1,2.69547243841754,2.15798199799992,1,1,1,64470,68109,
16095256,138735576511,10129328,1051657482,1,1,1,1,0,0,0,1,0,0,0,31,30,1,340,13288,0.425216,340,1,1,1,1,2.29559301412057,1.44075387335493,1,1,1,64470,68109,
16095257,138434273454,10130998,1051409174,1,1,1,1,0,0,0,1,0,0,0,31,30,1,340,13288,0.425216,340,1,1,1,1,2.29559301412057,1.44075387335493,1,1,1,64470,68109,
16095258,138810673786,10143589,1051157711,1,1,1,1,0,0,0,1,0,0,0,31,30,1,340,13288,0.425216,340,1,1,1,1,2.29559301412057,1.44075387335493,1,1,1,64470,68109,
16095259,138720096398,10149508,1051784996,1,1,1,1,0,0,0,1,0,0,0,31,30,1,340,13288,0.425216,340,1,1,1,1,2.29559301412057,1.44075387335493,1,1,1,64470,68109,
16095260,138834142876,10138547,1051660586,1,1,1,1,0,0,0,1,0,0,0,31,30,1,340,13288,0.425216,340,1,1,1,1,2.29559301412057,1.44075387335493,1,1,1,64470,68109,
16095261,138451482813,10135197,1051581568,1,1,1,1,0,0,0,1,0,0,0,31,30,1,340,13288,0.425216,340,1,1,1,1,2.29559301412057,1.44075387335493,1,1,1,64470,68109,
16095262,138723040780,10140245,1052200263,1,1,1,1,0,0,0,1,0,0,0,31,30,1,340,13288,0.425216,340,1,1,1,1,2.29559301412057,1.44075387335493,1,1,1,64470,68109,
16095263,138877782052,10131855,1051490274,1,1,1,1,0,0,0,1,0,0,0,31,30,1,340,13288,0.425216,340,1,1,1,1,2.29559301412057,1.44075387335493,1,1,1,64470,68109,
16095264,138659333794,11013108,1112847602,1,1,1,1,0,0,0,1,0,0,0,32,31,1,356,13736,0.439552,356,1,1,1,1,2.35633087019481,1.81884042977719,1,1,1,64470,68109,
