seed,N,condition,conditionLabel,scope,topology,maxFrames,dataErasureProbability,managementErasureProbability,churnEnabled,firstResolutionFrame,firstConvergenceFrame,recoveryFrame,finalAllResolved,finalCollisionFree,finalFrameAgreement,finalConverged,finalDataSlots,finalResolvedNodes,finalAssignedNodes,maxFrameDisagreement,maxAssignedSlot,conflictFrameFraction,falseResolvedNodeFrames,dataAttempts,dataRecipientAttempts,dataRecipientSuccess,dataRecipientErasure,dataRecipientCollision,dataCollisionFrames,managementAttempts,managementRecipientAttempts,managementRecipientSuccess,managementRecipientErasure,managementRecipientCollision,managementCollisionSlots,growRequests,growNacks,growthEvents,shrinkRequests,shrinkObjects,shrinkNacks,shrinkEvents,elapsedSec,offeredAirtimeSec,busyAirtimeSec,offeredUtilization,channelUtilization,accountingCloses,deliveryWitnessValid,futureRandomReads,receiverTruthDecisionReads,traceHash,configHash,realizationHash
16034074,10,restricted-management,Local-only management,boundary,compact-hex-local-management,200,0,0,0,10,NaN,NaN,0,1,0,0,6,9,10,10,13,0.21,55,1966,6597,6414,0,183,155,674,1909,1158,0,751,171,14,4,11,319,191,146,53,14.44120853,10.81344,7.442432,0.748790516911122,0.515360745919511,1,1,0,0,65185885062,1423023,262727784
16034074,10,churn-rejoin,State-loss and rejoin,boundary,compact-hex-safety-graph,200,0,0,1,10,160,2,1,1,1,1,8,10,10,0,13,0.035,2,1977,6703,6662,0,41,29,1243,5355,873,0,4482,229,2,8,1,367,110,756,5,13.801437494,13.18912,7.774208,0.955633788562518,0.563289730028465,1,1,0,0,65185885062,1432655,268102417
16034075,5,native,Native hex safety graph,source-native,compact-hex-safety-graph,200,0,0,0,5,12,NaN,1,1,1,1,5,5,5,0,10,0.01,0,993,2776,2768,0,8,4,324,990,548,0,442,74,0,0,0,144,78,102,5,9.476028968,5.394432,4.923392,0.569271370762656,0.519562784857033,1,1,0,0,16784539725,1081016,79681555
16034075,5,beacon-loss,Beacon loss 0.05,boundary,compact-hex-safety-graph,200,0.05,0,0,5,49,NaN,0,1,1,0,6,4,5,0,10,0.08,0,981,2710,2536,126,48,32,403,1248,664,0,584,98,12,0,12,142,165,84,24,10.713846842,5.668864,5.033984,0.529115646658037,0.469857752704283,1,1,0,0,16784539725,2014329,100938727
16034075,5,restricted-management,Local-only management,boundary,compact-hex-local-management,200,0,0,0,5,NaN,NaN,1,1,0,0,5,5,5,8,10,0.235,88,969,2603,2433,0,170,140,231,542,421,0,121,44,24,2,22,79,110,16,50,10.723118886,4.9152,4.407296,0.458374102931679,0.411008778962073,1,1,0,0,16784539725,1080674,99320352
16034075,5,churn-rejoin,State-loss and rejoin,boundary,compact-hex-safety-graph,200,0,0,1,5,12,3,1,1,1,1,5,5,5,0,10,0.01,0,991,2768,2760,0,8,4,316,990,624,0,366,62,1,0,1,147,87,81,6,9.499209078,5.353472,4.943872,0.563570288435755,0.52045090906041,1,1,0,0,16784539725,1081034,79970999
16034075,10,native,Native hex safety graph,source-native,compact-hex-safety-graph,200,0,0,0,9,12,NaN,1,1,1,1,8,10,10,0,10,0.02,2,1980,6714,6692,0,22,20,919,4271,1368,0,2903,156,0,0,0,268,118,533,2,12.14637764,11.874304,7.725056,0.977600429686624,0.63599669209692,1,1,0,0,64855127522,1432637,304630994
16034075,10,beacon-loss,Beacon loss 0.05,boundary,compact-hex-safety-graph,200,0.05,0,0,30,NaN,NaN,0,1,1,0,30,7,10,0,26,0.135,3,1967,6626,6192,306,128,74,790,4258,1161,0,3097,169,13,32,9,139,357,249,7,23.750340706,11.292672,8.388608,0.475474105394503,0.353199480539696,1,1,0,0,64855127522,2365950,264044574
16034075,10,restricted-management,Local-only management,boundary,compact-hex-local-management,200,0,0,0,10,NaN,NaN,1,1,0,0,16,10,10,13,12,0.31,109,1961,6522,6255,0,267,199,638,1833,1137,0,696,154,19,4,16,289,196,130,53,15.233968292,10.645504,7.360512,0.698800456712937,0.483164455834224,1,1,0,0,64855127522,1423023,278123861
16034075,10,churn-rejoin,State-loss and rejoin,boundary,compact-hex-safety-graph,200,0,0,1,9,12,3,1,1,1,1,8,10,10,0,10,0.02,2,1978,6706,6684,0,22,20,979,4439,1206,0,3233,171,1,0,1,284,108,586,3,12.220553992,12.111872,7.704576,0.991106623147269,0.630460452532977,1,1,0,0,64855127522,1432655,318142601
16034076,5,native,Native hex safety graph,source-native,compact-hex-safety-graph,200,0,0,0,6,12,NaN,1,1,1,1,5,5,5,0,10,0.01,1,994,2779,2775,0,4,4,265,844,528,0,316,53,0,0,0,120,76,69,5,9.476028968,5.156864,4.820992,0.544200953523299,0.508756570529724,1,1,0,0,16721508419,1081016,80019075
16034076,5,beacon-loss,Beacon loss 0.05,boundary,compact-hex-safety-graph,200,0.05,0,0,10,31,NaN,1,1,1,0,7,5,5,0,13,0.065,2,984,2724,2541,141,42,26,400,1196,608,0,588,99,10,0,10,134,171,85,19,10.992008162,5.668864,5.005312,0.515725963486598,0.455359196084265,1,1,0,0,16721508419,2014329,107053335
16034076,5,restricted-management,Local-only management,boundary,compact-hex-local-management,200,0,0,0,6,115,NaN,0,1,0,0,6,3,5,8,10,0.255,77,973,2645,2457,0,188,136,245,558,403,0,155,57,21,3,18,77,131,13,51,10.324420994,4.988928,4.440064,0.483216250373682,0.430054528247185,1,1,0,0,16721508419,1080674,115550140
16034076,5,churn-rejoin,State-loss and rejoin,boundary,compact-hex-safety-graph,200,0,0,1,6,12,3,1,1,1,1,5,5,5,0,10,0.01,1,992,2771,2767,0,4,4,296,952,612,0,340,57,1,0,1,133,87,75,6,9.499209078,5.275648,4.9152,0.555377606354439,0.517432552504136,1,1,0,0,16721508419,1081034,80380477
16034076,10,native,Native hex safety graph,source-native,compact-hex-safety-graph,200,0,0,0,12,118,NaN,1,1,1,1,8,10,10,0,12,0.035,1,1979,6705,6670,0,35,24,1171,5117,1017,0,4100,214,1,0,1,340,118,712,5,13.147758392,12.9024,7.806976,0.981338386005839,0.593787607532422,1,1,0,0,65114883635,1432637,288815894
16034076,10,beacon-loss,Beacon loss 0.05,boundary,compact-hex-safety-graph,200,0.05,0,0,12,NaN,NaN,1,1,1,0,12,10,10,0,15,0.145,4,1976,6662,6267,296,99,70,1349,6435,1242,0,5193,273,4,0,4,329,297,719,10,16.38833777,13.6192,8.4992,0.831029979436407,0.518612693933999,1,1,0,0,65114883635,2365950,277873179
16034076,10,restricted-management,Local-only management,boundary,compact-hex-local-management,200,0,0,0,12,NaN,NaN,1,1,0,0,11,10,10,9,12,0.245,87,1966,6595,6346,0,249,170,647,1927,1123,0,804,171,14,2,13,315,145,171,44,15.57703392,10.702848,6.905856,0.68709152557331,0.443335748992193,1,1,0,0,65114883635,1423023,276295889
16034076,10,churn-rejoin,State-loss and rejoin,boundary,compact-hex-safety-graph,200,0,0,1,12,117,2,1,1,1,1,8,10,10,0,12,0.035,1,1978,6701,6666,0,35,24,1148,4960,954,0,4006,209,1,0,1,336,110,701,5,13.115306238,12.804096,7.753728,0.976271218349572,0.591196870228963,1,1,0,0,65114883635,1432655,278649449
16034077,5,native,Native hex safety graph,source-native,compact-hex-safety-graph,200,0,0,0,6,14,NaN,1,1,1,1,5,5,5,0,7,0.01,1,994,2779,2775,0,4,4,297,928,552,0,376,63,0,0,0,132,80,85,5,9.489937034,5.287936,4.886528,0.557215077513653,0.514916798972725,1,1,0,0,16726443293,1081016,80434551
