seed,method,mode,scenario,RMSE,MAXERR,MINSEP,SAFEFAIL,DIVERGED,ROLLPEAK,PITCHPEAK,THRUSTSAT,TORQUESAT,SATURATION,PERDRONEPEAKSAT,CONTROLEFFORT,DATARATE,ACKRATE,TRUEAOI,ESTAOI,HARDRATIO,ADAPTRATIO,REFRESHRATIO,TRACEHASH,ACKTRACEHASH
18,P20,DI,Clean,0.0211627771768365,0.0306498291748195,0.572446386252435,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,200,NaN,0.0259854677565848,NaN,NaN,NaN,NaN,7.39682505122556e+15,7.44898397490521e+15
19,P20,DI,Clean,0.0211627771768365,0.0306498291748195,0.572446386252435,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,200,NaN,0.0259854677565848,NaN,NaN,NaN,NaN,6.66050769917071e+15,6.93013408162652e+15
20,P20,DI,Clean,0.0211627771768365,0.0306498291748195,0.572446386252435,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,200,NaN,0.0259854677565848,NaN,NaN,NaN,NaN,8.22895374726438e+15,6.94251757567084e+15
1,State-event,DI,Clean,0.0792418217410357,0.0996251580418625,0.501895794781889,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43.2666666666667,NaN,0.130005449591281,NaN,NaN,NaN,NaN,7.69493958631769e+15,7.11030286641164e+15
2,State-event,DI,Clean,0.0792418217410357,0.0996251580418625,0.501895794781889,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43.2666666666667,NaN,0.130005449591281,NaN,NaN,NaN,NaN,7.93741214089132e+15,7.66200641622921e+15
3,State-event,DI,Clean,0.0792418217410357,0.0996251580418625,0.501895794781889,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43.2666666666667,NaN,0.130005449591281,NaN,NaN,NaN,NaN,7.47068033326726e+15,7.47326068461769e+15
4,State-event,DI,Clean,0.0792418217410357,0.0996251580418625,0.501895794781889,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43.2666666666667,NaN,0.130005449591281,NaN,NaN,NaN,NaN,7.04511720594585e+15,7.64596656813439e+15
5,State-event,DI,Clean,0.0792418217410357,0.0996251580418625,0.501895794781889,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43.2666666666667,NaN,0.130005449591281,NaN,NaN,NaN,NaN,7.5090221610605e+15,8.49051588679554e+15
6,State-event,DI,Clean,0.0792418217410357,0.0996251580418625,0.501895794781889,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43.2666666666667,NaN,0.130005449591281,NaN,NaN,NaN,NaN,8.60606290912169e+15,8.93068542200178e+15
7,State-event,DI,Clean,0.0792418217410357,0.0996251580418625,0.501895794781889,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43.2666666666667,NaN,0.130005449591281,NaN,NaN,NaN,NaN,7.95658604779871e+15,8.43253488544166e+15
