time_s,seed,receiver,sender,physicalAge_s,loggedAoI_s,positionError_m,localPositionBound_m,globalPositionBound_m,velocityError_mps,velocityBound_mps,acceptedPayloadSpeed_mps
0.94,27020001,3,2,0.12,0.13,0.0623085114042993,0.0796095953335083,7.2168,0.0614702442499649,0.24,0.523413294445902
0.96,27020001,3,2,0.14,0.15,0.0725714567330056,0.0956778612224263,8.4224,0.0702302352436589,0.28,0.523413294445902
0.98,27020001,3,2,0.16,0.17,0.0827766536149254,0.112546127111344,9.6288,0.0780194272683988,0.32,0.523413294445902
1,27020001,3,2,0.12,0.13,0.0617323316659558,0.0792428613458405,7.2168,0.0550083546235245,0.24,0.520357177882004
1.02,27020001,3,2,0.14,0.15,0.0719234625671672,0.0952500049034806,8.4224,0.0627649980184411,0.28,0.520357177882004
1.04,27020001,3,2,0.16,0.17,0.0821451631652527,0.112057148461121,9.6288,0.0739557388061746,0.32,0.520357177882004
1.06,27020001,3,2,0.12,0.13,0.0614302697531656,0.0787303047847681,7.2168,0.0550292218934302,0.24,0.516085873206401
1.08,27020001,3,2,0.14,0.15,0.0716987579101933,0.0946520222488962,8.4224,0.0645816623460258,0.28,0.516085873206401
1.1,27020001,3,2,0.12,0.13,0.061487220590881,0.078163532846181,7.2168,0.0564415008213406,0.24,0.511362773718175
1.12,27020001,3,2,0.12,0.13,0.061584460354676,0.0781534964180698,7.2168,0.0579601285451829,0.24,0.511279136817248
1.14,27020001,3,2,0.12,0.13,0.0617443446936404,0.0780344862490074,7.2168,0.0604490713528562,0.24,0.510287385408395
1.16,27020001,3,2,0.14,0.15,0.0721226250406241,0.0938402339571753,8.4224,0.0698537370483401,0.28,0.510287385408395
1.18,27020001,3,2,0.16,0.17,0.0825321337271244,0.110445981665343,9.6288,0.079367827985554,0.32,0.510287385408395
1.2,27020001,3,2,0.18,0.19,0.092969086900053,0.127851729373511,10.836,0.0884055250063779,0.36,0.510287385408395
1.22,27020001,3,2,0.12,0.13,0.0624525921730379,0.0784878433416483,7.2168,0.0570671130797334,0.24,0.514065361180403
1.24,27020001,3,2,0.12,0.13,0.0626670420046356,0.0787387597972717,7.2168,0.0557769020912778,0.24,0.51615633164393
1.26,27020001,3,2,0.14,0.15,0.0732086489938601,0.0946618864301503,8.4224,0.0636484125970627,0.28,0.51615633164393
1.28,27020001,3,2,0.16,0.17,0.0837832406946006,0.111385013063029,9.6288,0.0721843236414378,0.32,0.51615633164393
1.3,27020001,3,2,0.18,0.19,0.0943674214151224,0.128908139695907,10.836,0.0793984837001494,0.36,0.51615633164393
1.32,27020001,3,2,0.2,0.21,0.104981604945186,0.147231266328786,12.044,0.0874881817244875,0.4,0.51615633164393
1.34,27020001,3,2,0.22,0.23,0.11560262137063,0.166354392961665,13.2528,0.0943003609423398,0.44,0.51615633164393
1.36,27020001,3,2,0.12,0.13,0.0637131934170411,0.0800163568941263,7.2168,0.0460054747605077,0.24,0.526802974117719
1.38,27020001,3,2,0.12,0.13,0.0638371380777698,0.0801377930719323,7.2168,0.0442706900994465,0.24,0.527814942266102
1.4,27020001,3,2,0.14,0.15,0.0745239655643028,0.0962940919172543,8.4224,0.0510036798832307,0.28,0.527814942266102
1.42,27020001,3,2,0.12,0.13,0.0640342173483039,0.0804440378394958,7.2168,0.0413302235090704,0.24,0.530366981995798
1.44,27020001,3,2,0.14,0.15,0.0747177497298065,0.0966513774794117,8.4224,0.0468808848397697,0.28,0.530366981995798
1.46,27020001,3,2,0.12,0.13,0.0641303479682724,0.0807225955359272,7.2168,0.0381192364181581,0.24,0.532688296132727
1.48,27020001,3,2,0.12,0.13,0.0641866678791025,0.080866696418236,7.2168,0.0377338389835461,0.24,0.533889136818634
1.5,27020001,3,2,0.12,0.13,0.0642523515112804,0.0808717722396926,7.2168,0.0373198860383579,0.24,0.533931435330772
1.52,27020001,3,2,0.14,0.15,0.0750202855132254,0.0971504009463081,8.4224,0.0438062892548247,0.28,0.533931435330772
1.54,27020001,3,2,0.16,0.17,0.0858043726420694,0.114229029652924,9.6288,0.0497427451566914,0.32,0.533931435330772
1.56,27020001,3,2,0.12,0.13,0.0645238946419365,0.0809474414609891,7.2168,0.0362998883078716,0.24,0.53456201217491
1.58,27020001,3,2,0.12,0.13,0.0646120045111134,0.0809955395490281,7.2168,0.0352042049677417,0.24,0.534962829575234
1.6,27020001,3,2,0.12,0.13,0.064683887329278,0.0812045194405015,7.2168,0.0339865418831117,0.24,0.536704328670846
1.62,27020001,3,2,0.12,0.13,0.0647574998795813,0.0812644244160765,7.2168,0.0333855361463695,0.24,0.537203536800638
1.64,27020001,3,2,0.14,0.15,0.0755864183504453,0.0976084951520893,8.4224,0.038724924346278,0.28,0.537203536800638
1.66,27020001,3,2,0.12,0.13,0.0648668294498101,0.0815628801427403,7.2168,0.0314040427497449,0.24,0.539690667856169
1.68,27020001,3,2,0.12,0.13,0.0649320585285974,0.0815336485286976,7.2168,0.0312173734641705,0.24,0.53944707107248
1.7,27020001,3,2,0.14,0.15,0.0757835352097703,0.0979225899501472,8.4224,0.0358347412953757,0.28,0.53944707107248
1.72,27020001,3,2,0.16,0.17,0.0866189596457494,0.115111531371597,9.6288,0.0398937693561746,0.32,0.53944707107248
1.74,27020001,3,2,0.12,0.13,0.0650317069549241,0.0817021193473189,7.2168,0.0276113055521862,0.24,0.540850994560991
1.76,27020001,3,2,0.12,0.13,0.0649953396180911,0.0818063541784705,7.2168,0.0265012711363871,0.24,0.54171961815392
1.78,27020001,3,2,0.12,0.13,0.0649197718107334,0.081863368439322,7.2168,0.0253479335470211,0.24,0.54219473699435
1.8,27020001,3,2,0.14,0.15,0.0756733273115133,0.0983072631792091,8.4224,0.0293402732141732,0.28,0.54219473699435
1.82,27020001,3,2,0.12,0.13,0.0646920464837772,0.0819374112874451,7.2168,0.0239043444670487,0.24,0.542811760728709
1.84,27020001,3,2,0.12,0.13,0.0645856996473509,0.081847593892539,7.2168,0.0236753798454619,0.24,0.542063282437825
1.86,27020001,3,2,0.12,0.13,0.0645030416733025,0.0816515328588811,7.2168,0.0234838148981172,0.24,0.540429440490676
1.88,27020001,3,2,0.12,0.13,0.0644353801804931,0.0815839819675605,7.2168,0.0232448567491198,0.24,0.539866516396338
1.9,27020001,3,2,0.14,0.15,0.0751516874270145,0.0979813122954873,8.4224,0.0268779111914371,0.28,0.539866516396338
1.92,27020001,3,2,0.12,0.13,0.0643449269418283,0.0813392291356286,7.2168,0.0227337721773458,0.24,0.537826909463572
1.94,27020001,3,2,0.14,0.15,0.0750323970122057,0.0976957673249001,8.4224,0.0260404684312264,0.28,0.537826909463572
1.96,27020001,3,2,0.12,0.13,0.0642409618323891,0.0812100186818044,7.2168,0.0215576358423336,0.24,0.536750155681704
1.98,27020001,3,2,0.12,0.13,0.0641625647472759,0.0811555245026506,7.2168,0.0210839916153981,0.24,0.536296037522089
2,27020001,3,2,0.12,0.13,0.064047157539337,0.0811788031716887,7.2168,0.0205023325851679,0.24,0.536490026430739
2.02,27020001,3,2,0.12,0.13,0.0639188914642611,0.0811148333579549,7.2168,0.0201301532954517,0.24,0.535956944649624
2.04,27020001,3,2,0.14,0.15,0.0744805614803408,0.0974339722509473,8.4224,0.0232863923471386,0.28,0.535956944649624
2.06,27020001,3,2,0.16,0.17,0.0849967111014691,0.11455311114394,9.6288,0.026428073135531,0.32,0.535956944649624
2.08,27020001,3,2,0.12,0.13,0.0634094469968263,0.0807937342632255,7.2168,0.0194368548368049,0.24,0.533281118860212
2.1,27020001,3,2,0.14,0.15,0.0738514057993697,0.0970593566404297,8.4224,0.0225441345935661,0.28,0.533281118860212
2.12,27020001,3,2,0.12,0.13,0.0629868039413174,0.0804846041013137,7.2168,0.0192719952742298,0.24,0.530705034177614
2.14,27020001,3,2,0.14,0.15,0.0733377516170063,0.096698704784866,8.4224,0.0224329912940611,0.28,0.530705034177614
2.16,27020001,3,2,0.12,0.13,0.0624768102565858,0.0801806768300554,7.2168,0.0198062288534893,0.24,0.528172306917129
2.18,27020001,3,2,0.12,0.13,0.062195210716346,0.0799100215875021,7.2168,0.0198346890880519,0.24,0.525916846562517
2.2,27020001,3,2,0.14,0.15,0.0723711337129092,0.0960283585187524,8.4224,0.0233491568805718,0.28,0.525916846562517
2.22,27020001,3,2,0.12,0.13,0.0615651679167746,0.0794602472277905,7.2168,0.0207750128328889,0.24,0.522168726898254
2.24,27020001,3,2,0.14,0.15,0.0716113804751354,0.0955036217657556,8.4224,0.0245372841808463,0.28,0.522168726898254
2.26,27020001,3,2,0.16,0.17,0.0815879673162307,0.112346996303721,9.6288,0.0283511275574353,0.32,0.522168726898254
2.28,27020001,3,2,0.12,0.13,0.0604478694395082,0.0785498037398643,7.2168,0.0225909663735963,0.24,0.514581697832203
2.3,27020001,3,2,0.12,0.13,0.0600319416225716,0.0782194197689585,7.2168,0.0232643811651934,0.24,0.511828498074654
2.32,27020001,3,2,0.14,0.15,0.0697751061085738,0.0940559897304515,8.4224,0.0273696704823178,0.28,0.511828498074654
2.34,27020001,3,2,0.12,0.13,0.0591410639359023,0.0774869646773441,7.2168,0.0247376167000887,0.24,0.505724705644534
2.36,27020001,3,2,0.12,0.13,0.0586729243173061,0.0770819503435759,7.2168,0.0250832657007942,0.24,0.502349586196466
2.38,27020001,3,2,0.14,0.15,0.068158069409926,0.0927289420675052,8.4224,0.0298576880316057,0.28,0.502349586196466
2.4,27020001,3,2,0.16,0.17,0.0775421522480967,0.109175933791435,9.6288,0.0349601989072432,0.32,0.502349586196466
2.42,27020001,3,2,0.18,0.19,0.0868172240116239,0.126422925515364,10.836,0.0404104453716145,0.36,0.502349586196466
2.44,27020001,3,2,0.12,0.13,0.0565676975032415,0.0752622018659945,7.2168,0.028694752315282,0.24,0.487185015549954
2.46,27020001,3,2,0.14,0.15,0.0656388592163483,0.0906059021769936,8.4224,0.0344903854121518,0.28,0.487185015549954
2.48,27020001,3,2,0.16,0.17,0.0745901773613834,0.106749602487993,9.6288,0.040479704533719,0.32,0.487185015549954
2.5,27020001,3,2,0.18,0.19,0.0834312267647579,0.123693302798992,10.836,0.0460276664685757,0.36,0.487185015549954
