scope,N,interferenceMode,kind,source,planHash,legacyReservedSlotCount,currentReservedSlotCount,additionalSlots,legacyOracleCollisionRecipients,legacyOracleCollisionSlots,currentOracleCollisionRecipients,currentOracleCollisionSlots,legacyInvalid,currentValid
all-node,20,complete-interference-upper-bound,all-node,17,11169931,10,10,0,0,0,0,0,0,1
all-node,20,complete-interference-upper-bound,all-node,18,11100905,9,9,0,0,0,0,0,0,1
all-node,20,complete-interference-upper-bound,all-node,19,11176772,10,10,0,0,0,0,0,0,1
all-node,20,complete-interference-upper-bound,all-node,20,11150800,10,10,0,0,0,0,0,0,1
semantic,10,online-physical-union,prepare,2,760684,3,4,1,1,1,0,0,1,1
semantic,10,online-physical-union,claim,2,759798,3,3,0,0,0,0,0,0,1
semantic,10,online-physical-union,quiescent,3,747840,1,1,0,0,0,0,0,0,1
semantic,10,online-physical-union,claim,3,768788,4,5,1,1,1,0,0,1,1
semantic,10,online-physical-union,quiescent,5,758849,3,3,0,0,0,0,0,0,1
semantic,10,online-physical-union,claim,5,769554,3,4,1,1,1,0,0,1,1
semantic,10,online-physical-union,quiescent,7,759669,3,3,0,0,0,0,0,0,1
semantic,10,online-physical-union,claim,7,774690,4,5,1,1,1,0,0,1,1
semantic,10,online-physical-union,lock-proof,1,747119,1,1,0,0,0,0,0,0,1
semantic,10,online-physical-union,lock-proof,4,757747,3,3,0,0,0,0,0,0,1
semantic,10,online-physical-union,lock-proof,6,763232,3,3,0,0,0,0,0,0,1
semantic,10,online-physical-union,lock-proof,8,760239,3,3,0,0,0,0,0,0,1
semantic,10,online-physical-union,lock-proof,9,765815,4,4,0,0,0,0,0,0,1
semantic,10,online-physical-union,lock-proof,10,757586,2,2,0,0,0,0,0,0,1
semantic,10,online-physical-union,response,1,744240,1,1,0,0,0,0,0,0,1
semantic,10,online-physical-union,response,3,747840,1,1,0,0,0,0,0,0,1
semantic,10,online-physical-union,response,4,752762,2,2,0,0,0,0,0,0,1
semantic,10,online-physical-union,response,5,758849,3,3,0,0,0,0,0,0,1
semantic,10,online-physical-union,response,6,752975,2,2,0,0,0,0,0,0,1
semantic,10,online-physical-union,response,7,759669,3,3,0,0,0,0,0,0,1
semantic,10,online-physical-union,response,8,754714,2,2,0,0,0,0,0,0,1
semantic,10,online-physical-union,response,9,762449,3,3,0,0,0,0,0,0,1
semantic,10,online-physical-union,response,10,756138,2,2,0,0,0,0,0,0,1
semantic,10,online-physical-union,commit,2,760684,3,4,1,1,1,0,0,1,1
