N,interferenceMode,source,directEdgeCount,directGraphDiameter,topologyHash,planHash,routeAdmissible,unreachableRecipientCount,treeEdgeCount,maximumRecipientDepth,plannedTransmitterCount,baseReservedSlotCount,parentUnique,slotColoringProper,causalSlotOrder,linkErasureProbability,selectedRepetitions,previousRepetitionFailure,edgeFailureProbability,minimumRecipientDelivery,multicastFailureExact,multicastFailureUnionUpperBound,maximumPhysicalAttempts,maximumPhysicalBytes,reservedSlotCount,reservedDurationSec,wholeFloodAttempts,wholeFloodFailure,wholeFloodMaximumPhysicalAttempts,wholeFloodReservedSlotCount,hopLocalSlotSavings,logicalCliqueAttemptUndercountFactor,noLossAllRecipientsDelivered,replayAttempts,replayBytes,replayOfferedAirtimeSec,replayReservedDurationSec,replayCollisionRecipients,replayDuplicateForwards,replayFutureRandomReads,replayReceiverTruthReads,integerAccountingExact,airtimeAccountingExact,upstreamErasureCausalSilence,failedReplayAttempts,simulatorVersionHash
10,complete-interference-upper-bound,9,13,4,46082,800627,1,0,9,4,5,5,1,1,1,0.05,4,0.00112443766403214,6.25e-06,0.999975000234374,5.62485937704027e-05,5.625e-05,20,1920,20,0.119442320092804,5,0.000634512614963536,25,25,5,20,1,20,1920,0.06144,0.119442320092804,0,0,0,0,1,1,1,4,64337
10,complete-interference-upper-bound,9,13,4,46082,800627,1,0,9,4,5,5,1,1,1,0.2,6,0.00287631635119112,6.4e-05,0.999744024574952,0.000575852566017554,0.000576,30,2880,30,0.179163480139206,15,0.000802323582210343,75,75,45,30,1,30,2880,0.09216,0.179163480139206,0,0,0,0,1,1,1,6,64337
10,complete-interference-upper-bound,9,13,4,46082,800627,1,0,9,4,5,5,1,1,1,0.3,8,0.00196657900954167,6.561e-05,0.999737585826903,0.000590335055526636,0.00059049,40,3840,40,0.238884640185607,28,0.000940063299745471,140,140,100,40,1,40,3840,0.12288,0.238884640185607,0,0,0,0,1,1,1,8,64337
10,complete-interference-upper-bound,10,13,4,46082,798225,1,0,9,3,5,5,1,1,1,0.05,4,0.00112443766403214,6.25e-06,0.999981250117187,5.62485937704027e-05,5.625e-05,20,1920,20,0.119442320092804,5,0.000212920299747471,25,25,5,20,1,20,1920,0.06144,0.119442320092804,0,0,0,0,1,1,1,4,64337
10,complete-interference-upper-bound,10,13,4,46082,798225,1,0,9,3,5,5,1,1,1,0.2,6,0.00287631635119112,6.4e-05,0.999808012287738,0.000575852566017554,0.000576,30,2880,30,0.179163480139206,12,0.00056617813511869,60,60,30,30,1,30,2880,0.09216,0.179163480139206,0,0,0,0,1,1,1,6,64337
10,complete-interference-upper-bound,10,13,4,46082,798225,1,0,9,3,5,5,1,1,1,0.3,8,0.00196657900954167,6.561e-05,0.999803182913734,0.000590335055526636,0.00059049,40,3840,40,0.238884640185607,20,0.000679309717104914,100,100,60,40,1,40,3840,0.12288,0.238884640185607,0,0,0,0,1,1,1,8,64337
20,spatial-reuse-lower-bound,1,28,4,638762,10508270,1,0,19,2,10,3,1,1,1,0.05,4,0.00237233001663295,6.25e-06,0.999987500039063,0.000118743320548842,0.00011875,40,3840,12,0.0716653920556822,4,0.000875819101562501,40,12,0,40,1,40,3840,0.12288,0.0716653920556822,0,0,0,0,1,1,1,4,64337
20,spatial-reuse-lower-bound,1,28,4,638762,10508270,1,0,19,2,10,3,1,1,1,0.2,7,0.00121529983795166,1.28e-05,0.99997440016384,0.000243171985392698,0.0002432,70,6720,21,0.125414436097444,9,0.000919159610015741,90,27,6,70,1,70,6720,0.21504,0.125414436097444,0,0,0,0,1,1,1,7,64337
20,spatial-reuse-lower-bound,1,28,4,638762,10508270,1,0,19,2,10,3,1,1,1,0.3,9,0.00124585417467427,1.9683e-05,0.999960634387421,0.000373910758484808,0.000373977,90,8640,27,0.161247132125285,14,0.000725289629148892,140,42,15,90,1,90,8640,0.27648,0.161247132125285,0,0,0,0,1,1,1,9,64337
20,spatial-reuse-lower-bound,2,28,4,638762,10556708,1,0,19,3,10,4,1,1,1,0.05,4,0.00237233001663295,6.25e-06,0.999981250117187,0.000118743320548842,0.00011875,40,3840,16,0.095553856074243,5,0.000552060871103933,50,20,4,40,1,40,3840,0.12288,0.095553856074243,0,0,0,0,1,1,1,4,64337
