scenarioId,scenario,seed,anchor_s,decisionTime_s,selectionShift_s,linkClass,receiver,sender,eventWindow,expectedIsolatedEnergy,expectedCrossContribution,expectedTotalBenefit,conditionalIsolatedEnergy,conditionalTotalBenefit,baselineFormationEnergy,branchFormationEnergy,realizedBenefit,forcedAttempted,forcedDropped,forcedAccepted,txDelta,broadcastDelta,rxDelta,dropDelta,tracePaired,phasePaired,schedulePaired,preDecisionIdentity,dropStateIdentity,baselineSaturationFraction,branchSaturationFraction,runtime_s
S2,Formation-switching,27020001,25.5,25.5,0,ordinary,5,4,0,8.77473923410631e-06,0.00171805320424208,0.00170927846500798,1.09684240426329e-05,0.00213659808125997,0.605900297712687,0.605900297712687,0,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0.2270201
S2,Formation-switching,27020001,26.5,26.5,0,pinned-leader,2,1,0,1.58406224782954e-05,0.00213110929680252,0.00211526867432423,1.98007780978693e-05,0.00264408584290528,0.552030377242044,0.551713444266047,0.000316932975996442,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0.2190487
S2,Formation-switching,27020001,27.5,27.5,0,pinned-leader,4,1,0,1.76003521475321e-05,0.00268436268028719,0.00266676232813966,2.20004401844151e-05,0.00333345291017457,0.518800421672986,0.518464628511074,0.000335793161912568,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0.2219507
S2,Formation-switching,27020002,8.5,8.5,0,ordinary,2,1,0,0.000119592261408812,0.00542724465409612,0.00530765239268731,0.000149490326761015,0.00663456549085914,0.550438340178574,0.550438340178574,0,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0.2482058
S2,Formation-switching,27020002,9.5,9.5,0,ordinary,2,3,0,2.76435985861955e-06,0.000828377896743196,0.000825613536884576,3.45544982327444e-06,0.00103201692110572,0.5402959662359,0.540006565348974,0.000289400886926416,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0.2183104
S2,Formation-switching,27020002,10.5,10.5,0,ordinary,3,2,1,0.000192612131012348,0.00651407254543409,0.00632146041442174,0.000240765163765435,0.00790182551802718,0.812238963387271,0.808829140475368,0.00340982291190317,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0.2156754
S2,Formation-switching,27020002,11.5,11.52,0.0199999999999996,ordinary,3,4,1,9.04563069260182e-06,-0.0020185647771276,-0.00202761040782021,1.13070383657523e-05,-0.00253451300977526,1.45387100960696,1.45410722704401,-0.000236217437045827,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0.2158998
S2,Formation-switching,27020002,12.5,12.5,0,ordinary,4,3,1,6.66673740958642e-06,-0.000598271822557441,-0.000604938559967027,8.33342176198302e-06,-0.000756173199958784,1.7586184800368,1.75897703836874,-0.00035855833194276,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0.2399502
S2,Formation-switching,27020002,13.5,13.5,0,ordinary,4,5,1,8.61825031401483e-05,0.000277219600227403,0.000191037097087255,0.000107728128925185,0.000238796371359069,1.87624425484126,1.87664202421101,-0.000397769369749001,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0.213353
S2,Formation-switching,27020002,14.5,14.5,0,ordinary,5,1,0,1.56692099071021e-05,0.00117804312992241,0.00116237392001531,1.95865123838777e-05,0.00145296740001913,0.746316125882019,0.74616701009952,0.000149115782499432,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0.2514849
