scenarioId,actionCount,successCount,successFraction,correlationTotal,correlationIsolated,correlationGain,topQuartileMeanRealizedBenefit,bottomQuartileMeanRealizedBenefit,topQuartilePositiveFraction,allSuccessfulPositiveFraction
S2,100,85,0.85,0.667728281284177,0.377082740402968,0.290645540881209,0.00139864768883778,-0.000442523061448768,1,0.764705882352941
S6,100,85,0.85,0.564508969124717,0.284953030069666,0.279555939055051,0.00169047418052752,0.000379094542641899,1,1
