seed,scenario,method,evaluationStart_s,sampleCount,formationRMSE_m,metricImplementationRMSE_m,perfectContinuationRMSE_m,formationRMSEUpper_m,degradationRMS_m,degradationRMSUpper_m,positionCoverage,scaledVelocityCoverage,formationCoverage,maxPositionViolation_m,maxScaledVelocityViolation_m,maxFormationViolation_m,p95FullPositionTightness,p95PropagationOnlyTightness,maxActualPositionDegradation_m,maxFinitePositionBound_m,maxStructuredPositionUUB_m,legacyCommunicationUUB_m,maxDisturbanceBound_mps2,maxDisturbanceViolation_mps2,maxRecurrenceResidual,maxActualAcceleration_mps2,maxIdealAcceleration_mps2
27020001,Stressed,Causal-v3 frozen,8,1101,0.11676489230019,0.11676489230019,0.0286038304528938,1.45540066148212,0.109406223905477,1.43826489151857,1,1,1,0,0,0,0.0851987247433563,0.997985712801387,0.149571265793974,2.01049420493689,4.36516741004961,17999.1778980513,5.59304344269366,-0.925921142340252,4.44089209850063e-16,0.172046610935991,0.198780756449253
27020002,Stressed,Causal-v3 frozen,8,1101,0.118846239982197,0.118846239982197,0.0300839446232016,1.46679600416963,0.110952519527265,1.44937914891665,1,1,1,0,0,0,0.0849820454336599,0.998183838024731,0.156019032483569,2.06146736331798,4.48020469367234,17605.5628702434,4.8777938533532,-0.933512328180922,4.30211422042248e-16,0.146944581879825,0.219371765499801
27020003,Stressed,Causal-v3 frozen,8,1101,0.11643388217829,0.11643388217829,0.0287155685210381,1.46009479240338,0.108936849380935,1.44284190465471,1,1,1,0,0,0,0.0836161278864393,0.998158682203479,0.14658810302248,2.02166448761776,4.38283399911445,18106.666909387,5.15446687087233,-0.926608404496662,4.30211422042248e-16,0.224888923442324,0.204239916864407
27020004,Stressed,Causal-v3 frozen,8,1101,0.115203770741914,0.115203770741914,0.0291611074717678,1.42176834305713,0.107515851745831,1.40453390079697,1,1,1,0,0,0,0.0863581377534535,0.998070208489449,0.148107946219644,2.03483719167597,4.14202335675873,17919.7405895209,5.14790580367097,-0.835669799025837,4.1286418728248e-16,0.212196882879981,0.275033822618922
27020005,Stressed,Causal-v3 frozen,8,1101,0.11727224480742,0.11727224480742,0.029518995024581,1.45772368962095,0.109620182103838,1.44059710495259,1,1,1,0,0,0,0.0891958762812941,0.997976566229754,0.148848470462198,2.08924073347505,4.30750747790351,18047.5736491991,5.52015038875733,-0.878635015478872,4.30211422042248e-16,0.218295112733165,0.197799538196046
