armId,methodFamily,method,parameterName,parameterValue,period_s,epsilonPosition_m,seedCount,failedRuns,divergedRuns,saturatedRuns,meanFormationRMSE_m,stdFormationRMSE_m,meanPrimaryFormationRMSE_m,stdPrimaryFormationRMSE_m,meanEvaluationCost025PerChannel_Hz,stdEvaluationCost025PerChannel_Hz,meanCost025PerChannel_Hz,stdCost025PerChannel_Hz,meanEventAllocationRatio,meanControlViolationRatio,scenarioId,scenario,isPareto,frontierFamily
CA01,Control-aware,Control-aware,epsilonPosition_m,0.05,NaN,0.05,5,0,0,0,0.0738206100855611,0.000304903828130188,0.0738202198426291,0.000305383857782563,23.9784090909091,0.040948528969835,27.1298333333333,0.0381490133846523,NaN,0.999333777481679,S1,Stationary-Moderate,0,Control-aware
PS040,Periodic,Periodic-40step,periodSamples,40,0.8,NaN,5,0,0,0,0.397665886731816,0.0130072039986347,0.399029181409083,0.0128895044592639,1.24818181818182,0.00406557814090878,1.21666666666667,0.00527046276694725,1.00146514334074,NaN,S2,Formation-switching,0,Periodic
PS025,Periodic,Periodic-25step,periodSamples,25,0.5,NaN,5,0,0,0,0.289621776839139,0.010290501192582,0.293723541995432,0.0124475090429963,2,0,1.96666666666667,0,1,NaN,S2,Formation-switching,0,Periodic
PS020,Periodic,Periodic-20step,periodSamples,20,0.4,NaN,5,0,0,0,0.254806447691212,0.00653454060152184,0.263970237372604,0.00668446990634847,2.5,0,2.46666666666667,0,1,NaN,S2,Formation-switching,0,Periodic
PS015,Periodic,Periodic-15step,periodSamples,15,0.3,NaN,5,0,0,0,0.220514720579523,0.00721915393661796,0.230733271395,0.00579264893379375,3.33545454545455,0.00380300012060932,3.3,0,1.00361462838292,NaN,S2,Formation-switching,0,Periodic
PS010,Periodic,Periodic-10step,periodSamples,10,0.2,NaN,5,0,0,0,0.189387764904108,0.00161435995833961,0.203649521381208,0.00240990079379386,5,0,4.96666666666667,0,1,NaN,S2,Formation-switching,0,Periodic
PS008,Periodic,Periodic-8step,periodSamples,8,0.16,NaN,5,0,0,0,0.176689207838411,0.000934136701322113,0.192599351224984,0.00100574410366741,6.24545454545455,0.0124482399432991,6.21666666666667,0.00527046276694756,1.00073098022278,NaN,S2,Formation-switching,0,Periodic
PS005,Periodic,Periodic-5step,periodSamples,5,0.1,NaN,5,0,0,0,0.160606030541779,0.000389206307582055,0.178836478882745,0.000564897151205388,10,0,9.96666666666667,0,1,NaN,S2,Formation-switching,0,Periodic
PS004,Periodic,Periodic-4step,periodSamples,4,0.08,NaN,5,0,0,0,0.155675467042418,0.000332128535582772,0.174595826377148,0.000364347627053435,12.5,0,12.4666666666667,0,1,NaN,S2,Formation-switching,0,Periodic
PS003,Periodic,Periodic-3step,periodSamples,3,0.06,NaN,5,0,0,0,0.151489337190458,0.00018267807826515,0.171162638713115,0.000168368852208462,16.6663636363636,0.00995859195463957,16.6333333333333,0,1.0008175086866,NaN,S2,Formation-switching,0,Periodic
