scenarioId,scenario,periodicFrontierPoints,controlFrontierPoints,budgetOverlapLow,budgetOverlapHigh,performanceOverlapLow,performanceOverlapHigh,meanBudgetMatchedErrorDifference,fractionBudgetFavoringControl,meanPerformanceMatchedCostDifference,fractionPerformanceFavoringControl,scenarioSupportsControl
S1,Stationary-Moderate,11,11,1.8,23.9784090909091,0.0738202198426291,0.397922216444858,0.022047090166393,0,1.47922038740359,0,0
S2,Formation-switching,11,11,1.82795454545455,23.3943181818182,0.169836278287378,0.399029181409083,0.0110931281356876,0,1.08121888538459,0,0
S3,Gilbert-Elliott-burst-loss,11,11,2.38545454545455,22.9690909090909,0.138391460820895,0.510843631705036,0.0186622676293975,0,1.1770730247273,0,0
S4,Time-varying-congestion,11,11,1.87704545454545,23.2602272727273,0.0950439864437902,0.432274651162221,0.0195722696921834,0,1.24902433789426,0,0
S5,Topology-perturbation,11,11,2.14636363636364,22.8845454545455,0.282586202082726,0.572435081701726,0.0186411667857837,0,1.4556110065461,0,0
S6,Dynamic-excitation,11,11,1.83659090909091,23.6870454545455,0.0937159419883512,0.393889023503573,0.0182909906284634,0,1.33681091334061,0,0
