communicationBudget,formationErrorA,formationErrorB,errorDifferenceAminusB,scenarioId
1.8,0.472399864827205,0.30521932840337,0.167180536423835,S1
2.02178409090909,0.4324438181188,0.269794380856911,0.162649437261889,S1
2.24356818181818,0.392487771410394,0.251205097622326,0.141282673788068,S1
2.46535227272727,0.352643265929171,0.232615814387741,0.12002745154143,S1
2.68713636363636,0.329305159151512,0.220383485640284,0.108921673511228,S1
2.90892045454545,0.305967052373853,0.209328127637984,0.0966389247358689,S1
3.13070454545455,0.282628945596194,0.198272769635684,0.0843561759605099,S1
3.35248863636364,0.259290838818535,0.187632062187398,0.0716587766311371,S1
3.57427272727273,0.246573863143354,0.18197545993072,0.0645984032126335,S1
3.79605681818182,0.234205941363951,0.176318857674042,0.0578870836899089,S1
4.01784090909091,0.221838019584548,0.170662255417364,0.0511757641671842,S1
4.239625,0.209652319924179,0.165005653160686,0.0446466667634938,S1
4.46140909090909,0.202176322625096,0.159349050904008,0.0428272717210881,S1
4.68319318181818,0.194700325326012,0.153692448647329,0.0410078766786824,S1
4.90497727272727,0.187224328026928,0.148035846390651,0.0391884816362767,S1
5.12676136363636,0.179748330727844,0.143433096203807,0.0363152345240369,S1
5.34854545454545,0.17227233342876,0.139620333556896,0.0326519998718641,S1
5.57032954545455,0.164796336129676,0.135807570909985,0.0289887652196912,S1
5.79211363636364,0.157320338830592,0.131994808263074,0.0253255305675184,S1
6.01389772727273,0.154097870750546,0.128182045616163,0.0259158251343831,S1
6.23568181818182,0.151152579655029,0.124369282969252,0.0267832966857771,S1
6.45746590909091,0.148207288559512,0.122622103473734,0.0255851850857781,S1
6.67925,0.145261997463995,0.120970137651915,0.0242918598120803,S1
6.90103409090909,0.142316706368478,0.119318171830095,0.0229985345383825,S1
7.12281818181818,0.139371415272961,0.117666206008276,0.0217052092646847,S1
7.34460227272727,0.136426124177444,0.116014240186457,0.0204118839909869,S1
7.56638636363636,0.133480833081927,0.114362274364637,0.0191185587172892,S1
7.78817045454545,0.13053554198641,0.112710308542818,0.0178252334435914,S1
8.00995454545454,0.127968825456635,0.111058342720999,0.0169104827356364,S1
8.23173863636364,0.125736998999937,0.10940637689918,0.0163306221007569,S1
8.45352272727273,0.123505172543238,0.10775441107736,0.0157507614658775,S1
8.67530681818182,0.121273346086539,0.106102445255541,0.0151709008309981,S1
8.89709090909091,0.11904151962984,0.104450479433722,0.0145910401961186,S1
9.118875,0.116809693173142,0.102798513611903,0.0140111795612392,S1
9.34065909090909,0.114577866716443,0.101146547790083,0.0134313189263597,S1
9.56244318181818,0.112346040259744,0.099494581968264,0.0128514582914803,S1
9.78422727272727,0.110114213803046,0.0978426161464447,0.0122715976566009,S1
10.0060113636364,0.107882387346347,0.0962125683093067,0.0116698190370401,S1
10.2277954545455,0.105650560889648,0.09536924768035,0.0102813132092981,S1
10.4495795454545,0.103418734432949,0.0945259270513934,0.00889280738155608,S1
10.6713636363636,0.101348337243298,0.0936826064224367,0.00766573082086103,S1
10.8931477272727,0.100332564721465,0.09283928579348,0.00749327892798485,S1
11.1149318181818,0.0997364317162916,0.0919959651645233,0.00774046655176833,S1
11.3367159090909,0.0991402987111184,0.0911526445355666,0.00798765417555181,S1
11.5585,0.0985441657059452,0.0903093239066099,0.00823484179933527,S1
11.7802840909091,0.097948032700772,0.0894660032776532,0.00848202942311876,S1
12.0020681818182,0.0973518996955988,0.0886226826486966,0.00872921704690222,S1
12.2238522727273,0.0967557666904256,0.0877793620197399,0.00897640467068571,S1
12.4456363636364,0.0961596336852524,0.0869360413907832,0.00922359229446919,S1
12.6674204545455,0.0955635006800792,0.0863609439300604,0.00920255675001881,S1
12.8892045454545,0.0949744518636101,0.0858729420803353,0.00910150978327477,S1
13.1109886363636,0.0943900062727174,0.0853849402306103,0.00900506604210713,S1
13.3327727272727,0.0938055606818248,0.0848969383808853,0.00890862230093947,S1
13.5545568181818,0.0932211150909321,0.0844089365311603,0.00881217855977183,S1
13.7763409090909,0.0926366695000395,0.0839209346814353,0.00871573481860419,S1
13.998125,0.0920522239091468,0.0834329328317102,0.00861929107743656,S1
14.2199090909091,0.0914677783182541,0.0829449309819852,0.00852284733626889,S1
14.4416931818182,0.0908833327273615,0.0824569291322602,0.00842640359510125,S1
14.6634772727273,0.0902988871364688,0.0819689272825352,0.0083299598539336,S1
14.8852613636364,0.0897144415455761,0.0814809254328102,0.00823351611276596,S1
15.1070454545455,0.0891299959546835,0.0809929235830852,0.0081370723715983,S1
15.3288295454545,0.0885455503637908,0.0805049217333601,0.00804062863043066,S1
15.5506136363636,0.0879611047728981,0.0800169198836351,0.00794418488926303,S1
15.7723977272727,0.0873766591820055,0.0795289180339101,0.00784774114809539,S1
15.9941818181818,0.0868707653899252,0.0790409161841851,0.00782984920574013,S1
16.2159659090909,0.0865082502358337,0.0785529143344601,0.00795533590137361,S1
16.43775,0.0861457350817421,0.078064912484735,0.00808082259700708,S1
16.6595340909091,0.0857832199276505,0.07757691063501,0.00820630929264053,S1
16.8813181818182,0.085420704773559,0.0773191549031848,0.00810154987037419,S1
17.1031022727273,0.0850581896194674,0.0770687145613394,0.00798947505812805,S1
17.3248863636364,0.0846956744653759,0.0768182742194939,0.00787740024588193,S1
17.5466704545455,0.0843331593112843,0.0765678338776485,0.0077653254336358,S1
17.7684545454545,0.0839706441571928,0.0763173935358031,0.00765325062138966,S1
17.9902386363636,0.0836081290031012,0.0760669531939577,0.00754117580914351,S1
18.2120227272727,0.0832456138490096,0.0758165128521122,0.00742910099689739,S1
18.4338068181818,0.0828830986949181,0.0755660725102668,0.00731702618465126,S1
18.6555909090909,0.0825205835408265,0.0753156321684214,0.00720495137240512,S1
18.877375,0.082158068386735,0.075065191826576,0.00709287656015899,S1
19.0991590909091,0.0817955532326434,0.0748147514847305,0.00698080174791285,S1
19.3209431818182,0.0814330380785518,0.0745643111428851,0.00686872693566673,S1
19.5427272727273,0.0810705229244603,0.0743138708010397,0.0067566521234206,S1
19.7645113636364,0.0807080077703687,0.0740634304591943,0.00664457731117447,S1
19.9862954545455,0.0803454926162772,0.0738129901173488,0.00653250249892834,S1
20.2080795454545,0.0799829774621856,0.0735625497755034,0.00642042768668219,S1
20.4298636363636,0.0796204623080941,0.073312109433658,0.00630835287443607,S1
20.6516477272727,0.0792579471540025,0.0730616690918126,0.00619627806218995,S1
20.8734318181818,0.0788954319999109,0.0728112287499671,0.0060842032499438,S1
21.0952159090909,0.0785329168458194,0.0725607884081217,0.00597212843769766,S1
21.317,0.0781704016917278,0.0723103480662763,0.00586005362545153,S1
21.5387840909091,0.0778078865376363,0.0720599077244309,0.00574797881320541,S1
21.7605681818182,0.0774453713835447,0.0718094673825854,0.00563590400095927,S1
21.9823522727273,0.0770828562294531,0.07155902704074,0.00552382918871314,S1
22.2041363636364,0.0767203410753616,0.0713085866988946,0.00541175437646699,S1
22.4259204545455,0.07635782592127,0.0710581463570492,0.00529967956422087,S1
22.6477045454545,0.0759953107671785,0.0708077060152037,0.00518760475197473,S1
22.8694886363636,0.0756327956130869,0.0705572656733583,0.0050755299397286,S1
23.0912727272727,0.0752702804589954,0.0703068253315129,0.00496345512748247,S1
23.3130568181818,0.0749077653049038,0.0700563849896675,0.00485138031523633,S1
23.5348409090909,0.0745452501508122,0.069805944647822,0.0047393055029902,S1
23.756625,0.0741827349967207,0.0695555043059766,0.00462723069074407,S1
23.9784090909091,0.0738202198426291,0.0693050639641312,0.00451515587849793,S1
1.82795454545455,0.434736696919539,0.317821597931386,0.116915098988153,S2
2.04361818181818,0.400172720532901,0.291127971893972,0.109044748638929,S2
2.25928181818182,0.365608744146263,0.278294560156384,0.0873141839898799,S2
2.47494545454545,0.340118699267634,0.265461148418795,0.0746575508488385,S2
2.69060909090909,0.324041572517245,0.256387218159847,0.0676543543573982,S2
2.90627272727273,0.307964445766856,0.247807451632244,0.060156994134612,S2
3.12193636363636,0.291887319016467,0.239227685104641,0.0526596339118258,S2
3.3376,0.275810192266078,0.230698362793125,0.0451118294729521,S2
3.55326363636364,0.265616273259462,0.227189308715697,0.0384269645437652,S2
3.76892727272727,0.257510323464098,0.223680254638268,0.0338300688258302,S2
3.98459090909091,0.249404373668735,0.22017120056084,0.0292331731078951,S2
4.20025454545454,0.241298423873371,0.216662146483411,0.02463627738996,S2
4.41591818181818,0.234778921599124,0.213153092405982,0.0216258291931415,S2
4.63158181818182,0.230785669273266,0.209644038328554,0.0211416309447121,S2
4.84724545454545,0.226792416947408,0.206134984251125,0.0206574326962826,S2
5.06290909090909,0.22279916462155,0.203091366801054,0.0197077978204951,S2
5.27857272727273,0.218805912295692,0.201177912884149,0.0176279994115429,S2
5.49423636363636,0.214812659969833,0.199264458967243,0.0155482010025906,S2
5.7099,0.210819407643975,0.197351005050337,0.0134684025936384,S2
5.92556363636364,0.206826155318117,0.195437551133431,0.0113886041846861,S2
6.14122727272727,0.204407461106733,0.193524097216525,0.0108833638902072,S2
6.35689090909091,0.20275097713556,0.192190863842003,0.0105601132935569,S2
6.57255454545455,0.201094493164388,0.191400315123904,0.00969417804048373,S2
6.78821818181818,0.199438009193216,0.190609766405805,0.00882824278741057,S2
7.00388181818182,0.197781525222043,0.189819217687706,0.00796230753433735,S2
7.21954545454545,0.196125041250871,0.189028668969607,0.0070963722812642,S2
7.43520909090909,0.194468557279699,0.188238120251508,0.00623043702819101,S2
7.65087272727273,0.192812073308526,0.187447571533409,0.00536450177511785,S2
7.86653636363636,0.191246457095032,0.18665702281531,0.00458943427972283,S2
