seed,profile,scenario,RMSE,MAXERR,MINEVAL,AOI,TXRATE,TXCOUNT,PDR,FORMFAIL,SAFEFAIL
16,State-event,Moderate,0.167337378397708,0.231786829263867,0.403384297310105,0.276006660611565,4.27777777777778,1540,0.795454545454545,1,0
17,State-event,Moderate,0.159600075727274,0.216604015672592,0.403508147196122,0.26895246745383,4.29444444444444,1546,0.805950840879689,1,0
18,State-event,Moderate,0.171273654883225,0.243220431211794,0.356870994891243,0.281018770814411,4.3,1548,0.779715762273902,1,0
19,State-event,Moderate,0.168633704944489,0.231621225388878,0.374771195430733,0.270929458068423,4.28888888888889,1544,0.810880829015544,1,0
20,State-event,Moderate,0.172778058810894,0.26484180325258,0.355485564259644,0.276168634574629,4.28888888888889,1544,0.799222797927461,1,0
1,State-event,Stressed,0.257246011097273,0.395261824007573,0.285931007914409,0.42584165909779,4.21111111111111,1516,0.604881266490765,1,0
2,State-event,Stressed,0.270997585923012,0.480819613835779,0.256620029732865,0.427674841053588,4.21666666666667,1518,0.616600790513834,1,0
3,State-event,Stressed,0.266850769761294,0.406932189145425,0.265076954031585,0.432976082349379,4.20555555555556,1514,0.581902245706737,1,0
4,State-event,Stressed,0.241956750571733,0.366880884560809,0.300740033535765,0.412706630336058,4.25,1530,0.604575163398693,1,0
5,State-event,Stressed,0.254799178084562,0.353621223057802,0.2913155152827,0.41428247048138,4.20555555555556,1514,0.603038309114927,1,0
6,State-event,Stressed,0.244480650085368,0.368251674183882,0.247047564782073,0.409760823493793,4.21666666666667,1518,0.624505928853755,1,1
7,State-event,Stressed,0.270322276467379,0.382088386134018,0.266670673074388,0.458024523160763,4.20555555555556,1514,0.581902245706737,1,0
8,State-event,Stressed,0.248833089050366,0.368257024033295,0.282837150698895,0.427487132909476,4.21666666666667,1518,0.590909090909091,1,0
9,State-event,Stressed,0.271281595462432,0.408507301446473,0.264073339720663,0.447917045110506,4.20555555555556,1514,0.583883751651255,1,0
