attemptId,sourceIndex,sourceActionId,sender,reachableDimension,senderInformationNullity,jointResponseDimension,commonDimension,branchSemanticDimension,senderConstraintRank,jointResponseConstraintRank,jointSemanticConstraintRank,branchRadius,maximumResponseJacobianResidual,maximumCommandMapResidual
center_01_sender_1,1,ordinary_1_to_2,1,24,24,24,24,24,0,0,0,0.00575079150548372,0,0
center_01_sender_3,1,ordinary_1_to_2,3,24,6,6,6,6,18,18,18,0.0090703481929314,2.65068357103256e-17,0
center_01_sender_4,1,ordinary_1_to_2,4,24,6,6,6,6,18,18,18,0.00644553104746785,3.28165942347331e-17,0
center_02_sender_1,2,ordinary_1_to_5,1,24,24,24,24,24,0,0,0,0.00565709042519913,0,0
center_02_sender_3,2,ordinary_1_to_5,3,24,6,6,6,6,18,18,18,0.00904619689819922,2.37640377297766e-17,0
center_02_sender_4,2,ordinary_1_to_5,4,24,6,6,6,6,18,18,18,0.00644854879393177,5.07807564777916e-18,0
center_03_sender_1,3,ordinary_2_to_3,1,24,24,24,24,24,0,0,0,0.00569698707788514,0,0
center_03_sender_3,3,ordinary_2_to_3,3,24,6,6,6,6,18,18,18,0.00905887475206206,3.51977724141387e-17,0
center_03_sender_4,3,ordinary_2_to_3,4,24,6,6,6,6,18,18,18,0.00636030897576694,5.07807564777912e-18,0
center_04_sender_1,4,ordinary_3_to_2,1,24,24,24,24,24,0,0,0,0.00482143909309203,0,0
center_04_sender_3,4,ordinary_3_to_2,3,24,6,6,6,6,18,18,18,0.00602310713083089,6.28746924786536e-17,0
center_04_sender_4,4,ordinary_3_to_2,4,24,6,6,6,6,18,18,18,0.00641887734471546,1.35205858767856e-15,0
center_05_sender_1,5,ordinary_3_to_4,1,24,24,24,24,24,0,0,0,0.00576342094068266,0,0
center_05_sender_3,5,ordinary_3_to_4,3,24,6,6,6,6,18,18,18,0.00900651391849436,1.59236079657339e-17,0
center_05_sender_4,5,ordinary_3_to_4,4,24,6,6,6,6,18,18,18,0.00641887734471546,5.0780756477791e-18,0
center_06_sender_1,6,ordinary_4_to_3,1,24,24,24,24,24,0,0,0,0.00568469567225256,0,0
center_06_sender_3,6,ordinary_4_to_3,3,24,6,6,6,6,18,18,18,0.00904447369681337,1.06438002401013e-18,0
center_06_sender_4,6,ordinary_4_to_3,4,24,6,6,6,6,18,18,18,0.00636539511685211,5.07807564777912e-18,0
center_07_sender_1,7,ordinary_4_to_5,1,24,24,24,24,24,0,0,0,0.0029882240772093,0,0
center_07_sender_3,7,ordinary_4_to_5,3,24,6,6,6,6,18,18,18,0.00904447369681337,6.28746924786536e-17,0
center_07_sender_4,7,ordinary_4_to_5,4,24,6,6,6,6,18,18,18,0.0031707720929204,5.07807564777911e-18,0
center_08_sender_1,8,ordinary_5_to_4,1,24,24,24,24,24,0,0,0,0.00576036792282235,0,0
center_08_sender_3,8,ordinary_5_to_4,3,24,6,6,6,6,18,18,18,0.00899990187057669,3.87810481683733e-17,0
center_08_sender_4,8,ordinary_5_to_4,4,24,6,6,6,6,18,18,18,0.00644408077904198,5.0780756477791e-18,0
center_09_sender_1,9,pinned_leader_1_to_2,1,24,24,24,24,24,0,0,0,0.0057477927602651,0,0
center_09_sender_3,9,pinned_leader_1_to_2,3,24,6,6,6,6,18,18,18,0.00906651940233108,4.06527131531986e-17,0
center_09_sender_4,9,pinned_leader_1_to_2,4,24,6,6,6,6,18,18,18,0.00644528485836533,6.08420625995035e-18,0
center_10_sender_1,10,pinned_leader_1_to_4,1,24,24,24,24,24,0,0,0,0.00575272900291009,0,0
center_10_sender_3,10,pinned_leader_1_to_4,3,24,6,6,6,6,18,18,18,0.00900542905569531,3.16577711375705e-17,0
center_10_sender_4,10,pinned_leader_1_to_4,4,24,6,6,6,6,18,18,18,0.00643951333111321,3.55484484206484e-17,0
