attemptId,endpoint,actionIndex,actionId,q,affineQ,senderInformationResidual,dynamicResidual,actionResponseResidual,oracleResponseResidual,affineOracleMismatch,saturationMargin,argMax,commonFiberReplayPass,failureReason
center_01_sender_1,CENTER,0,NO_TRANSMISSION,0,0,0,8.14235831536614e-17,0,0,0,1.97262488840461,0,1,NONE
center_01_sender_1,CENTER,1,ordinary_1_to_2,-5.87205590684044e-19,-5.80217568869196e-19,0,8.14235831536614e-17,0,0,6.98802181484798e-21,1.97262488840461,0,1,NONE
center_01_sender_1,CENTER,2,ordinary_1_to_5,3.68952160067807e-06,3.68952160067809e-06,0,8.14235831536614e-17,0,0,1.86347248395946e-20,1.97262488840461,1,1,NONE
center_01_sender_1,CENTER,3,pinned_leader_1_to_2,3.59908369845057e-08,3.59908369845165e-08,0,8.14235831536614e-17,0,0,1.08526096366957e-20,1.97262488840461,0,1,NONE
center_01_sender_1,CENTER,4,pinned_leader_1_to_4,5.2149391219859e-07,5.21493912198606e-07,0,8.14235831536614e-17,0,0,1.63053842346453e-20,1.97262488840461,0,1,NONE
center_01_sender_1,LEFT,0,NO_TRANSMISSION,0,0,0,7.91033905045424e-16,0,0,0,1.33645995313841,1,1,NONE
center_01_sender_1,LEFT,1,ordinary_1_to_2,-0.00019538688111278,-0.00019538688111278,0,7.91033905045424e-16,0,0,1.62630325872826e-19,1.33645995313841,0,1,NONE
center_01_sender_1,LEFT,2,ordinary_1_to_5,-0.000163115495921793,-0.000163115495921793,0,7.91033905045424e-16,0,0,2.71050543121376e-20,1.33645995313841,0,1,NONE
center_01_sender_1,LEFT,3,pinned_leader_1_to_2,-0.000162786410090332,-0.000162786410090332,0,7.91033905045424e-16,0,0,1.35525271560688e-19,1.33645995313841,0,1,NONE
center_01_sender_1,LEFT,4,pinned_leader_1_to_4,-0.000200055182307691,-0.000200055182307691,0,7.91033905045424e-16,0,0,1.35525271560688e-19,1.33645995313841,0,1,NONE
center_01_sender_1,RIGHT,0,NO_TRANSMISSION,0,0,0,5.96744875736022e-16,0,0,0,1.12712677786876,0,1,NONE
center_01_sender_1,RIGHT,1,ordinary_1_to_2,0.000197235529956889,0.00019723552995689,0,5.96744875736022e-16,0,0,2.71050543121376e-19,1.12712677786876,1,1,NONE
center_01_sender_1,RIGHT,2,ordinary_1_to_5,7.7516277640321e-05,7.7516277640321e-05,0,5.96744875736022e-16,0,0,4.06575814682064e-20,1.12712677786876,0,1,NONE
center_01_sender_1,RIGHT,3,pinned_leader_1_to_2,0.000164398932467726,0.000164398932467726,0,5.96744875736022e-16,0,0,2.43945488809238e-19,1.12712677786876,0,1,NONE
center_01_sender_1,RIGHT,4,pinned_leader_1_to_4,0.000164653742206108,0.000164653742206109,0,5.96744875736022e-16,0,0,5.42101086242752e-20,1.12712677786876,0,1,NONE
center_01_sender_3,CENTER,0,NO_TRANSMISSION,0,0,0,8.14235831536614e-17,0,0,0,1.97262488840461,1,1,NONE
center_01_sender_3,CENTER,1,ordinary_3_to_2,-7.9879431929148e-07,-7.98794319291496e-07,0,8.14235831536614e-17,0,0,1.65171424714589e-20,1.97262488840461,0,1,NONE
center_01_sender_3,CENTER,2,ordinary_3_to_4,-1.6534299917087e-06,-1.65342999170868e-06,0,8.14235831536614e-17,0,0,1.77876918923403e-20,1.97262488840461,0,1,NONE
center_01_sender_3,LEFT,0,NO_TRANSMISSION,0,0,5.42101086242752e-20,1.11022302462516e-16,0,0,0,6.45212910042048e-05,1,1,NONE
center_01_sender_3,LEFT,1,ordinary_3_to_2,-1.10413638450914e-05,-1.10413638450914e-05,5.42101086242752e-20,1.11022302462516e-16,0,0,1.35525271560688e-20,6.45212910042048e-05,0,1,NONE
center_01_sender_3,LEFT,2,ordinary_3_to_4,-0.000386188070461822,-0.000386188070461822,5.42101086242752e-20,1.11022302462516e-16,0,0,2.16840434497101e-19,6.45212910042048e-05,0,1,NONE
center_01_sender_3,RIGHT,0,NO_TRANSMISSION,0,0,5.42101086242752e-20,5.82867087928207e-16,0,0,0,0.0087281126105383,0,1,NONE
center_01_sender_3,RIGHT,1,ordinary_3_to_2,9.44299091754778e-06,9.4429909175478e-06,5.42101086242752e-20,5.82867087928207e-16,0,0,2.20228566286118e-20,0.0087281126105383,0,1,NONE
center_01_sender_3,RIGHT,2,ordinary_3_to_4,0.000382851783088291,0.000382851783088292,5.42101086242752e-20,5.82867087928207e-16,0,0,8.67361737988404e-19,0.0087281126105383,1,1,NONE
center_01_sender_4,CENTER,0,NO_TRANSMISSION,0,0,0,8.14235831536614e-17,0,0,0,1.97262488840461,0,1,NONE
center_01_sender_4,CENTER,1,ordinary_4_to_3,1.44661245222719e-07,1.44661245222718e-07,0,8.14235831536614e-17,0,0,2.11758236813575e-22,1.97262488840461,0,1,NONE
center_01_sender_4,CENTER,2,ordinary_4_to_5,8.71742383617027e-07,8.71742383617025e-07,0,8.14235831536614e-17,0,0,2.11758236813575e-21,1.97262488840461,1,1,NONE
center_01_sender_4,LEFT,0,NO_TRANSMISSION,0,0,1.92445885616177e-18,1.80411241501588e-16,0,0,0,0.951651240277424,1,1,NONE
center_01_sender_4,LEFT,1,ordinary_4_to_3,-3.87530797875209e-05,-3.8753079787521e-05,1.92445885616177e-18,1.80411241501588e-16,1.0842021724855e-19,0,3.3881317890172e-20,0.951651240277424,0,1,NONE
center_01_sender_4,LEFT,2,ordinary_4_to_5,-1.2069057306442e-07,-1.20690573064421e-07,1.92445885616177e-18,1.80411241501588e-16,9.48676900924816e-20,0,5.82335151237331e-22,0.951651240277424,0,1,NONE
center_01_sender_4,RIGHT,0,NO_TRANSMISSION,0,0,1.92445885616177e-18,4.16333634234434e-16,0,0,0,0.000220297122687896,0,1,NONE
center_01_sender_4,RIGHT,1,ordinary_4_to_3,7.41702810443631e-05,7.41702810443631e-05,1.92445885616177e-18,4.16333634234434e-16,1.0842021724855e-19,0,5.42101086242752e-20,0.000220297122687896,1,1,NONE
center_01_sender_4,RIGHT,2,ordinary_4_to_5,2.76042434454374e-06,2.76042434454374e-06,1.92445885616177e-18,4.16333634234434e-16,9.48676900924816e-20,0,4.2351647362715e-21,0.000220297122687896,0,1,NONE
center_02_sender_1,CENTER,0,NO_TRANSMISSION,0,0,0,2.33753988387875e-16,0,0,0,1.96238761275118,0,1,NONE
center_02_sender_1,CENTER,1,ordinary_1_to_2,4.95233673068916e-06,4.95233673068917e-06,0,2.33753988387875e-16,0,0,1.77876918923403e-20,1.96238761275118,1,1,NONE
center_02_sender_1,CENTER,2,ordinary_1_to_5,-4.00752463169691e-20,-2.71050543121376e-20,0,2.33753988387875e-16,0,0,1.29701920048315e-20,1.96238761275118,0,1,NONE
center_02_sender_1,CENTER,3,pinned_leader_1_to_2,4.16293811255929e-06,4.1629381125593e-06,0,2.33753988387875e-16,0,0,9.3173624197973e-21,1.96238761275118,0,1,NONE
center_02_sender_1,CENTER,4,pinned_leader_1_to_4,3.41795624240128e-06,3.41795624240129e-06,0,2.33753988387875e-16,0,0,1.43995601033231e-20,1.96238761275118,0,1,NONE
center_02_sender_1,LEFT,0,NO_TRANSMISSION,0,0,0,7.07767178198537e-16,0,0,0,1.36082061835843,1,1,NONE
center_02_sender_1,LEFT,1,ordinary_1_to_2,-0.00018822042312229,-0.00018822042312229,0,7.07767178198537e-16,0,0,1.0842021724855e-19,1.36082061835843,0,1,NONE
center_02_sender_1,LEFT,2,ordinary_1_to_5,-0.000157887989248665,-0.000157887989248665,0,7.07767178198537e-16,0,0,1.35525271560688e-19,1.36082061835843,0,1,NONE
center_02_sender_1,LEFT,3,pinned_leader_1_to_2,-0.000156814361764923,-0.000156814361764923,0,7.07767178198537e-16,0,0,8.13151629364128e-20,1.36082061835843,0,1,NONE
center_02_sender_1,LEFT,4,pinned_leader_1_to_4,-0.000194058371773495,-0.000194058371773495,0,7.07767178198537e-16,0,0,0,1.36082061835843,0,1,NONE
center_02_sender_1,RIGHT,0,NO_TRANSMISSION,0,0,0,2.77555756156289e-16,0,0,0,1.09155383288905,0,1,NONE
center_02_sender_1,RIGHT,1,ordinary_1_to_2,0.000199243069949517,0.000199243069949517,0,2.77555756156289e-16,0,0,1.35525271560688e-19,1.09155383288905,1,1,NONE
center_02_sender_1,RIGHT,2,ordinary_1_to_5,7.02522991450628e-05,7.02522991450628e-05,0,2.77555756156289e-16,0,0,2.71050543121376e-20,1.09155383288905,0,1,NONE
center_02_sender_1,RIGHT,3,pinned_leader_1_to_2,0.000166071882461582,0.000166071882461582,0,2.77555756156289e-16,0,0,1.35525271560688e-19,1.09155383288905,0,1,NONE
center_02_sender_1,RIGHT,4,pinned_leader_1_to_4,0.00016630112438249,0.00016630112438249,0,2.77555756156289e-16,0,0,8.13151629364128e-20,1.09155383288905,0,1,NONE
center_02_sender_3,CENTER,0,NO_TRANSMISSION,0,0,0,2.33753988387875e-16,0,0,0,1.96238761275118,0,1,NONE
center_02_sender_3,CENTER,1,ordinary_3_to_2,3.3561894792203e-06,3.35618947922031e-06,0,2.33753988387875e-16,0,0,4.65868120989865e-21,1.96238761275118,1,1,NONE
center_02_sender_3,CENTER,2,ordinary_3_to_4,2.7639539128911e-06,2.7639539128911e-06,0,2.33753988387875e-16,0,0,2.5410988417629e-21,1.96238761275118,0,1,NONE
center_02_sender_3,LEFT,0,NO_TRANSMISSION,0,0,5.42101086242752e-20,6.38378239159465e-16,0,0,0,0.019353048076274,1,1,NONE
center_02_sender_3,LEFT,1,ordinary_3_to_2,-1.7764697792425e-06,-1.77646977924251e-06,5.42101086242752e-20,6.38378239159465e-16,0,0,7.6232965252887e-21,0.019353048076274,0,1,NONE
center_02_sender_3,LEFT,2,ordinary_3_to_4,-0.00018993039702751,-0.000189930397027511,5.42101086242752e-20,6.38378239159465e-16,0,0,3.25260651745651e-19,0.019353048076274,0,1,NONE
center_02_sender_3,RIGHT,0,NO_TRANSMISSION,0,0,5.42101086242752e-20,2.33753988387875e-16,0,0,0,1.97645060908835,0,1,NONE
center_02_sender_3,RIGHT,1,ordinary_3_to_2,3.2707662037197e-06,3.2707662037197e-06,5.42101086242752e-20,2.33753988387875e-16,0,0,3.81164826264435e-21,1.97645060908835,1,1,NONE
center_02_sender_3,RIGHT,2,ordinary_3_to_4,-4.43220531114046e-07,-4.43220531114053e-07,5.42101086242752e-20,2.33753988387875e-16,0,0,7.19978005166155e-21,1.97645060908835,0,1,NONE
center_02_sender_4,CENTER,0,NO_TRANSMISSION,0,0,0,2.33753988387875e-16,0,0,0,1.96238761275118,1,1,NONE
center_02_sender_4,CENTER,1,ordinary_4_to_3,-2.3512990334292e-06,-2.35129903342922e-06,0,2.33753988387875e-16,0,0,2.20228566286118e-20,1.96238761275118,0,1,NONE
center_02_sender_4,CENTER,2,ordinary_4_to_5,-1.07723591044338e-06,-1.07723591044334e-06,0,2.33753988387875e-16,0,0,3.98105485209521e-20,1.96238761275118,0,1,NONE
center_02_sender_4,LEFT,0,NO_TRANSMISSION,0,0,2.53432257818487e-18,2.16840434497101e-16,0,0,0,1.13781570192373e-05,1,1,NONE
