seed,N,condition,conditionLabel,scope,topology,maxFrames,dataErasureProbability,managementErasureProbability,churnEnabled,firstResolutionFrame,firstConvergenceFrame,recoveryFrame,finalAllResolved,finalCollisionFree,finalFrameAgreement,finalConverged,finalDataSlots,finalResolvedNodes,finalAssignedNodes,maxFrameDisagreement,maxAssignedSlot,conflictFrameFraction,falseResolvedNodeFrames,dataAttempts,dataRecipientAttempts,dataRecipientSuccess,dataRecipientErasure,dataRecipientCollision,dataCollisionFrames,managementAttempts,managementRecipientAttempts,managementRecipientSuccess,managementRecipientErasure,managementRecipientCollision,managementCollisionSlots,growRequests,growNacks,growthEvents,shrinkRequests,shrinkObjects,shrinkNacks,shrinkEvents,elapsedSec,offeredAirtimeSec,busyAirtimeSec,offeredUtilization,channelUtilization,accountingCloses,deliveryWitnessValid,futureRandomReads,receiverTruthDecisionReads,traceHash,configHash,realizationHash
16033043,10,restricted-management,Local-only management,boundary,compact-hex-local-management,200,0,0,0,9,NaN,NaN,0,1,0,0,7,8,8,9,12,0.18,66,1968,6627,6437,0,190,139,646,1940,1126,0,814,174,12,2,11,314,158,160,46,13.662356834,10.706944,7.499776,0.783682063796988,0.548937206890698,1,1,0,0,65205517419,1420522,264138445
16033044,5,beacon-loss,Beacon loss 0.05,boundary,compact-hex-safety-graph,200,0.05,0,0,6,70,NaN,1,1,1,0,6,5,5,0,10,0.105,0,984,2713,2518,125,70,44,451,1344,596,0,748,125,8,3,7,152,185,103,13,10.52376994,5.87776,5.05856,0.55852228179743,0.480679455066081,1,1,0,0,16692792500,2013457,96216258
16033044,5,churn-rejoin,State-loss and rejoin,boundary,compact-hex-safety-graph,200,0,0,1,4,12,3,1,1,1,1,5,5,5,0,7,0,0,992,2775,2775,0,0,0,355,1092,608,0,484,81,1,0,1,160,82,112,6,9.471392946,5.517312,5.0176,0.582523820039596,0.529763681921681,1,1,0,0,16692792500,1080161,79593334
16033044,5,native,Native hex safety graph,source-native,compact-hex-safety-graph,200,0,0,0,4,12,NaN,1,1,1,1,5,5,5,0,7,0,0,994,2783,2783,0,0,0,315,988,588,0,400,67,0,0,0,143,79,93,5,9.448212836,5.361664,4.947968,0.567479172311905,0.5236935371679,1,1,0,0,16692792500,1080144,79221798
16033044,5,restricted-management,Local-only management,boundary,compact-hex-local-management,200,0,0,0,4,NaN,NaN,1,1,0,0,10,5,5,10,8,0.19,62,972,2680,2514,0,166,110,249,593,450,0,143,50,22,0,22,91,113,23,44,12.47089918,5.001216,4.52608,0.401030906257395,0.362931327939739,1,1,0,0,16692792500,1079808,95313703
16033044,10,beacon-loss,Beacon loss 0.05,boundary,compact-hex-safety-graph,200,0.05,0,0,15,NaN,NaN,0,1,1,0,8,9,10,0,13,0.175,5,1975,6662,6195,343,124,74,1120,5526,1053,0,4473,243,5,8,4,258,307,542,14,15.271056468,12.67712,8.126464,0.830140339443082,0.532148120663999,1,1,0,0,65079948115,2363393,297646397
16033044,10,churn-rejoin,State-loss and rejoin,boundary,compact-hex-safety-graph,200,0,0,1,9,13,3,1,1,1,1,8,10,10,0,10,0.025,2,1978,6718,6702,0,16,12,954,4270,936,0,3334,179,1,0,1,277,103,573,3,12.14637764,12.009472,7.630848,0.988728685698924,0.628240634876226,1,1,0,0,65079948115,1430097,304460114
16033044,10,native,Native hex safety graph,source-native,compact-hex-safety-graph,200,0,0,0,9,13,NaN,1,1,1,1,8,10,10,0,10,0.025,2,1980,6726,6710,0,16,12,991,4467,1089,0,3378,189,0,0,0,274,126,591,2,12.151013662,12.169216,7.749632,1.0014980098374,0.637776585194329,1,1,0,0,65079948115,1430080,295696736
16033044,10,restricted-management,Local-only management,boundary,compact-hex-local-management,200,0,0,0,9,NaN,NaN,0,1,0,0,7,9,9,9,10,0.35,124,1962,6567,6267,0,300,234,596,1841,1154,0,687,157,18,2,17,273,170,133,58,13.996150418,10.477568,7.200768,0.748603557912977,0.51448203862823,1,1,0,0,65079948115,1420522,255890813
16033045,5,beacon-loss,Beacon loss 0.05,boundary,compact-hex-safety-graph,200,0.05,0,0,7,20,NaN,1,1,1,0,6,5,5,0,10,0.06,2,983,2724,2559,125,40,24,384,1110,528,0,582,98,11,5,8,133,143,92,16,10.366145192,5.599232,4.923392,0.540146013420801,0.474949164690419,1,1,0,0,16833492889,2013457,93564818
16033045,5,churn-rejoin,State-loss and rejoin,boundary,compact-hex-safety-graph,200,0,0,1,5,20,3,1,1,1,1,5,5,5,0,10,0.01,2,992,2771,2767,0,4,4,310,940,528,0,412,69,1,0,1,140,77,92,6,9.64292576,5.332992,4.882432,0.553047086821085,0.506322678564312,1,1,0,0,16833492889,1080161,82244065
16033045,5,native,Native hex safety graph,source-native,compact-hex-safety-graph,200,0,0,0,5,20,NaN,1,1,1,1,5,5,5,0,10,0.01,2,994,2779,2775,0,4,4,340,1036,588,0,448,75,0,0,0,157,84,99,5,9.61974565,5.464064,4.97664,0.56800503867792,0.517335923533488,1,1,0,0,16833492889,1080144,81985789
16033045,5,restricted-management,Local-only management,boundary,compact-hex-local-management,200,0,0,0,5,NaN,NaN,1,0,0,0,6,5,5,7,10,0.295,96,976,2654,2434,0,220,156,282,663,456,0,207,70,18,1,17,110,115,38,46,11.367525944,5.152768,4.489216,0.45328843104332,0.394915834994817,1,1,0,0,16833492889,1079808,104954534
16033045,10,beacon-loss,Beacon loss 0.05,boundary,compact-hex-safety-graph,200,0.05,0,0,34,NaN,NaN,0,1,1,0,13,9,10,0,16,0.11,1,1975,6685,6275,342,68,52,1000,5284,1233,0,4051,212,3,0,3,247,299,451,6,17.375810456,12.1856,8.495104,0.701296784449684,0.488904044016351,1,1,0,0,64954979583,2363393,306799107
16033045,10,churn-rejoin,State-loss and rejoin,boundary,compact-hex-safety-graph,200,0,0,1,11,111,2,1,1,1,1,9,10,10,0,11,0.03,1,1975,6711,6687,0,24,22,1109,4981,1188,0,3793,197,2,8,1,333,109,657,4,13.829253626,12.632064,8.597504,0.913430640700002,0.621689661098996,1,1,0,0,64954979583,1430097,251783302
16033045,10,native,Native hex safety graph,source-native,compact-hex-safety-graph,200,0,0,0,11,NaN,NaN,1,1,1,0,10,10,10,0,11,0.03,1,1976,6715,6691,0,24,22,1001,4463,1098,0,3365,178,2,8,1,290,106,595,3,14.306763892,12.193792,8.482816,0.85230958531569,0.592923463617331,1,1,0,0,64954979583,1430080,290115011
16033045,10,restricted-management,Local-only management,boundary,compact-hex-local-management,200,0,0,0,15,NaN,NaN,1,1,0,0,14,10,10,11,13,0.285,74,1962,6526,6266,0,260,205,726,1998,1086,0,912,198,16,4,12,313,225,168,49,16.124084516,11.010048,7.897088,0.682832441685274,0.489769697756402,1,1,0,0,64954979583,1420522,261565345
