method,n,formationRMSE_m,dataRate_Hz,ackRate_Hz,total025_Hz,broadcastRate_Hz
P10,50,0.09228060945552,100.002132764596,0,100.002132764596,60.0007997867235
P12.5,50,0.0834179795700821,125.006931484937,0,125.006931484937,75.0031991468941
P20,50,0.0704037366700937,199.998400426553,0,199.998400426553,119.999200213276
Causal,50,0.0814674885539183,116.273260463876,93.0613169821381,139.538589709411,191.65209277526
StateEvent,50,0.164540486213368,38.5137296720874,0,38.5137296720874,23.1143695014663
OraclePeriodic,50,0.0893087699399867,99.8640362569981,0,99.8640362569981,59.9192215409224
