scenario,method,n,formationRMSE_m,dataRate_Hz,ackRate_Hz,total025_Hz,broadcastRate_Hz
Clean,P10,50,0.0361460400730118,99.6666666666667,0,99.6666666666667,59.8
Clean,Causal-v3,50,0.0413792333665601,84.4666666666667,84.4666666666667,105.583333333333,50.7
Moderate,P10,50,0.0975524984549388,99.6666666666667,0,99.6666666666667,59.8
Moderate,Causal-v3,50,0.0892032140728966,134.835333333333,107.618,161.739833333333,118.696666666667
Stressed,P10,50,0.147653567367204,99.6666666666667,0,99.6666666666667,59.8
Stressed,Causal-v3,50,0.118809092660972,182.939333333333,109.606666666667,210.341,109.861333333333
