scenario,scenarioLabel,arm,methodLabel,armKind,schedulerMode,n,meanRMSE,meanOfferedUtil,meanChannelUtil,meanTrueAoI,meanDataGoodputHz,meanManagementAttempts,meanFirstConvergenceSec,safeFailures
n10-ring2-zero-loss,N10 ring2 zero-loss,dstr-native,D-STR native acquisition,prior-art-native,continuous-dstr-replay,30,0.0326643244053003,0.931404800000035,0.599641348789937,0.0370449036866947,205.730555555556,1167.03333333333,2.07907963345734,0
n10-ring2-zero-loss,N10 ring2 zero-loss,dstr-oracle-warm,D-STR oracle-warm,oracle-cost-decomposition,continuous-dstr-replay,30,0.0301870232013943,0.773120000000024,0.463871999999988,0.0328319938767697,251.666666666667,0,0,0
n10-ring2-zero-loss,N10 ring2 zero-loss,periodic-static-tdma-p8p333,Periodic static TDMA 8.333 Hz,ideal-service-reference,continuous-local-static-tdma,30,0.0598928161249785,0.255999999999998,0.255999999999968,0.0808955223880599,83.3333333333333,NaN,NaN,0
n5-6dof-zero-loss,N5 6-DOF zero-loss,dstr-native,D-STR native acquisition,prior-art-native,continuous-dstr-replay,30,0.0258121044546397,0.483703466666674,0.467722410080389,0.0306191265892758,135.85,258.1,0.71806989425177,0
n5-6dof-zero-loss,N5 6-DOF zero-loss,dstr-oracle-warm,D-STR oracle-warm,oracle-cost-decomposition,continuous-dstr-replay,30,0.0257940488207558,0.424960000000009,0.424959999999989,0.0305721393034826,138.333333333333,0,0,0
n5-6dof-zero-loss,N5 6-DOF zero-loss,periodic-static-tdma-p8p333,Periodic static TDMA 8.333 Hz,ideal-service-reference,continuous-local-static-tdma,30,0.0440141355261319,0.127999999999999,0.127999999999983,0.0717412935323382,41.6666666666667,NaN,NaN,0
