scenario,candidate,reference,metric,nPairs,meanDelta,ciLo,ciHi,relativeDelta
n5-6dof-zero-loss,dstr-native,periodic-static-tdma-p8p333,RMSE,30,-0.0182020310714922,-0.0182065812805466,-0.0181973791769998,-0.413549666576669
n5-6dof-zero-loss,dstr-native,periodic-static-tdma-p8p333,OFFERED_UTIL,30,0.355703466666675,0.353288533333342,0.358024533333342,2.77893333333342
n5-6dof-zero-loss,dstr-native,periodic-static-tdma-p8p333,MEAN_TRUE_AOI,30,-0.0411221669430624,-0.0411376451077943,-0.0411061359867329,-0.573200801356141
n5-6dof-zero-loss,dstr-native,dstr-oracle-warm,RMSE,30,1.8055633883904e-05,1.34871493166725e-05,2.26152205049018e-05,0.000699992235006357
n5-6dof-zero-loss,dstr-native,dstr-oracle-warm,OFFERED_UTIL,30,0.0587434666666655,0.0563711999999989,0.0610901333333322,0.138232931726902
n5-6dof-zero-loss,dstr-native,dstr-oracle-warm,MEAN_TRUE_AOI,30,4.69872857932546e-05,3.17855168601439e-05,6.32946379214973e-05,0.00153693156134161
n10-ring2-zero-loss,dstr-native,periodic-static-tdma-p8p333,RMSE,30,-0.0272284917196781,-0.0275058101493296,-0.0269505303723142,-0.454620328135187
n10-ring2-zero-loss,dstr-native,periodic-static-tdma-p8p333,OFFERED_UTIL,30,0.675404800000037,0.659873920000036,0.691319466666705,2.63830000000017
n10-ring2-zero-loss,dstr-native,periodic-static-tdma-p8p333,MEAN_TRUE_AOI,30,-0.0438506187013652,-0.0442815473912492,-0.0434015754560533,-0.542064843725362
n10-ring2-zero-loss,dstr-native,dstr-oracle-warm,RMSE,30,0.00247730120390601,0.00221335630506005,0.00275590100988849,0.0820651041799837
n10-ring2-zero-loss,dstr-native,dstr-oracle-warm,OFFERED_UTIL,30,0.158284800000011,0.14269376000001,0.173943466666678,0.204735099337756
n10-ring2-zero-loss,dstr-native,dstr-oracle-warm,MEAN_TRUE_AOI,30,0.00421290980992508,0.00377611621380308,0.00465648998596796,0.128317208687893
