stage,seed,scenario,scenarioLabel,family,arm,pointIndex,parameterValue,method,methodLabel,feedbackMode,N,topology,plant,macType,pAccess,configuredPAccess,backgroundLoad,carrierSenseDensity,interferenceDensity,stationaryMeanDataLoss,stationaryMeanAckLoss,meanBadDurationDataSec,meanBadDurationAckSec,RMSE,MINSEP,SAFEFAIL,DIVERGED,ROLL_PEAK_DEG,PITCH_PEAK_DEG,SATURATION,CONTROL_EFFORT,MEAN_TRUE_AOI,P95_TRUE_AOI,P99_TRUE_AOI,MAX_TRUE_AOI,MEAN_EST_AOI,MEAN_AOI_GAP,DATA_GENERATED,DATA_ATTEMPTED,DATA_DELIVERED,ACK_ATTEMPTED,ACK_ENTRIES_DELIVERED,DATA_RECIPIENT_ATTEMPTS,DATA_RECIPIENT_SUCCESS,DATA_RECIPIENT_LOSS,ACK_RECIPIENT_ATTEMPTS,ACK_RECIPIENT_SUCCESS,ACK_RECIPIENT_LOSS,TERMINAL_ACTIVE_FRAMES,TERMINAL_DATA_INFLIGHT,TERMINAL_ACK_INFLIGHT,COLLISION_FRAMES,COLLISION_RATE,QUEUE_DROPS,SUPERSEDED,RETRIES,OBSOLETE_RETRY_DROPS,MAX_QUEUE,MAX_HISTORY,historySize,STALE_DATA_DISCARDED,STALE_ACK_DISCARDED,EXPIRED_HISTORY_ACK,ACK_BEFORE_ACCEPT,ACK_STANDALONE,ACK_ENTRIES_PIGGYBACKED,ACK_ENTRIES_TRANSFERRED,CHANNEL_UTIL,ADAPTIVE_ACK_PERMITTED,ADAPTIVE_ACK_DEFERRED,ADAPTIVE_ACK_FORCED,MEAN_LOCAL_BUSY,MAX_LOCAL_BUSY,LOAD_GUARD_BLOCKED,LOAD_GUARD_BLOCKED_BUSY,LOAD_GUARD_BLOCKED_QUEUE,LOAD_GUARD_BRANCH3,LOAD_GUARD_BRANCH4,OFFERED_UTIL,DATA_AIRTIME,ACK_AIRTIME,PIGGYBACK_AIRTIME,BACKGROUND_BUSY_TIME,BACKGROUND_COLLISION_FRAMES,ENERGY_PROXY_J,DATA_GOODPUT_HZ,RECIPIENT_GOODPUT_HZ,ACK_GOODPUT_HZ,MEAN_ACCESS_DELAY,P95_ACCESS_DELAY,MEAN_CONFIRM_DELAY,P95_CONFIRM_DELAY,JAIN_FRAME_GOODPUT,DATA_CHANNEL_ATTEMPTS,ACK_CHANNEL_ATTEMPTS,DATA_BAD_ATTEMPT_FRACTION,ACK_BAD_ATTEMPT_FRACTION,TRACE_DATA_BAD_FRACTION,TRACE_ACK_BAD_FRACTION,NETWORK_RUNTIME_SEC,INVARIANT_VIOLATIONS,TRACE_HASH_EXACT,CHANNEL_STATE_HASH,CHANNEL_MODEL_SIGNATURE,ESTIMATOR_HASH_EXACT,CONFIG_HASH,route,accessDesign,ackDesign,coreFlag,channelRegime,contextModifier,basePAccess,dataFrameSlots,calibratedAckSuccessMean,calibrationSource,CONTEXT_ACK_EVALUATED,CONTEXT_ACK_PERMITTED,CONTEXT_ACK_BLOCKED_FEASIBILITY,CONTEXT_ACK_BLOCKED_VALUE,serviceCertificateEnabled,serviceCertificateFeasible,serviceModel,successfulUpdateRateHz,requiredUpdateRateHz,serviceRatio,backgroundSurvival,dataSuccessEstimate,freshnessHeadroomEnabled
development-amendment-3,16024003,n10-moderate-bg30,N10 Moderate bg0.30,EXP18A3 freshness headroom,context-aware-v3,1,0.3,context-aware-broadcast,Context-aware service and freshness headroom,adaptive,10,ring2,di,csma,0.1,0.1,0.3,1,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.292251675444056,0.303281346367199,1,0,NaN,NaN,NaN,NaN,0.314669509594883,0.9,1.376,1.82,0.766917791992419,0.452248282397536,2090,3040,477,0,356,6437,910,5522,2398,356,2042,1,5,0,2547,0.837828947368421,0,1210,2169,60,1,32,32,0,0,0,0,0,2398,1108,0.857999999999959,0,5,0,0.858571576116388,0.887160276600438,0,0,0,0,0,1.01333333333326,12.1599999999991,0,0.613888,3.67599999999964,2006,2.43199999999982,39.75,75.8333333333333,29.6666666666667,0.0266388157894738,0.0579999999999998,0.10451404494382,0.24325,0.97689665536044,6969,0,0.103745157124408,0,0.0994675887352108,0.0986902182969505,3.3079043,0,2586540604501,84913090790,410907084,0,278246241,context-aware-v3,frame-aware,service-certificate-freshness-value,1,moderate,nominal,0.1,4,0.903,declared-stationary-profile,5,0,5,0,1,0,symmetric p-persistent CSMA renewal approximation,2.84352595762138,8.33333333333333,0.341223114914565,0.2401,0.903,1
development-amendment-3,16024003,n10-moderate-bg30,N10 Moderate bg0.30,EXP18A3 freshness headroom,context-aware-v3,1,0.3,context-aware-broadcast,Context-aware service and freshness headroom,adaptive,10,ring2,di,aloha,0.0142857142857143,0.0142857142857143,0.3,1,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.601561794033035,0.161514888094066,1,0,NaN,NaN,NaN,NaN,0.793622364368633,2.52,3.32,3.66,2.16869462212746,1.37507225775883,1917,1553,150,0,119,3320,301,3019,1208,119,1089,0,0,0,1396,0.898905344494527,0,1606,1252,59,1,32,32,0,0,0,0,0,1208,1530,0.592250000000042,0,7,0,0.601973433567373,0.677290391802489,0,0,0,0,0,0.517666666666647,6.21199999999976,0,0.309248000000003,3.67599999999964,1165,1.24239999999995,12.5,25.0833333333333,9.91666666666667,0.0343902124919512,0.0809999999999999,0.307352941176471,0.6861,0.959897610921502,3620,0,0.108011049723757,0,0.0994675887352108,0.0986902182969505,2.7026254,0,2586540604501,84913090790,410907084,0,277735710,context-aware-v3,frame-aware,service-certificate-freshness-value,1,moderate,nominal,0.1,4,0.903,declared-stationary-profile,7,0,7,0,1,0,independent-start vulnerable-period ALOHA,1.14763654738751,8.33333333333333,0.137716385686501,0.2401,0.903,1
development-amendment-3,16024003,n10-stressed-bg0,N10 Stressed bg0,EXP18A3 freshness headroom,context-aware-v3,1,0,context-aware-broadcast,Context-aware service and freshness headroom,adaptive,10,ring2,di,csma,0.1,0.1,0,1,1,0.29,0.29,0.0476190476190476,0.0476190476190476,0.111524440328855,0.486788057401267,0,0,NaN,NaN,NaN,NaN,0.0980668088130774,0.24,0.32,0.42,0.205965411040038,0.107898602226961,1823,2267,1383,0,1232,4951,2416,2535,2443,1232,1211,0,0,0,705,0.310983678870754,0,217,663,11,1,32,32,0,0,0,0,0,2443,270,0.632333333333391,0,53,0,0.60776976889447,0.709943369540655,0,0,0,0,0,0.75566666666662,9.06799999999945,0,0.625407999999998,0,0,1.81359999999989,115.25,201.333333333333,102.666666666667,0.0188734009704456,0.0510000000000002,0.0573603896103897,0.113,0.962412510881105,5629,0,0.301119204121514,0,0.297707882019663,0.299902516247292,3.4271905,0,2586540604501,87286621934,419797754,0,284064656,context-aware-v3,frame-aware,service-certificate-freshness-value,1,stressed,nominal,0.1,4,0.71,declared-stationary-profile,53,0,0,53,1,1,symmetric p-persistent CSMA renewal approximation,9.31184279488188,8.33333333333333,1.11742113538583,1,0.71,1
development-amendment-3,16024003,n10-stressed-bg0,N10 Stressed bg0,EXP18A3 freshness headroom,context-aware-v3,1,0,context-aware-broadcast,Context-aware service and freshness headroom,adaptive,10,ring2,di,aloha,0.0142857142857143,0.0142857142857143,0,1,1,0.29,0.29,0.0476190476190476,0.0476190476190476,0.266708993070173,0.353434914204367,1,0,NaN,NaN,NaN,NaN,0.234006159677802,0.620000000000001,0.880000000000001,1.16,0.519464581852642,0.285458422174841,2130,1385,579,0,440,2979,996,1983,1278,440,838,0,0,0,716,0.516967509025271,0,1407,670,32,1,32,32,0,0,0,0,0,1278,1545,0.379083333333313,0,111,0,0.398758273554829,0.491085659407891,0,0,0,0,0,0.461666666666653,5.53999999999983,0,0.327168000000002,0,0,1.10799999999997,48.25,83,36.6666666666667,0.0270324909747294,0.0579999999999998,0.125518181818182,0.30415,0.968149132180091,3307,0,0.312367704868461,0,0.297707882019663,0.299902516247292,2.8778307,0,2586540604501,87286621934,419797754,0,283554125,context-aware-v3,frame-aware,service-certificate-freshness-value,1,stressed,nominal,0.1,4,0.71,declared-stationary-profile,111,0,111,0,1,0,independent-start vulnerable-period ALOHA,3.75822527179351,8.33333333333333,0.450987032615222,1,0.71,1
development-amendment-3,16024003,n10-stressed-bg30,N10 Stressed bg0.30,EXP18A3 freshness headroom,context-aware-v3,1,0.3,context-aware-broadcast,Context-aware service and freshness headroom,adaptive,10,ring2,di,csma,0.1,0.1,0.3,1,1,0.29,0.29,0.0476190476190476,0.0476190476190476,0.349092388846719,0.240377656665596,1,0,NaN,NaN,NaN,NaN,0.376773276474769,1.06,1.48,1.78,1.13469320066335,0.757919924188581,2099,3047,429,0,246,6430,718,5707,1973,246,1727,1,5,0,2567,0.842468001312767,0,1235,2192,55,1,32,32,0,0,0,0,0,1973,947,0.858916666666625,0,2,0,0.862074527556931,0.888997541820203,0,0,0,0,0,1.01566666666659,12.1879999999991,0,0.505087999999995,3.67599999999964,2007,2.43759999999982,35.75,59.8333333333333,20.5,0.0266366918280277,0.0579999999999998,0.114930894308943,0.27375,0.987821372980516,6835,0,0.302267739575713,0,0.297707882019663,0.299902516247292,3.3512858,0,2586540604501,87286621934,419797754,0,284281941,context-aware-v3,frame-aware,service-certificate-freshness-value,1,stressed,nominal,0.1,4,0.71,declared-stationary-profile,2,0,2,0,1,0,symmetric p-persistent CSMA renewal approximation,2.23577345505114,8.33333333333333,0.268292814606137,0.2401,0.71,1
development-amendment-3,16024003,n10-stressed-bg30,N10 Stressed bg0.30,EXP18A3 freshness headroom,context-aware-v3,1,0.3,context-aware-broadcast,Context-aware service and freshness headroom,adaptive,10,ring2,di,aloha,0.0142857142857143,0.0142857142857143,0.3,1,1,0.29,0.29,0.0476190476190476,0.0476190476190476,0.696387554603041,0.228895839317631,1,0,NaN,NaN,NaN,NaN,1.02423122482824,2.94,3.6,4.28,2.95082208007581,1.92659085524757,1821,1538,137,0,78,3286,242,3044,1012,78,934,0,0,0,1379,0.896618985695709,0,1499,1226,60,1,32,32,0,0,0,0,0,1012,1248,0.591083333333375,0,10,0,0.598370189243357,0.673336875303303,0,0,0,0,0,0.512666666666647,6.15199999999977,0,0.259072000000004,3.67599999999964,1150,1.23039999999995,11.4166666666667,20.1666666666667,6.5,0.0370045513654097,0.0909999999999994,0.326294871794872,0.733900000000002,0.926864197530864,3576,0,0.308165548098434,0,0.297707882019663,0.299902516247292,2.681488,0,2586540604501,87286621934,419797754,0,283771410,context-aware-v3,frame-aware,service-certificate-freshness-value,1,stressed,nominal,0.1,4,0.71,declared-stationary-profile,10,0,10,0,1,0,independent-start vulnerable-period ALOHA,0.902349887757622,8.33333333333333,0.108281986530915,0.2401,0.71,1
development-amendment-3,16024003,n5-moderate-reverse,N5 Moderate reverse-asymmetric,EXP18A3 freshness headroom,context-aware-v3,1,0,context-aware-broadcast,Context-aware service and freshness headroom,adaptive,5,ring2,6dof,csma,0.2,0.2,0,1,1,0.097,0.363333333333333,0.0277777777777778,0.0454545454545455,0.054100043956703,0.531065125003587,0,0,9.50460090261169,12.2564520469023,0,1.03665879677981,0.0713875069098949,0.159999999999998,0.219999999999999,0.300000000000001,0.144521835268104,0.0731343283582091,714,819,682,61,717,1507,1188,318,930,717,211,1,1,2,114,0.129545454545455,0,1,106,0,2,32,32,0,0,0,0,61,801,1,0.263499999999978,61,16,0,0.240067628058496,0.284536803485296,0,0,0,0,0,0.28275,3.276,0.117,0.205056000000002,0,0,0.678600000000001,56.8333333333333,99,59.75,0.00724431818181829,0.0220000000000002,0.0432259414225942,0.0983999999999999,0.985703689575519,1815,129,0.0986225895316804,0.294573643410853,0.103206132311281,0.259693384435927,2.4398737,0,667258864789,21449876200,109459431,0,190619122,context-aware-v3,frame-aware,service-certificate-freshness-value,0,moderate,reverse-asymmetric,0.2,4,0.903,nominal-moderate-mismatch,77,61,0,16,1,1,symmetric p-persistent CSMA renewal approximation,24.5193042002546,8.33333333333333,2.94231650403055,1,0.903,1
development-amendment-3,16024003,n5-moderate-reverse,N5 Moderate reverse-asymmetric,EXP18A3 freshness headroom,context-aware-v3,1,0,context-aware-broadcast,Context-aware service and freshness headroom,adaptive,5,ring2,6dof,aloha,0.0285714285714286,0.0285714285714286,0,1,1,0.097,0.363333333333333,0.0277777777777778,0.0454545454545455,0.0809932810890724,0.492730001756697,0,0,9.87105665253398,13.3198299025938,0,1.03667467669737,0.117888336097291,0.3,0.44,0.52,0.215876174682145,0.0979878385848536,978,883,523,127,527,1621,918,703,954,527,427,0,0,0,376,0.372277227722772,0,408,318,6,2,32,32,0,0,0,0,127,773,441,0.270333333333308,133,123,0,0.247568671524701,0.307392836806471,0,0,0,0,0,0.308833333333334,3.532,0.174,0.197888000000002,0,0,0.741200000000001,43.5833333333333,76.5,43.9166666666667,0.024930693069307,0.0620000000000003,0.0697077798861481,0.1427,0.979530519794446,1909,181,0.100052383446831,0.232044198895028,0.103206132311281,0.259693384435927,2.6693412,0,667258864789,21449876200,109459431,0,190645993,context-aware-v3,frame-aware,service-certificate-freshness-value,0,moderate,reverse-asymmetric,0.2,4,0.903,nominal-moderate-mismatch,256,133,0,123,1,1,independent-start vulnerable-period ALOHA,9.62918160444884,8.33333333333333,1.15550179253386,1,0.903,1
development-amendment-3,16024003,n5-moderate-hidden,N5 Moderate hidden-terminal,EXP18A3 freshness headroom,context-aware-v3,1,0,context-aware-broadcast,Context-aware service and freshness headroom,adaptive,5,ring2,6dof,csma,0.2,0.2,0,0.6,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.0609281597541799,0.525570367571114,0,0,9.58176280729794,12.8975728964711,0,1.03644890378984,0.083405196241017,0.199999999999999,0.279999999999999,0.4,0.166257600884466,0.0828524046434495,882,1483,582,35,581,2728,1011,1717,1237,581,656,0,0,0,873,0.575098814229249,0,93,694,19,2,32,32,0,0,0,0,35,1169,39,0.38433333333332,35,23,0,0.19719095639289,0.290670404543259,0,0,0,0,0,0.499583333333316,5.93199999999979,0.063,0.299264000000002,0,0,1.19899999999996,48.5,84.25,48.4166666666667,0.0102529644268775,0.0291500000000014,0.0482943201376937,0.105,0.983490607125229,3141,68,0.109837631327603,0.117647058823529,0.103206132311281,0.0945609065155807,2.7707822,0,667258864789,21200647939,105363559,0,189943804,context-aware-v3,frame-aware,service-certificate-freshness-value,0,moderate,hidden-terminal,0.2,4,0.903,declared-stationary-profile,58,35,0,23,1,1,symmetric p-persistent CSMA renewal approximation,24.5193042002546,8.33333333333333,2.94231650403055,1,0.903,1
development-amendment-3,16024003,n5-moderate-hidden,N5 Moderate hidden-terminal,EXP18A3 freshness headroom,context-aware-v3,1,0,context-aware-broadcast,Context-aware service and freshness headroom,adaptive,5,ring2,6dof,aloha,0.0285714285714286,0.0285714285714286,0,0.6,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.0834514547113072,0.486835280150528,0,0,9.87105665253398,13.3198299025938,0,1.03664822071487,0.118850193477059,0.299999999999999,0.459999999999999,0.6,0.206323935876175,0.0874737423991156,953,857,512,149,561,1574,903,671,922,561,361,0,0,0,359,0.356858846918489,0,395,304,7,2,32,32,0,0,0,0,149,711,429,0.267416666666642,165,84,0,0.159683858994087,0.225655429151466,0,0,0,0,0,0.302916666666667,3.428,0.207,0.182016000000002,0,0,0.727000000000001,42.6666666666667,75.25,46.75,0.0249552683896621,0.0627499999999992,0.0677397504456329,0.138999999999999,0.978989431228293,1841,211,0.102118413905486,0.0947867298578199,0.103206132311281,0.0945609065155807,2.7205062,0,667258864789,21200647939,105363559,0,189970675,context-aware-v3,frame-aware,service-certificate-freshness-value,0,moderate,hidden-terminal,0.2,4,0.903,declared-stationary-profile,249,165,0,84,1,1,independent-start vulnerable-period ALOHA,9.62918160444884,8.33333333333333,1.15550179253386,1,0.903,1
