seed,method,scenario,RMSE,MAXERR,MINEVAL,AOI,TXRATE,TXCOUNT,ACKRATE,ACKCOUNT,PDR,VIOLATIONS,POSTRIG,VELTRIG,AOITRIG,TIMEOUTTRIG,MEANSCALE,MINSCALE,ESTAOI,SUPPRINFLIGHT,MEANOUTST,MAXOUTST,ACKCUMGAIN,DUPACK,STALEACKDISC,FORMFAIL,SAFEFAIL
1,P10,Clean,0.0345249153681788,0.0454982947248595,0.554876179588722,0.0499636693914622,10,3600,0,0,1,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
2,P10,Clean,0.0345249153681788,0.0454982947248595,0.554876179588722,0.0499636693914622,10,3600,0,0,1,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
3,P10,Clean,0.0345249153681788,0.0454982947248595,0.554876179588722,0.0499636693914622,10,3600,0,0,1,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
1,P20,Clean,0.0211627771768365,0.0306498291748195,0.572446386252435,0.0259854677565848,20,7200,0,0,1,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
2,P20,Clean,0.0211627771768365,0.0306498291748195,0.572446386252435,0.0259854677565848,20,7200,0,0,1,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
3,P20,Clean,0.0211627771768365,0.0306498291748195,0.572446386252435,0.0259854677565848,20,7200,0,0,1,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
1,A1 State-event,Clean,0.0792418217410357,0.0996251580418625,0.501895794781889,0.129969724492885,4.32777777777778,1558,0,0,1,0,0.9602053915276,0.0397946084724005,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
2,A1 State-event,Clean,0.0792418217410357,0.0996251580418625,0.501895794781889,0.129969724492885,4.32777777777778,1558,0,0,1,0,0.9602053915276,0.0397946084724005,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
3,A1 State-event,Clean,0.0792418217410357,0.0996251580418625,0.501895794781889,0.129969724492885,4.32777777777778,1558,0,0,1,0,0.9602053915276,0.0397946084724005,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
1,Ideal-AoI,Clean,0.037745281664961,0.0490563328285433,0.551274954028746,0.0600090826521344,8.41111111111111,3028,0,0,1,0,0.0700132100396301,0.00858652575957728,0.921400264200793,0,0.495836109260521,0.375,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
2,Ideal-AoI,Clean,0.037745281664961,0.0490563328285433,0.551274954028746,0.0600090826521344,8.41111111111111,3028,0,0,1,0,0.0700132100396301,0.00858652575957728,0.921400264200793,0,0.495836109260521,0.375,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
3,Ideal-AoI,Clean,0.037745281664961,0.0490563328285433,0.551274954028746,0.0600090826521344,8.41111111111111,3028,0,0,1,0,0.0700132100396301,0.00858652575957728,0.921400264200793,0,0.495836109260521,0.375,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
1,A2c Fixed-OL,Clean,0.0444279179105767,0.0569849735394846,0.544052937981103,0.0700544959128065,7.42222222222222,2672,7.42222222222222,2672,1,0,0.0793413173652695,0.00973053892215569,0.910928143712575,0,0.5,0.5,0.0700472297910993,0,0,0,1,0,0,0,0
2,A2c Fixed-OL,Clean,0.0444279179105767,0.0569849735394846,0.544052937981103,0.0700544959128065,7.42222222222222,2672,7.42222222222222,2672,1,0,0.0793413173652695,0.00973053892215569,0.910928143712575,0,0.5,0.5,0.0700472297910993,0,0,0,1,0,0,0,0
3,A2c Fixed-OL,Clean,0.0444279179105767,0.0569849735394846,0.544052937981103,0.0700544959128065,7.42222222222222,2672,7.42222222222222,2672,1,0,0.0793413173652695,0.00973053892215569,0.910928143712575,0,0.5,0.5,0.0700472297910993,0,0,0,1,0,0,0,0
1,A3c Adapt-OL,Clean,0.037745281664961,0.0490563328285433,0.551274954028746,0.0600090826521344,8.41111111111111,3028,8.41111111111111,3028,1,0,0.0700132100396301,0.00858652575957728,0.921400264200793,0,0.495836109260521,0.375,0.0600054495912814,0,0,0,1.00132275132275,0,0,0,0
2,A3c Adapt-OL,Clean,0.037745281664961,0.0490563328285433,0.551274954028746,0.0600090826521344,8.41111111111111,3028,8.41111111111111,3028,1,0,0.0700132100396301,0.00858652575957728,0.921400264200793,0,0.495836109260521,0.375,0.0600054495912814,0,0,0,1.00132275132275,0,0,0,0
3,A3c Adapt-OL,Clean,0.037745281664961,0.0490563328285433,0.551274954028746,0.0600090826521344,8.41111111111111,3028,8.41111111111111,3028,1,0,0.0700132100396301,0.00858652575957728,0.921400264200793,0,0.495836109260521,0.375,0.0600054495912814,0,0,0,1.00132275132275,0,0,0,0
1,A4c Causal-AoI,Clean,0.037745281664961,0.0490563328285433,0.551274954028746,0.0600090826521344,8.41111111111111,3028,8.41111111111111,3028,1,0,0.0700132100396301,0.00858652575957728,0.921400264200793,0,0.495836109260521,0.375,0.0799945504087201,0,0,0,1.00132275132275,0,0,0,0
2,A4c Causal-AoI,Clean,0.037745281664961,0.0490563328285433,0.551274954028746,0.0600090826521344,8.41111111111111,3028,8.41111111111111,3028,1,0,0.0700132100396301,0.00858652575957728,0.921400264200793,0,0.495836109260521,0.375,0.0799945504087201,0,0,0,1.00132275132275,0,0,0,0
3,A4c Causal-AoI,Clean,0.037745281664961,0.0490563328285433,0.551274954028746,0.0600090826521344,8.41111111111111,3028,8.41111111111111,3028,1,0,0.0700132100396301,0.00858652575957728,0.921400264200793,0,0.495836109260521,0.375,0.0799945504087201,0,0,0,1.00132275132275,0,0,0,0
1,P10,Moderate,0.0969523777945888,0.127543082533519,0.476513909129293,0.156503178928247,10,3600,0,0,0.796388888888889,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
2,P10,Moderate,0.0949554594646728,0.126829914660447,0.483767792126555,0.154376324553436,10,3600,0,0,0.803888888888889,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
3,P10,Moderate,0.0953972559475564,0.123887616985907,0.479071031938161,0.154338480169543,10,3600,0,0,0.804166666666667,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
1,P20,Moderate,0.0734513601264548,0.0934785605590057,0.507198655493052,0.118944898577051,20,7200,0,0,0.797083333333333,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
2,P20,Moderate,0.0724397655366147,0.0926669674251509,0.510570540342938,0.117917045110505,20,7200,0,0,0.802361111111111,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
3,P20,Moderate,0.0725836968013544,0.093433731789317,0.508215493997015,0.117864062973055,20,7200,0,0,0.802638888888889,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
