seed,method,scenario,RMSE,MAXERR,MINEVAL,AOI,TXRATE,TXCOUNT,ACKRATE,ACKCOUNT,PDR,VIOLATIONS,POSTRIG,VELTRIG,AOITRIG,TIMEOUTTRIG,MEANSCALE,MINSCALE,ESTAOI,SUPPRINFLIGHT,MEANOUTST,MAXOUTST,ACKCUMGAIN,DUPACK,HARDRATIO,ADAPTRATIO,REFRESHRATIO,CDBLOCKED,INFLBLOCKED,STALEACKDISC,FORMFAIL,SAFEFAIL
1,P10,Clean,0.0345249153681788,0.0454982947248595,0.554876179588722,0.0499636693914622,10,3600,0,0,1,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
2,P10,Clean,0.0345249153681788,0.0454982947248595,0.554876179588722,0.0499636693914622,10,3600,0,0,1,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
3,P10,Clean,0.0345249153681788,0.0454982947248595,0.554876179588722,0.0499636693914622,10,3600,0,0,1,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
1,P20,Clean,0.0211627771768365,0.0306498291748195,0.572446386252435,0.0259854677565848,20,7200,0,0,1,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
2,P20,Clean,0.0211627771768365,0.0306498291748195,0.572446386252435,0.0259854677565848,20,7200,0,0,1,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
3,P20,Clean,0.0211627771768365,0.0306498291748195,0.572446386252435,0.0259854677565848,20,7200,0,0,1,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
1,A1 State-event,Clean,0.0792418217410357,0.0996251580418625,0.501895794781889,0.129969724492885,4.32777777777778,1558,0,0,1,0,0.9602053915276,0.0397946084724005,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
2,A1 State-event,Clean,0.0792418217410357,0.0996251580418625,0.501895794781889,0.129969724492885,4.32777777777778,1558,0,0,1,0,0.9602053915276,0.0397946084724005,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
3,A1 State-event,Clean,0.0792418217410357,0.0996251580418625,0.501895794781889,0.129969724492885,4.32777777777778,1558,0,0,1,0,0.9602053915276,0.0397946084724005,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
1,Ideal-AoI,Clean,0.037745281664961,0.0490563328285433,0.551274954028746,0.0600090826521344,8.41111111111111,3028,0,0,1,0,0.0700132100396301,0.00858652575957728,0.921400264200793,0,0.495836109260521,0.375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
2,Ideal-AoI,Clean,0.037745281664961,0.0490563328285433,0.551274954028746,0.0600090826521344,8.41111111111111,3028,0,0,1,0,0.0700132100396301,0.00858652575957728,0.921400264200793,0,0.495836109260521,0.375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
3,Ideal-AoI,Clean,0.037745281664961,0.0490563328285433,0.551274954028746,0.0600090826521344,8.41111111111111,3028,0,0,1,0,0.0700132100396301,0.00858652575957728,0.921400264200793,0,0.495836109260521,0.375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
1,A2c Fixed-OL,Clean,0.0444279179105767,0.0569849735394846,0.544052937981103,0.0700544959128065,7.42222222222222,2672,7.42222222222222,2672,1,0,0.0793413173652695,0.00973053892215569,0.910928143712575,0,0.5,0.5,0.0700472297910993,0,0,0,1,0,0,0,0,0,0,0,0,0
2,A2c Fixed-OL,Clean,0.0444279179105767,0.0569849735394846,0.544052937981103,0.0700544959128065,7.42222222222222,2672,7.42222222222222,2672,1,0,0.0793413173652695,0.00973053892215569,0.910928143712575,0,0.5,0.5,0.0700472297910993,0,0,0,1,0,0,0,0,0,0,0,0,0
3,A2c Fixed-OL,Clean,0.0444279179105767,0.0569849735394846,0.544052937981103,0.0700544959128065,7.42222222222222,2672,7.42222222222222,2672,1,0,0.0793413173652695,0.00973053892215569,0.910928143712575,0,0.5,0.5,0.0700472297910993,0,0,0,1,0,0,0,0,0,0,0,0,0
