seed,method,N,scenario,RMSE,MAXERR,MINEVAL,AOI,TXRATECHANNEL,TXRATEAGENT,TXRATETOTAL,TXCOUNT,PDR,ACKUPDATE,ACKMISS,FORMFAIL,SAFEFAIL
1,Periodic10,5,Moderate,0.0959414071854364,0.123779653023684,0.479586238817485,0.154898577051166,10,24,120,3600,0.8,0,0,0,0
2,Periodic10,5,Moderate,0.0958412071803944,0.128641266467642,0.473395175151914,0.154467151074781,10,24,120,3600,0.8,0,0,0,0
3,Periodic10,5,Moderate,0.0939085891368258,0.122552992551812,0.479660045949029,0.154966696942174,10,24,120,3600,0.804722222222222,0,0,0,0
4,Periodic10,5,Moderate,0.0951428495331265,0.124323872510933,0.479081910015637,0.154860732667272,10,24,120,3600,0.803888888888889,0,0,0,0
5,Periodic10,5,Moderate,0.0935568521043775,0.125157376776415,0.484787568657917,0.152113230396609,10,24,120,3600,0.815,0,0,0,0
6,Periodic10,5,Moderate,0.095443496790229,0.125425013104893,0.484504348596072,0.154421737814108,10,24,120,3600,0.8,0,0,0,0
7,Periodic10,5,Moderate,0.0939603388906636,0.12211604407057,0.4844517216752,0.152196488041175,10,24,120,3600,0.809722222222222,0,0,0,0
8,Periodic10,5,Moderate,0.0945831937519371,0.121494112241898,0.483099704785215,0.153657281259461,10,24,120,3600,0.804722222222222,0,0,0,0
9,Periodic10,5,Moderate,0.0970392924022835,0.13517127184414,0.464905543320688,0.156995155918862,10,24,120,3600,0.794722222222222,0,0,0,0
10,Periodic10,5,Moderate,0.0950086289717443,0.131144588349767,0.480723570645154,0.154436875567666,10,24,120,3600,0.806666666666667,0,0,0,0
11,Periodic10,5,Moderate,0.0977333829676382,0.132585459180827,0.47938710623864,0.156858916136845,10,24,120,3600,0.791666666666667,0,0,0,0
12,Periodic10,5,Moderate,0.0947316158917825,0.126638238979209,0.473476603466545,0.152643051771117,10,24,120,3600,0.805833333333333,0,0,0,0
13,Periodic10,5,Moderate,0.0959797833194834,0.126242981157134,0.478904888158237,0.154368755676658,10,24,120,3600,0.803055555555556,0,0,0,0
14,Periodic10,5,Moderate,0.0959525493970848,0.128451064423756,0.474688848697362,0.154891008174387,10,24,120,3600,0.802777777777778,0,0,0,0
15,Periodic10,5,Moderate,0.0943706547910257,0.124436844074537,0.48488002201351,0.153914623069937,10,24,120,3600,0.803333333333333,0,0,0,0
16,Periodic10,5,Moderate,0.0943940187718322,0.123676151262858,0.480330136664354,0.153740538904027,10,24,120,3600,0.815555555555556,0,0,0,0
17,Periodic10,5,Moderate,0.0953055823767118,0.131036588075113,0.47054765001245,0.153876778686043,10,24,120,3600,0.798333333333333,0,0,0,0
18,Periodic10,5,Moderate,0.0958505081489184,0.127742301187745,0.479943596314122,0.155065092340297,10,24,120,3600,0.801944444444444,0,0,0,0
19,Periodic10,5,Moderate,0.0962056853195856,0.122548646764526,0.485380743732374,0.157487132909476,10,24,120,3600,0.795,0,0,0,0
20,Periodic10,5,Moderate,0.0967213881752575,0.128842781400059,0.479069943606228,0.157040569179534,10,24,120,3600,0.7975,0,0,0,0
1,Periodic20,5,Moderate,0.0727894770536564,0.0922098432132179,0.508255556334213,0.117968513472601,20,48,240,7200,0.803888888888889,0,0,0,0
2,Periodic20,5,Moderate,0.0723263795051269,0.0930895179848138,0.508633727254315,0.117296397214653,20,48,240,7200,0.805277777777778,0,0,0,0
3,Periodic20,5,Moderate,0.0730194738278082,0.0951502555140145,0.509542345440261,0.118746594005449,20,48,240,7200,0.802361111111111,0,0,0,0
4,Periodic20,5,Moderate,0.0733016482133504,0.0961048381865462,0.509277363395447,0.119388434756282,20,48,240,7200,0.794444444444445,0,0,0,0
5,Periodic20,5,Moderate,0.0723547098013366,0.0933009707764131,0.50793143189602,0.117611262488647,20,48,240,7200,0.805694444444444,0,0,0,0
6,Periodic20,5,Moderate,0.0726622913255142,0.0932805158657053,0.507086866720367,0.117871631849833,20,48,240,7200,0.801666666666667,0,0,0,0
7,Periodic20,5,Moderate,0.0725083691236392,0.0929997379364712,0.509310258942706,0.117827732364517,20,48,240,7200,0.804166666666667,0,0,0,0
8,Periodic20,5,Moderate,0.0725059375869361,0.093326368244062,0.508603024860158,0.117891310929458,20,48,240,7200,0.802083333333333,0,0,0,0
9,Periodic20,5,Moderate,0.0728238963349869,0.0950046477385813,0.505075575109194,0.118004844081138,20,48,240,7200,0.79875,0,0,0,0
10,Periodic20,5,Moderate,0.0731957072357496,0.0938834799445676,0.509002908806535,0.119214350590372,20,48,240,7200,0.792222222222222,0,0,0,0
11,Periodic20,5,Moderate,0.0734001140720042,0.0960187038625434,0.504070708645032,0.119081138359067,20,48,240,7200,0.790277777777778,0,0,0,0
12,Periodic20,5,Moderate,0.0730712809637623,0.0936911770981628,0.508284296106806,0.118563427187405,20,48,240,7200,0.795,0,0,0,0
13,Periodic20,5,Moderate,0.0727365818050143,0.093426505653443,0.507100463231451,0.117870118074478,20,48,240,7200,0.804166666666667,0,0,0,0
14,Periodic20,5,Moderate,0.0727026505141467,0.0931655074891366,0.50878860203324,0.117694520133212,20,48,240,7200,0.802083333333333,0,0,0,0
15,Periodic20,5,Moderate,0.0723126370717092,0.0929371790669463,0.508307363705344,0.117553739025129,20,48,240,7200,0.805555555555556,0,0,0,0
16,Periodic20,5,Moderate,0.0723467715568128,0.0934208942032698,0.509166585016781,0.117574931880109,20,48,240,7200,0.806666666666667,0,0,0,0
17,Periodic20,5,Moderate,0.072146103890741,0.0920102167780901,0.51004303225087,0.117582500756888,20,48,240,7200,0.799861111111111,0,0,0,0
18,Periodic20,5,Moderate,0.0728537867556982,0.0936269442012716,0.509338703246465,0.117929155313351,20,48,240,7200,0.800416666666667,0,0,0,0
19,Periodic20,5,Moderate,0.0729799911188516,0.0925030916962127,0.508307626002956,0.118160762942779,20,48,240,7200,0.7975,0,0,0,0
20,Periodic20,5,Moderate,0.0726490587013755,0.0943059283007396,0.50661237497593,0.117877686951256,20,48,240,7200,0.804305555555556,0,0,0,0
1,State-event,5,Moderate,0.170108133430701,0.261006815521101,0.346272898865384,0.27849076597033,4.28888888888889,10.2933333333333,51.4666666666667,1544,0.802461139896373,0,0,1,0
2,State-event,5,Moderate,0.174244512037392,0.272242705219758,0.379057105248946,0.281011201937632,4.29444444444444,10.3066666666667,51.5333333333333,1546,0.793014230271669,0,0,1,0
3,State-event,5,Moderate,0.163122992938263,0.224948036681932,0.387970874596734,0.26497880714502,4.28888888888889,10.2933333333333,51.4666666666667,1544,0.80440414507772,0,0,1,0
4,State-event,5,Moderate,0.16608015331736,0.24926240229953,0.399578593741173,0.274406600060551,4.3,10.32,51.6,1548,0.795865633074935,0,0,1,0
5,State-event,5,Moderate,0.161063741368524,0.22598624686258,0.408533271065866,0.265013623978202,4.28333333333333,10.28,51.4,1542,0.815175097276265,0,0,1,0
6,State-event,5,Moderate,0.170624284903171,0.252326155263956,0.348201600038286,0.272726309415683,4.29444444444444,10.3066666666667,51.5333333333333,1546,0.800776196636481,0,0,1,0
7,State-event,5,Moderate,0.168014481478133,0.273584692004382,0.384027918409871,0.266454738116863,4.28333333333333,10.28,51.4,1542,0.808041504539559,0,0,1,0
8,State-event,5,Moderate,0.166807772946012,0.232811301884659,0.368856590969795,0.271235240690281,4.28888888888889,10.2933333333333,51.4666666666667,1544,0.799870466321243,0,0,1,0
9,State-event,5,Moderate,0.167040131614381,0.235950210410723,0.413899377822293,0.273953981229186,4.29444444444444,10.3066666666667,51.5333333333333,1546,0.798188874514877,0,0,1,0
10,State-event,5,Moderate,0.16672877751165,0.253768160288173,0.408667857799733,0.278157735392068,4.28333333333333,10.28,51.4,1542,0.799610894941634,0,0,1,0
11,State-event,5,Moderate,0.170567962359745,0.235091165031604,0.384018810446485,0.277593097184378,4.27777777777778,10.2666666666667,51.3333333333333,1540,0.796103896103896,0,0,1,0
12,State-event,5,Moderate,0.16564340922898,0.233151701075588,0.400213234019588,0.266397214653345,4.28333333333333,10.28,51.4,1542,0.796368352788586,0,0,1,0
13,State-event,5,Moderate,0.172645757424282,0.285638399638687,0.40208385147458,0.27914774447472,4.28888888888889,10.2933333333333,51.4666666666667,1544,0.814119170984456,0,0,1,0
14,State-event,5,Moderate,0.172783377377174,0.246254430151708,0.385666014290761,0.282447774750227,4.29444444444444,10.3066666666667,51.5333333333333,1546,0.798835705045278,0,0,1,0
15,State-event,5,Moderate,0.161837467144879,0.221928076800261,0.406090573814152,0.270054495912806,4.29444444444444,10.3066666666667,51.5333333333333,1546,0.798188874514877,0,0,1,0
16,State-event,5,Moderate,0.170022027025155,0.266242812616116,0.402517010715649,0.271265516197396,4.30555555555556,10.3333333333333,51.6666666666667,1550,0.814838709677419,0,0,1,0
17,State-event,5,Moderate,0.17280765996767,0.271333935270114,0.392882103625732,0.281074780502573,4.29444444444444,10.3066666666667,51.5333333333333,1546,0.785899094437257,0,0,1,0
18,State-event,5,Moderate,0.170521056380463,0.236705504779653,0.393815671608004,0.272882228277324,4.29444444444444,10.3066666666667,51.5333333333333,1546,0.793014230271669,0,0,1,0
19,State-event,5,Moderate,0.169446363706611,0.238210544445135,0.399936209586739,0.277879200726612,4.29444444444444,10.3066666666667,51.5333333333333,1546,0.800776196636481,0,0,1,0
20,State-event,5,Moderate,0.179128723479423,0.322700354785965,0.369924708481637,0.284291553133515,4.3,10.32,51.6,1548,0.792635658914729,0,0,1,0
1,Full-AoI,5,Moderate,0.0974474021857022,0.126341717879332,0.476252383001204,0.158068422646079,11.2027777777778,26.8866666666667,134.433333333333,4033,0.799652863873047,3219,0,0,0
2,Full-AoI,5,Moderate,0.0964160820089309,0.126108268230667,0.474226520055648,0.15688919164396,11.2277777777778,26.9466666666667,134.733333333333,4042,0.803067788223652,3241,0,0,0
3,Full-AoI,5,Moderate,0.0969591242511074,0.123553942365536,0.481029140387245,0.157829246139873,11.1888888888889,26.8533333333333,134.266666666667,4028,0.803872889771599,3231,0,0,0
4,Full-AoI,5,Moderate,0.0967075841873328,0.128072504778521,0.479228231703008,0.157128368150166,11.1388888888889,26.7333333333333,133.666666666667,4010,0.802244389027431,3209,0,0,0
5,Full-AoI,5,Moderate,0.0970944740600442,0.127799481815003,0.474173936412126,0.157366030881017,11.0944444444444,26.6266666666667,133.133333333333,3994,0.816474712068102,3252,0,0,0
6,Full-AoI,5,Moderate,0.0974704442841977,0.128439222603125,0.474155152087442,0.158045716015743,11.2444444444444,26.9866666666667,134.933333333333,4048,0.800889328063241,3232,0,0,0
7,Full-AoI,5,Moderate,0.0969960736419279,0.124535468098063,0.475951282824125,0.157049651831668,11.2138888888889,26.9133333333333,134.566666666667,4037,0.810750557344563,3264,0,0,0
8,Full-AoI,5,Moderate,0.0971317150141141,0.123940137373572,0.476110918676992,0.156718135028762,11.1138888888889,26.6733333333333,133.366666666667,4001,0.807298175456136,3221,0,0,0
