seed,method,N,scenario,RMSE,MAXERR,MINEVAL,AOI,TXRATECHANNEL,TXRATEAGENT,TXRATETOTAL,TXCOUNT,PDR,ACKUPDATE,ACKMISS,FORMFAIL,SAFEFAIL
9,Full-AoI,5,Moderate,0.0977069156795577,0.12811568713073,0.477489778226217,0.158269754768392,11.2638888888889,27.0333333333333,135.166666666667,4055,0.79482120838471,3216,0,0,0
10,Full-AoI,5,Moderate,0.0980614945025742,0.128536762591062,0.472136195776475,0.158578564940963,11.2611111111111,27.0266666666667,135.133333333333,4054,0.802910705476073,3250,0,0,0
11,Full-AoI,5,Moderate,0.0977012481673846,0.125521005243263,0.476418636885026,0.158802603693612,11.2694444444444,27.0466666666667,135.233333333333,4057,0.7914715306877,3205,0,0,0
12,Full-AoI,5,Moderate,0.0969427401339824,0.124404375438485,0.477437991439222,0.157373599757796,11.1638888888889,26.7933333333333,133.966666666667,4019,0.8054242348843,3231,0,0,0
13,Full-AoI,5,Moderate,0.0975991546642608,0.125484124411766,0.480852828488516,0.15795791704511,11.2,26.88,134.4,4032,0.806051587301587,3244,0,0,0
14,Full-AoI,5,Moderate,0.0973670421711578,0.127289568978937,0.476778728308799,0.157555252800484,11.1888888888889,26.8533333333333,134.266666666667,4028,0.803376365441907,3226,0,0,0
15,Full-AoI,5,Moderate,0.097662324027478,0.127998098606362,0.478197547763088,0.15761731759007,11.1416666666667,26.74,133.7,4011,0.804038893044129,3219,0,0,0
16,Full-AoI,5,Moderate,0.0966020653842222,0.124942110034101,0.480339815197516,0.15715561610657,11.15,26.76,133.8,4014,0.813153961136024,3259,0,0,0
17,Full-AoI,5,Moderate,0.0971179209780035,0.12830729511889,0.475204715117224,0.157621858916137,11.1972222222222,26.8733333333333,134.366666666667,4031,0.801290002480774,3224,0,0,0
18,Full-AoI,5,Moderate,0.0978142563546462,0.127041803237356,0.475318691808039,0.157512867090524,11.1611111111111,26.7866666666667,133.933333333333,4018,0.80238924838228,3218,0,0,0
19,Full-AoI,5,Moderate,0.0981684856976971,0.12689540848143,0.473517960857728,0.159096276112625,11.2916666666667,27.1,135.5,4065,0.79680196801968,3233,0,0,0
20,Full-AoI,5,Moderate,0.0976814175590763,0.127904350400913,0.474905758408086,0.158144111413866,11.175,26.82,134.1,4023,0.799652000994283,3211,0,0,0
1,Periodic10,10,Moderate,0.150325083492198,0.20761785794114,0.406823621525945,0.15519527702089,10,25,250,7500,0.798133333333333,0,0,1,0
2,Periodic10,10,Moderate,0.150555279652177,0.215459526896518,0.406779975836156,0.155707538601271,10,25,250,7500,0.7972,0,0,1,0
3,Periodic10,10,Moderate,0.149080160299778,0.212082796732529,0.407014116964499,0.153698455949137,10,25,250,7500,0.807333333333333,0,0,1,0
4,Periodic10,10,Moderate,0.150895341216209,0.216628200157293,0.40358453016558,0.154101725703905,10,25,250,7500,0.803866666666667,0,0,1,0
5,Periodic10,10,Moderate,0.149561556152307,0.215226370875002,0.418040769834239,0.153309718437784,10,25,250,7500,0.806266666666667,0,0,1,0
6,Periodic10,10,Moderate,0.150623784371888,0.214407262275539,0.410408369063365,0.155271571298819,10,25,250,7500,0.8008,0,0,1,0
7,Periodic10,10,Moderate,0.150348648287834,0.211841994139129,0.407873625421714,0.155351498637602,10,25,250,7500,0.798533333333333,0,0,1,0
8,Periodic10,10,Moderate,0.150375863761443,0.213076042407317,0.410536742502234,0.153861943687557,10,25,250,7500,0.806266666666667,0,0,1,0
9,Periodic10,10,Moderate,0.1516711120716,0.213479700467584,0.403450204835092,0.155347865576748,10,25,250,7500,0.800933333333333,0,0,1,0
10,Periodic10,10,Moderate,0.151341683068052,0.216122572759442,0.402963960477365,0.155460490463215,10,25,250,7500,0.7976,0,0,1,0
11,Periodic10,10,Moderate,0.15060277301503,0.208311665459742,0.409165421134035,0.155747502270663,10,25,250,7500,0.798266666666667,0,0,1,0
12,Periodic10,10,Moderate,0.150140293289513,0.211591023350814,0.405854636683592,0.155220708446866,10,25,250,7500,0.7996,0,0,1,0
13,Periodic10,10,Moderate,0.150766653791092,0.216268047635211,0.406925743063321,0.1547229791099,10,25,250,7500,0.798266666666667,0,0,1,0
14,Periodic10,10,Moderate,0.14985758508475,0.209849874782603,0.406274611636861,0.154962761126249,10,25,250,7500,0.799333333333333,0,0,1,0
15,Periodic10,10,Moderate,0.14875166393145,0.206613740361765,0.412184522047519,0.15374931880109,10,25,250,7500,0.807333333333333,0,0,1,0
16,Periodic10,10,Moderate,0.149365446170373,0.21400943939409,0.404637619053735,0.154119891008174,10,25,250,7500,0.804133333333333,0,0,1,0
17,Periodic10,10,Moderate,0.149996673765665,0.214053826881434,0.406174832318551,0.154050862851953,10,25,250,7500,0.801733333333333,0,0,1,0
18,Periodic10,10,Moderate,0.150116631359383,0.210090903784957,0.413615607202102,0.154624886466848,10,25,250,7500,0.7984,0,0,1,0
19,Periodic10,10,Moderate,0.151104525310491,0.221339917520937,0.41177061847911,0.155173478655767,10,25,250,7500,0.795466666666667,0,0,1,0
20,Periodic10,10,Moderate,0.150207115339545,0.213648798255115,0.408291077933337,0.154930063578565,10,25,250,7500,0.798933333333333,0,0,1,0
1,Periodic20,10,Moderate,0.114719928023845,0.158919278311525,0.454351482539622,0.118128610354223,20,50,500,15000,0.7998,0,0,1,0
2,Periodic20,10,Moderate,0.114852431547547,0.160497825788066,0.453454906667901,0.118463578564941,20,50,500,15000,0.799066666666667,0,0,1,0
3,Periodic20,10,Moderate,0.114482440387014,0.159874730492003,0.455135566153998,0.118014532243415,20,50,500,15000,0.8034,0,0,1,0
4,Periodic20,10,Moderate,0.11500095318662,0.160196250185126,0.452255935597766,0.118328428701181,20,50,500,15000,0.799,0,0,1,0
5,Periodic20,10,Moderate,0.114382539211545,0.159092865147652,0.453391199911041,0.117808900999092,20,50,500,15000,0.8034,0,0,1,0
6,Periodic20,10,Moderate,0.114180977877265,0.159323241750225,0.455827395496138,0.117813987284287,20,50,500,15000,0.804066666666667,0,0,1,0
7,Periodic20,10,Moderate,0.114411218084126,0.160510223119858,0.454898194637491,0.118436693914623,20,50,500,15000,0.7974,0,0,1,0
8,Periodic20,10,Moderate,0.114577151572275,0.159922651990245,0.454969290266473,0.117742779291553,20,50,500,15000,0.805266666666667,0,0,1,0
9,Periodic20,10,Moderate,0.11444853716718,0.160208192958886,0.455241681095189,0.11746012715713,20,50,500,15000,0.8054,0,0,1,0
10,Periodic20,10,Moderate,0.115200429093789,0.160239378430882,0.452233878264615,0.118526067211626,20,50,500,15000,0.798933333333333,0,0,1,0
11,Periodic20,10,Moderate,0.114727541739641,0.159951315661389,0.453891537272595,0.118172207084469,20,50,500,15000,0.801533333333333,0,0,1,0
12,Periodic20,10,Moderate,0.115462255199745,0.159589607172981,0.453672614081903,0.119042688465032,20,50,500,15000,0.794733333333333,0,0,1,0
13,Periodic20,10,Moderate,0.115080614952046,0.161449675298749,0.451138456299021,0.118301544050863,20,50,500,15000,0.796266666666667,0,0,1,0
14,Periodic20,10,Moderate,0.114281791168832,0.160652846886535,0.45592464440466,0.117904087193461,20,50,500,15000,0.803066666666667,0,0,1,0
15,Periodic20,10,Moderate,0.114235509182994,0.158011481899631,0.453375539417838,0.117873569482289,20,50,500,15000,0.8024,0,0,1,0
16,Periodic20,10,Moderate,0.114720681885158,0.161183022265245,0.453480440435064,0.117998546775659,20,50,500,15000,0.8026,0,0,1,0
17,Periodic20,10,Moderate,0.114602464059508,0.160579869191571,0.455808465395979,0.117965849227975,20,50,500,15000,0.800733333333333,0,0,1,0
18,Periodic20,10,Moderate,0.11451996596971,0.161579401572696,0.455689864291137,0.117871389645777,20,50,500,15000,0.800466666666667,0,0,1,0
19,Periodic20,10,Moderate,0.114439683877041,0.160729768716764,0.455869164892245,0.117989100817439,20,50,500,15000,0.7988,0,0,1,0
20,Periodic20,10,Moderate,0.114189295882878,0.157034354438261,0.456574815829614,0.11780744777475,20,50,500,15000,0.802933333333333,0,0,1,0
1,State-event,10,Moderate,0.257871710025111,0.353596197729891,0.29747772329982,0.270627792915531,4.12,10.3,103,3090,0.80453074433657,0,0,1,0
2,State-event,10,Moderate,0.264604429835839,0.377730566644429,0.267873218137608,0.278583469573115,4.11466666666667,10.2866666666667,102.866666666667,3086,0.799092676604018,0,0,1,0
3,State-event,10,Moderate,0.256886546292924,0.405377483091779,0.284791522169383,0.270080653950954,4.10933333333333,10.2733333333333,102.733333333333,3082,0.807268007787151,0,0,1,0
4,State-event,10,Moderate,0.264168041153129,0.364532194372709,0.268918429577734,0.278765849227974,4.104,10.26,102.6,3078,0.802794022092268,0,0,1,0
5,State-event,10,Moderate,0.268883539954624,0.422585011422946,0.265889764198689,0.278016712079927,4.10933333333333,10.2733333333333,102.733333333333,3082,0.799480856586632,0,0,1,0
6,State-event,10,Moderate,0.263738379819641,0.373577428677449,0.265654039440004,0.278253587647593,4.11466666666667,10.2866666666667,102.866666666667,3086,0.802657161373947,0,0,1,0
7,State-event,10,Moderate,0.265378866450034,0.381675057768556,0.275097501083067,0.278430881017257,4.104,10.26,102.6,3078,0.793372319688109,0,0,1,0
8,State-event,10,Moderate,0.263735951570369,0.36181898169973,0.25479475760081,0.272820708446866,4.12533333333333,10.3133333333333,103.133333333333,3094,0.809308338720103,0,0,1,0
9,State-event,10,Moderate,0.265543025671995,0.406372125399158,0.257526728851998,0.277892461398728,4.10666666666667,10.2666666666667,102.666666666667,3080,0.797727272727273,0,0,1,0
10,State-event,10,Moderate,0.262794169534023,0.374970092533308,0.245754088992891,0.275751861943687,4.10933333333333,10.2733333333333,102.733333333333,3082,0.793964957819598,0,0,1,1
11,State-event,10,Moderate,0.261467014981228,0.388872179301609,0.262400334262955,0.275209082652134,4.11466666666667,10.2866666666667,102.866666666667,3086,0.806545690213869,0,0,1,0
12,State-event,10,Moderate,0.25914621317732,0.398114033963639,0.267174365620849,0.271086285195277,4.10666666666667,10.2666666666667,102.666666666667,3080,0.804545454545455,0,0,1,0
13,State-event,10,Moderate,0.263177041727533,0.411341164139681,0.251002271125183,0.278050136239782,4.112,10.28,102.8,3084,0.798313878080415,0,0,1,0
14,State-event,10,Moderate,0.256824609577224,0.370925746871889,0.263154978472854,0.271027429609446,4.10133333333333,10.2533333333333,102.533333333333,3076,0.802340702210663,0,0,1,0
15,State-event,10,Moderate,0.256779693083735,0.370489510211805,0.278329329356804,0.269539327883742,4.12533333333333,10.3133333333333,103.133333333333,3094,0.808338720103426,0,0,1,0
16,State-event,10,Moderate,0.261887245631474,0.385868760994527,0.274131025892398,0.271607992733878,4.11466666666667,10.2866666666667,102.866666666667,3086,0.806869734283863,0,0,1,0
17,State-event,10,Moderate,0.263384866286309,0.372085507323242,0.277922551962563,0.278616167120799,4.112,10.28,102.8,3084,0.794747081712062,0,0,1,0
18,State-event,10,Moderate,0.263111722487108,0.364704855247574,0.269590356487704,0.278315349682107,4.104,10.26,102.6,3078,0.794671864847303,0,0,1,0
19,State-event,10,Moderate,0.271033690844766,0.436333029025086,0.26334686121211,0.28464123524069,4.09866666666667,10.2466666666667,102.466666666667,3074,0.789850357839948,0,0,1,0
20,State-event,10,Moderate,0.257148943439012,0.38270171411761,0.289571745245565,0.272147865576748,4.12,10.3,103,3090,0.805501618122977,0,0,1,0
1,Full-AoI,10,Moderate,0.154024899733797,0.218302687500131,0.407605018487347,0.158758583106267,10.9626666666667,27.4066666666667,274.066666666667,8222,0.796643152517636,6539,0,1,0
2,Full-AoI,10,Moderate,0.153268239854637,0.219042845669615,0.408898090102993,0.158228882833787,10.9226666666667,27.3066666666667,273.066666666667,8192,0.7984619140625,6526,0,1,0
3,Full-AoI,10,Moderate,0.153065768672775,0.215828520370263,0.407634675591618,0.1576148955495,10.86,27.15,271.5,8145,0.806507059545734,6556,0,1,0
4,Full-AoI,10,Moderate,0.153493229938971,0.218714703962327,0.405560536658873,0.157573478655767,10.908,27.27,272.7,8181,0.802958073585136,6547,0,1,0
5,Full-AoI,10,Moderate,0.152766215390998,0.218407633015195,0.410029447058071,0.15701689373297,10.8813333333333,27.2033333333333,272.033333333333,8161,0.806763876975861,6569,0,1,0
6,Full-AoI,10,Moderate,0.152945294710468,0.216732557001659,0.409412590063545,0.157466666666667,10.9106666666667,27.2766666666667,272.766666666667,8183,0.800684345594525,6537,0,1,0
7,Full-AoI,10,Moderate,0.1535497038021,0.219628672252903,0.408830025115326,0.158098819255222,10.936,27.34,273.4,8202,0.798585710802243,6536,0,1,0
8,Full-AoI,10,Moderate,0.153487916687643,0.222071150344777,0.406333022277926,0.157641780199818,10.9,27.25,272.5,8175,0.805871559633027,6576,0,1,0
9,Full-AoI,10,Moderate,0.153389583971596,0.224945674457174,0.408636451865448,0.157563306085377,10.9186666666667,27.2966666666667,272.966666666667,8189,0.802784222737819,6558,0,1,0
10,Full-AoI,10,Moderate,0.154161727639922,0.215283376083517,0.409639243768907,0.158343687556766,10.9986666666667,27.4966666666667,274.966666666667,8249,0.797308764698751,6555,0,1,0
11,Full-AoI,10,Moderate,0.153855874049629,0.222348792215746,0.399779619226445,0.158314623069936,10.944,27.36,273.6,8208,0.799342105263158,6545,0,1,0
12,Full-AoI,10,Moderate,0.153176272147254,0.210816631211749,0.404880927825956,0.15839527702089,10.924,27.31,273.1,8193,0.798730623703161,6530,0,1,0
13,Full-AoI,10,Moderate,0.153177391125843,0.221471884246718,0.405901820154978,0.157752951861943,10.94,27.35,273.5,8205,0.799146861669714,6543,0,1,0
14,Full-AoI,10,Moderate,0.154083714710054,0.213429609729603,0.400954304144219,0.158572570390554,10.9066666666667,27.2666666666667,272.666666666667,8180,0.799755501222494,6524,0,1,0
15,Full-AoI,10,Moderate,0.152934301951743,0.219190954227625,0.409059363441338,0.157346775658492,10.8186666666667,27.0466666666667,270.466666666667,8114,0.808109440473256,6543,0,1,0
16,Full-AoI,10,Moderate,0.153500509747315,0.220346471899006,0.406688964666407,0.157488465031789,10.8946666666667,27.2366666666667,272.366666666667,8171,0.804919838453066,6567,0,1,0
17,Full-AoI,10,Moderate,0.152773240989623,0.216596889139364,0.406086159249978,0.157577838328792,10.8666666666667,27.1666666666667,271.666666666667,8150,0.802576687116564,6523,0,1,0
18,Full-AoI,10,Moderate,0.15316269086564,0.217489059416429,0.409095058068503,0.157924432334241,10.9386666666667,27.3466666666667,273.466666666667,8204,0.798391028766455,6538,0,1,0
19,Full-AoI,10,Moderate,0.153481149772915,0.222011334610242,0.406150017768373,0.1580770208901,10.9453333333333,27.3633333333333,273.633333333333,8209,0.795224753319527,6513,0,1,0
20,Full-AoI,10,Moderate,0.154092085878084,0.218467645685354,0.404376093503807,0.158401089918256,10.936,27.34,273.4,8202,0.798219946354548,6531,0,1,0
1,Periodic10,20,Moderate,0.179095660148339,0.25217404348668,0.398883035586418,0.155711171662125,10,25,500,15000,0.797,0,0,1,0
2,Periodic10,20,Moderate,0.178910260882401,0.250711668168342,0.40588904959734,0.155578564940963,10,25,500,15000,0.7998,0,0,1,0
3,Periodic10,20,Moderate,0.177602841876395,0.248449227431185,0.400596183815853,0.154227066303361,10,25,500,15000,0.803666666666667,0,0,1,0
4,Periodic10,20,Moderate,0.178013871523646,0.257260551235982,0.408463135847727,0.154692098092643,10,25,500,15000,0.7998,0,0,1,0
5,Periodic10,20,Moderate,0.179140784226097,0.252740542529623,0.400996260119975,0.155051771117166,10,25,500,15000,0.799266666666667,0,0,1,0
6,Periodic10,20,Moderate,0.179844731173972,0.241125756390755,0.398475786755816,0.155396911898274,10,25,500,15000,0.799066666666667,0,0,1,0
7,Periodic10,20,Moderate,0.17822106467047,0.249452385091523,0.405422194863359,0.154917347865577,10,25,500,15000,0.7976,0,0,1,0
8,Periodic10,20,Moderate,0.178619382167853,0.247404645093438,0.404120238119435,0.15469391462307,10,25,500,15000,0.803666666666667,0,0,1,0
9,Periodic10,20,Moderate,0.177860704218103,0.243155797571045,0.401757147328864,0.154757493188011,10,25,500,15000,0.797466666666667,0,0,1,0
10,Periodic10,20,Moderate,0.177211132234792,0.247746620559464,0.408447015312566,0.153685740236149,10,25,500,15000,0.804066666666667,0,0,1,0
11,Periodic10,20,Moderate,0.178918617664864,0.24914605097366,0.407066753884296,0.154819255222525,10,25,500,15000,0.800133333333333,0,0,1,0
12,Periodic10,20,Moderate,0.178715127218624,0.247246732419733,0.40758016555048,0.154935513169846,10,25,500,15000,0.799333333333333,0,0,1,0
13,Periodic10,20,Moderate,0.17974516407086,0.243365710022613,0.402422036477486,0.15574931880109,10,25,500,15000,0.797466666666667,0,0,1,0
14,Periodic10,20,Moderate,0.178109674881755,0.246974459315885,0.406494294650976,0.15466485013624,10,25,500,15000,0.803933333333333,0,0,1,0
15,Periodic10,20,Moderate,0.178041543160686,0.251057104345754,0.404476209382103,0.154799273387829,10,25,500,15000,0.800333333333333,0,0,1,0
16,Periodic10,20,Moderate,0.17785804040146,0.251624744774833,0.401991742959563,0.15455949137148,10,25,500,15000,0.804133333333333,0,0,1,0
