seed,context,macType,serviceFeasible,referenceArm,maxAliasDifference
16024005,n10-moderate-bg30,csma,0,frame-piggyback,0
16024005,n10-moderate-bg30,aloha,0,frame-piggyback,0
16024005,n10-stressed-bg0,csma,1,frame-piggyback,0
16024005,n10-stressed-bg0,aloha,0,frame-piggyback,0
16024005,n10-stressed-bg30,csma,0,frame-piggyback,0
16024005,n10-stressed-bg30,aloha,0,frame-piggyback,0
16024005,n5-moderate-reverse,csma,1,frame-piggyback,0
16024005,n5-moderate-reverse,aloha,1,frame-adaptive,0
16024005,n5-moderate-hidden,csma,1,frame-piggyback,0
16024005,n5-moderate-hidden,aloha,1,frame-adaptive,0
16024006,n5-moderate-bg0,csma,1,frame-piggyback,0
16024006,n5-moderate-bg0,aloha,1,frame-adaptive,0
16024006,n5-moderate-bg30,csma,0,frame-piggyback,0
16024006,n5-moderate-bg30,aloha,0,frame-piggyback,0
16024006,n5-stressed-bg0,csma,1,frame-piggyback,0
16024006,n5-stressed-bg0,aloha,0,frame-piggyback,0
16024006,n5-stressed-bg30,csma,0,frame-piggyback,0
16024006,n5-stressed-bg30,aloha,0,frame-piggyback,0
16024006,n10-moderate-bg0,csma,1,frame-piggyback,0
16024006,n10-moderate-bg0,aloha,0,frame-piggyback,0
16024006,n10-moderate-bg30,csma,0,frame-piggyback,0
16024006,n10-moderate-bg30,aloha,0,frame-piggyback,0
16024006,n10-stressed-bg0,csma,1,frame-piggyback,0
16024006,n10-stressed-bg0,aloha,0,frame-piggyback,0
16024006,n10-stressed-bg30,csma,0,frame-piggyback,0
16024006,n10-stressed-bg30,aloha,0,frame-piggyback,0
16024006,n5-moderate-reverse,csma,1,frame-piggyback,0
16024006,n5-moderate-reverse,aloha,1,frame-adaptive,0
16024006,n5-moderate-hidden,csma,1,frame-piggyback,0
16024006,n5-moderate-hidden,aloha,1,frame-adaptive,0
16024007,n5-moderate-bg0,csma,1,frame-piggyback,0
16024007,n5-moderate-bg0,aloha,1,frame-adaptive,0
16024007,n5-moderate-bg30,csma,0,frame-piggyback,0
16024007,n5-moderate-bg30,aloha,0,frame-piggyback,0
16024007,n5-stressed-bg0,csma,1,frame-piggyback,0
16024007,n5-stressed-bg0,aloha,0,frame-piggyback,0
16024007,n5-stressed-bg30,csma,0,frame-piggyback,0
16024007,n5-stressed-bg30,aloha,0,frame-piggyback,0
16024007,n10-moderate-bg0,csma,1,frame-piggyback,0
16024007,n10-moderate-bg0,aloha,0,frame-piggyback,0
16024007,n10-moderate-bg30,csma,0,frame-piggyback,0
16024007,n10-moderate-bg30,aloha,0,frame-piggyback,0
16024007,n10-stressed-bg0,csma,1,frame-piggyback,0
16024007,n10-stressed-bg0,aloha,0,frame-piggyback,0
16024007,n10-stressed-bg30,csma,0,frame-piggyback,0
16024007,n10-stressed-bg30,aloha,0,frame-piggyback,0
16024007,n5-moderate-reverse,csma,1,frame-piggyback,0
16024007,n5-moderate-reverse,aloha,1,frame-adaptive,0
16024007,n5-moderate-hidden,csma,1,frame-piggyback,0
16024007,n5-moderate-hidden,aloha,1,frame-adaptive,0
16024008,n5-moderate-bg0,csma,1,frame-piggyback,0
16024008,n5-moderate-bg0,aloha,1,frame-adaptive,0
16024008,n5-moderate-bg30,csma,0,frame-piggyback,0
16024008,n5-moderate-bg30,aloha,0,frame-piggyback,0
16024008,n5-stressed-bg0,csma,1,frame-piggyback,0
16024008,n5-stressed-bg0,aloha,0,frame-piggyback,0
16024008,n5-stressed-bg30,csma,0,frame-piggyback,0
16024008,n5-stressed-bg30,aloha,0,frame-piggyback,0
16024008,n10-moderate-bg0,csma,1,frame-piggyback,0
16024008,n10-moderate-bg0,aloha,0,frame-piggyback,0
16024008,n10-moderate-bg30,csma,0,frame-piggyback,0
16024008,n10-moderate-bg30,aloha,0,frame-piggyback,0
16024008,n10-stressed-bg0,csma,1,frame-piggyback,0
16024008,n10-stressed-bg0,aloha,0,frame-piggyback,0
16024008,n10-stressed-bg30,csma,0,frame-piggyback,0
16024008,n10-stressed-bg30,aloha,0,frame-piggyback,0
16024008,n5-moderate-reverse,csma,1,frame-piggyback,0
16024008,n5-moderate-reverse,aloha,1,frame-adaptive,0
16024008,n5-moderate-hidden,csma,1,frame-piggyback,0
16024008,n5-moderate-hidden,aloha,1,frame-adaptive,0
16024009,n5-moderate-bg0,csma,1,frame-piggyback,0
16024009,n5-moderate-bg0,aloha,1,frame-adaptive,0
16024009,n5-moderate-bg30,csma,0,frame-piggyback,0
16024009,n5-moderate-bg30,aloha,0,frame-piggyback,0
16024009,n5-stressed-bg0,csma,1,frame-piggyback,0
16024009,n5-stressed-bg0,aloha,0,frame-piggyback,0
16024009,n5-stressed-bg30,csma,0,frame-piggyback,0
16024009,n5-stressed-bg30,aloha,0,frame-piggyback,0
16024009,n10-moderate-bg0,csma,1,frame-piggyback,0
16024009,n10-moderate-bg0,aloha,0,frame-piggyback,0
16024009,n10-moderate-bg30,csma,0,frame-piggyback,0
16024009,n10-moderate-bg30,aloha,0,frame-piggyback,0
16024009,n10-stressed-bg0,csma,1,frame-piggyback,0
16024009,n10-stressed-bg0,aloha,0,frame-piggyback,0
16024009,n10-stressed-bg30,csma,0,frame-piggyback,0
16024009,n10-stressed-bg30,aloha,0,frame-piggyback,0
16024009,n5-moderate-reverse,csma,1,frame-piggyback,0
16024009,n5-moderate-reverse,aloha,1,frame-adaptive,0
16024009,n5-moderate-hidden,csma,1,frame-piggyback,0
16024009,n5-moderate-hidden,aloha,1,frame-adaptive,0
16024010,n5-moderate-bg0,csma,1,frame-piggyback,0
16024010,n5-moderate-bg0,aloha,1,frame-adaptive,0
16024010,n5-moderate-bg30,csma,0,frame-piggyback,0
16024010,n5-moderate-bg30,aloha,0,frame-piggyback,0
16024010,n5-stressed-bg0,csma,1,frame-piggyback,0
16024010,n5-stressed-bg0,aloha,0,frame-piggyback,0
16024010,n5-stressed-bg30,csma,0,frame-piggyback,0
16024010,n5-stressed-bg30,aloha,0,frame-piggyback,0
16024010,n10-moderate-bg0,csma,1,frame-piggyback,0
16024010,n10-moderate-bg0,aloha,0,frame-piggyback,0
16024010,n10-moderate-bg30,csma,0,frame-piggyback,0
16024010,n10-moderate-bg30,aloha,0,frame-piggyback,0
16024010,n10-stressed-bg0,csma,1,frame-piggyback,0
16024010,n10-stressed-bg0,aloha,0,frame-piggyback,0
16024010,n10-stressed-bg30,csma,0,frame-piggyback,0
16024010,n10-stressed-bg30,aloha,0,frame-piggyback,0
16024010,n5-moderate-reverse,csma,1,frame-piggyback,0
16024010,n5-moderate-reverse,aloha,1,frame-adaptive,0
16024010,n5-moderate-hidden,csma,1,frame-piggyback,0
16024010,n5-moderate-hidden,aloha,1,frame-adaptive,0
16024011,n5-moderate-bg0,csma,1,frame-piggyback,0
16024011,n5-moderate-bg0,aloha,1,frame-adaptive,0
16024011,n5-moderate-bg30,csma,0,frame-piggyback,0
16024011,n5-moderate-bg30,aloha,0,frame-piggyback,0
16024011,n5-stressed-bg0,csma,1,frame-piggyback,0
16024011,n5-stressed-bg0,aloha,0,frame-piggyback,0
16024011,n5-stressed-bg30,csma,0,frame-piggyback,0
16024011,n5-stressed-bg30,aloha,0,frame-piggyback,0
16024011,n10-moderate-bg0,csma,1,frame-piggyback,0
16024011,n10-moderate-bg0,aloha,0,frame-piggyback,0
16024011,n10-moderate-bg30,csma,0,frame-piggyback,0
16024011,n10-moderate-bg30,aloha,0,frame-piggyback,0
16024011,n10-stressed-bg0,csma,1,frame-piggyback,0
16024011,n10-stressed-bg0,aloha,0,frame-piggyback,0
16024011,n10-stressed-bg30,csma,0,frame-piggyback,0
16024011,n10-stressed-bg30,aloha,0,frame-piggyback,0
16024011,n5-moderate-reverse,csma,1,frame-piggyback,0
16024011,n5-moderate-reverse,aloha,1,frame-adaptive,0
16024011,n5-moderate-hidden,csma,1,frame-piggyback,0
16024011,n5-moderate-hidden,aloha,1,frame-adaptive,0
16024012,n5-moderate-bg0,csma,1,frame-piggyback,0
16024012,n5-moderate-bg0,aloha,1,frame-adaptive,0
16024012,n5-moderate-bg30,csma,0,frame-piggyback,0
16024012,n5-moderate-bg30,aloha,0,frame-piggyback,0
16024012,n5-stressed-bg0,csma,1,frame-piggyback,0
16024012,n5-stressed-bg0,aloha,0,frame-piggyback,0
16024012,n5-stressed-bg30,csma,0,frame-piggyback,0
16024012,n5-stressed-bg30,aloha,0,frame-piggyback,0
16024012,n10-moderate-bg0,csma,1,frame-piggyback,0
16024012,n10-moderate-bg0,aloha,0,frame-piggyback,0
16024012,n10-moderate-bg30,csma,0,frame-piggyback,0
16024012,n10-moderate-bg30,aloha,0,frame-piggyback,0
16024012,n10-stressed-bg0,csma,1,frame-piggyback,0
16024012,n10-stressed-bg0,aloha,0,frame-piggyback,0
16024012,n10-stressed-bg30,csma,0,frame-piggyback,0
16024012,n10-stressed-bg30,aloha,0,frame-piggyback,0
16024012,n5-moderate-reverse,csma,1,frame-piggyback,0
16024012,n5-moderate-reverse,aloha,1,frame-adaptive,0
16024012,n5-moderate-hidden,csma,1,frame-piggyback,0
16024012,n5-moderate-hidden,aloha,1,frame-adaptive,0
16024013,n5-moderate-bg0,csma,1,frame-piggyback,0
16024013,n5-moderate-bg0,aloha,1,frame-adaptive,0
16024013,n5-moderate-bg30,csma,0,frame-piggyback,0
16024013,n5-moderate-bg30,aloha,0,frame-piggyback,0
16024013,n5-stressed-bg0,csma,1,frame-piggyback,0
16024013,n5-stressed-bg0,aloha,0,frame-piggyback,0
16024013,n5-stressed-bg30,csma,0,frame-piggyback,0
16024013,n5-stressed-bg30,aloha,0,frame-piggyback,0
16024013,n10-moderate-bg0,csma,1,frame-piggyback,0
16024013,n10-moderate-bg0,aloha,0,frame-piggyback,0
16024013,n10-moderate-bg30,csma,0,frame-piggyback,0
16024013,n10-moderate-bg30,aloha,0,frame-piggyback,0
16024013,n10-stressed-bg0,csma,1,frame-piggyback,0
16024013,n10-stressed-bg0,aloha,0,frame-piggyback,0
16024013,n10-stressed-bg30,csma,0,frame-piggyback,0
16024013,n10-stressed-bg30,aloha,0,frame-piggyback,0
16024013,n5-moderate-reverse,csma,1,frame-piggyback,0
16024013,n5-moderate-reverse,aloha,1,frame-adaptive,0
16024013,n5-moderate-hidden,csma,1,frame-piggyback,0
16024013,n5-moderate-hidden,aloha,1,frame-adaptive,0
16024014,n5-moderate-bg0,csma,1,frame-piggyback,0
16024014,n5-moderate-bg0,aloha,1,frame-adaptive,0
16024014,n5-moderate-bg30,csma,0,frame-piggyback,0
16024014,n5-moderate-bg30,aloha,0,frame-piggyback,0
16024014,n5-stressed-bg0,csma,1,frame-piggyback,0
16024014,n5-stressed-bg0,aloha,0,frame-piggyback,0
16024014,n5-stressed-bg30,csma,0,frame-piggyback,0
16024014,n5-stressed-bg30,aloha,0,frame-piggyback,0
16024014,n10-moderate-bg0,csma,1,frame-piggyback,0
16024014,n10-moderate-bg0,aloha,0,frame-piggyback,0
16024014,n10-moderate-bg30,csma,0,frame-piggyback,0
16024014,n10-moderate-bg30,aloha,0,frame-piggyback,0
16024014,n10-stressed-bg0,csma,1,frame-piggyback,0
16024014,n10-stressed-bg0,aloha,0,frame-piggyback,0
16024014,n10-stressed-bg30,csma,0,frame-piggyback,0
16024014,n10-stressed-bg30,aloha,0,frame-piggyback,0
16024014,n5-moderate-reverse,csma,1,frame-piggyback,0
16024014,n5-moderate-reverse,aloha,1,frame-adaptive,0
16024014,n5-moderate-hidden,csma,1,frame-piggyback,0
16024014,n5-moderate-hidden,aloha,1,frame-adaptive,0
16024015,n5-moderate-bg0,csma,1,frame-piggyback,0
16024015,n5-moderate-bg0,aloha,1,frame-adaptive,0
16024015,n5-moderate-bg30,csma,0,frame-piggyback,0
16024015,n5-moderate-bg30,aloha,0,frame-piggyback,0
16024015,n5-stressed-bg0,csma,1,frame-piggyback,0
16024015,n5-stressed-bg0,aloha,0,frame-piggyback,0
16024015,n5-stressed-bg30,csma,0,frame-piggyback,0
16024015,n5-stressed-bg30,aloha,0,frame-piggyback,0
16024015,n10-moderate-bg0,csma,1,frame-piggyback,0
16024015,n10-moderate-bg0,aloha,0,frame-piggyback,0
16024015,n10-moderate-bg30,csma,0,frame-piggyback,0
16024015,n10-moderate-bg30,aloha,0,frame-piggyback,0
16024015,n10-stressed-bg0,csma,1,frame-piggyback,0
16024015,n10-stressed-bg0,aloha,0,frame-piggyback,0
16024015,n10-stressed-bg30,csma,0,frame-piggyback,0
16024015,n10-stressed-bg30,aloha,0,frame-piggyback,0
16024015,n5-moderate-reverse,csma,1,frame-piggyback,0
16024015,n5-moderate-reverse,aloha,1,frame-adaptive,0
16024015,n5-moderate-hidden,csma,1,frame-piggyback,0
16024015,n5-moderate-hidden,aloha,1,frame-adaptive,0
16024016,n5-moderate-bg0,csma,1,frame-piggyback,0
16024016,n5-moderate-bg0,aloha,1,frame-adaptive,0
16024016,n5-moderate-bg30,csma,0,frame-piggyback,0
16024016,n5-moderate-bg30,aloha,0,frame-piggyback,0
16024016,n5-stressed-bg0,csma,1,frame-piggyback,0
16024016,n5-stressed-bg0,aloha,0,frame-piggyback,0
16024016,n5-stressed-bg30,csma,0,frame-piggyback,0
16024016,n5-stressed-bg30,aloha,0,frame-piggyback,0
16024016,n10-moderate-bg0,csma,1,frame-piggyback,0
16024016,n10-moderate-bg0,aloha,0,frame-piggyback,0
16024016,n10-moderate-bg30,csma,0,frame-piggyback,0
16024016,n10-moderate-bg30,aloha,0,frame-piggyback,0
16024016,n10-stressed-bg0,csma,1,frame-piggyback,0
16024016,n10-stressed-bg0,aloha,0,frame-piggyback,0
16024016,n10-stressed-bg30,csma,0,frame-piggyback,0
16024016,n10-stressed-bg30,aloha,0,frame-piggyback,0
16024016,n5-moderate-reverse,csma,1,frame-piggyback,0
16024016,n5-moderate-reverse,aloha,1,frame-adaptive,0
16024016,n5-moderate-hidden,csma,1,frame-piggyback,0
16024016,n5-moderate-hidden,aloha,1,frame-adaptive,0
16024017,n5-moderate-bg0,csma,1,frame-piggyback,0
16024017,n5-moderate-bg0,aloha,1,frame-adaptive,0
16024017,n5-moderate-bg30,csma,0,frame-piggyback,0
16024017,n5-moderate-bg30,aloha,0,frame-piggyback,0
16024017,n5-stressed-bg0,csma,1,frame-piggyback,0
16024017,n5-stressed-bg0,aloha,0,frame-piggyback,0
16024017,n5-stressed-bg30,csma,0,frame-piggyback,0
16024017,n5-stressed-bg30,aloha,0,frame-piggyback,0
16024017,n10-moderate-bg0,csma,1,frame-piggyback,0
16024017,n10-moderate-bg0,aloha,0,frame-piggyback,0
16024017,n10-moderate-bg30,csma,0,frame-piggyback,0
16024017,n10-moderate-bg30,aloha,0,frame-piggyback,0
16024017,n10-stressed-bg0,csma,1,frame-piggyback,0
16024017,n10-stressed-bg0,aloha,0,frame-piggyback,0
16024017,n10-stressed-bg30,csma,0,frame-piggyback,0
16024017,n10-stressed-bg30,aloha,0,frame-piggyback,0
16024017,n5-moderate-reverse,csma,1,frame-piggyback,0
16024017,n5-moderate-reverse,aloha,1,frame-adaptive,0
16024017,n5-moderate-hidden,csma,1,frame-piggyback,0
16024017,n5-moderate-hidden,aloha,1,frame-adaptive,0
16024018,n5-moderate-bg0,csma,1,frame-piggyback,0
16024018,n5-moderate-bg0,aloha,1,frame-adaptive,0
16024018,n5-moderate-bg30,csma,0,frame-piggyback,0
16024018,n5-moderate-bg30,aloha,0,frame-piggyback,0
16024018,n5-stressed-bg0,csma,1,frame-piggyback,0
16024018,n5-stressed-bg0,aloha,0,frame-piggyback,0
16024018,n5-stressed-bg30,csma,0,frame-piggyback,0
16024018,n5-stressed-bg30,aloha,0,frame-piggyback,0
16024018,n10-moderate-bg0,csma,1,frame-piggyback,0
16024018,n10-moderate-bg0,aloha,0,frame-piggyback,0
16024018,n10-moderate-bg30,csma,0,frame-piggyback,0
16024018,n10-moderate-bg30,aloha,0,frame-piggyback,0
16024018,n10-stressed-bg0,csma,1,frame-piggyback,0
16024018,n10-stressed-bg0,aloha,0,frame-piggyback,0
16024018,n10-stressed-bg30,csma,0,frame-piggyback,0
16024018,n10-stressed-bg30,aloha,0,frame-piggyback,0
16024018,n5-moderate-reverse,csma,1,frame-piggyback,0
16024018,n5-moderate-reverse,aloha,1,frame-adaptive,0
16024018,n5-moderate-hidden,csma,1,frame-piggyback,0
16024018,n5-moderate-hidden,aloha,1,frame-adaptive,0
16024019,n5-moderate-bg0,csma,1,frame-piggyback,0
16024019,n5-moderate-bg0,aloha,1,frame-adaptive,0
16024019,n5-moderate-bg30,csma,0,frame-piggyback,0
16024019,n5-moderate-bg30,aloha,0,frame-piggyback,0
16024019,n5-stressed-bg0,csma,1,frame-piggyback,0
16024019,n5-stressed-bg0,aloha,0,frame-piggyback,0
16024019,n5-stressed-bg30,csma,0,frame-piggyback,0
16024019,n5-stressed-bg30,aloha,0,frame-piggyback,0
16024019,n10-moderate-bg0,csma,1,frame-piggyback,0
16024019,n10-moderate-bg0,aloha,0,frame-piggyback,0
16024019,n10-moderate-bg30,csma,0,frame-piggyback,0
16024019,n10-moderate-bg30,aloha,0,frame-piggyback,0
16024019,n10-stressed-bg0,csma,1,frame-piggyback,0
16024019,n10-stressed-bg0,aloha,0,frame-piggyback,0
16024019,n10-stressed-bg30,csma,0,frame-piggyback,0
16024019,n10-stressed-bg30,aloha,0,frame-piggyback,0
16024019,n5-moderate-reverse,csma,1,frame-piggyback,0
16024019,n5-moderate-reverse,aloha,1,frame-adaptive,0
16024019,n5-moderate-hidden,csma,1,frame-piggyback,0
16024019,n5-moderate-hidden,aloha,1,frame-adaptive,0
16024020,n5-moderate-bg0,csma,1,frame-piggyback,0
16024020,n5-moderate-bg0,aloha,1,frame-adaptive,0
16024020,n5-moderate-bg30,csma,0,frame-piggyback,0
16024020,n5-moderate-bg30,aloha,0,frame-piggyback,0
16024020,n5-stressed-bg0,csma,1,frame-piggyback,0
16024020,n5-stressed-bg0,aloha,0,frame-piggyback,0
16024020,n5-stressed-bg30,csma,0,frame-piggyback,0
16024020,n5-stressed-bg30,aloha,0,frame-piggyback,0
16024020,n10-moderate-bg0,csma,1,frame-piggyback,0
16024020,n10-moderate-bg0,aloha,0,frame-piggyback,0
16024020,n10-moderate-bg30,csma,0,frame-piggyback,0
16024020,n10-moderate-bg30,aloha,0,frame-piggyback,0
16024020,n10-stressed-bg0,csma,1,frame-piggyback,0
16024020,n10-stressed-bg0,aloha,0,frame-piggyback,0
16024020,n10-stressed-bg30,csma,0,frame-piggyback,0
16024020,n10-stressed-bg30,aloha,0,frame-piggyback,0
16024020,n5-moderate-reverse,csma,1,frame-piggyback,0
16024020,n5-moderate-reverse,aloha,1,frame-adaptive,0
16024020,n5-moderate-hidden,csma,1,frame-piggyback,0
16024020,n5-moderate-hidden,aloha,1,frame-adaptive,0
