stage,seed,scenario,scenarioLabel,family,arm,pointIndex,parameterValue,method,methodLabel,feedbackMode,N,topology,plant,macType,pAccess,configuredPAccess,backgroundLoad,carrierSenseDensity,interferenceDensity,stationaryMeanDataLoss,stationaryMeanAckLoss,meanBadDurationDataSec,meanBadDurationAckSec,RMSE,MINSEP,SAFEFAIL,DIVERGED,ROLL_PEAK_DEG,PITCH_PEAK_DEG,SATURATION,CONTROL_EFFORT,MEAN_TRUE_AOI,P95_TRUE_AOI,P99_TRUE_AOI,MAX_TRUE_AOI,MEAN_EST_AOI,MEAN_AOI_GAP,DATA_GENERATED,DATA_ATTEMPTED,DATA_DELIVERED,ACK_ATTEMPTED,ACK_ENTRIES_DELIVERED,DATA_RECIPIENT_ATTEMPTS,DATA_RECIPIENT_SUCCESS,DATA_RECIPIENT_LOSS,ACK_RECIPIENT_ATTEMPTS,ACK_RECIPIENT_SUCCESS,ACK_RECIPIENT_LOSS,TERMINAL_ACTIVE_FRAMES,TERMINAL_DATA_INFLIGHT,TERMINAL_ACK_INFLIGHT,COLLISION_FRAMES,COLLISION_RATE,QUEUE_DROPS,SUPERSEDED,RETRIES,OBSOLETE_RETRY_DROPS,MAX_QUEUE,MAX_HISTORY,historySize,STALE_DATA_DISCARDED,STALE_ACK_DISCARDED,EXPIRED_HISTORY_ACK,ACK_BEFORE_ACCEPT,ACK_STANDALONE,ACK_ENTRIES_PIGGYBACKED,ACK_ENTRIES_TRANSFERRED,CHANNEL_UTIL,ADAPTIVE_ACK_PERMITTED,ADAPTIVE_ACK_DEFERRED,ADAPTIVE_ACK_FORCED,MEAN_LOCAL_BUSY,MAX_LOCAL_BUSY,LOAD_GUARD_BLOCKED,LOAD_GUARD_BLOCKED_BUSY,LOAD_GUARD_BLOCKED_QUEUE,LOAD_GUARD_BRANCH3,LOAD_GUARD_BRANCH4,OFFERED_UTIL,DATA_AIRTIME,ACK_AIRTIME,PIGGYBACK_AIRTIME,BACKGROUND_BUSY_TIME,BACKGROUND_COLLISION_FRAMES,ENERGY_PROXY_J,DATA_GOODPUT_HZ,RECIPIENT_GOODPUT_HZ,ACK_GOODPUT_HZ,MEAN_ACCESS_DELAY,P95_ACCESS_DELAY,MEAN_CONFIRM_DELAY,P95_CONFIRM_DELAY,JAIN_FRAME_GOODPUT,DATA_CHANNEL_ATTEMPTS,ACK_CHANNEL_ATTEMPTS,DATA_BAD_ATTEMPT_FRACTION,ACK_BAD_ATTEMPT_FRACTION,TRACE_DATA_BAD_FRACTION,TRACE_ACK_BAD_FRACTION,NETWORK_RUNTIME_SEC,INVARIANT_VIOLATIONS,TRACE_HASH_EXACT,CHANNEL_STATE_HASH,CHANNEL_MODEL_SIGNATURE,ESTIMATOR_HASH_EXACT,CONFIG_HASH,route,accessDesign,ackDesign,coreFlag,channelRegime,contextModifier,basePAccess,dataFrameSlots,calibratedAckSuccessMean,calibrationSource,CONTEXT_ACK_EVALUATED,CONTEXT_ACK_PERMITTED,CONTEXT_ACK_BLOCKED_FEASIBILITY,CONTEXT_ACK_BLOCKED_VALUE,serviceCertificateEnabled,serviceCertificateFeasible,serviceModel,successfulUpdateRateHz,requiredUpdateRateHz,serviceRatio,backgroundSurvival,dataSuccessEstimate,routeRule
development-amendment-4,16024001,n5-moderate-bg0,N5 Moderate bg0,EXP18A4 capacity-gated selector,capacity-gated-selector,1,0,context-aware-broadcast,Capacity-gated fixed feedback route,adaptive,5,ring2,6dof,csma,0.2,0.2,0,1,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.0533092812299427,0.532849411599625,0,0,9.63996476999559,12.2759361050405,0,1.03668339314652,0.0711995577667219,0.140000000000001,0.199999999999999,0.279999999999999,0.139900497512438,0.0687009397457159,711,821,674,0,741,1504,1179,325,931,741,190,0,0,0,117,0.142509135200974,0,3,113,0,1,32,32,0,0,0,0,0,931,3,0.253333333333313,0,101,0,0.224522188895052,0.294565363851473,0,0,0,0,0,0.273666666666667,3.284,0,0.238336000000002,0,0,0.6568,56.1666666666667,98.25,61.75,0.00700974421437276,0.0219999999999998,0.0450809716599191,0.097,0.990031600740983,1852,0,0.0950323974082073,0,0.09568071988002,0.0983436093984336,4.2936817,0,666551617013,21191278076,105363559,0,191001495,capacity-gated-selector,frame-aware,capacity-gated-mac,1,moderate,nominal,0.2,4,0.903,declared-stationary-profile,101,0,0,101,1,1,symmetric p-persistent CSMA renewal approximation,24.5193042002546,8.33333333333333,2.94231650403055,1,0.903,capacity-gated-mac
development-amendment-4,16024001,n5-moderate-bg0,N5 Moderate bg0,EXP18A4 capacity-gated selector,capacity-gated-selector,1,0,context-aware-broadcast,Capacity-gated fixed feedback route,adaptive,5,ring2,6dof,aloha,0.0285714285714286,0.0285714285714286,0,1,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.0811194112540143,0.49278742348352,0,0,9.73738013114394,12.5101297569829,0,1.03642206332542,0.12098396904367,0.280000000000001,0.360000000000001,0.459999999999999,0.209695964621338,0.0887119955776673,942,943,519,169,558,1749,919,830,1005,558,447,0,0,0,434,0.390287769784173,0,371,374,11,2,32,32,0,0,0,0,169,772,448,0.28866666666664,193,0,0,0.291336006579551,0.362521242925973,0,0,0,0,0,0.333583333333334,3.772,0.231,0.197632000000002,0,0,0.800600000000001,43.25,76.5833333333333,46.5,0.0274271582733814,0.0680000000000005,0.0696792114695342,0.140000000000001,0.980439332447631,2008,233,0.100597609561753,0.128755364806867,0.09568071988002,0.0983436093984336,4.7555851,0,666551617013,21191278076,105363559,0,191028366,capacity-gated-selector,frame-aware,capacity-gated-mac,1,moderate,nominal,0.2,4,0.903,declared-stationary-profile,193,193,0,0,1,1,independent-start vulnerable-period ALOHA,9.62918160444884,8.33333333333333,1.15550179253386,1,0.903,capacity-gated-mac
development-amendment-4,16024001,n5-moderate-bg30,N5 Moderate bg0.30,EXP18A4 capacity-gated selector,capacity-gated-selector,1,0.3,context-aware-broadcast,Capacity-gated fixed feedback route,adaptive,5,ring2,6dof,csma,0.2,0.2,0.3,1,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.0800013318694023,0.496153431989371,0,0,9.85265545509934,12.396340118501,0,1.03649173874964,0.108645660585959,0.259999999999999,0.32,0.4,0.259082365948037,0.150436705362079,1041,2133,455,0,360,3889,808,3081,1588,360,1228,0,0,0,1660,0.778246601031411,0,212,1304,24,1,32,32,0,0,0,0,0,1588,193,0.744583333333358,0,24,0,0.689235805155965,0.750537112726795,0,0,0,0,0,0.710999999999959,8.5319999999995,0,0.406528,3.64399999999965,1435,1.7063999999999,37.9166666666667,67.3333333333333,30,0.0187257383966246,0.0474000000000005,0.0591527777777779,0.13,0.983935742971888,4447,0,0.0919721160332809,0,0.09568071988002,0.0983436093984336,5.4595356,0,666551617013,21191278076,105363559,0,191218722,capacity-gated-selector,frame-aware,capacity-gated-mac,1,moderate,nominal,0.2,4,0.903,declared-stationary-profile,24,0,24,0,1,0,symmetric p-persistent CSMA renewal approximation,5.88708493848112,8.33333333333333,0.706450192617734,0.2401,0.903,capacity-gated-mac
development-amendment-4,16024001,n5-moderate-bg30,N5 Moderate bg0.30,EXP18A4 capacity-gated selector,capacity-gated-selector,1,0.3,context-aware-broadcast,Capacity-gated fixed feedback route,adaptive,5,ring2,6dof,aloha,0.0285714285714286,0.0285714285714286,0.3,1,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.212154315950611,0.370395324586035,1,0,9.85912325687821,13.1882755449549,0,1.03624070936998,0.340320619126589,0.951999999999998,1.22,1.38,0.758153676064124,0.417833056937534,1144,1441,156,0,105,2614,274,2340,975,105,870,0,0,0,1278,0.886884108258154,0,808,1108,45,1,32,32,0,0,0,0,0,975,679,0.572833333333371,0,37,0,0.576579900927649,0.6489493485841,0,0,0,0,0,0.480333333333317,5.76399999999981,0,0.249600000000003,3.64399999999965,1117,1.15279999999996,13,22.8333333333333,8.75,0.0250083275503124,0.0579999999999998,0.167076190476191,0.4006,0.974609531437725,2949,0,0.105120379789759,0,0.09568071988002,0.0983436093984336,3.998108,0,666551617013,21191278076,105363559,0,191245593,capacity-gated-selector,frame-aware,capacity-gated-mac,1,moderate,nominal,0.2,4,0.903,declared-stationary-profile,37,0,37,0,1,0,independent-start vulnerable-period ALOHA,2.31196650322817,8.33333333333333,0.27743598038738,0.2401,0.903,capacity-gated-mac
development-amendment-4,16024001,n5-stressed-bg0,N5 Stressed bg0,EXP18A4 capacity-gated selector,capacity-gated-selector,1,0,context-aware-broadcast,Capacity-gated fixed feedback route,adaptive,5,ring2,6dof,csma,0.2,0.2,0,1,1,0.29,0.29,0.0476190476190476,0.0476190476190476,0.0618920646612288,0.52192761716736,0,0,9.79011355950873,12.3640851426208,0,1.03664447705861,0.0866777224986179,0.219999999999999,0.318400000000002,0.520000000000001,0.194239911553344,0.107562189054727,857,1005,742,0,583,1877,1129,748,980,583,397,0,0,0,159,0.158208955223881,0,7,155,0,1,32,32,0,0,0,0,0,980,5,0.30766666666664,0,63,0,0.266739973645651,0.324946246105468,0,0,0,0,0,0.335,4.02,0,0.250880000000003,0,0,0.804,61.8333333333333,94.0833333333333,48.5833333333333,0.00720497512437823,0.0209999999999999,0.0441320754716982,0.0909000000000001,0.961180167597765,2223,0,0.298695456590193,0,0.303976003999333,0.307495417430428,5.13756140000001,0,666551617013,21820213858,110997405,0,193711919,capacity-gated-selector,frame-aware,capacity-gated-mac,1,stressed,nominal,0.2,4,0.71,declared-stationary-profile,63,0,0,63,1,1,symmetric p-persistent CSMA renewal approximation,19.2787441663131,8.33333333333333,2.31344929995757,1,0.71,capacity-gated-mac
development-amendment-4,16024001,n5-stressed-bg0,N5 Stressed bg0,EXP18A4 capacity-gated selector,capacity-gated-selector,1,0,context-aware-broadcast,Capacity-gated fixed feedback route,adaptive,5,ring2,6dof,aloha,0.0285714285714286,0.0285714285714286,0,1,1,0.29,0.29,0.0476190476190476,0.0476190476190476,0.0869791401005178,0.486984622249992,0,0,9.73773660739004,12.4492909075007,0,1.03639867344304,0.129242675511332,0.32,0.44,0.540000000000001,0.27216141514649,0.142918739635158,1046,1004,529,0,398,1846,817,1029,915,398,517,0,0,0,389,0.387450199203187,0,409,369,9,1,32,32,0,0,0,0,0,915,437,0.290833333333306,0,322,0,0.28864366509345,0.360185802210128,0,0,0,0,0,0.334666666666667,4.016,0,0.234240000000003,0,0,0.8032,44.0833333333333,68.0833333333333,33.1666666666667,0.023784860557769,0.056,0.0732688442211057,0.162,0.9641212037691,2177,0,0.300413412953606,0,0.303976003999333,0.307495417430428,4.31470089999999,0,666551617013,21820213858,110997405,0,193738790,capacity-gated-selector,frame-aware,capacity-gated-mac,1,stressed,nominal,0.2,4,0.71,declared-stationary-profile,322,0,322,0,1,0,independent-start vulnerable-period ALOHA,7.5711173191126,8.33333333333333,0.908534078293511,1,0.71,capacity-gated-mac
development-amendment-4,16024001,n5-stressed-bg30,N5 Stressed bg0.30,EXP18A4 capacity-gated selector,capacity-gated-selector,1,0.3,context-aware-broadcast,Capacity-gated fixed feedback route,adaptive,5,ring2,6dof,csma,0.2,0.2,0.3,1,1,0.29,0.29,0.0476190476190476,0.0476190476190476,0.0905830648349342,0.48364028414029,0,0,9.85198588519784,12.3794858858684,0,1.0364728938971,0.146003316749585,0.380000000000001,0.5,0.74,0.416428966279713,0.270425649530127,1131,2245,427,0,238,4077,687,3390,1426,238,1188,0,0,0,1748,0.778619153674833,0,264,1378,30,1,32,32,0,0,0,0,0,1426,212,0.767000000000012,0,5,0,0.720499067741436,0.793930290764591,0,0,0,0,0,0.748333333333288,8.97999999999946,0,0.365055999999999,3.64399999999965,1486,1.79599999999989,35.5833333333333,57.25,19.8333333333333,0.0180467706013364,0.0439999999999996,0.0589789915966388,0.124300000000001,0.931509438782027,4606,0,0.286799826313504,0,0.303976003999333,0.307495417430428,5.50642589999999,0,666551617013,21820213858,110997405,0,193929146,capacity-gated-selector,frame-aware,capacity-gated-mac,1,stressed,nominal,0.2,4,0.71,declared-stationary-profile,5,0,5,0,1,0,symmetric p-persistent CSMA renewal approximation,4.62882647433178,8.33333333333333,0.555459176919813,0.2401,0.71,capacity-gated-mac
development-amendment-4,16024001,n5-stressed-bg30,N5 Stressed bg0.30,EXP18A4 capacity-gated selector,capacity-gated-selector,1,0.3,context-aware-broadcast,Capacity-gated fixed feedback route,adaptive,5,ring2,6dof,aloha,0.0285714285714286,0.0285714285714286,0.3,1,1,0.29,0.29,0.0476190476190476,0.0476190476190476,0.268414874992886,0.30562434695165,1,0,9.85936151510508,13.191481999631,0,1.03620373328097,0.451818684355998,1.232,2.2584,2.62,0.959635157545605,0.507816473189608,1139,1443,144,0,64,2615,219,2396,827,64,763,0,0,0,1278,0.885654885654886,0,795,1102,45,1,32,32,0,0,0,0,0,827,571,0.573416666666704,0,31,0,0.570463385652212,0.643186615833387,0,0,0,0,0,0.480999999999984,5.77199999999981,0,0.211712000000002,3.64399999999965,1126,1.15439999999996,12,18.25,5.33333333333333,0.0257740817740819,0.0579999999999998,0.178765625,0.59925,0.946417161113647,2924,0,0.299589603283174,0,0.303976003999333,0.307495417430428,4.5680412,0,666551617013,21820213858,110997405,0,193956017,capacity-gated-selector,frame-aware,capacity-gated-mac,1,stressed,nominal,0.2,4,0.71,declared-stationary-profile,31,0,31,0,1,0,independent-start vulnerable-period ALOHA,1.81782526831893,8.33333333333333,0.218139032198272,0.2401,0.71,capacity-gated-mac
development-amendment-4,16024001,n10-moderate-bg0,N10 Moderate bg0,EXP18A4 capacity-gated selector,capacity-gated-selector,1,0,context-aware-broadcast,Capacity-gated fixed feedback route,adaptive,10,ring2,di,csma,0.1,0.1,0,1,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.0916526870375577,0.507631547971144,0,0,NaN,NaN,NaN,NaN,0.0823927979151858,0.18,0.26,0.48,0.156413172234068,0.074020374318882,1556,1892,1356,0,1668,4070,2714,1356,2478,1668,810,0,0,0,492,0.260042283298097,0,125,463,9,1,32,32,0,0,0,0,0,2478,182,0.545000000000032,0,106,0,0.516471571152728,0.646335446632301,0,0,0,0,0,0.630666666666634,7.56799999999961,0,0.634367999999997,0,0,1.51359999999992,113,226.166666666667,139,0.0184931289640593,0.0529999999999999,0.0572667865707435,0.115,0.988429574360573,4730,0,0.105496828752643,0,0.0979261789701716,0.097765372437927,5.7236456,0,2586250709125,84880623109,410907084,0,279093439,capacity-gated-selector,frame-aware,capacity-gated-mac,1,moderate,nominal,0.1,4,0.903,declared-stationary-profile,106,0,0,106,1,1,symmetric p-persistent CSMA renewal approximation,11.8430902025047,8.33333333333333,1.42117082430056,1,0.903,capacity-gated-mac
development-amendment-4,16024001,n10-moderate-bg0,N10 Moderate bg0,EXP18A4 capacity-gated selector,capacity-gated-selector,1,0,context-aware-broadcast,Capacity-gated fixed feedback route,adaptive,10,ring2,di,aloha,0.0142857142857143,0.0142857142857143,0,1,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.222774754309372,0.381914258982002,1,0,NaN,NaN,NaN,NaN,0.208144989339019,0.540000000000001,0.779999999999999,1.1,0.395304430229803,0.187159440890784,2099,1327,648,0,673,2809,1274,1535,1467,673,794,0,0,0,649,0.489073097211756,0,1371,607,33,1,32,32,0,0,0,0,0,1467,1717,0.369666666666644,0,205,0,0.363360562460988,0.421095053408866,0,0,0,0,0,0.442333333333322,5.30799999999986,0,0.375552,0,0,1.06159999999997,54,106.166666666667,56.0833333333333,0.0265267520723438,0.0579999999999998,0.111521545319465,0.2582,0.990292910711759,3170,0,0.109779179810726,0,0.0979261789701716,0.097765372437927,4.3881388,0,2586250709125,84880623109,410907084,0,278582908,capacity-gated-selector,frame-aware,capacity-gated-mac,1,moderate,nominal,0.1,4,0.903,declared-stationary-profile,205,0,205,0,1,0,independent-start vulnerable-period ALOHA,4.77982735271767,8.33333333333333,0.57357928232612,1,0.903,capacity-gated-mac
