scenario,role,nPairs,currentMeanRMSE,distributedMeanRMSE,meanPairedRmseDelta,rmseCiLo,rmseCiHi,currentMeanChargedUtil,distributedMeanChargedUtil,meanPairedUtilDelta,utilCiLo,utilCiHi
n5-stressed-nominal,nominal,30,0.0966860792457212,0.0844684358052219,-0.0122176434404993,-0.0148021728765399,-0.00968854187533592,0.335333333333333,0.187236111111111,-0.148097222222222,-0.152758402777777,-0.143697152777778
n5-stressed-clock,single-fault,30,0.0966860792457212,1.04028107600561,0.943594996759889,0.776684045923397,1.10177626921964,0.335333333333333,0.338869444444443,0.00353611111111014,-0.0183779166666667,0.0240640277777756
n5-stressed-control-loss,single-fault,30,0.0966860792457212,0.0840939856799484,-0.0125920935657728,-0.0150566246596723,-0.0101560009849434,0.335333333333333,0.188388888888889,-0.146944444444444,-0.151680694444444,-0.142413888888889
n5-stressed-churn,single-fault,30,0.0966860792457212,0.146825076487508,0.0501389972417869,0.0257662595531515,0.0769310142321053,0.335333333333333,0.178719444444444,-0.156613888888889,-0.162544513888888,-0.151341388888889
n10-moderate-nominal,nominal,30,0.214373913055931,0.108475139261301,-0.105898773794631,-0.111022471792036,-0.101351243121241,0.452377777777765,0.393163888888889,-0.0592138888888756,-0.0645306249999862,-0.0538690972222092
n10-moderate-clock,single-fault,30,0.214373913055931,1.17295363529812,0.958579722242189,0.870729728237239,1.04166500398189,0.452377777777765,0.718127777777744,0.26574999999998,0.238471388888871,0.290189027777755
n10-moderate-hidden,single-fault,30,0.214373913055931,1.09133570905672,0.876961796000784,0.780323850419825,0.974875298413155,0.452377777777765,0.58521111111109,0.132833333333325,0.102119166666662,0.163964930555544
n10-moderate-compound,compound,30,0.214373913055931,1.03593347649664,0.821559563440704,0.703265464000921,0.941833251978091,0.452377777777765,0.694449999999967,0.242072222222202,0.206880347222206,0.275778124999976
