N,interferenceMode,source,directEdgeCount,directGraphDiameter,topologyHash,planHash,routeAdmissible,unreachableRecipientCount,treeEdgeCount,maximumRecipientDepth,plannedTransmitterCount,baseReservedSlotCount,parentUnique,slotColoringProper,causalSlotOrder,linkErasureProbability,selectedRepetitions,previousRepetitionFailure,edgeFailureProbability,minimumRecipientDelivery,multicastFailureExact,multicastFailureUnionUpperBound,maximumPhysicalAttempts,maximumPhysicalBytes,reservedSlotCount,reservedDurationSec,wholeFloodAttempts,wholeFloodFailure,wholeFloodMaximumPhysicalAttempts,wholeFloodReservedSlotCount,hopLocalSlotSavings,logicalCliqueAttemptUndercountFactor,noLossAllRecipientsDelivered,replayAttempts,replayBytes,replayOfferedAirtimeSec,replayReservedDurationSec,replayCollisionRecipients,replayDuplicateForwards,replayFutureRandomReads,replayReceiverTruthReads,integerAccountingExact,airtimeAccountingExact,upstreamErasureCausalSilence,failedReplayAttempts
5,complete-interference-upper-bound,5,6,2,3933,66269,1,0,4,2,3,3,1,1,1,0.05,3,0.0099625624609373,0.000125,0.999750015625,0.000499906257812377,0.0005,9,864,9,0.0537490440417617,4,0.000193237578125,12,12,3,9,1,9,864,0.027648,0.0537490440417617,0,0,0,0,1,1,1,3
5,complete-interference-upper-bound,5,6,2,3933,66269,1,0,4,2,3,3,1,1,1,0.2,6,0.00127938573106146,6.4e-05,0.999872004096,0.000255975425048405,0.000256,18,1728,18,0.107498088083523,8,0.000569341981491198,24,24,6,18,1,18,1728,0.055296,0.107498088083523,0,0,0,0,1,0,1,6
5,complete-interference-upper-bound,5,6,2,3933,66269,1,0,4,2,3,3,1,1,1,0.3,7,0.0029128129033994,0.0002187,0.99956264782969,0.000874513063699234,0.0008748,21,2016,21,0.125414436097444,12,0.000620321570751243,36,36,15,21,1,21,2016,0.064512,0.125414436097444,0,0,0,0,1,0,1,7
10,spatial-reuse-lower-bound,1,13,4,46082,755829,1,0,9,2,5,2,1,1,1,0.05,4,0.00112443766403214,6.25e-06,0.999987500039063,5.62485937704027e-05,5.625e-05,20,1920,8,0.0477769280371215,4,0.000392725156250001,20,8,0,20,1,20,1920,0.06144,0.0477769280371215,0,0,0,0,1,1,1,4
10,spatial-reuse-lower-bound,1,13,4,46082,755829,1,0,9,2,5,2,1,1,1,0.2,6,0.00287631635119112,6.4e-05,0.999872004096,0.000575852566017554,0.000576,30,2880,12,0.0716653920556822,9,0.000408799826673663,45,18,6,30,1,30,2880,0.09216,0.0716653920556822,0,0,0,0,1,0,1,6
10,spatial-reuse-lower-bound,1,13,4,46082,755829,1,0,9,2,5,2,1,1,1,0.3,8,0.00196657900954167,6.561e-05,0.999868784304672,0.000590335055526636,0.00059049,40,3840,16,0.095553856074243,13,0.000632441024026268,65,26,10,40,1,40,3840,0.12288,0.095553856074243,0,0,0,0,1,0,1,8
10,spatial-reuse-lower-bound,2,13,4,46082,758631,1,0,9,3,5,3,1,1,1,0.05,4,0.00112443766403214,6.25e-06,0.999981250117187,5.62485937704027e-05,5.625e-05,20,1920,12,0.0716653920556822,5,0.000212920299747471,25,15,3,20,1,20,1920,0.06144,0.0716653920556822,0,0,0,0,1,0,1,4
10,spatial-reuse-lower-bound,2,13,4,46082,758631,1,0,9,3,5,3,1,1,1,0.2,6,0.00287631635119112,6.4e-05,0.999808012287738,0.000575852566017554,0.000576,30,2880,18,0.107498088083523,12,0.00056617813511869,60,36,18,30,1,30,2880,0.09216,0.107498088083523,0,0,0,0,1,1,1,6
10,spatial-reuse-lower-bound,2,13,4,46082,758631,1,0,9,3,5,3,1,1,1,0.3,8,0.00196657900954167,6.561e-05,0.999803182913734,0.000590335055526636,0.00059049,40,3840,24,0.143330784111364,20,0.000679309717104915,100,60,36,40,1,40,3840,0.12288,0.143330784111364,0,0,0,0,1,1,1,8
10,spatial-reuse-lower-bound,3,13,4,46082,761831,1,0,9,4,6,4,1,1,1,0.05,4,0.00112443766403214,6.25e-06,0.999975000234374,5.62485937704027e-05,5.625e-05,24,2304,16,0.095553856074243,5,0.000634512614963536,30,20,4,24,1,24,2304,0.073728,0.095553856074243,0,0,0,0,1,0,1,4
10,spatial-reuse-lower-bound,3,13,4,46082,761831,1,0,9,4,6,4,1,1,1,0.2,6,0.00287631635119112,6.4e-05,0.999744024574952,0.000575852566017554,0.000576,36,3456,24,0.143330784111364,15,0.000802323582210343,90,60,36,36,1,36,3456,0.110592,0.143330784111364,0,0,0,0,1,1,1,6
10,spatial-reuse-lower-bound,3,13,4,46082,761831,1,0,9,4,6,4,1,1,1,0.3,8,0.00196657900954167,6.561e-05,0.999737585826903,0.000590335055526636,0.00059049,48,4608,32,0.191107712148486,28,0.000940063299745471,168,112,80,48,1,48,4608,0.147456,0.191107712148486,0,0,0,0,1,0,1,8
10,spatial-reuse-lower-bound,4,13,4,46082,758512,1,0,9,3,4,3,1,1,1,0.05,4,0.00112443766403214,6.25e-06,0.999981250117187,5.62485937704027e-05,5.625e-05,16,1536,12,0.0716653920556822,5,0.000154215642409772,20,15,3,16,1,16,1536,0.049152,0.0716653920556822,0,0,0,0,1,1,1,4
10,spatial-reuse-lower-bound,4,13,4,46082,758512,1,0,9,3,4,3,1,1,1,0.2,6,0.00287631635119112,6.4e-05,0.999808012287738,0.000575852566017554,0.000576,24,2304,18,0.107498088083523,11,0.000800273533784726,44,33,15,24,1,24,2304,0.073728,0.107498088083523,0,0,0,0,1,0,1,6
10,spatial-reuse-lower-bound,4,13,4,46082,758512,1,0,9,3,4,3,1,1,1,0.3,8,0.00196657900954167,6.561e-05,0.999803182913734,0.000590335055526636,0.00059049,32,3072,24,0.143330784111364,19,0.000694667658246556,76,57,33,32,1,32,3072,0.098304,0.143330784111364,0,0,0,0,1,0,1,8
10,spatial-reuse-lower-bound,5,13,4,46082,761857,1,0,9,4,5,4,1,1,1,0.05,4,0.00112443766403214,6.25e-06,0.999975000234374,5.62485937704027e-05,5.625e-05,20,1920,16,0.095553856074243,5,0.000423716457355503,25,20,4,20,1,20,1920,0.06144,0.095553856074243,0,0,0,0,1,0,1,4
10,spatial-reuse-lower-bound,5,13,4,46082,761857,1,0,9,4,5,4,1,1,1,0.2,6,0.00287631635119112,6.4e-05,0.999744024574952,0.000575852566017554,0.000576,30,2880,24,0.143330784111364,14,0.000757401981992429,70,56,32,30,1,30,2880,0.09216,0.143330784111364,0,0,0,0,1,0,1,6
10,spatial-reuse-lower-bound,5,13,4,46082,761857,1,0,9,4,5,4,1,1,1,0.3,8,0.00196657900954167,6.561e-05,0.999737585826903,0.000590335055526636,0.00059049,40,3840,32,0.191107712148486,26,0.000847972971847654,130,104,72,40,1,40,3840,0.12288,0.191107712148486,0,0,0,0,1,0,1,8
10,spatial-reuse-lower-bound,6,13,4,46082,759360,1,0,9,3,4,3,1,1,1,0.05,4,0.00112443766403214,6.25e-06,0.999981250117187,5.62485937704027e-05,5.625e-05,16,1536,12,0.0716653920556822,5,0.000154215642409772,20,15,3,16,1,16,1536,0.049152,0.0716653920556822,0,0,0,0,1,1,1,4
10,spatial-reuse-lower-bound,6,13,4,46082,759360,1,0,9,3,4,3,1,1,1,0.2,6,0.00287631635119112,6.4e-05,0.999808012287738,0.000575852566017554,0.000576,24,2304,18,0.107498088083523,11,0.000800273533784726,44,33,15,24,1,24,2304,0.073728,0.107498088083523,0,0,0,0,1,0,1,6
10,spatial-reuse-lower-bound,6,13,4,46082,759360,1,0,9,3,4,3,1,1,1,0.3,8,0.00196657900954167,6.561e-05,0.999803182913734,0.000590335055526636,0.00059049,32,3072,24,0.143330784111364,19,0.000694667658246556,76,57,33,32,1,32,3072,0.098304,0.143330784111364,0,0,0,0,1,0,1,8
10,spatial-reuse-lower-bound,7,13,4,46082,763201,1,0,9,4,5,4,1,1,1,0.05,4,0.00112443766403214,6.25e-06,0.999975000234374,5.62485937704027e-05,5.625e-05,20,1920,16,0.095553856074243,5,0.000423716457355503,25,20,4,20,1,20,1920,0.06144,0.095553856074243,0,0,0,0,1,0,1,4
10,spatial-reuse-lower-bound,7,13,4,46082,763201,1,0,9,4,5,4,1,1,1,0.2,6,0.00287631635119112,6.4e-05,0.999744024574952,0.000575852566017554,0.000576,30,2880,24,0.143330784111364,14,0.000757401981992429,70,56,32,30,1,30,2880,0.09216,0.143330784111364,0,0,0,0,1,0,1,6
10,spatial-reuse-lower-bound,7,13,4,46082,763201,1,0,9,4,5,4,1,1,1,0.3,8,0.00196657900954167,6.561e-05,0.999737585826903,0.000590335055526636,0.00059049,40,3840,32,0.191107712148486,26,0.000847972971847654,130,104,72,40,1,40,3840,0.12288,0.191107712148486,0,0,0,0,1,0,1,8
10,spatial-reuse-lower-bound,8,13,4,46082,760208,1,0,9,3,4,3,1,1,1,0.05,4,0.00112443766403214,6.25e-06,0.999981250117187,5.62485937704027e-05,5.625e-05,16,1536,12,0.0716653920556822,5,0.000154215642409772,20,15,3,16,1,16,1536,0.049152,0.0716653920556822,0,0,0,0,1,1,1,4
10,spatial-reuse-lower-bound,8,13,4,46082,760208,1,0,9,3,4,3,1,1,1,0.2,6,0.00287631635119112,6.4e-05,0.999808012287738,0.000575852566017554,0.000576,24,2304,18,0.107498088083523,11,0.000800273533784726,44,33,15,24,1,24,2304,0.073728,0.107498088083523,0,0,0,0,1,0,1,6
10,spatial-reuse-lower-bound,8,13,4,46082,760208,1,0,9,3,4,3,1,1,1,0.3,8,0.00196657900954167,6.561e-05,0.999803182913734,0.000590335055526636,0.00059049,32,3072,24,0.143330784111364,19,0.000694667658246556,76,57,33,32,1,32,3072,0.098304,0.143330784111364,0,0,0,0,1,0,1,8
10,spatial-reuse-lower-bound,9,13,4,46082,765707,1,0,9,4,5,4,1,1,1,0.05,4,0.00112443766403214,6.25e-06,0.999975000234374,5.62485937704027e-05,5.625e-05,20,1920,16,0.095553856074243,5,0.000634512614963536,25,20,4,20,1,20,1920,0.06144,0.095553856074243,0,0,0,0,1,0,1,4
10,spatial-reuse-lower-bound,9,13,4,46082,765707,1,0,9,4,5,4,1,1,1,0.2,6,0.00287631635119112,6.4e-05,0.999744024574952,0.000575852566017554,0.000576,30,2880,24,0.143330784111364,15,0.000802323582210343,75,60,36,30,1,30,2880,0.09216,0.143330784111364,0,0,0,0,1,0,1,6
10,spatial-reuse-lower-bound,9,13,4,46082,765707,1,0,9,4,5,4,1,1,1,0.3,8,0.00196657900954167,6.561e-05,0.999737585826903,0.000590335055526636,0.00059049,40,3840,32,0.191107712148486,28,0.000940063299745471,140,112,80,40,1,40,3840,0.12288,0.191107712148486,0,0,0,0,1,0,1,8
10,spatial-reuse-lower-bound,10,13,4,46082,762563,1,0,9,3,5,3,1,1,1,0.05,4,0.00112443766403214,6.25e-06,0.999981250117187,5.62485937704027e-05,5.625e-05,20,1920,12,0.0716653920556822,5,0.000212920299747471,25,15,3,20,1,20,1920,0.06144,0.0716653920556822,0,0,0,0,1,0,1,4
10,spatial-reuse-lower-bound,10,13,4,46082,762563,1,0,9,3,5,3,1,1,1,0.2,6,0.00287631635119112,6.4e-05,0.999808012287738,0.000575852566017554,0.000576,30,2880,18,0.107498088083523,12,0.00056617813511869,60,36,18,30,1,30,2880,0.09216,0.107498088083523,0,0,0,0,1,1,1,6
10,spatial-reuse-lower-bound,10,13,4,46082,762563,1,0,9,3,5,3,1,1,1,0.3,8,0.00196657900954167,6.561e-05,0.999803182913734,0.000590335055526636,0.00059049,40,3840,24,0.143330784111364,20,0.000679309717104914,100,60,36,40,1,40,3840,0.12288,0.143330784111364,0,0,0,0,1,1,1,8
10,complete-interference-upper-bound,1,13,4,46082,792478,1,0,9,2,5,5,1,1,1,0.05,4,0.00112443766403214,6.25e-06,0.999987500039063,5.62485937704027e-05,5.625e-05,20,1920,20,0.119442320092804,4,0.000392725156250001,20,20,0,20,1,20,1920,0.06144,0.119442320092804,0,0,0,0,1,0,1,4
10,complete-interference-upper-bound,1,13,4,46082,792478,1,0,9,2,5,5,1,1,1,0.2,6,0.00287631635119112,6.4e-05,0.999872004096,0.000575852566017554,0.000576,30,2880,30,0.179163480139206,9,0.000408799826673663,45,45,15,30,1,30,2880,0.09216,0.179163480139206,0,0,0,0,1,0,1,6
10,complete-interference-upper-bound,1,13,4,46082,792478,1,0,9,2,5,5,1,1,1,0.3,8,0.00196657900954167,6.561e-05,0.999868784304672,0.000590335055526636,0.00059049,40,3840,40,0.238884640185607,13,0.000632441024026268,65,65,25,40,1,40,3840,0.12288,0.238884640185607,0,0,0,0,1,0,1,8
10,complete-interference-upper-bound,2,13,4,46082,794233,1,0,9,3,5,5,1,1,1,0.05,4,0.00112443766403214,6.25e-06,0.999981250117187,5.62485937704027e-05,5.625e-05,20,1920,20,0.119442320092804,5,0.000212920299747471,25,25,5,20,1,20,1920,0.06144,0.119442320092804,0,0,0,0,1,0,1,4
10,complete-interference-upper-bound,2,13,4,46082,794233,1,0,9,3,5,5,1,1,1,0.2,6,0.00287631635119112,6.4e-05,0.999808012287738,0.000575852566017554,0.000576,30,2880,30,0.179163480139206,12,0.00056617813511869,60,60,30,30,1,30,2880,0.09216,0.179163480139206,0,0,0,0,1,0,1,6
10,complete-interference-upper-bound,2,13,4,46082,794233,1,0,9,3,5,5,1,1,1,0.3,8,0.00196657900954167,6.561e-05,0.999803182913734,0.000590335055526636,0.00059049,40,3840,40,0.238884640185607,20,0.000679309717104915,100,100,60,40,1,40,3840,0.12288,0.238884640185607,0,0,0,0,1,0,1,8
10,complete-interference-upper-bound,3,13,4,46082,801319,1,0,9,4,6,6,1,1,1,0.05,4,0.00112443766403214,6.25e-06,0.999975000234374,5.62485937704027e-05,5.625e-05,24,2304,24,0.143330784111364,5,0.000634512614963536,30,30,6,24,1,24,2304,0.073728,0.143330784111364,0,0,0,0,1,1,1,4
10,complete-interference-upper-bound,3,13,4,46082,801319,1,0,9,4,6,6,1,1,1,0.2,6,0.00287631635119112,6.4e-05,0.999744024574952,0.000575852566017554,0.000576,36,3456,36,0.214996176167047,15,0.000802323582210343,90,90,54,36,1,36,3456,0.110592,0.214996176167047,0,0,0,0,1,0,1,6
10,complete-interference-upper-bound,3,13,4,46082,801319,1,0,9,4,6,6,1,1,1,0.3,8,0.00196657900954167,6.561e-05,0.999737585826903,0.000590335055526636,0.00059049,48,4608,48,0.286661568222729,28,0.000940063299745471,168,168,120,48,1,48,4608,0.147456,0.286661568222729,0,0,0,0,1,0,1,8
10,complete-interference-upper-bound,4,13,4,46082,789478,1,0,9,3,4,4,1,1,1,0.05,4,0.00112443766403214,6.25e-06,0.999981250117187,5.62485937704027e-05,5.625e-05,16,1536,16,0.095553856074243,5,0.000154215642409772,20,20,4,16,1,16,1536,0.049152,0.095553856074243,0,0,0,0,1,0,1,4
10,complete-interference-upper-bound,4,13,4,46082,789478,1,0,9,3,4,4,1,1,1,0.2,6,0.00287631635119112,6.4e-05,0.999808012287738,0.000575852566017554,0.000576,24,2304,24,0.143330784111364,11,0.000800273533784726,44,44,20,24,1,24,2304,0.073728,0.143330784111364,0,0,0,0,1,1,1,6
10,complete-interference-upper-bound,4,13,4,46082,789478,1,0,9,3,4,4,1,1,1,0.3,8,0.00196657900954167,6.561e-05,0.999803182913734,0.000590335055526636,0.00059049,32,3072,32,0.191107712148486,19,0.000694667658246556,76,76,44,32,1,32,3072,0.098304,0.191107712148486,0,0,0,0,1,0,1,8
10,complete-interference-upper-bound,5,13,4,46082,797518,1,0,9,4,5,5,1,1,1,0.05,4,0.00112443766403214,6.25e-06,0.999975000234374,5.62485937704027e-05,5.625e-05,20,1920,20,0.119442320092804,5,0.000423716457355503,25,25,5,20,1,20,1920,0.06144,0.119442320092804,0,0,0,0,1,0,1,4
10,complete-interference-upper-bound,5,13,4,46082,797518,1,0,9,4,5,5,1,1,1,0.2,6,0.00287631635119112,6.4e-05,0.999744024574952,0.000575852566017554,0.000576,30,2880,30,0.179163480139206,14,0.000757401981992429,70,70,40,30,1,30,2880,0.09216,0.179163480139206,0,0,0,0,1,0,1,6
