arm,kind,fault,seed,traceHash,decisionStateHash,finalDecisionStateHash,decisionStateMaxDifference,geometryHash,selectorHash,kernelTraceHash,kernelStateHash,scheduleHash,prefixScheduleHash,probePrefixScheduleHash,prefixStateExact,graphAdmissible,changedSenderEdges,nonincidentSenderEdges,affectedCount,changedSlotCount,candidateProper,prepareBytes,maxResponseBytes,protectedSlotFree,barrierClosed,motionAuthorized,graphActivationFrame,commitReady,allReactivated,reactivatedCount,finalSuppressedCount,prepareBudgetExhausted,commitBudgetExhausted,motionStartSec,motionLatencySec,motionGateExact,capsuleMaximumRatio,capsuleBoundSatisfied,maxCommandPairDeviation,maxLeaderPairDeviation,maxOtherPairDeviation,actualPhysicalSubset,actualSenderSubset,actualSubsetCheckSamples,emergencyEnabled,emergencyParallelMode,emergencyMappingExact,emergencySuppressedDemand,emergencyOpportunities,emergencyMinimumNodeOpportunities,emergencyMaximumNodeOpportunities,emergencyRecipientSuccess,emergencyRecipientErasure,emergencyRecipientCollision,kernelCollisionFrames,expectedCollisionRecipients,observedCollisionFrames,dataOutcomeMismatches,dataSkippedNoQueue,crossPlaneOverlaps,expectedDataSuccess,observedDataSuccess,expectedDataErasure,observedDataErasure,controlAttempts,expectedControlAttempts,controlBytes,controlAirtime,expectedControlAirtime,clockConflictFree,clockResidual,futureRandomReads,receiverTruthReads,RMSE,MISSION_RMSE,MINSEP,SAFEFAIL,DIVERGED,DATA_AIRTIME,MANAGEMENT_AIRTIME,TOTAL_COST
periodic-iid20,periodic,none,16094107,1099215,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.100327721589157,0.0968462996214944,1.06276333426165,0,0,2.70335999999998,0,0.257462857142855
closure-iid20-emergency,closure,none,16094107,1099215,12500567,12500567,0,1168473,591631,18770150282,47333871,655980535,303344846,303344846,1,1,1,1,3,1,1,44,56,1,1,1,31,1,1,3,0,0,0,6.4498852850114,0.449885285011399,1,1.10031528945396,0,0.142922779345273,0.221262277026764,0.121034681839936,1,1,226,1,1,1,16,16,5,6,27,5,0,0,0,0,0,0,0,1002,1002,246,246,111,111,3442,0.110144,0.110144,1,8.88178419700125e-16,0,0,0.143366499992723,0.141468185112418,1.04310982121116,0,0,1.47455999999999,0.110144,0.150924190476189
closure-response-blackout-emergency,closure,response-blackout,16094107,1099215,12500567,12500567,0,1168473,591631,18522460082,46745356,656571144,303344846,303344846,1,1,1,1,3,1,1,44,56,1,1,1,31,0,0,0,3,0,0,6.4498852850114,0.449885285011399,1,1.09099729474799,0,0.139940106112688,0.220406263471261,0.120009702422279,1,1,226,1,1,1,60,60,20,20,101,19,0,0,0,0,0,0,0,1007,1007,241,241,193,193,7068,0.226176,0.226176,1,8.88178419700125e-16,0,0,0.144227737948549,0.142440565428715,1.03970986912499,0,0,1.47455999999999,0.226176,0.161974857142856
closure-response-blackout-no-emergency,closure,response-blackout,16094107,1099215,12500567,12500567,0,1168473,591631,18522460082,46745356,520318279,303344846,303344846,1,1,1,1,3,1,1,44,56,1,1,1,31,0,0,0,3,0,0,6.4498852850114,0.449885285011399,1,4.45506007374978,0,0.27227347171457,0.527179506210349,0.490056608112475,1,1,226,0,0,1,60,0,0,0,0,0,0,0,0,0,0,0,0,906,906,222,222,193,193,7068,0.226176,0.226176,1,8.88178419700125e-16,0,0,0.23393323309306,0.240958022175296,0.684650222093996,0,0,1.29023999999999,0.226176,0.144420571428571
closure-prepare-blackout-emergency,closure,prepare-blackout,16094107,1099215,12500567,12500567,0,1168473,591631,18745468029,46425094,656971254,303344846,303344846,1,1,1,1,3,1,1,44,56,1,0,0,NaN,0,0,0,2,1,0,NaN,NaN,1,1.09116369707413,0,0.130489796340164,0.220436104497606,0.120028006678154,1,1,226,1,1,1,40,40,0,20,64,16,0,0,0,0,0,0,0,1003,1003,245,245,16,16,544,0.017408,0.017408,1,4.44089209850063e-16,0,0,0.14188479587048,0.149962780419831,1.05628732592305,0,0,1.47455999999999,0.017408,0.14209219047619
closure-commit-blackout-emergency,closure,commit-blackout,16094107,1099215,12500567,12500567,0,1168473,591631,18729903174,47803232,656461840,303344846,303344846,1,1,1,1,3,1,1,44,56,1,1,1,31,1,0,1,2,0,1,6.4498852850114,0.449885285011399,1,1.09096892411871,0,0.139389495296568,0.220405636293824,0.120006581653058,1,1,226,1,1,1,45,45,5,20,74,16,0,0,0,0,0,0,0,1000,1000,248,248,115,115,3554,0.113728,0.113728,1,8.88178419700125e-16,0,0,0.144352346938781,0.142576747881754,1.03987230559149,0,0,1.47455999999999,0.113728,0.151265523809523
periodic-iid20,periodic,none,16094108,863961,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.101497724963979,0.0986525778691434,1.06584741081562,0,0,2.70335999999998,0,0.257462857142855
closure-iid20-emergency,closure,none,16094108,863961,13336804,13336804,0,1867928,610566,18822254320,51359775,657010582,303392446,303392446,1,1,3,1,4,1,1,48,56,1,1,1,31,1,1,4,0,0,0,6.4498852850114,0.449885285011399,1,1.07988706209045,0,0.110982082582166,0.209144480487412,0.118787576829949,1,1,226,1,1,1,28,28,6,8,47,9,0,0,0,0,0,0,0,971,971,277,277,112,112,3940,0.12608,0.12608,1,4.44089209850063e-16,0,0,0.149219087932246,0.147830970461382,1.0489266216998,0,0,1.47455999999999,0.12608,0.152441904761904
closure-response-blackout-emergency,closure,response-blackout,16094108,863961,13336804,13336804,0,1867928,610566,18574857828,50128389,657273662,303392446,303392446,1,1,3,1,4,1,1,48,56,1,1,1,31,0,0,0,4,0,0,6.4498852850114,0.449885285011399,1,1.0947353996378,0,0.111031385523906,0.209469055461238,0.120420893960158,1,1,226,1,1,1,79,79,19,20,131,27,0,0,0,0,0,0,0,978,978,270,270,190,190,7580,0.24256,0.24256,1,8.88178419700125e-16,0,0,0.148009541354043,0.146477214763358,1.05350026069215,0,0,1.47455999999999,0.24256,0.163535238095237
closure-response-blackout-no-emergency,closure,response-blackout,16094108,863961,13336804,13336804,0,1867928,610566,18574857828,50128389,485782024,303392446,303392446,1,1,3,1,4,1,1,48,56,1,1,1,31,0,0,0,4,0,0,6.4498852850114,0.449885285011399,1,4.17972968781091,0,0.29436503561599,0.530432779076355,0.4597702656592,1,1,226,0,0,1,79,0,0,0,0,0,0,0,0,0,0,0,0,847,847,243,243,190,190,7580,0.24256,0.24256,1,8.88178419700125e-16,0,0,0.255601775248359,0.264135344698766,0.668302629490647,0,0,1.23187199999999,0.24256,0.140422095238095
closure-prepare-blackout-emergency,closure,prepare-blackout,16094108,863961,13336804,13336804,0,1867928,610566,18800168870,49758713,656325218,303392446,303392446,1,1,3,1,4,1,1,48,56,1,0,0,NaN,0,0,0,3,1,0,NaN,NaN,1,1.09439502628141,0,0.10567606832307,0.209450520610527,0.120383452890955,1,1,226,1,1,1,60,60,0,20,100,20,0,0,0,0,0,0,0,977,977,271,271,22,22,720,0.02304,0.02304,1,4.44089209850063e-16,0,0,0.145223283784442,0.153791670147783,1.05567860099018,0,0,1.47455999999999,0.02304,0.14262857142857
closure-commit-blackout-emergency,closure,commit-blackout,16094108,863961,13336804,13336804,0,1867928,610566,18747648945,51842453,656519063,303392446,303392446,1,1,3,1,4,1,1,48,56,1,1,1,31,1,0,1,3,0,1,6.4498852850114,0.449885285011399,1,1.09503332008764,0,0.110683810074339,0.209482530908222,0.12045366520964,1,1,226,1,1,1,66,66,7,20,109,23,0,0,0,0,0,0,0,975,975,273,273,116,116,4052,0.129664,0.129664,1,4.44089209850063e-16,0,0,0.147764569233678,0.146201964387577,1.05191991542114,0,0,1.47455999999999,0.129664,0.152783238095237
periodic-iid20,periodic,none,16094109,1093188,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.10074822685764,0.0972970401073504,1.06493062094941,0,0,2.70028799999998,0,0.257170285714283
closure-iid20-emergency,closure,none,16094109,1093188,13730699,13730699,0,1117334,610566,18798706077,51104077,656473942,303322446,303322446,1,1,3,1,4,1,1,48,56,1,1,1,30,1,1,4,0,0,0,6.23488910884435,0.234889108844352,1,1.12154514438175,0,0.131926503765614,0.216575065457311,0.123369965881992,1,1,226,1,1,1,21,21,5,6,31,11,0,0,0,0,0,0,0,1006,1006,242,242,106,106,3572,0.114304,0.114304,1,8.88178419700125e-16,0,0,0.145040809767045,0.142179185011955,1.02359707977718,0,0,1.47455999999999,0.114304,0.15132038095238
closure-response-blackout-emergency,closure,response-blackout,16094109,1093188,13730699,13730699,0,1117334,610566,18551309585,50456766,656600683,303322446,303322446,1,1,3,1,4,1,1,48,56,1,1,1,30,0,0,0,4,0,0,6.23488910884435,0.234889108844352,1,1.11986674589098,0,0.132842975830869,0.216242727150953,0.123185342048008,1,1,226,1,1,1,80,80,20,20,123,37,0,0,0,0,0,0,0,1004,1004,244,244,185,185,7382,0.236224,0.236224,1,8.88178419700125e-16,0,0,0.145071049731382,0.142214883918031,1.02276204873293,0,0,1.47455999999999,0.236224,0.162931809523809
closure-response-blackout-no-emergency,closure,response-blackout,16094109,1093188,13730699,13730699,0,1117334,610566,18551309585,50456766,483744801,303322446,303322446,1,1,3,1,4,1,1,48,56,1,1,1,30,0,0,0,4,0,0,6.23488910884435,0.234889108844352,1,4.41798646980202,0,0.282291289518707,0.543346828439315,0.485978511678222,1,1,226,0,0,1,80,0,0,0,0,0,0,0,0,0,0,0,0,881,881,207,207,185,185,7382,0.236224,0.236224,1,8.88178419700125e-16,0,0,0.259450940534243,0.267689778420313,0.66759434244474,0,0,1.22879999999999,0.236224,0.139526095238095
closure-prepare-blackout-emergency,closure,prepare-blackout,16094109,1093188,13730699,13730699,0,1117334,610566,18771862601,49758713,656186633,303322446,303322446,1,1,3,1,4,1,1,48,56,1,0,0,NaN,0,0,0,3,1,0,NaN,NaN,1,1.1215030537554,0,0.112824789948482,0.216418469692076,0.123365335913094,1,1,226,1,1,1,60,60,0,20,95,25,0,0,0,0,0,0,0,1005,1005,243,243,22,22,720,0.02304,0.02304,1,1.11022302462516e-16,0,0,0.140954638996585,0.149831682372913,1.0641936609053,0,0,1.47455999999999,0.02304,0.14262857142857
closure-commit-blackout-emergency,closure,commit-blackout,16094109,1093188,13730699,13730699,0,1117334,610566,18726105868,51601191,656305816,303322446,303322446,1,1,3,1,4,1,1,48,56,1,1,1,30,1,0,1,3,0,1,6.23488910884435,0.234889108844352,1,1.12075403222449,0,0.131657324790051,0.216323672302203,0.123282943544694,1,1,226,1,1,1,65,65,5,20,97,33,0,0,0,0,0,0,0,1002,1002,246,246,110,110,3684,0.117888,0.117888,1,8.88178419700125e-16,0,0,0.145084493575064,0.142228833882703,1.02555505785603,0,0,1.47455999999999,0.117888,0.151661714285713
periodic-iid20,periodic,none,16094110,1118506,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.100868190431329,0.0977485869408608,1.06291552917151,0,0,2.70335999999998,0,0.257462857142855
closure-iid20-emergency,closure,none,16094110,1118506,16697297,16697297,0,1349885,610566,18751309036,51369676,656243614,303370046,303370046,1,1,3,1,4,1,1,48,56,1,1,1,31,1,1,4,0,0,0,6.4498852850114,0.449885285011399,1,1.02085724720625,0,0.133172239720623,0.205016812082936,0.112294297192688,1,1,226,1,1,1,28,28,7,7,44,12,0,0,0,0,0,0,0,982,982,266,266,113,113,3952,0.126464,0.126464,1,8.88178419700125e-16,0,0,0.145922975876572,0.145126696630438,1.0150537611367,0,0,1.47455999999999,0.126464,0.152478476190475
closure-response-blackout-emergency,closure,response-blackout,16094110,1118506,16697297,16697297,0,1349885,610566,18503912544,50688810,655984640,303370046,303370046,1,1,3,1,4,1,1,48,56,1,1,1,31,0,0,0,4,0,0,6.4498852850114,0.449885285011399,1,1.00966846002345,0,0.129916816216591,0.203634735278006,0.11106353060258,1,1,226,1,1,1,80,80,20,20,123,37,0,0,0,0,0,0,0,976,976,272,272,188,188,7446,0.238272,0.238272,1,8.88178419700125e-16,0,0,0.146586362866169,0.145865810075737,1.02392444261457,0,0,1.47455999999999,0.238272,0.163126857142856
closure-response-blackout-no-emergency,closure,response-blackout,16094110,1118506,16697297,16697297,0,1349885,610566,18503912544,50688810,484264263,303370046,303370046,1,1,3,1,4,1,1,48,56,1,1,1,31,0,0,0,4,0,0,6.4498852850114,0.449885285011399,1,4.55297745564391,0,0.301077344908579,0.546925430149033,0.50082752012083,1,1,226,0,0,1,80,0,0,0,0,0,0,0,0,0,0,0,0,853,853,235,235,188,188,7446,0.238272,0.238272,1,8.88178419700125e-16,0,0,0.255940430068802,0.265033675924584,0.667273260965826,0,0,1.22879999999999,0.238272,0.139721142857142
closure-prepare-blackout-emergency,closure,prepare-blackout,16094110,1118506,16697297,16697297,0,1349885,610566,18727030868,49576327,656512578,303370046,303370046,1,1,3,1,4,1,1,48,56,1,0,0,NaN,0,0,0,3,1,0,NaN,NaN,1,1.01183158344604,0,0.111173689842191,0.203901178991882,0.111301474179065,1,1,226,1,1,1,60,60,0,20,94,26,0,0,0,0,0,0,0,980,980,268,268,20,20,672,0.021504,0.021504,1,0,0,0,0.141746553128981,0.151183794730903,1.0637581325979,0,0,1.47455999999999,0.021504,0.142482285714285
closure-commit-blackout-emergency,closure,commit-blackout,16094110,1118506,16697297,16697297,0,1349885,610566,18677236161,50912602,656634859,303370046,303370046,1,1,3,1,4,1,1,48,56,1,1,1,31,1,0,1,3,0,1,6.4498852850114,0.449885285011399,1,1.00979440899316,0,0.129493957012072,0.203648792787976,0.111077384989248,1,1,226,1,1,1,67,67,7,20,103,31,0,0,0,0,0,0,0,977,977,271,271,118,118,4092,0.130944,0.130944,1,8.88178419700125e-16,0,0,0.146623745909774,0.145907041772188,1.02488246420248,0,0,1.47455999999999,0.130944,0.152905142857142
periodic-iid20,periodic,none,16094111,1068405,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.100322036364212,0.0974258779590315,1.06363855415209,0,0,2.70335999999998,0,0.257462857142855
closure-iid20-emergency,closure,none,16094111,1068405,15780636,15780636,0,884040,610566,18763692689,51436516,656206597,303305646,303305646,1,1,3,1,4,1,1,48,56,1,1,1,30,1,1,4,0,0,0,6.23488910884435,0.234889108844352,1,0.934464020297516,1,0.107247534374943,0.196237444262478,0.0993106241838424,1,1,226,1,1,1,25,25,6,7,40,10,0,0,0,0,0,0,0,1011,1011,237,237,112,112,3952,0.126464,0.126464,1,8.88178419700125e-16,0,0,0.142094968051308,0.139662390162848,1.03092485259948,0,0,1.47455999999999,0.126464,0.152478476190475
closure-response-blackout-emergency,closure,response-blackout,16094111,1068405,15780636,15780636,0,884040,610566,18516296197,50395516,656730612,303305646,303305646,1,1,3,1,4,1,1,48,56,1,1,1,30,0,0,0,4,0,0,6.23488910884435,0.234889108844352,1,0.934602711911849,1,0.109082156420009,0.196266569501488,0.0996050179543316,1,1,226,1,1,1,80,80,20,20,126,34,0,0,0,0,0,0,0,1012,1012,236,236,184,184,7366,0.235712,0.235712,1,8.88178419700125e-16,0,0,0.141487475484906,0.138976276628868,1.04069835252445,0,0,1.47455999999999,0.235712,0.162883047619047
closure-response-blackout-no-emergency,closure,response-blackout,16094111,1068405,15780636,15780636,0,884040,610566,18516296197,50395516,483107905,303305646,303305646,1,1,3,1,4,1,1,48,56,1,1,1,30,0,0,0,4,0,0,6.23488910884435,0.234889108844352,1,4.57189770332639,0,0.288580502387525,0.54303960832146,0.502908747365903,1,1,226,0,0,1,80,0,0,0,0,0,0,0,0,0,0,0,0,886,886,202,202,184,184,7366,0.235712,0.235712,1,8.88178419700125e-16,0,0,0.258209150613315,0.266809341312846,0.666348012864641,0,0,1.22879999999999,0.235712,0.139477333333333
closure-prepare-blackout-emergency,closure,prepare-blackout,16094111,1068405,15780636,15780636,0,884040,610566,18734073648,49758713,656545451,303305646,303305646,1,1,3,1,4,1,1,48,56,1,0,0,NaN,0,0,0,3,1,0,NaN,NaN,1,0.93429882148348,1,0.103262197377822,0.196202752511531,0.0995574384811479,1,1,226,1,1,1,60,60,0,20,95,25,0,0,0,0,0,0,0,1012,1012,236,236,22,22,720,0.02304,0.02304,1,1.11022302462516e-16,0,0,0.138681096990898,0.147545734038025,1.06020813749168,0,0,1.47455999999999,0.02304,0.14262857142857
closure-commit-blackout-emergency,closure,commit-blackout,16094111,1068405,15780636,15780636,0,884040,610566,18700240235,51924489,655871183,303305646,303305646,1,1,3,1,4,1,1,48,56,1,1,1,30,1,0,1,3,0,1,6.23488910884435,0.234889108844352,1,0.934705650508192,1,0.108785553569613,0.19628818660672,0.0996273727405996,1,1,226,1,1,1,66,66,6,20,105,27,0,0,0,0,0,0,0,1013,1013,235,235,116,116,4064,0.130048,0.130048,1,8.88178419700125e-16,0,0,0.141385097235146,0.138860468380287,1.0409335533293,0,0,1.47455999999999,0.130048,0.152819809523809
periodic-iid20,periodic,none,16094112,1038062,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0978667115942384,0.0950860387269181,1.06436691718481,0,0,2.70335999999998,0,0.257462857142855
closure-iid20-emergency,closure,none,16094112,1038062,14666955,14666955,0,678675,591631,18651447672,48032637,657241646,303356046,303356046,1,1,1,1,3,1,1,44,56,1,1,1,30,1,1,3,0,0,0,6.23488910884435,0.234889108844352,1,1.05553887826799,0,0.121481841596106,0.203446297338647,0.116109276609478,1,1,226,1,1,1,13,13,4,5,19,7,0,0,0,0,0,0,0,995,995,253,253,107,107,3324,0.106368,0.106368,1,8.88178419700125e-16,0,0,0.144048634254102,0.142389237423427,1.03512040522318,0,0,1.47455999999999,0.106368,0.15056457142857
closure-response-blackout-emergency,closure,response-blackout,16094112,1038062,14666955,14666955,0,678675,591631,18403757472,46622790,657400564,303356046,303356046,1,1,1,1,3,1,1,44,56,1,1,1,30,0,0,0,3,0,0,6.23488910884435,0.234889108844352,1,1.05869956245121,0,0.129904256032459,0.203612225438703,0.116456951869633,1,1,226,1,1,1,60,60,20,20,96,24,0,0,0,0,0,0,0,999,999,249,249,191,191,7032,0.225024,0.225024,1,8.88178419700125e-16,0,0,0.143286317005107,0.141537500553138,1.03940364988246,0,0,1.47455999999999,0.225024,0.161865142857142
closure-response-blackout-no-emergency,closure,response-blackout,16094112,1038062,14666955,14666955,0,678675,591631,18403757472,46622790,520837862,303356046,303356046,1,1,1,1,3,1,1,44,56,1,1,1,30,0,0,0,3,0,0,6.23488910884435,0.234889108844352,1,4.13449108072567,0,0.272803063765525,0.501058629335484,0.454794018879824,1,1,226,0,0,1,60,0,0,0,0,0,0,0,0,0,0,0,0,903,903,225,225,191,191,7032,0.225024,0.225024,1,8.88178419700125e-16,0,0,0.230621532320737,0.237385642310931,0.691257708685307,0,0,1.29023999999999,0.225024,0.144310857142856
closure-prepare-blackout-emergency,closure,prepare-blackout,16094112,1038062,14666955,14666955,0,678675,591631,18627423076,46425094,657135642,303356046,303356046,1,1,1,1,3,1,1,44,56,1,0,0,NaN,0,0,0,2,1,0,NaN,NaN,1,1.05989787373705,0,0.112935416156006,0.203752080989523,0.116588766111076,1,1,226,1,1,1,40,40,0,20,63,17,0,0,0,0,0,0,0,999,999,249,249,16,16,544,0.017408,0.017408,1,1.11022302462516e-16,0,0,0.138758966013889,0.148120844674103,1.05625908611082,0,0,1.47455999999999,0.017408,0.14209219047619
closure-commit-blackout-emergency,closure,commit-blackout,16094112,1038062,14666955,14666955,0,678675,591631,18605525481,47462080,657353649,303356046,303356046,1,1,1,1,3,1,1,44,56,1,1,1,30,1,0,1,2,0,1,6.23488910884435,0.234889108844352,1,1.0590381246494,0,0.128804000554042,0.203647312385695,0.116494193711434,1,1,226,1,1,1,44,44,4,20,72,16,0,0,0,0,0,0,0,998,998,250,250,111,111,3436,0.109952,0.109952,1,8.88178419700125e-16,0,0,0.142999160489089,0.141212917187565,1.03836043365739,0,0,1.47455999999999,0.109952,0.150905904761904
periodic-iid20,periodic,none,16094113,967246,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.101870638167775,0.0984451100630316,1.06064688743429,0,0,2.70335999999998,0,0.257462857142855
closure-iid20-emergency,closure,none,16094113,967246,13970747,13970747,0,2382210,610566,18694459046,51494871,656451229,303400846,303400846,1,1,3,1,4,1,1,48,56,1,1,1,31,1,1,4,0,0,0,6.4498852850114,0.449885285011399,1,1.15244894262028,0,0.112530756570598,0.20933630937075,0.12676938368823,1,1,226,1,1,1,23,23,5,6,37,9,0,0,0,0,0,0,0,976,976,272,272,109,109,3696,0.118272,0.118272,1,8.88178419700125e-16,0,0,0.152589510094591,0.152363550585033,1.02512230479466,0,0,1.47455999999999,0.118272,0.151698285714285
closure-response-blackout-emergency,closure,response-blackout,16094113,967246,13970747,13970747,0,2382210,610566,18447062554,50128197,657471583,303400846,303400846,1,1,3,1,4,1,1,48,56,1,1,1,31,0,0,0,4,0,0,6.4498852850114,0.449885285011399,1,1.15697417039536,0,0.112401596879237,0.208200002423975,0.12726715874349,1,1,226,1,1,1,79,79,19,20,126,32,0,0,0,0,0,0,0,973,973,275,275,190,190,7580,0.24256,0.24256,1,8.88178419700125e-16,0,0,0.154637335748035,0.154634919610554,1.01636753929652,0,0,1.47455999999999,0.24256,0.163535238095237
closure-response-blackout-no-emergency,closure,response-blackout,16094113,967246,13970747,13970747,0,2382210,610566,18447062554,50128197,486542586,303400846,303400846,1,1,3,1,4,1,1,48,56,1,1,1,31,0,0,0,4,0,0,6.4498852850114,0.449885285011399,1,4.3484331786867,0,0.298658593338099,0.544238121388969,0.478327649655537,1,1,226,0,0,1,79,0,0,0,0,0,0,0,0,0,0,0,0,847,847,243,243,190,190,7580,0.24256,0.24256,1,8.88178419700125e-16,0,0,0.260464629714201,0.269800473279155,0.670775940420302,0,0,1.23187199999999,0.24256,0.140422095238095
closure-prepare-blackout-emergency,closure,prepare-blackout,16094113,967246,13970747,13970747,0,2382210,610566,18668328541,49484207,656806510,303400846,303400846,1,1,3,1,4,1,1,48,56,1,0,0,NaN,0,0,0,3,1,0,NaN,NaN,1,1.15306503096785,0,0.106785750750827,0.208703823707564,0.126837153406464,1,1,226,1,1,1,59,59,0,20,91,27,0,0,0,0,0,0,0,966,966,282,282,19,19,648,0.020736,0.020736,1,4.44089209850063e-16,0,0,0.151761500606176,0.16162403256816,1.05535782308263,0,0,1.47455999999999,0.020736,0.142409142857142
closure-commit-blackout-emergency,closure,commit-blackout,16094113,967246,13970747,13970747,0,2382210,610566,18624884937,51043089,656611463,303400846,303400846,1,1,3,1,4,1,1,48,56,1,1,1,31,1,0,1,3,0,1,6.4498852850114,0.449885285011399,1,1.16670170869924,0,0.112091488801401,0.208556124141635,0.128337187956916,1,1,226,1,1,1,65,65,6,20,103,27,0,0,0,0,0,0,0,973,973,275,275,114,114,3836,0.122752,0.122752,1,8.88178419700125e-16,0,0,0.153939676879609,0.153859305445939,1.01290136285949,0,0,1.47455999999999,0.122752,0.152124952380951
periodic-iid20,periodic,none,16094114,1207822,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0975127153838169,0.0948503256345116,1.05725122877002,0,0,2.70335999999998,0,0.257462857142855
closure-iid20-emergency,closure,none,16094114,1207822,11902592,11902592,0,1947190,591631,18743899868,48035438,656782323,303344846,303344846,1,1,1,1,3,1,1,44,56,1,1,1,30,1,1,3,0,0,0,6.23488910884435,0.234889108844352,1,0.997535336606153,1,0.137986096152502,0.209482420687292,0.108564910634061,1,1,226,1,1,1,16,16,5,6,30,2,0,0,0,0,0,0,0,1010,1010,238,238,113,113,3628,0.116096,0.116096,1,8.88178419700125e-16,0,0,0.137926891953605,0.134577555721265,1.0504724237869,0,0,1.47455999999999,0.116096,0.151491047619047
