arm,kind,fault,seed,traceHash,decisionStateHash,finalDecisionStateHash,decisionStateMaxDifference,geometryHash,selectorHash,kernelTraceHash,kernelStateHash,scheduleHash,prefixScheduleHash,probePrefixScheduleHash,prefixStateExact,graphAdmissible,changedSenderEdges,nonincidentSenderEdges,affectedCount,changedSlotCount,candidateProper,prepareBytes,maxResponseBytes,protectedSlotFree,barrierClosed,motionAuthorized,graphActivationFrame,commitReady,allReactivated,reactivatedCount,finalSuppressedCount,prepareBudgetExhausted,commitBudgetExhausted,motionStartSec,motionLatencySec,motionGateExact,capsuleMaximumRatio,capsuleBoundSatisfied,maxCommandPairDeviation,maxLeaderPairDeviation,maxOtherPairDeviation,actualPhysicalSubset,actualSenderSubset,actualSubsetCheckSamples,emergencyEnabled,emergencyParallelMode,emergencyMappingExact,emergencySuppressedDemand,emergencyOpportunities,emergencyMinimumNodeOpportunities,emergencyMaximumNodeOpportunities,emergencyRecipientSuccess,emergencyRecipientErasure,emergencyRecipientCollision,kernelCollisionFrames,expectedCollisionRecipients,observedCollisionFrames,dataOutcomeMismatches,dataSkippedNoQueue,crossPlaneOverlaps,expectedDataSuccess,observedDataSuccess,expectedDataErasure,observedDataErasure,controlAttempts,expectedControlAttempts,controlBytes,controlAirtime,expectedControlAirtime,clockConflictFree,clockResidual,futureRandomReads,receiverTruthReads,RMSE,MISSION_RMSE,MINSEP,SAFEFAIL,DIVERGED,DATA_AIRTIME,MANAGEMENT_AIRTIME,TOTAL_COST
closure-prepare-blackout-emergency,closure,prepare-blackout,16094102,1182248,12503877,12503877,0,1437482,610566,18691330389,49758713,656930754,303370046,303370046,1,1,3,1,4,1,1,48,56,1,0,0,NaN,0,0,0,3,1,0,NaN,NaN,1,1.03409844620612,0,0.109711330112103,0.206320788076032,0.113750829082674,1,1,226,1,1,1,60,60,0,20,98,22,0,0,0,0,0,0,0,985,985,263,263,22,22,720,0.02304,0.02304,1,4.44089209850063e-16,0,0,0.136732995519206,0.145211573633325,1.04754806296766,0,0,1.47455999999999,0.02304,0.14262857142857
closure-commit-blackout-emergency,closure,commit-blackout,16094102,1182248,12503877,12503877,0,1437482,610566,18643783571,51213940,656510958,303370046,303370046,1,1,3,1,4,1,1,48,56,1,1,1,30,1,0,1,3,0,1,6.23488910884435,0.234889108844352,1,1.03956958795197,0,0.12537509246939,0.206313040175925,0.114352654674717,1,1,226,1,1,1,66,66,6,20,110,22,0,0,0,0,0,0,0,989,989,259,259,109,109,3862,0.123584,0.123584,1,4.44089209850063e-16,0,0,0.139714529425364,0.137171504423173,1.043691459983,0,0,1.47455999999999,0.123584,0.152204190476189
periodic-iid20,periodic,none,16094103,744835,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0971220587446339,0.0943531816283436,1.06600834687065,0,0,2.70335999999998,0,0.257462857142855
closure-iid20-emergency,closure,none,16094103,744835,14027225,14027225,0,1721737,610566,18806258031,51526287,656655109,303375646,303375646,1,1,3,1,4,1,1,48,56,1,1,1,32,1,1,4,0,0,0,6.66488146117845,0.664881461178446,1,1.02796188598308,0,0.129209294534132,0.209833641303413,0.113075807458139,1,1,226,1,1,1,28,28,6,9,46,10,0,0,0,0,0,0,0,995,995,253,253,110,110,3724,0.119168,0.119168,1,4.44089209850063e-16,0,0,0.141839779596665,0.140249351491725,1.02895453510215,0,0,1.47455999999999,0.119168,0.151783619047618
closure-response-blackout-emergency,closure,response-blackout,16094103,744835,14027225,14027225,0,1721737,610566,18558861539,51048217,656909444,303375646,303375646,1,1,3,1,4,1,1,48,56,1,1,1,32,0,0,0,4,0,0,6.66488146117845,0.664881461178446,1,1.04397156477739,0,0.128826176877604,0.210091963188057,0.114836872125513,1,1,226,1,1,1,78,78,19,20,129,27,0,0,0,0,0,0,0,1004,1004,244,244,190,190,7548,0.241536,0.241536,1,8.88178419700125e-16,0,0,0.139467614296815,0.137583456040274,1.0424597454679,0,0,1.47455999999999,0.241536,0.163437714285713
closure-response-blackout-no-emergency,closure,response-blackout,16094103,744835,14027225,14027225,0,1721737,610566,18558861539,51048217,486702273,303375646,303375646,1,1,3,1,4,1,1,48,56,1,1,1,32,0,0,0,4,0,0,6.66488146117845,0.664881461178446,1,4.46993063825026,0,0.309781345499878,0.539171503432091,0.491692370207528,1,1,226,0,0,1,78,0,0,0,0,0,0,0,0,0,0,0,0,875,875,217,217,190,190,7548,0.241536,0.241536,1,8.88178419700125e-16,0,0,0.247542333875838,0.255934426206954,0.669685930028499,0,0,1.23494399999999,0.241536,0.140617142857142
closure-prepare-blackout-emergency,closure,prepare-blackout,16094103,744835,14027225,14027225,0,1721737,610566,18777573034,49394133,656803875,303375646,303375646,1,1,3,1,4,1,1,48,56,1,0,0,NaN,0,0,0,3,1,0,NaN,NaN,1,1.03390869341137,0,0.108722520303912,0.209578802655708,0.11372995627525,1,1,226,1,1,1,59,59,0,20,98,20,0,0,0,0,0,0,0,1002,1002,246,246,18,18,624,0.019968,0.019968,1,4.44089209850063e-16,0,0,0.13753358560821,0.145712952910146,1.06985729478281,0,0,1.47455999999999,0.019968,0.142335999999999
closure-commit-blackout-emergency,closure,commit-blackout,16094103,744835,14027225,14027225,0,1721737,610566,18732396663,50851568,656280221,303375646,303375646,1,1,3,1,4,1,1,48,56,1,1,1,32,1,0,1,3,0,1,6.66488146117845,0.664881461178446,1,1.05049213827133,0,0.1280031818374,0.210478939459108,0.115554135209847,1,1,226,1,1,1,65,65,7,20,108,22,0,0,0,0,0,0,0,1003,1003,245,245,113,113,3808,0.121856,0.121856,1,4.44089209850063e-16,0,0,0.138886608293308,0.136927847688002,1.03962864274518,0,0,1.47455999999999,0.121856,0.152039619047618
periodic-iid20,periodic,none,16094104,1080777,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.101449540594879,0.0979496119070941,1.06531579880256,0,0,2.70335999999998,0,0.257462857142855
closure-iid20-emergency,closure,none,16094104,1080777,12951561,12951561,0,1638512,610566,18775398156,51110503,656347419,303333646,303333646,1,1,3,1,4,1,1,48,56,1,1,1,31,1,1,4,0,0,0,6.4498852850114,0.449885285011399,1,0.862515888220502,1,0.104230413217922,0.181128336526305,0.0893337303281807,1,1,226,1,1,1,32,32,6,12,44,20,0,0,0,0,0,0,0,1008,1008,240,240,121,121,4162,0.133184,0.133184,1,8.88178419700125e-16,0,0,0.142813265256409,0.142561971721566,1.05104603085473,0,0,1.47455999999999,0.133184,0.153118476190475
