scenario,reference,nPairs,periodicRateHz,referenceMeanRMSE,elcsMeanRMSE,referenceMeanCost,elcsMeanCost,rmseDelta,rmseCiLo,rmseCiHi,costDelta,costCiLo,costCiHi,relativeRmse,relativeCost,strictDominates,epsilonDominates,epsilonConfidenceSupported
n5-6dof-zero-loss,periodic-cost-match,30,19.1122222222221,0.0303688053391842,0.0301137252047497,0.293119999999997,0.293785599999997,0.000255080134434535,0.000237631392969157,0.000272746046755704,-0.000665600000000303,-0.000810666666666969,-0.000529066666666966,0.00847056060650719,-0.00226559776925828,0,0,0
n5-6dof-zero-loss,periodic-cost-minus2pct,30,18.7299777777776,0.0308191114464619,0.0301137252047497,0.287999999999997,0.293785599999997,0.000705386241712213,0.000694893582635321,0.000715944645572512,-0.00578560000000026,-0.00593066666666693,-0.0056405333333336,0.023424077788986,-0.0196932729173934,0,0,0
n10-ring2-zero-loss,periodic-cost-match,30,10.3799999999999,0.0557071881627501,0.0508715429509059,0.319607466666663,0.318796799999998,0.00483564521184423,0.00481042672697078,0.00485949521490547,0.000810666666665973,0.000571733333332647,0.00104106666666597,0.0950559965619859,0.00254289461709112,0,0,0
n10-ring2-zero-loss,periodic-cost-minus2pct,30,10.1723999999999,0.0561785220294178,0.0508715429509059,0.312319999999997,0.318796799999998,0.00530697907851189,0.00528163787309183,0.00533212093443046,-0.00647680000000061,-0.00669013333333394,-0.00625493333333395,0.104321173895461,-0.0203163896249923,0,0,0
