seed,calibration,macType,pAccess,method,methodLabel,dataDurationSlots,RMSE,MINSEP,SAFEFAIL,MEAN_TRUE_AOI,MEAN_EST_AOI,DATA_ATTEMPTED,DATA_DELIVERED,ACK_ATTEMPTED,COLLISION_FRAMES,DATA_RECIPIENT_SUCCESS,DATA_RECIPIENT_LOSS,DATA_RECIPIENT_ATTEMPTS,CHANNEL_UTIL,OFFERED_UTIL,MAX_QUEUE,MAX_HISTORY,historySize,INVARIANT_VIOLATIONS,TRACE_HASH_EXACT
13013001,multi-slot,aloha,0.4,periodic,Periodic-P10,4,0.698691672854359,0.375178181950915,1,1.98932609678878,NaN,1798,48,0,1750,98,3857,3955,0.201499999999985,0.599333333333304,1,32,32,0,194802916094
13013001,multi-slot,aloha,0.4,causal-broadcast,Causal-Broadcast,4,0.116213488502319,0.446901602007415,0,0.183265490728177,0.321781999095432,2642,344,306,2444,691,5194,5885,0.515583333333364,0.910416666666607,2,32,32,0,194802916094
13013002,one-slot,csma,0.1,periodic,Periodic-P10,1,0.0529397555793259,0.532327699096343,0,0.0773405698778833,NaN,735,594,0,137,1186,427,1613,0.0554999999999998,0.06125,1,32,32,0,194982426980
13013002,one-slot,csma,0.1,causal-broadcast,Causal-Broadcast,1,0.0554368454320713,0.529743103142569,0,0.0788150158299411,0.113469018543645,682,612,632,115,1239,271,1510,0.104666666666663,0.1095,2,32,32,0,194982426980
13013002,one-slot,aloha,0.1,periodic,Periodic-P10,1,0.0529397555793259,0.532327699096343,0,0.0773405698778833,NaN,735,594,0,137,1186,427,1613,0.0554999999999998,0.06125,1,32,32,0,194982426980
13013002,one-slot,aloha,0.1,causal-broadcast,Causal-Broadcast,1,0.0554368454320713,0.529743103142569,0,0.0788150158299411,0.113469018543645,682,612,632,115,1239,271,1510,0.104666666666663,0.1095,2,32,32,0,194982426980
13013002,one-slot,csma,0.2,periodic,Periodic-P10,1,0.053965212001577,0.531026143943127,0,0.0747173224785164,NaN,915,567,0,347,1135,870,2005,0.0609999999999998,0.0762500000000001,1,32,32,0,194982426980
13013002,one-slot,csma,0.2,causal-broadcast,Causal-Broadcast,1,0.0520209348488506,0.534161030365193,0,0.0733695160560831,0.109696969696969,715,611,634,177,1236,343,1579,0.104916666666664,0.112416666666667,2,32,32,0,194982426980
13013002,one-slot,aloha,0.2,periodic,Periodic-P10,1,0.053965212001577,0.531026143943127,0,0.0747173224785164,NaN,915,567,0,347,1135,870,2005,0.0609999999999998,0.0762500000000001,1,32,32,0,194982426980
13013002,one-slot,aloha,0.2,causal-broadcast,Causal-Broadcast,1,0.0520209348488506,0.534161030365193,0,0.0733695160560831,0.109696969696969,715,611,634,177,1236,343,1579,0.104916666666664,0.112416666666667,2,32,32,0,194982426980
13013002,one-slot,csma,0.4,periodic,Periodic-P10,1,0.0859477874776693,0.491531004812018,0,0.133423790140208,NaN,1398,397,0,1000,784,2289,3073,0.0675833333333334,0.116499999999996,1,32,32,0,194982426980
13013002,one-slot,csma,0.4,causal-broadcast,Causal-Broadcast,1,0.0525521802218154,0.534136194427217,0,0.074843962008141,0.114654002713704,895,618,640,437,1251,725,1976,0.109166666666664,0.127916666666667,1,32,32,0,194982426980
13013002,one-slot,aloha,0.4,periodic,Periodic-P10,1,0.0859477874776693,0.491531004812018,0,0.133423790140208,NaN,1398,397,0,1000,784,2289,3073,0.0675833333333334,0.116499999999996,1,32,32,0,194982426980
13013002,one-slot,aloha,0.4,causal-broadcast,Causal-Broadcast,1,0.0525521802218154,0.534136194427217,0,0.074843962008141,0.114654002713704,895,618,640,437,1251,725,1976,0.109166666666664,0.127916666666667,1,32,32,0,194982426980
13013002,multi-slot,csma,0.1,periodic,Periodic-P10,4,0.0572027758089895,0.526241400101502,0,0.0856173677069199,NaN,746,593,0,151,1176,466,1642,0.223333333333315,0.248666666666667,1,32,32,0,194982426980
13013002,multi-slot,csma,0.1,causal-broadcast,Causal-Broadcast,4,0.0572649695504193,0.527685017099007,0,0.0815920398009949,0.118362731795567,720,634,589,142,1273,320,1593,0.28916666666664,0.303166666666667,2,32,32,0,194982426980
13013002,multi-slot,aloha,0.1,periodic,Periodic-P10,4,0.143656055174809,0.430940446487478,0,0.184170058796924,NaN,1556,310,0,1241,611,2808,3419,0.335916666666636,0.518666666666647,1,32,32,0,194982426980
13013002,multi-slot,aloha,0.1,causal-broadcast,Causal-Broadcast,4,0.0657342445160821,0.516514954127275,0,0.100425146992311,0.169769335142469,1782,522,359,1373,1050,2906,3956,0.463916666666675,0.632083333333305,2,32,32,0,194982426980
13013002,multi-slot,csma,0.2,periodic,Periodic-P10,4,0.0592357540527038,0.524878342914873,0,0.0829941203075531,NaN,951,575,0,375,1138,940,2078,0.250999999999979,0.317,1,32,32,0,194982426980
13013002,multi-slot,csma,0.2,causal-broadcast,Causal-Broadcast,4,0.0540532659412552,0.532315966789976,0,0.0775938489371324,0.11438263229308,736,616,626,205,1241,385,1626,0.290333333333308,0.311416666666667,2,32,32,0,194982426980
13013002,multi-slot,aloha,0.2,periodic,Periodic-P10,4,0.327474306492969,0.0893735635964316,1,0.658073270013569,NaN,1764,105,0,1659,209,3673,3882,0.275916666666642,0.587999999999972,1,32,32,0,194982426980
13013002,multi-slot,aloha,0.2,causal-broadcast,Causal-Broadcast,4,0.079746891034713,0.494223452226349,0,0.123464495703302,0.221881501582994,2340,435,351,2045,869,4337,5206,0.528083333333364,0.817166666666618,2,32,32,0,194982426980
13013002,multi-slot,csma,0.4,periodic,Periodic-P10,4,0.0762356254685943,0.497643851354726,0,0.124966078697422,NaN,1398,423,0,972,853,2213,3066,0.277333333333309,0.465999999999986,1,32,32,0,194982426980
13013002,multi-slot,csma,0.4,causal-broadcast,Causal-Broadcast,4,0.0524844733144186,0.533279108964413,0,0.0766530981456353,0.119574853007689,851,621,656,368,1258,623,1881,0.31241666666664,0.354416666666667,2,32,32,0,194982426980
13013002,multi-slot,aloha,0.4,periodic,Periodic-P10,4,0.82290496695365,0.422146684911789,0,1.63545906829489,NaN,1797,37,0,1759,75,3879,3954,0.198166666666652,0.598999999999971,1,32,32,0,194982426980
13013002,multi-slot,aloha,0.4,causal-broadcast,Causal-Broadcast,4,0.13428324214154,0.429880126525755,0,0.214445952057892,0.532998643147897,2980,308,250,2821,606,6007,6613,0.574500000000048,1.01816666666659,2,32,32,0,194982426980
13013003,one-slot,csma,0.1,periodic,Periodic-P10,1,0.0513399892242311,0.533461076467727,0,0.0715513342379013,NaN,742,593,0,144,1210,420,1630,0.0555833333333331,0.0618333333333334,1,32,32,0,195381151625
13013003,one-slot,csma,0.1,causal-broadcast,Causal-Broadcast,1,0.055409465170966,0.529077871896648,0,0.0789507010402531,0.116689280868385,673,618,632,117,1240,244,1484,0.10383333333333,0.10875,2,32,32,0,195381151625
13013003,one-slot,aloha,0.1,periodic,Periodic-P10,1,0.0513399892242311,0.533461076467727,0,0.0715513342379013,NaN,742,593,0,144,1210,420,1630,0.0555833333333331,0.0618333333333334,1,32,32,0,195381151625
13013003,one-slot,aloha,0.1,causal-broadcast,Causal-Broadcast,1,0.055409465170966,0.529077871896648,0,0.0789507010402531,0.116689280868385,673,618,632,117,1240,244,1484,0.10383333333333,0.10875,2,32,32,0,195381151625
13013003,one-slot,csma,0.2,periodic,Periodic-P10,1,0.0533840734377192,0.530888187587799,0,0.0739936680235187,NaN,955,566,0,376,1148,953,2101,0.0628333333333332,0.0795833333333334,1,32,32,0,195381151625
