arm,kind,fault,seed,traceHash,decisionStateHash,finalDecisionStateHash,decisionStateMaxDifference,geometryHash,selectorHash,kernelTraceHash,kernelStateHash,scheduleHash,prefixScheduleHash,probePrefixScheduleHash,prefixStateExact,graphAdmissible,changedSenderEdges,nonincidentSenderEdges,affectedCount,changedSlotCount,candidateProper,prepareBytes,maxResponseBytes,protectedSlotFree,barrierClosed,motionAuthorized,graphActivationFrame,commitReady,allReactivated,reactivatedCount,finalSuppressedCount,prepareBudgetExhausted,commitBudgetExhausted,motionStartSec,motionLatencySec,motionGateExact,capsuleMaximumRatio,capsuleBoundSatisfied,criticalCapsuleMaximumRatio,criticalCapsuleBoundSatisfied,criticalCapsulePairChecks,criticalRadialMaximumRatio,criticalRadialBoundSatisfied,minimumOmittedEdgeMargin,radialConstructionPremise,radialTheoremCertified,maxCommandPairDeviation,maxLeaderPairDeviation,maxOtherPairDeviation,actualPhysicalSubset,actualSenderSubset,actualSubsetCheckSamples,emergencyEnabled,emergencyParallelMode,emergencyMappingExact,emergencySuppressedDemand,emergencyOpportunities,emergencyMinimumNodeOpportunities,emergencyMaximumNodeOpportunities,emergencyRecipientSuccess,emergencyRecipientErasure,emergencyRecipientCollision,kernelCollisionFrames,expectedCollisionRecipients,observedCollisionFrames,dataOutcomeMismatches,dataSkippedNoQueue,crossPlaneOverlaps,expectedDataSuccess,observedDataSuccess,expectedDataErasure,observedDataErasure,controlAttempts,expectedControlAttempts,controlBytes,controlAirtime,expectedControlAirtime,clockConflictFree,clockResidual,futureRandomReads,receiverTruthReads,RMSE,MISSION_RMSE,MINSEP,SAFEFAIL,DIVERGED,DATA_AIRTIME,MANAGEMENT_AIRTIME,TOTAL_COST
periodic-iid20,periodic,none,16094209,455032,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.100561952240112,0.0972085214433116,1.07654636557768,0,0,2.70028799999998,0,0.257170285714283
closure-iid20-emergency,closure,none,16094209,455032,13003546,13003546,0,1029813,610566,18789243172,51109050,656370904,303319646,303319646,1,1,3,1,4,1,1,48,56,1,1,1,31,1,1,4,0,0,0,6.4498852850114,0.449885285011399,1,1.00279201758813,0,1.00279201758813,0,9312,0.723738678042726,1,0.178269976563976,1,1,0.135228371764403,0.196988141220374,0.110307121934694,1,1,226,1,1,1,20,20,5,5,32,8,0,0,0,0,0,0,0,1009,1009,239,239,102,102,3298,0.105536,0.105536,1,8.88178419700125e-16,0,0,0.14053768677554,0.139928960560447,1.02086199311661,0,0,1.47455999999999,0.105536,0.150485333333332
closure-response-blackout-emergency,closure,response-blackout,16094209,455032,13003546,13003546,0,1029813,610566,18541846680,50387515,656266156,303319646,303319646,1,1,3,1,4,1,1,48,56,1,1,1,31,0,0,0,4,0,0,6.4498852850114,0.449885285011399,1,1.00929129322667,0,1.00929129322667,0,9312,0.720246588912478,1,0.182966494122296,1,1,0.13299649331319,0.197630201668083,0.111022042254934,1,1,226,1,1,1,80,80,20,20,130,30,0,0,0,0,0,0,0,1006,1006,242,242,192,192,7650,0.2448,0.2448,1,8.88178419700125e-16,0,0,0.139633638472171,0.13890767660869,1.01806918120081,0,0,1.47455999999999,0.2448,0.16374857142857
closure-response-blackout-no-emergency,closure,response-blackout,16094209,455032,13003546,13003546,0,1029813,610566,18541846680,50387515,483926183,303319646,303319646,1,1,3,1,4,1,1,48,56,1,1,1,31,0,0,0,4,0,0,6.4498852850114,0.449885285011399,1,4.57242466349005,0,4.57242466349005,0,9312,3.34008088788514,0,0.0668116604314983,1,0,0.298320817674384,0.552160199583339,0.502966712983905,1,1,226,0,0,1,80,0,0,0,0,0,0,0,0,0,0,0,0,876,876,212,212,192,192,7650,0.2448,0.2448,1,8.88178419700125e-16,0,0,0.252180828509022,0.261460065107398,0.667581691430067,0,0,1.22879999999999,0.2448,0.140342857142856
closure-prepare-blackout-emergency,closure,prepare-blackout,16094209,455032,13003546,13003546,0,1029813,610566,18762075962,49754333,656997612,303319646,303319646,1,1,3,1,4,1,1,48,56,1,0,0,NaN,0,0,0,3,1,0,NaN,NaN,1,1.00912219939044,0,1.00912219939044,0,9718,0.720317133249211,1,0.137356463391155,1,1,0.111583621457294,0.197628778563798,0.111003441932949,1,1,226,1,1,1,60,60,0,20,97,23,0,0,0,0,0,0,0,1002,1002,246,246,22,22,720,0.02304,0.02304,1,4.44089209850063e-16,0,0,0.13732750639318,0.147576594305716,1.06573798949321,0,0,1.47455999999999,0.02304,0.14262857142857
closure-commit-blackout-emergency,closure,commit-blackout,16094209,455032,13003546,13003546,0,1029813,610566,18719933133,51711130,656858721,303319646,303319646,1,1,3,1,4,1,1,48,56,1,1,1,31,1,0,1,3,0,1,6.4498852850114,0.449885285011399,1,1.00946583882581,0,1.00946583882581,0,9312,0.720245623027941,1,0.182966494122296,1,1,0.132576657838328,0.197650666996922,0.11104124227084,1,1,226,1,1,1,65,65,5,20,102,28,0,0,0,0,0,0,0,1004,1004,244,244,107,107,3438,0.110016,0.110016,1,8.88178419700125e-16,0,0,0.139857895847635,0.139156627828352,1.022045466552,0,0,1.47455999999999,0.110016,0.150911999999999
periodic-iid20,periodic,none,16094210,515287,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0985988647103043,0.095777822908965,1.06539526979102,0,0,2.70335999999998,0,0.257462857142855
closure-iid20-emergency,closure,none,16094210,515287,13929122,13929122,0,1784021,610566,18728202249,49957418,656467112,303398046,303398046,1,1,3,1,4,1,1,48,56,1,0,0,NaN,0,0,0,4,1,0,NaN,NaN,1,0.990269617252341,1,0.990269617252341,1,9718,0.729239220920919,1,0.165981101124766,1,1,0.113192632833725,0.207956619622992,0.108372148879825,1,1,226,1,1,1,77,77,18,20,112,42,0,0,0,0,0,0,0,974,974,274,274,24,24,768,0.024576,0.024576,1,4.44089209850063e-16,0,0,0.140915642955713,0.150073097571894,1.0453877262101,0,0,1.47455999999999,0.024576,0.142774857142856
closure-response-blackout-emergency,closure,response-blackout,16094210,515287,13929122,13929122,0,1784021,610566,18480805757,49957418,656303344,303398046,303398046,1,1,3,1,4,1,1,48,56,1,0,0,NaN,0,0,0,4,1,0,NaN,NaN,1,0.990269617252341,1,0.990269617252341,1,9718,0.729239220920919,1,0.165981101124766,1,1,0.113192632833725,0.207956619622992,0.108372148879825,1,1,226,1,1,1,77,77,18,20,112,42,0,0,0,0,0,0,0,974,974,274,274,24,24,768,0.024576,0.024576,1,4.44089209850063e-16,0,0,0.140915642955713,0.150073097571894,1.0453877262101,0,0,1.47455999999999,0.024576,0.142774857142856
closure-response-blackout-no-emergency,closure,response-blackout,16094210,515287,13929122,13929122,0,1784021,610566,18480805757,49957418,489402371,303398046,303398046,1,1,3,1,4,1,1,48,56,1,0,0,NaN,0,0,0,4,1,0,NaN,NaN,1,3.8422766838481,0,3.8422766838481,0,9718,2.56257705859999,0,0.124548971611803,1,0,0.254568143207635,0.478137964024944,0.422650435223291,1,1,226,0,0,1,77,0,0,0,0,0,0,0,0,0,0,0,0,862,862,232,232,24,24,768,0.024576,0.024576,1,4.44089209850063e-16,0,0,0.240771049456166,0.258633875630554,0.695701750628732,0,0,1.23801599999999,0.024576,0.120246857142856
