contrast,nPairs,meanDeltaMissionRmse,minimumDeltaMissionRmse,maximumDeltaMissionRmse,meanDeltaMinimumSeparation,meanDeltaTotalCost,meanDeltaDataAirtime
normal_closure_minus_periodic,50,0.0434136698763131,0.0345662064597615,0.0564892597672761,-0.027624924127982,-0.105280853333332,-1.22634239999999
response_no_emergency_minus_protected,50,0.116158401593858,0.0892711632584913,0.135708947688052,-0.36649200007642,-0.0222705371428569,-0.233840639999997
