armId,methodFamily,method,parameterName,parameterValue,period_s,epsilonPosition_m,seedCount,failedRuns,meanPrimaryFormationRMSE_m,meanEvaluationCost025PerChannel_Hz,scenarioId,costModel
O1L01,Centralized state oracle,centralized_state_oracle,lambda,0,NaN,NaN,5,0,0.129266726326101,20.6309090909091,S4,C0
O1L02,Centralized state oracle,centralized_state_oracle,lambda,1e-06,NaN,NaN,5,0,0.129266726326101,20.6309090909091,S4,C0
O1L03,Centralized state oracle,centralized_state_oracle,lambda,3e-06,NaN,NaN,5,0,0.129266726326101,20.6309090909091,S4,C0
O1L04,Centralized state oracle,centralized_state_oracle,lambda,1e-05,NaN,NaN,5,0,0.129350660176882,20.6245454545454,S4,C0
O1L05,Centralized state oracle,centralized_state_oracle,lambda,3e-05,NaN,NaN,5,0,0.128935621875214,20.6345454545455,S4,C0
O1L06,Centralized state oracle,centralized_state_oracle,lambda,0.0001,NaN,NaN,5,0,0.130853149855729,18.0490909090909,S4,C0
O1L07,Centralized state oracle,centralized_state_oracle,lambda,0.0003,NaN,NaN,5,0,0.132158485655335,14.4181818181818,S4,C0
O1L08,Centralized state oracle,centralized_state_oracle,lambda,0.001,NaN,NaN,5,0,0.14007522135218,9.00818181818182,S4,C0
O1L09,Centralized state oracle,centralized_state_oracle,lambda,0.003,NaN,NaN,5,0,0.178539481019976,4.98363636363636,S4,C0
O1L10,Centralized state oracle,centralized_state_oracle,lambda,0.01,NaN,NaN,5,0,0.269807773014381,2.63454545454545,S4,C0
O1L11,Centralized state oracle,centralized_state_oracle,lambda,0.03,NaN,NaN,5,0,0.421872094631094,1.45909090909091,S4,C0
O1L12,Centralized state oracle,centralized_state_oracle,lambda,0.1,NaN,NaN,5,0,0.711750148336771,0.698181818181818,S4,C0
O1L13,Centralized state oracle,centralized_state_oracle,lambda,0.3,NaN,NaN,5,0,1.09517428777588,0.285454545454545,S4,C0
O1L14,Centralized state oracle,centralized_state_oracle,lambda,1,NaN,NaN,5,0,1.4486388321783,0.0890909090909091,S4,C0
PS001,Periodic,Periodic-1step,periodSamples,1,0.02,NaN,5,0,0.0749799248894006,50,S4,C0
PS002,Periodic,Periodic-2step,periodSamples,2,0.04,NaN,5,0,0.0867037963209331,25,S4,C0
PS003,Periodic,Periodic-3step,periodSamples,3,0.06,NaN,5,0,0.097411970253995,16.6663636363637,S4,C0
PS004,Periodic,Periodic-4step,periodSamples,4,0.08,NaN,5,0,0.107622822087049,12.5,S4,C0
PS005,Periodic,Periodic-5step,periodSamples,5,0.1,NaN,5,0,0.119339694361658,10,S4,C0
PS008,Periodic,Periodic-8step,periodSamples,8,0.16,NaN,5,0,0.147205753865599,6.24545454545455,S4,C0
PS010,Periodic,Periodic-10step,periodSamples,10,0.2,NaN,5,0,0.170573805856513,5,S4,C0
PS015,Periodic,Periodic-15step,periodSamples,15,0.3,NaN,5,0,0.21673896922086,3.33545454545455,S4,C0
PS020,Periodic,Periodic-20step,periodSamples,20,0.4,NaN,5,0,0.259731535485119,2.5,S4,C0
PS025,Periodic,Periodic-25step,periodSamples,25,0.5,NaN,5,0,0.303594902393725,2,S4,C0
PS040,Periodic,Periodic-40step,periodSamples,40,0.8,NaN,5,0,0.432274651162221,1.24818181818182,S4,C0
O1L01,Centralized state oracle,centralized_state_oracle,lambda,0,NaN,NaN,5,0,0.293256383904917,12.4381818181818,S5,C0
O1L02,Centralized state oracle,centralized_state_oracle,lambda,1e-06,NaN,NaN,5,0,0.293256383904917,12.4381818181818,S5,C0
O1L03,Centralized state oracle,centralized_state_oracle,lambda,3e-06,NaN,NaN,5,0,0.293256383904917,12.4381818181818,S5,C0
O1L04,Centralized state oracle,centralized_state_oracle,lambda,1e-05,NaN,NaN,5,0,0.292450924690051,12.4381818181818,S5,C0
O1L05,Centralized state oracle,centralized_state_oracle,lambda,3e-05,NaN,NaN,5,0,0.292452125803134,12.4381818181818,S5,C0
O1L06,Centralized state oracle,centralized_state_oracle,lambda,0.0001,NaN,NaN,5,0,0.291364029225731,12.4363636363636,S5,C0
O1L07,Centralized state oracle,centralized_state_oracle,lambda,0.0003,NaN,NaN,5,0,0.292800966849517,12.4181818181818,S5,C0
O1L08,Centralized state oracle,centralized_state_oracle,lambda,0.001,NaN,NaN,5,0,0.296455470559737,9.12818181818182,S5,C0
O1L09,Centralized state oracle,centralized_state_oracle,lambda,0.003,NaN,NaN,5,0,0.320647404376365,5.33272727272727,S5,C0
O1L10,Centralized state oracle,centralized_state_oracle,lambda,0.01,NaN,NaN,5,0,0.382039662738185,2.95454545454545,S5,C0
O1L11,Centralized state oracle,centralized_state_oracle,lambda,0.03,NaN,NaN,5,0,0.49436824446438,1.81,S5,C0
O1L12,Centralized state oracle,centralized_state_oracle,lambda,0.1,NaN,NaN,5,0,0.73368891245465,1.05636363636363,S5,C0
O1L13,Centralized state oracle,centralized_state_oracle,lambda,0.3,NaN,NaN,5,0,1.10938953279635,0.53,S5,C0
O1L14,Centralized state oracle,centralized_state_oracle,lambda,1,NaN,NaN,5,0,1.65320054285544,0.0409090909090909,S5,C0
PS001,Periodic,Periodic-1step,periodSamples,1,0.02,NaN,5,0,0.26684350693571,50,S5,C0
PS002,Periodic,Periodic-2step,periodSamples,2,0.04,NaN,5,0,0.27413499337616,25,S5,C0
PS003,Periodic,Periodic-3step,periodSamples,3,0.06,NaN,5,0,0.283409840534781,16.6663636363637,S5,C0
PS004,Periodic,Periodic-4step,periodSamples,4,0.08,NaN,5,0,0.290866907462571,12.5,S5,C0
PS005,Periodic,Periodic-5step,periodSamples,5,0.1,NaN,5,0,0.298683200799995,10,S5,C0
PS008,Periodic,Periodic-8step,periodSamples,8,0.16,NaN,5,0,0.324271106077022,6.24545454545455,S5,C0
PS010,Periodic,Periodic-10step,periodSamples,10,0.2,NaN,5,0,0.346485364514692,5,S5,C0
PS015,Periodic,Periodic-15step,periodSamples,15,0.3,NaN,5,0,0.383173345426432,3.33545454545455,S5,C0
PS020,Periodic,Periodic-20step,periodSamples,20,0.4,NaN,5,0,0.434460849986838,2.5,S5,C0
