scenario,metric,nPairs,selectedMean,shadowMean,selectedMinusShadow,ciLo,ciHi,crossesZero
n5-csma,RMSE,20,0.0544442160760278,0.0535818577821473,0.000862358293880507,0.000390170701203783,0.00133454588655723,0
n5-csma,MEAN_TRUE_AOI,20,0.0729701492537313,0.0709408512990602,0.00202929795467107,0.00120377340118287,0.00285482250815927,0
n5-csma,OFFERED_UTIL,20,0.282954166666667,0.277166666666667,0.0057874999999999,0.000443047503612422,0.0111319524963874,0
n5-csma,CHANNEL_UTIL,20,0.262324999999979,0.255566666666647,0.00675833333333244,0.00379464995877385,0.00972201670789103,0
n5-csma,DATA_AIRTIME,20,3.2754,3.326,-0.0505999999999999,-0.11500266323166,0.0138026632316605,1
n5-csma,ACK_AIRTIME,20,0.12005,0,0.12005,0.114676194394197,0.125423805605803,0
n5-csma,COLLISION_FRAMES,20,124.75,125.9,-1.15,-16.6390292677511,14.3390292677511,1
n5-csma,DATA_ATTEMPTED,20,818.85,831.5,-12.65,-28.7506658079151,3.45066580791513,1
n10-ring2,RMSE,20,0.0906974832497404,0.089321088328427,0.0013763949213134,0.000656212768877169,0.00209657707374964,0
n10-ring2,MEAN_TRUE_AOI,20,0.0816550580431176,0.0797666429755981,0.00188841506751955,0.00104880851512677,0.00272802161991233,0
n10-ring2,OFFERED_UTIL,20,0.640154166666635,0.619966666666635,0.0201874999999992,0.0124277943191482,0.0279472056808503,0
n10-ring2,CHANNEL_UTIL,20,0.552262500000034,0.537670833333364,0.0145916666666704,0.0106126407265109,0.0185706926068298,0
n10-ring2,DATA_AIRTIME,20,7.52339999999962,7.43959999999962,0.083799999999991,-0.0109962968904142,0.178596296890396,1
n10-ring2,ACK_AIRTIME,20,0.15845,0,0.15845,0.153461112467573,0.163438887532427,0
n10-ring2,COLLISION_FRAMES,20,517.95,468.45,49.5,26.660483066432,72.339516933568,0
n10-ring2,DATA_ATTEMPTED,20,1880.85,1859.9,20.95,-2.74907422260404,44.649074222604,1
n20-ring2,RMSE,20,0.195166630993434,0.195575508950061,-0.000408877956626298,-0.00268305221441307,0.00186529630116047,1
n20-ring2,MEAN_TRUE_AOI,20,0.153564892926672,0.154551481721827,-0.00098658879515465,-0.00289597757340007,0.000922799983090775,1
n20-ring2,OFFERED_UTIL,20,1.13792916666658,1.14051666666658,-0.00258750000000002,-0.00634430495256497,0.00116930495256493,1
n20-ring2,CHANNEL_UTIL,20,0.813020833333318,0.813924999999984,-0.000904166666666195,-0.00209342731495336,0.000285093981620965,1
n20-ring2,DATA_AIRTIME,20,13.6531999999989,13.6861999999989,-0.033000000000005,-0.0785081079453012,0.0125081079452912,1
n20-ring2,ACK_AIRTIME,20,0.00195,0,0.00195,0.00112562592426458,0.00277437407573542,0
n20-ring2,COLLISION_FRAMES,20,1749,1759.65,-10.65,-27.8729268094678,6.57292680946778,1
n20-ring2,DATA_ATTEMPTED,20,3413.3,3421.55,-8.25,-19.6270269863253,3.12702698632532,1
n5-aloha,RMSE,20,0.0758609805980958,0.0893065551942984,-0.0134455745962026,-0.0215027883264849,-0.00538836086592031,0
n5-aloha,MEAN_TRUE_AOI,20,0.109232725262576,0.134757324488668,-0.0255245992260918,-0.040757386463067,-0.0102918119891166,0
n5-aloha,OFFERED_UTIL,20,0.754929166666624,0.811399999999948,-0.0564708333333233,-0.0831221314801836,-0.0298195351864629,0
n5-aloha,CHANNEL_UTIL,20,0.489320833333352,0.50411666666669,-0.0147958333333379,-0.0263892898271355,-0.00320237683954021,0
n5-aloha,DATA_AIRTIME,20,8.65179999999949,9.73679999999938,-1.08499999999988,-1.4075776129044,-0.762422387095372,0
n5-aloha,ACK_AIRTIME,20,0.40735,0,0.40735,0.39659769702428,0.41810230297572,0
n5-aloha,COLLISION_FRAMES,20,1829.6,1980.85,-151.25,-246.045722275892,-56.454277724108,0
n5-aloha,DATA_ATTEMPTED,20,2162.95,2434.2,-271.25,-351.894403226136,-190.605596773864,0
