stage,seed,scenario,scenarioLabel,arm,role,method,methodLabel,feedbackMode,N,plant,macType,horizon,pAccess,historySize,RMSE,MINSEP,SAFEFAIL,DIVERGED,MEAN_TRUE_AOI,MEAN_EST_AOI,DATA_GENERATED,DATA_ATTEMPTED,DATA_DELIVERED,ACK_ATTEMPTED,ACK_ENTRIES_DELIVERED,DATA_RECIPIENT_ATTEMPTS,DATA_RECIPIENT_SUCCESS,DATA_RECIPIENT_LOSS,ACK_RECIPIENT_ATTEMPTS,ACK_RECIPIENT_SUCCESS,ACK_RECIPIENT_LOSS,TERMINAL_DATA_INFLIGHT,TERMINAL_ACK_INFLIGHT,COLLISION_FRAMES,MAX_QUEUE,MAX_HISTORY,ACK_STANDALONE,CHANNEL_UTIL,OFFERED_UTIL,DATA_AIRTIME,ACK_AIRTIME,PIGGYBACK_AIRTIME,ENERGY_PROXY_J,CONFIRMATION_EVENTS,STANDALONE_CONFIRMATION_EVENTS,PIGGYBACK_CONFIRMATION_EVENTS,NETWORK_RUNTIME_SEC,INVARIANT_VIOLATIONS,TRACE_HASH_EXACT,CHANNEL_STATE_HASH,CONFIG_HASH
development,16018018,n5-aloha,N5 ALOHA,selected-adaptive-scaled,actual,mac-aware-broadcast,Selected adaptive + scaled,adaptive,5,6dof,aloha,12,0.2,32,0.0674352138708702,0.512610781009468,0,0,0.0944610281923712,0.151763405196241,939,2145,427,334,447,3944,749,3195,1050,447,603,0,0,1810,2,32,334,0.480166666666682,0.749499999999958,8.5799999999995,0.414,0.161280000000002,1.7987999999999,447,251,196,1.5262874,0,666314695276,21191927046,142096722
development,16018018,n5-aloha,N5 ALOHA,piggyback-scaled,shadow,causal-broadcast,Piggyback-only + scaled,piggyback,5,6dof,aloha,12,0.2,32,0.0961467479413259,0.437123115055274,0,0,0.149585406301824,0.389331122166943,1087,2662,406,0,281,4841,695,4146,1308,281,1027,0,0,2231,1,32,0,0.5401666666667,0.887333333333273,10.6479999999993,0,0.334848,2.12959999999985,281,0,281,1.4172494,0,666314695276,21191927046,112388485
development,16018019,n5-csma,N5 CSMA,selected-adaptive-scaled,actual,mac-aware-broadcast,Selected adaptive + scaled,adaptive,5,6dof,csma,12,0.2,32,0.0552444681968523,0.530556464025069,0,0,0.0751133222775012,0.13779988944168,691,809,659,71,737,1479,1139,340,939,737,202,0,0,128,2,32,71,0.259666666666646,0.281083333333334,3.236,0.137,0.201216000000002,0.674600000000001,737,136,601,1.1014569,0,667363079905,21210242442,141655170
development,16018019,n5-csma,N5 CSMA,piggyback-scaled,shadow,causal-broadcast,Piggyback-only + scaled,piggyback,5,6dof,csma,12,0.2,32,0.0538307984837519,0.531967810640437,0,0,0.0723051409618573,0.1424543946932,699,781,666,0,719,1428,1158,270,879,719,160,0,0,86,1,32,0,0.245333333333314,0.260333333333334,3.124,0,0.225024000000002,0.6248,719,0,719,0.9697068,0,667363079905,21210242442,111946933
development,16018019,n10-ring2,N10 ring2,selected-adaptive-scaled,actual,mac-aware-broadcast,Selected adaptive + scaled,adaptive,10,di,csma,12,0.1,32,0.092059684751118,0.505829513300651,0,0,0.0821937929400615,0.156323146173892,1577,1940,1359,82,1656,4197,2727,1468,2537,1656,881,2,0,565,2,32,82,0.564916666666705,0.659999999999966,7.75999999999959,0.16,0.601343999999999,1.58399999999992,1656,117,1539,1.5920476,0,2587674471478,84900638136,150605086
development,16018019,n10-ring2,N10 ring2,piggyback-scaled,shadow,causal-broadcast,Piggyback-only + scaled,piggyback,10,di,csma,12,0.1,32,0.0886064148974056,0.50869494187354,0,0,0.0781520966595592,0.152030324567638,1562,1895,1353,0,1611,4089,2733,1355,2451,1611,838,1,2,502,1,32,0,0.543916666666699,0.631666666666634,7.57999999999961,0,0.627455999999999,1.51599999999992,1611,0,1611,1.516792,0,2587674471478,84900638136,121174292
development,16018019,n20-ring2,N20 ring2,selected-adaptive-scaled,actual,mac-aware-broadcast,Selected adaptive + scaled,adaptive,20,di,csma,12,0.05,32,0.191577779529898,0.4289314676182,0,0,0.149251568245729,0.285375297425914,3905,3356,1627,1,1941,7820,3508,4312,4215,1941,2274,0,0,1696,1,32,1,0.807083333333321,1.11874999999991,13.423999999999,0.001,1.078784,2.68499999999979,1941,1,1940,2.1063133,0,10203654323917,339889146579,176416947
development,16018019,n20-ring2,N20 ring2,piggyback-scaled,shadow,causal-broadcast,Piggyback-only + scaled,piggyback,20,di,csma,12,0.05,32,0.191577779529898,0.4289314676182,0,0,0.149251568245729,0.285375297425914,3905,3356,1627,0,1941,7820,3508,4312,4217,1941,2276,0,0,1696,1,32,0,0.806999999999988,1.11866666666658,13.423999999999,0,1.079552,2.68479999999979,1941,0,1941,1.8784265,0,10203654323917,339889146579,146600588
development,16018019,n5-aloha,N5 ALOHA,selected-adaptive-scaled,actual,mac-aware-broadcast,Selected adaptive + scaled,adaptive,5,6dof,aloha,12,0.2,32,0.0710642422774248,0.505205485642219,0,0,0.0937866224433386,0.175257048092869,938,2148,432,316,409,3978,767,3211,1115,409,706,0,0,1792,2,32,316,0.484000000000017,0.749583333333292,8.5919999999995,0.403,0.180992000000002,1.7989999999999,409,246,163,1.3966423,0,667363079905,21210242442,142096724
development,16018019,n5-aloha,N5 ALOHA,piggyback-scaled,shadow,causal-broadcast,Piggyback-only + scaled,piggyback,5,6dof,aloha,12,0.2,32,0.0937680618786169,0.466757801878092,0,0,0.130259812050857,0.301890547263681,1061,2524,419,0,293,4603,717,3886,1356,293,1063,0,0,2089,1,32,0,0.511500000000026,0.841333333333278,10.0959999999993,0,0.347136000000002,2.01919999999987,293,0,293,1.2197587,0,667363079905,21210242442,112388487
development,16018020,n5-csma,N5 CSMA,selected-adaptive-scaled,actual,mac-aware-broadcast,Selected adaptive + scaled,adaptive,5,6dof,csma,12,0.2,32,0.0534338598559426,0.531892845745986,0,0,0.070768380320619,0.137899391929243,704,784,674,70,732,1441,1169,272,915,732,183,0,0,86,2,32,70,0.25824999999998,0.272583333333334,3.136,0.135,0.195840000000002,0.654200000000001,732,124,608,1.0994309,0,667118441985,21190428542,141655172
development,16018020,n5-csma,N5 CSMA,piggyback-scaled,shadow,causal-broadcast,Piggyback-only + scaled,piggyback,5,6dof,csma,12,0.2,32,0.0522773207813155,0.533239088391474,0,0,0.0696627971254836,0.140453289110005,720,848,683,0,734,1559,1183,376,977,734,243,0,0,138,1,32,0,0.25899999999998,0.282666666666667,3.392,0,0.250112000000002,0.678400000000001,734,0,734,1.0042859,0,667118441985,21190428542,111946935
development,16018020,n10-ring2,N10 ring2,selected-adaptive-scaled,actual,mac-aware-broadcast,Selected adaptive + scaled,adaptive,10,di,csma,12,0.1,32,0.0893645049823772,0.510557471781765,0,0,0.0813551291163231,0.149391139540393,1528,1909,1351,75,1698,4117,2715,1402,2554,1698,856,0,0,542,2,32,75,0.556000000000035,0.6485833333333,7.6359999999996,0.147,0.608511999999999,1.55659999999992,1698,127,1571,1.5738712,0,2586072441905,84877857790,150605088
development,16018020,n10-ring2,N10 ring2,piggyback-scaled,shadow,causal-broadcast,Piggyback-only + scaled,piggyback,10,di,csma,12,0.1,32,0.0878014200137834,0.512846699658901,0,0,0.0807818052594171,0.152774224117508,1510,1841,1360,0,1684,3997,2741,1256,2412,1684,728,0,0,453,1,32,0,0.533333333333363,0.613666666666636,7.36399999999963,0,0.617471999999998,1.47279999999993,1684,0,1684,1.5455728,0,2586072441905,84877857790,121174294
development,16018020,n20-ring2,N20 ring2,selected-adaptive-scaled,actual,mac-aware-broadcast,Selected adaptive + scaled,adaptive,20,di,csma,12,0.05,32,0.188481558964955,0.430985899322891,0,0,0.149878866536882,0.295868483668614,4001,3448,1610,1,1942,8106,3593,4513,4454,1942,2512,0,0,1812,2,32,1,0.815999999999983,1.14941666666658,13.7919999999989,0.001,1.13996800000001,2.75859999999979,1942,0,1942,2.0759597,0,10199667991029,339918580890,176416949
development,16018020,n20-ring2,N20 ring2,piggyback-scaled,shadow,causal-broadcast,Piggyback-only + scaled,piggyback,20,di,csma,12,0.05,32,0.188481558964955,0.430985899322891,0,0,0.149878866536882,0.295868483668614,4001,3449,1610,0,1942,8108,3593,4515,4455,1942,2513,0,0,1812,1,32,0,0.815999999999983,1.14966666666658,13.7959999999989,0,1.14048000000001,2.75919999999978,1942,0,1942,1.7284338,0,10199667991029,339918580890,146600590
development,16018020,n5-aloha,N5 ALOHA,selected-adaptive-scaled,actual,mac-aware-broadcast,Selected adaptive + scaled,adaptive,5,6dof,aloha,12,0.2,32,0.0875509015918999,0.482743329028534,0,0,0.126003316749585,0.230978441127695,933,2130,423,328,409,3933,743,3190,1070,409,661,0,0,1797,2,32,328,0.486416666666684,0.742749999999959,8.51999999999951,0.393,0.173056000000002,1.7825999999999,409,239,170,1.3463772,0,667118441985,21190428542,142096726
development,16018020,n5-aloha,N5 ALOHA,piggyback-scaled,shadow,causal-broadcast,Piggyback-only + scaled,piggyback,5,6dof,aloha,12,0.2,32,0.0940959549331925,0.473836068673919,0,0,0.104665561083471,0.256539524599226,1033,2410,442,0,300,4448,764,3684,1430,300,1130,0,0,1947,1,32,0,0.50516666666669,0.803333333333282,9.63999999999938,0,0.366080000000001,1.92799999999988,300,0,300,1.1705309,0,667118441985,21190428542,112388489
