seed,scenario,scenarioLabel,N,horizon,sourceReceiver,targetSender,actualSeq,actualGenTime,actualTime,actualFrameId,actualBytes,shadowSeq,shadowGenTime,shadowTime,leadSeconds,isEarlier,shadowEarlierOrEqual,censored,actualTraceHash,shadowTraceHash,actualChannelHash,shadowChannelHash
16018001,n5-csma,N5 CSMA,5,12,4,1,65,4.02,4.139,322,32,61,4.26,4.306,0.167,1,0,0,667141392705,667141392705,21196991276,21196991276
16018001,n5-csma,N5 CSMA,5,12,4,5,45,4.1,4.139,322,32,52,4.28,4.306,0.167,1,0,0,667141392705,667141392705,21196991276,21196991276
16018001,n5-csma,N5 CSMA,5,12,2,1,67,4.24,4.274,331,32,62,4.32,4.368,0.0940000000000003,1,0,0,667141392705,667141392705,21196991276,21196991276
16018001,n5-csma,N5 CSMA,5,12,2,3,66,4.24,4.274,331,32,60,4.24,4.296,0.0220000000000002,1,0,0,667141392705,667141392705,21196991276,21196991276
16018001,n5-csma,N5 CSMA,5,12,5,1,69,4.42,4.459,341,32,64,4.5,4.529,0.0699999999999994,1,0,0,667141392705,667141392705,21196991276,21196991276
16018001,n5-csma,N5 CSMA,5,12,5,4,70,4.44,4.459,341,32,72,4.52,4.529,0.0699999999999994,1,0,0,667141392705,667141392705,21196991276,21196991276
16018001,n5-csma,N5 CSMA,5,12,2,3,68,4.44,4.478,343,24,64,4.62,4.665,0.187,1,0,0,667141392705,667141392705,21196991276,21196991276
16018001,n5-csma,N5 CSMA,5,12,4,1,70,4.5,4.558,348,40,64,4.5,4.525,0,0,1,0,667141392705,667141392705,21196991276,21196991276
16018001,n5-csma,N5 CSMA,5,12,4,3,69,4.54,4.558,348,40,64,4.62,4.681,0.123,1,0,0,667141392705,667141392705,21196991276,21196991276
16018001,n5-csma,N5 CSMA,5,12,4,5,49,4.54,4.558,348,40,55,4.6,4.681,0.123,1,0,0,667141392705,667141392705,21196991276,21196991276
16018001,n5-csma,N5 CSMA,5,12,4,1,73,4.78,4.811,362,40,70,5.02,5.051,0.24,1,0,0,667141392705,667141392705,21196991276,21196991276
16018001,n5-csma,N5 CSMA,5,12,4,3,71,4.74,4.811,362,40,66,4.78,4.876,0.0650000000000004,1,0,0,667141392705,667141392705,21196991276,21196991276
16018001,n5-csma,N5 CSMA,5,12,4,5,52,4.8,4.811,362,40,58,4.82,4.876,0.0650000000000004,1,0,0,667141392705,667141392705,21196991276,21196991276
16018001,n5-csma,N5 CSMA,5,12,4,1,78,5.16,5.253,388,40,71,5.16,5.19,0,0,1,0,667141392705,667141392705,21196991276,21196991276
16018001,n5-csma,N5 CSMA,5,12,4,3,76,5.22,5.253,388,40,73,5.32,5.341,0.0880000000000001,1,0,0,667141392705,667141392705,21196991276,21196991276
16018001,n5-csma,N5 CSMA,5,12,4,5,57,5.18,5.253,388,40,62,5.2,5.234,0,0,1,0,667141392705,667141392705,21196991276,21196991276
16018001,n5-csma,N5 CSMA,5,12,2,1,83,5.66,5.724,418,32,78,5.84,5.871,0.147,1,0,0,667141392705,667141392705,21196991276,21196991276
16018001,n5-csma,N5 CSMA,5,12,2,3,82,5.7,5.724,418,32,80,5.9,5.947,0.223,1,0,0,667141392705,667141392705,21196991276,21196991276
16018001,n5-csma,N5 CSMA,5,12,2,3,84,5.9,5.946,429,24,80,5.9,5.947,0.00100000000000033,1,0,0,667141392705,667141392705,21196991276,21196991276
16018001,n5-csma,N5 CSMA,5,12,5,4,87,5.94,5.962,433,32,91,6.04,6.063,0.101,1,0,0,667141392705,667141392705,21196991276,21196991276
16018001,n5-csma,N5 CSMA,5,12,2,1,94,6.74,6.795,477,32,88,6.78,6.827,0.032,1,0,0,667141392705,667141392705,21196991276,21196991276
16018001,n5-csma,N5 CSMA,5,12,2,3,94,6.72,6.795,477,32,89,6.74,6.765,0,0,1,0,667141392705,667141392705,21196991276,21196991276
16018001,n5-csma,N5 CSMA,5,12,3,2,91,6.78,6.908,487,32,91,6.92,6.961,0.0529999999999999,1,0,0,667141392705,667141392705,21196991276,21196991276
16018001,n5-csma,N5 CSMA,5,12,3,4,97,6.86,6.908,487,32,102,7,7.064,0.156,1,0,0,667141392705,667141392705,21196991276,21196991276
16018001,n5-csma,N5 CSMA,5,12,5,1,97,7,7.074,495,32,93,7.18,7.202,0.128,1,0,0,667141392705,667141392705,21196991276,21196991276
16018001,n5-csma,N5 CSMA,5,12,5,4,99,7.02,7.074,495,32,104,7.16,7.202,0.128,1,0,0,667141392705,667141392705,21196991276,21196991276
16018001,n5-csma,N5 CSMA,5,12,4,3,102,7.46,7.516,520,32,97,7.46,7.515,0,0,1,0,667141392705,667141392705,21196991276,21196991276
16018001,n5-csma,N5 CSMA,5,12,4,5,82,7.46,7.516,520,32,86,7.5,7.515,0,0,1,0,667141392705,667141392705,21196991276,21196991276
16018001,n5-csma,N5 CSMA,5,12,5,1,108,7.84,7.897,545,32,102,7.92,7.962,0.0649999999999995,1,0,0,667141392705,667141392705,21196991276,21196991276
16018001,n5-csma,N5 CSMA,5,12,3,2,103,7.96,7.991,551,32,102,8.08,8.105,0.114,1,0,0,667141392705,667141392705,21196991276,21196991276
16018001,n5-csma,N5 CSMA,5,12,3,4,111,7.98,7.991,551,32,113,8.06,8.105,0.114,1,0,0,667141392705,667141392705,21196991276,21196991276
16018001,n5-csma,N5 CSMA,5,12,4,1,110,8.04,8.155,561,40,106,8.26,8.285,0.130000000000001,1,0,0,667141392705,667141392705,21196991276,21196991276
16018001,n5-csma,N5 CSMA,5,12,4,3,109,8.08,8.155,561,40,103,8.1,8.149,0,0,1,0,667141392705,667141392705,21196991276,21196991276
16018001,n5-csma,N5 CSMA,5,12,4,5,88,8.12,8.155,561,40,93,8.24,8.285,0.130000000000001,1,0,0,667141392705,667141392705,21196991276,21196991276
16018001,n5-csma,N5 CSMA,5,12,5,1,116,8.6,8.653,588,32,110,8.66,8.751,0.097999999999999,1,0,0,667141392705,667141392705,21196991276,21196991276
16018001,n5-csma,N5 CSMA,5,12,3,2,111,8.78,8.793,597,32,110,8.8,8.845,0.0519999999999996,1,0,0,667141392705,667141392705,21196991276,21196991276
16018001,n5-csma,N5 CSMA,5,12,3,4,120,8.74,8.793,597,32,121,8.82,8.845,0.0519999999999996,1,0,0,667141392705,667141392705,21196991276,21196991276
16018001,n5-csma,N5 CSMA,5,12,5,1,118,8.74,8.806,598,32,112,8.88,8.893,0.0869999999999997,1,0,0,667141392705,667141392705,21196991276,21196991276
16018001,n5-csma,N5 CSMA,5,12,5,4,120,8.74,8.806,598,32,121,8.82,8.893,0.0869999999999997,1,0,0,667141392705,667141392705,21196991276,21196991276
16018001,n5-csma,N5 CSMA,5,12,5,1,119,8.88,8.934,606,32,112,8.88,8.893,0,0,1,0,667141392705,667141392705,21196991276,21196991276
16018001,n5-csma,N5 CSMA,5,12,5,4,122,8.9,8.934,606,32,123,9.04,9.105,0.170999999999999,1,0,0,667141392705,667141392705,21196991276,21196991276
16018001,n5-csma,N5 CSMA,5,12,2,3,120,9.08,9.106,615,32,116,9.26,9.291,0.185,1,0,0,667141392705,667141392705,21196991276,21196991276
16018001,n5-csma,N5 CSMA,5,12,5,1,123,9.22,9.314,627,32,119,9.44,9.476,0.162000000000001,1,0,0,667141392705,667141392705,21196991276,21196991276
16018001,n5-csma,N5 CSMA,5,12,5,4,126,9.26,9.314,627,32,128,9.46,9.476,0.162000000000001,1,0,0,667141392705,667141392705,21196991276,21196991276
16018001,n5-csma,N5 CSMA,5,12,4,1,125,9.4,9.519,638,40,119,9.44,9.464,0,0,1,0,667141392705,667141392705,21196991276,21196991276
16018001,n5-csma,N5 CSMA,5,12,4,3,124,9.44,9.519,638,40,119,9.58,9.614,0.0950000000000006,1,0,0,667141392705,667141392705,21196991276,21196991276
16018001,n5-csma,N5 CSMA,5,12,4,5,101,9.5,9.519,638,40,105,9.6,9.614,0.0950000000000006,1,0,0,667141392705,667141392705,21196991276,21196991276
16018001,n5-csma,N5 CSMA,5,12,5,1,128,9.68,9.732,650,32,122,9.7,9.749,0.0170000000000012,1,0,0,667141392705,667141392705,21196991276,21196991276
16018001,n5-csma,N5 CSMA,5,12,5,4,130,9.72,9.732,650,32,132,9.84,9.906,0.174000000000001,1,0,0,667141392705,667141392705,21196991276,21196991276
16018001,n5-csma,N5 CSMA,5,12,3,2,120,9.74,9.769,653,32,120,9.84,9.946,0.177,1,0,0,667141392705,667141392705,21196991276,21196991276
16018001,n5-csma,N5 CSMA,5,12,3,4,130,9.72,9.769,653,32,131,9.74,9.805,0.0359999999999996,1,0,0,667141392705,667141392705,21196991276,21196991276
16018001,n5-csma,N5 CSMA,5,12,5,1,130,9.88,9.956,663,32,124,9.9,10.005,0.0490000000000013,1,0,0,667141392705,667141392705,21196991276,21196991276
16018001,n5-csma,N5 CSMA,5,12,5,4,132,9.92,9.956,663,32,133,9.94,10.005,0.0490000000000013,1,0,0,667141392705,667141392705,21196991276,21196991276
16018001,n5-csma,N5 CSMA,5,12,2,1,132,10.08,10.151,674,32,126,10.1,10.153,0.00200000000000067,1,0,0,667141392705,667141392705,21196991276,21196991276
16018001,n5-csma,N5 CSMA,5,12,2,3,131,10.1,10.151,674,32,125,10.22,10.292,0.141,1,0,0,667141392705,667141392705,21196991276,21196991276
16018001,n5-csma,N5 CSMA,5,12,4,1,134,10.2,10.257,683,40,129,10.28,10.311,0.0540000000000003,1,0,0,667141392705,667141392705,21196991276,21196991276
16018001,n5-csma,N5 CSMA,5,12,4,3,132,10.22,10.257,683,40,126,10.28,10.311,0.0540000000000003,1,0,0,667141392705,667141392705,21196991276,21196991276
16018001,n5-csma,N5 CSMA,5,12,4,5,108,10.24,10.257,683,40,110,10.28,10.311,0.0540000000000003,1,0,0,667141392705,667141392705,21196991276,21196991276
16018001,n5-csma,N5 CSMA,5,12,3,4,135,10.28,10.339,687,32,137,10.3,10.386,0.0470000000000006,1,0,0,667141392705,667141392705,21196991276,21196991276
16018001,n5-csma,N5 CSMA,5,12,3,2,127,10.38,10.474,696,32,127,10.48,10.524,0.0500000000000007,1,0,0,667141392705,667141392705,21196991276,21196991276
16018001,n5-csma,N5 CSMA,5,12,3,4,136,10.36,10.474,696,32,138,10.4,10.524,0.0500000000000007,1,0,0,667141392705,667141392705,21196991276,21196991276
16018001,n5-csma,N5 CSMA,5,12,3,2,132,10.82,10.853,716,32,130,10.82,10.879,0.0259999999999998,1,0,0,667141392705,667141392705,21196991276,21196991276
16018001,n5-csma,N5 CSMA,5,12,3,4,140,10.74,10.853,716,32,143,10.86,10.879,0.0259999999999998,1,0,0,667141392705,667141392705,21196991276,21196991276
16018001,n5-csma,N5 CSMA,5,12,5,1,141,10.88,10.95,721,32,137,11.04,11.092,0.141999999999999,1,0,0,667141392705,667141392705,21196991276,21196991276
16018001,n5-csma,N5 CSMA,5,12,5,4,141,10.82,10.95,721,32,143,10.86,10.951,0.000999999999999446,1,0,0,667141392705,667141392705,21196991276,21196991276
16018001,n5-csma,N5 CSMA,5,12,3,2,136,11.24,11.275,738,32,135,11.36,11.446,0.170999999999999,1,0,0,667141392705,667141392705,21196991276,21196991276
16018001,n5-csma,N5 CSMA,5,12,5,1,149,11.7,11.718,764,32,146,11.78,11.805,0.0869999999999997,1,0,0,667141392705,667141392705,21196991276,21196991276
16018001,n5-csma,N5 CSMA,5,12,5,4,151,11.66,11.718,764,32,153,11.76,11.805,0.0869999999999997,1,0,0,667141392705,667141392705,21196991276,21196991276
16018001,n5-csma,N5 CSMA,5,12,2,1,150,11.78,11.879,773,32,146,11.78,11.864,0,0,1,0,667141392705,667141392705,21196991276,21196991276
16018001,n5-csma,N5 CSMA,5,12,2,3,149,11.82,11.879,773,32,145,11.96,11.984,0.105,1,0,0,667141392705,667141392705,21196991276,21196991276
16018001,n10-ring2,N10 ring2,10,12,6,1,5,0.3,0.322,35,32,5,0.3,0.324,0.002,1,0,0,2586664649596,2586664649596,84898085720,84898085720
16018001,n10-ring2,N10 ring2,10,12,6,5,3,0.28,0.322,35,32,3,0.28,0.324,0.002,1,0,0,2586664649596,2586664649596,84898085720,84898085720
16018001,n10-ring2,N10 ring2,10,12,8,1,7,0.44,0.467,52,40,7,0.44,0.54,0.073,1,0,0,2586664649596,2586664649596,84898085720,84898085720
16018001,n10-ring2,N10 ring2,10,12,8,7,4,0.38,0.467,52,40,4,0.42,0.54,0.073,1,0,0,2586664649596,2586664649596,84898085720,84898085720
16018001,n10-ring2,N10 ring2,10,12,8,9,3,0.36,0.467,52,40,3,0.38,0.431,0,0,1,0,2586664649596,2586664649596,84898085720,84898085720
16018001,n10-ring2,N10 ring2,10,12,7,6,10,0.78,0.876,115,32,10,0.96,1.011,0.135,1,0,0,2586664649596,2586664649596,84898085720,84898085720
16018001,n10-ring2,N10 ring2,10,12,7,8,8,0.74,0.876,115,32,8,0.74,0.778,0,0,1,0,2586664649596,2586664649596,84898085720,84898085720
16018001,n10-ring2,N10 ring2,10,12,10,9,8,0.84,0.955,126,32,14,1.1,1.153,0.198,1,0,0,2586664649596,2586664649596,84898085720,84898085720
16018001,n10-ring2,N10 ring2,10,12,4,1,20,1.06,1.095,153,40,21,1.08,1.091,0,0,1,0,2586664649596,2586664649596,84898085720,84898085720
16018001,n10-ring2,N10 ring2,10,12,4,3,16,1.04,1.095,153,40,18,1.08,1.149,0.054,1,0,0,2586664649596,2586664649596,84898085720,84898085720
16018001,n10-ring2,N10 ring2,10,12,4,5,13,1.08,1.095,153,40,16,1.32,1.374,0.279,1,0,0,2586664649596,2586664649596,84898085720,84898085720
16018001,n10-ring2,N10 ring2,10,12,6,1,27,1.3,1.386,205,40,34,1.46,1.497,0.111,1,0,0,2586664649596,2586664649596,84898085720,84898085720
16018001,n10-ring2,N10 ring2,10,12,6,5,17,1.32,1.386,205,40,17,1.36,1.399,0.0129999999999999,1,0,0,2586664649596,2586664649596,84898085720,84898085720
16018001,n10-ring2,N10 ring2,10,12,6,7,16,1.32,1.386,205,40,18,1.44,1.497,0.111,1,0,0,2586664649596,2586664649596,84898085720,84898085720
16018001,n10-ring2,N10 ring2,10,12,2,1,55,2.34,2.386,406,32,57,2.44,2.484,0.0979999999999999,1,0,0,2586664649596,2586664649596,84898085720,84898085720
16018001,n10-ring2,N10 ring2,10,12,2,3,45,2.28,2.386,406,32,47,2.34,2.386,0,0,1,0,2586664649596,2586664649596,84898085720,84898085720
16018001,n10-ring2,N10 ring2,10,12,9,8,48,3.18,3.234,553,32,48,3.28,3.396,0.162,1,0,0,2586664649596,2586664649596,84898085720,84898085720
16018001,n10-ring2,N10 ring2,10,12,9,10,44,3.18,3.234,553,32,45,3.3,3.396,0.162,1,0,0,2586664649596,2586664649596,84898085720,84898085720
16018001,n10-ring2,N10 ring2,10,12,10,1,73,3.38,3.437,582,32,75,3.48,3.539,0.102,1,0,0,2586664649596,2586664649596,84898085720,84898085720
16018001,n10-ring2,N10 ring2,10,12,10,9,48,3.4,3.437,582,32,60,3.48,3.539,0.102,1,0,0,2586664649596,2586664649596,84898085720,84898085720
16018001,n10-ring2,N10 ring2,10,12,7,6,51,3.32,3.445,583,32,54,3.38,3.409,0,0,1,0,2586664649596,2586664649596,84898085720,84898085720
16018001,n10-ring2,N10 ring2,10,12,9,8,52,3.46,3.519,593,32,52,3.56,3.607,0.0880000000000001,1,0,0,2586664649596,2586664649596,84898085720,84898085720
16018001,n10-ring2,N10 ring2,10,12,9,10,46,3.44,3.519,593,32,48,3.58,3.607,0.0880000000000001,1,0,0,2586664649596,2586664649596,84898085720,84898085720
16018001,n10-ring2,N10 ring2,10,12,10,1,77,3.76,3.798,623,32,78,3.76,3.809,0.0110000000000001,1,0,0,2586664649596,2586664649596,84898085720,84898085720
16018001,n10-ring2,N10 ring2,10,12,10,9,51,3.76,3.798,623,32,66,4.04,4.058,0.26,1,0,0,2586664649596,2586664649596,84898085720,84898085720
16018001,n10-ring2,N10 ring2,10,12,8,1,77,3.76,3.824,627,40,80,3.88,3.917,0.093,1,0,0,2586664649596,2586664649596,84898085720,84898085720
16018001,n10-ring2,N10 ring2,10,12,8,7,57,3.78,3.824,627,40,60,3.86,3.917,0.093,1,0,0,2586664649596,2586664649596,84898085720,84898085720
16018001,n10-ring2,N10 ring2,10,12,8,9,51,3.76,3.824,627,40,63,3.82,3.917,0.093,1,0,0,2586664649596,2586664649596,84898085720,84898085720
16018001,n10-ring2,N10 ring2,10,12,2,1,78,3.82,3.875,633,32,80,3.88,3.905,0.0300000000000002,1,0,0,2586664649596,2586664649596,84898085720,84898085720
16018001,n10-ring2,N10 ring2,10,12,2,3,72,3.76,3.875,633,32,70,3.84,3.905,0.0300000000000002,1,0,0,2586664649596,2586664649596,84898085720,84898085720
16018001,n10-ring2,N10 ring2,10,12,7,8,55,3.82,3.96,640,32,55,3.9,3.989,0.0289999999999999,1,0,0,2586664649596,2586664649596,84898085720,84898085720
16018001,n10-ring2,N10 ring2,10,12,5,4,70,3.96,4.098,655,32,70,4.04,4.091,0,0,1,0,2586664649596,2586664649596,84898085720,84898085720
16018001,n10-ring2,N10 ring2,10,12,5,6,59,4.04,4.098,655,32,62,4.06,4.195,0.0970000000000004,1,0,0,2586664649596,2586664649596,84898085720,84898085720
16018001,n10-ring2,N10 ring2,10,12,4,1,82,4.1,4.198,671,40,85,4.26,4.295,0.0969999999999995,1,0,0,2586664649596,2586664649596,84898085720,84898085720
