seed,arm,kind,condition,dataLoss,controlLoss,traceHash,geometryHash,selectorHash,scheduleHash,kernelTraceHash,kernelStateHash,interferenceEventHash,RMSE,MINSEP,SAFEFAIL,DIVERGED,TOTAL_COST,DATA_AIRTIME,MANAGEMENT_AIRTIME,DATA_ATTEMPTS,DATA_RECIPIENT_SUCCESS,DATA_RECIPIENT_LOSS,COLLISION_FRAMES,BACKGROUND_COLLISION_FRAMES,graphAdmissible,graphLocalOnly,graphAddedEdges,graphRemovedEdges,oldSlot,newSlot,eventFrame,eligibleFrame,reacquired,firstReacquiredFrame,finalSuppressed,controlAttempts,controlBytes,controlAirtime,expectedControlAttempts,expectedControlAirtime,expectedDataSuccess,expectedDataErasure,expectedDataCollision,observedDataSuccess,observedDataErasure,observedDataCollision,dataOutcomeMismatches,dataSkippedNoQueue,crossPlaneOverlaps,clockConflictFree,clockResidual,futureRandomReads,receiverTruthReads,suppressionHash,reacquisitionHash,revokeBlackout,responseBlackout,geometryCoupledToPlant,emergencyEnabled,emergencySlot,emergencyOpportunities,emergencyExpectedSuccess,emergencyExpectedErasure,emergencyExpectedCollision,claimBackoffEnabled,claimDenseRetryFrames,claimMaxBackoffFrames,claimRetryAttemptLimit,claimOpportunityCount,claimScheduleHash,claimAttempts,lockProofAttempts,responseAttempts,retryBudgetExhausted,retryEntryFailureBound,retryUnionFailureBound
16088009,periodic-iid20,periodic,iid20,0.2,0,1637933,2364930,565053,NaN,NaN,NaN,593702,0.0850806782584225,0.497520542945946,0,0,0.255999999999998,3.07199999999997,0,1000,2071,529,0,0,NaN,NaN,NaN,NaN,NaN,NaN,45,48,NaN,NaN,NaN,0,NaN,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,NaN,NaN,0,0,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16088009,migration-dense-iid20-emergency,migration,iid20,0.2,0.2,1637933,2364930,565053,1142669717,18752782445,143945041,593702,0.0810098864328484,0.506577674535174,0,0,0.237029333333331,2.67263999999998,0.171712,870,1838,424,0,0,1,1,1,0,7,9,45,48,1,50,0,192,5366,0.171712,192,0.171712,1838,424,0,1838,424,0,0,0,0,1,0,0,0,27645,27456,0,0,0,1,10,5,9,1,0,0,NaN,1,Inf,40,30145,3,180,8,0,1.04889763931541e-14,9.44007875383873e-14
16088009,migration-backoff-iid20-emergency,migration,iid20,0.2,0.2,1637933,2364930,565053,1143308517,18752782445,144168497,593702,0.0810098864328484,0.506577674535174,0,0,0.237029333333331,2.67263999999998,0.171712,870,1838,424,0,0,1,1,1,0,7,9,45,48,1,50,0,192,5366,0.171712,192,0.171712,1838,424,0,1838,424,0,0,0,0,1,0,0,0,27645,27456,0,0,0,1,10,5,9,1,0,1,6,8,10,10,27974,3,180,8,0,6.50276694672842e-05,0.000585249025205558
16088009,migration-dense-iid20-emergency-response-blackout,migration,iid20,0.2,0.2,1637933,2364930,565053,1143297065,18553107747,170678255,593702,0.0811299702603686,0.506570356509389,0,0,0.252373333333331,2.67263999999998,0.35584,870,1832,430,0,0,1,1,1,0,7,9,45,48,0,NaN,1,377,11120,0.35584,377,0.35584,1832,430,0,1832,430,0,0,0,0,1,0,0,0,30286,27405,0,1,0,1,10,43,63,23,0,0,NaN,1,Inf,40,30145,40,180,156,0,1.04889763931541e-14,9.44007875383873e-14
16088009,migration-backoff-iid20-emergency-response-blackout,migration,iid20,0.2,0.2,1637933,2364930,565053,1142554826,18553107747,149568282,593702,0.0811299702603686,0.506570356509389,0,0,0.240346666666665,2.67263999999998,0.21152,870,1832,430,0,0,1,1,1,0,7,9,45,48,0,NaN,1,232,6610,0.21152,232,0.21152,1832,430,0,1832,430,0,0,0,0,1,0,0,0,30286,27405,0,1,0,1,10,43,63,23,0,1,6,8,10,10,27974,10,180,41,1,6.50276694672842e-05,0.000585249025205558
16088009,migration-backoff-iid20-emergency-revoke-blackout,migration,iid20,0.2,0.2,1637933,2364930,565053,1142930721,18748535116,144168497,593702,0.0810098864328484,0.506577674535174,0,0,0.237029333333331,2.67263999999998,0.171712,870,1838,424,0,0,1,1,1,0,7,9,45,48,1,50,0,192,5366,0.171712,192,0.171712,1838,424,0,1838,424,0,0,0,0,1,0,0,0,27645,27456,1,0,0,1,10,5,9,1,0,1,6,8,10,10,27974,3,180,8,0,6.50276694672842e-05,0.000585249025205558
16088010,periodic-iid20,periodic,iid20,0.2,0,1819866,2364930,565053,NaN,NaN,NaN,593702,0.0832309436235661,0.505672209212237,0,0,0.255999999999998,3.07199999999997,0,1000,2102,498,0,0,NaN,NaN,NaN,NaN,NaN,NaN,45,48,NaN,NaN,NaN,0,NaN,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,NaN,NaN,0,0,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16088010,migration-dense-iid20-emergency,migration,iid20,0.2,0.2,1819866,2364930,565053,1142872630,18807406243,144647033,593702,0.0829018373197968,0.502412012564663,0,0,0.237226666666665,2.67263999999998,0.17408,870,1818,444,0,0,1,1,1,0,7,9,45,48,1,51,0,194,5440,0.17408,194,0.17408,1818,444,0,1818,444,0,0,0,0,1,0,0,0,27696,27457,0,0,0,1,10,6,11,1,0,0,NaN,1,Inf,40,30145,4,180,9,0,1.04889763931541e-14,9.44007875383873e-14
16088010,migration-backoff-iid20-emergency,migration,iid20,0.2,0.2,1819866,2364930,565053,1142913677,18807406243,144870489,593702,0.0829018373197968,0.502412012564663,0,0,0.237226666666665,2.67263999999998,0.17408,870,1818,444,0,0,1,1,1,0,7,9,45,48,1,51,0,194,5440,0.17408,194,0.17408,1818,444,0,1818,444,0,0,0,0,1,0,0,0,27696,27457,0,0,0,1,10,6,11,1,0,1,6,8,10,10,27974,4,180,9,0,6.50276694672842e-05,0.000585249025205558
16088010,migration-dense-iid20-emergency-response-blackout,migration,iid20,0.2,0.2,1819866,2364930,565053,1142772258,18614508306,171655148,593702,0.0832451163559666,0.502389924004349,0,0,0.252826666666665,2.67263999999998,0.36128,870,1822,440,0,0,1,1,1,0,7,9,45,48,0,NaN,1,382,11290,0.36128,382,0.36128,1822,440,0,1822,440,0,0,0,0,1,0,0,0,30286,27405,0,1,0,1,10,43,70,16,0,0,NaN,1,Inf,40,30145,40,180,161,0,1.04889763931541e-14,9.44007875383873e-14
16088010,migration-backoff-iid20-emergency-response-blackout,migration,iid20,0.2,0.2,1819866,2364930,565053,1142152189,18614508306,149626370,593702,0.0832451163559666,0.502389924004349,0,0,0.240357333333331,2.67263999999998,0.211648,870,1822,440,0,0,1,1,1,0,7,9,45,48,0,NaN,1,231,6614,0.211648,231,0.211648,1822,440,0,1822,440,0,0,0,0,1,0,0,0,30286,27405,0,1,0,1,10,43,70,16,0,1,6,8,10,10,27974,10,180,40,1,6.50276694672842e-05,0.000585249025205558
16088010,migration-backoff-iid20-emergency-revoke-blackout,migration,iid20,0.2,0.2,1819866,2364930,565053,1142172412,18801877362,144870489,593702,0.0829018373197968,0.502412012564663,0,0,0.237226666666665,2.67263999999998,0.17408,870,1818,444,0,0,1,1,1,0,7,9,45,48,1,51,0,194,5440,0.17408,194,0.17408,1818,444,0,1818,444,0,0,0,0,1,0,0,0,27696,27457,1,0,0,1,10,6,11,1,0,1,6,8,10,10,27974,4,180,9,0,6.50276694672842e-05,0.000585249025205558
16088011,periodic-iid20,periodic,iid20,0.2,0,1649317,2364930,565053,NaN,NaN,NaN,593702,0.0802764768533244,0.507971369796413,0,0,0.255999999999998,3.07199999999997,0,1000,2083,517,0,0,NaN,NaN,NaN,NaN,NaN,NaN,45,48,NaN,NaN,NaN,0,NaN,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,NaN,NaN,0,0,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16088011,migration-dense-iid20-emergency,migration,iid20,0.2,0.2,1649317,2364930,565053,1142795695,18726102810,144369824,593702,0.0818361823904257,0.507296663277397,0,0,0.237125333333331,2.67263999999998,0.172864,870,1821,441,0,0,1,1,1,0,7,9,45,48,1,50,0,193,5402,0.172864,193,0.172864,1821,441,0,1821,441,0,0,0,0,1,0,0,0,27645,27456,0,0,0,1,10,5,8,2,0,0,NaN,1,Inf,40,30145,3,180,9,0,1.04889763931541e-14,9.44007875383873e-14
