seed,N,condition,traceHash,selectorHash,stateHash,physicalChangeCount,senderChangeCount,nonincidentSenderChangeCount,initiatorIsChangedEndpoint,affectedCount,affectedHash,changedSlotCount,outsideUnchanged,candidateProper,prepareBytes,maxResponseBytes,barrierClosed,barrierFrame,motionAuthorized,activationFrame,commitReady,allReactivated,reactivatedCount,finalSuppressedCount,prepareBudgetExhausted,commitBudgetExhausted,edgeReceipts,requiredEdgeReceipts,actualSubsetUnion,collisionFrames,collisionEdges,controlAttempts,controlBytes,controlAirtime,attemptBound,byteBound,attemptBoundRatio,byteBoundRatio,recipientAttempts,recipientSuccess,recipientErasure,prepareAttempts,quietAttempts,claimAttempts,proofAttempts,responseAttempts,commitAttempts,revokeAttempts,futureRandomReads,receiverTruthReads
16091020,5,commit-blackout,971772275,49231,13081469,2,2,2,0,4,143,2,1,1,48,26,1,5,1,6,1,0,1,3,0,1,3,3,1,0,0,21,750,0.024,112,4884,0.1875,0.153562653562654,84,66,18,1,3,4,0,3,6,4,0,0
16091020,5,revoke-blackout,963993239,49231,12849189,2,2,2,0,4,143,2,1,1,48,26,1,5,1,6,1,1,4,0,0,0,3,3,1,0,0,16,610,0.01952,112,4884,0.142857142857143,0.124897624897625,64,48,16,1,3,4,0,3,1,4,0,0
16091020,5,incomplete-union,973486565,49231,12849189,2,2,2,0,4,143,2,1,1,48,26,1,5,1,6,1,1,4,0,0,0,3,3,0,53,53,16,610,0.01952,112,4884,0.142857142857143,0.124897624897625,64,64,0,1,3,4,0,3,1,4,0,0
16091021,5,nominal-zero,974742689,52286,14226939,3,3,3,0,5,210,3,1,1,52,26,1,5,1,6,1,1,5,0,0,0,4,4,1,0,0,20,760,0.02432,141,6112,0.141843971631206,0.12434554973822,80,80,0,1,4,5,0,4,1,5,0,0
16091021,5,iid20,5995158094,52286,14006561,3,3,3,0,5,210,3,1,1,52,26,1,7,1,8,1,1,5,0,0,0,4,4,1,0,0,39,1766,0.056512,141,6112,0.276595744680851,0.288939790575916,156,118,38,3,7,15,0,5,4,5,0,0
16091021,5,prepare-blackout,974668799,52286,14142606,3,3,3,0,5,210,3,1,1,52,26,0,NaN,0,NaN,0,0,0,4,1,0,0,4,1,0,0,36,1088,0.034816,141,6112,0.25531914893617,0.178010471204188,144,136,8,8,24,0,0,0,0,4,0,0
16091021,5,quiescent-blackout,974636399,52286,13582275,3,3,3,0,5,210,3,1,1,52,26,0,NaN,0,NaN,0,0,0,5,1,0,0,4,1,0,0,45,1304,0.041728,141,6112,0.319148936170213,0.213350785340314,180,172,8,8,32,0,0,0,0,5,0,0
16091021,5,response-blackout,826397602,52286,14378567,3,3,3,0,5,210,3,1,1,52,26,1,5,1,6,0,0,0,5,0,0,0,4,1,0,0,100,4908,0.157056,141,6112,0.709219858156028,0.803010471204188,400,400,0,1,4,50,0,40,0,5,0,0
16091021,5,commit-blackout,972625529,52286,14440624,3,3,3,0,5,210,3,1,1,52,26,1,5,1,6,1,0,1,4,0,1,4,4,1,0,0,25,900,0.0288,141,6112,0.177304964539007,0.147251308900524,100,76,24,1,4,5,0,4,6,5,0,0
16091021,5,revoke-blackout,965381183,52286,14226939,3,3,3,0,5,210,3,1,1,52,26,1,5,1,6,1,1,5,0,0,0,4,4,1,0,0,20,760,0.02432,141,6112,0.141843971631206,0.12434554973822,80,60,20,1,4,5,0,4,1,5,0,0
16091021,5,incomplete-union,974874509,52286,14226939,3,3,3,0,5,210,3,1,1,52,26,1,5,1,6,1,1,5,0,0,0,4,4,0,53,53,20,760,0.02432,141,6112,0.141843971631206,0.12434554973822,80,80,0,1,4,5,0,4,1,5,0,0
16091022,5,nominal-zero,975633406,46437,12576772,1,1,1,0,3,91,1,1,1,44,26,1,5,1,6,1,1,3,0,0,0,2,2,1,0,0,12,460,0.01472,83,3656,0.144578313253012,0.12582056892779,48,48,0,1,2,3,0,2,1,3,0,0
16091022,5,iid20,6117412974,46437,12688883,1,1,1,0,3,91,1,1,1,44,26,1,6,1,7,1,1,3,0,0,0,2,2,1,0,0,14,528,0.016896,83,3656,0.168674698795181,0.144420131291028,56,44,12,2,3,3,0,2,1,3,0,0
16091022,5,prepare-blackout,975559516,46437,12335571,1,1,1,0,3,91,1,1,1,44,26,0,NaN,0,NaN,0,0,0,2,1,0,0,2,1,0,0,18,592,0.018944,83,3656,0.216867469879518,0.161925601750547,72,64,8,8,8,0,0,0,0,2,0,0
16091022,5,quiescent-blackout,975527116,46437,11748240,1,1,1,0,3,91,1,1,1,44,26,0,NaN,0,NaN,0,0,0,3,1,0,0,2,1,0,0,27,808,0.025856,83,3656,0.325301204819277,0.221006564551422,108,100,8,8,16,0,0,0,0,3,0,0
16091022,5,response-blackout,824640562,46437,12459415,1,1,1,0,3,91,1,1,1,44,26,1,5,1,6,0,0,0,3,0,0,0,2,1,0,0,56,2844,0.091008,83,3656,0.674698795180723,0.777899343544858,224,224,0,1,2,30,0,20,0,3,0,0
16091022,5,commit-blackout,974582026,46437,11775894,1,1,1,0,3,91,1,1,1,44,26,1,5,1,6,1,0,1,2,0,1,2,2,1,0,0,17,600,0.0192,83,3656,0.204819277108434,0.164113785557987,68,56,12,1,2,3,0,2,6,3,0,0
16091022,5,revoke-blackout,966271900,46437,12576772,1,1,1,0,3,91,1,1,1,44,26,1,5,1,6,1,1,3,0,0,0,2,2,1,0,0,12,460,0.01472,83,3656,0.144578313253012,0.12582056892779,48,36,12,1,2,3,0,2,1,3,0,0
16091022,5,incomplete-union,975743626,46437,12576772,1,1,1,0,3,91,1,1,1,44,26,1,5,1,6,1,1,3,0,0,0,2,2,0,53,53,12,460,0.01472,83,3656,0.144578313253012,0.12582056892779,48,48,0,1,2,3,0,2,1,3,0,0
16091023,5,nominal-zero,973354745,49231,12849189,2,2,2,0,4,143,2,1,1,48,26,1,5,1,6,1,1,4,0,0,0,3,3,1,0,0,16,610,0.01952,112,4884,0.142857142857143,0.124897624897625,64,64,0,1,3,4,0,3,1,4,0,0
16091023,5,iid20,6105634726,49231,13759076,2,2,2,0,4,143,2,1,1,48,26,1,7,1,8,1,1,4,0,0,0,3,3,1,0,0,27,1116,0.035712,112,4884,0.241071428571429,0.228501228501229,108,84,24,3,7,8,0,4,1,4,0,0
16091023,5,prepare-blackout,973280855,49231,12683422,2,2,2,0,4,143,2,1,1,48,26,0,NaN,0,NaN,0,0,0,3,1,0,0,3,1,0,0,27,840,0.02688,112,4884,0.241071428571429,0.171990171990172,108,100,8,8,16,0,0,0,0,3,0,0
16091023,5,quiescent-blackout,973248455,49231,13158164,2,2,2,0,4,143,2,1,1,48,26,0,NaN,0,NaN,0,0,0,4,1,0,0,3,1,0,0,36,1056,0.033792,112,4884,0.321428571428571,0.216216216216216,144,136,8,8,24,0,0,0,0,4,0,0
16091023,5,response-blackout,825072548,49231,13339791,2,2,2,0,4,143,2,1,1,48,26,1,5,1,6,0,0,0,4,0,0,0,3,1,0,0,78,3876,0.124032,112,4884,0.696428571428571,0.793611793611794,312,312,0,1,3,40,0,30,0,4,0,0
16091023,5,commit-blackout,971772275,49231,13081469,2,2,2,0,4,143,2,1,1,48,26,1,5,1,6,1,0,1,3,0,1,3,3,1,0,0,21,750,0.024,112,4884,0.1875,0.153562653562654,84,66,18,1,3,4,0,3,6,4,0,0
16091023,5,revoke-blackout,963993239,49231,12849189,2,2,2,0,4,143,2,1,1,48,26,1,5,1,6,1,1,4,0,0,0,3,3,1,0,0,16,610,0.01952,112,4884,0.142857142857143,0.124897624897625,64,48,16,1,3,4,0,3,1,4,0,0
16091023,5,incomplete-union,973486565,49231,12849189,2,2,2,0,4,143,2,1,1,48,26,1,5,1,6,1,1,4,0,0,0,3,3,0,53,53,16,610,0.01952,112,4884,0.142857142857143,0.124897624897625,64,64,0,1,3,4,0,3,1,4,0,0
16091024,5,nominal-zero,974742689,52286,14226939,3,3,3,0,5,210,3,1,1,52,26,1,5,1,6,1,1,5,0,0,0,4,4,1,0,0,20,760,0.02432,141,6112,0.141843971631206,0.12434554973822,80,80,0,1,4,5,0,4,1,5,0,0
16091024,5,iid20,6053343501,52286,14313430,3,3,3,0,5,210,3,1,1,52,26,1,7,1,8,1,1,5,0,0,0,4,4,1,0,0,33,1374,0.043968,141,6112,0.234042553191489,0.224803664921466,132,98,34,3,8,10,0,5,2,5,0,0
16091024,5,prepare-blackout,974668799,52286,14142606,3,3,3,0,5,210,3,1,1,52,26,0,NaN,0,NaN,0,0,0,4,1,0,0,4,1,0,0,36,1088,0.034816,141,6112,0.25531914893617,0.178010471204188,144,136,8,8,24,0,0,0,0,4,0,0
16091024,5,quiescent-blackout,974636399,52286,13582275,3,3,3,0,5,210,3,1,1,52,26,0,NaN,0,NaN,0,0,0,5,1,0,0,4,1,0,0,45,1304,0.041728,141,6112,0.319148936170213,0.213350785340314,180,172,8,8,32,0,0,0,0,5,0,0
16091024,5,response-blackout,826397602,52286,14378567,3,3,3,0,5,210,3,1,1,52,26,1,5,1,6,0,0,0,5,0,0,0,4,1,0,0,100,4908,0.157056,141,6112,0.709219858156028,0.803010471204188,400,400,0,1,4,50,0,40,0,5,0,0
16091024,5,commit-blackout,972625529,52286,14440624,3,3,3,0,5,210,3,1,1,52,26,1,5,1,6,1,0,1,4,0,1,4,4,1,0,0,25,900,0.0288,141,6112,0.177304964539007,0.147251308900524,100,76,24,1,4,5,0,4,6,5,0,0
16091024,5,revoke-blackout,965381183,52286,14226939,3,3,3,0,5,210,3,1,1,52,26,1,5,1,6,1,1,5,0,0,0,4,4,1,0,0,20,760,0.02432,141,6112,0.141843971631206,0.12434554973822,80,60,20,1,4,5,0,4,1,5,0,0
16091024,5,incomplete-union,974874509,52286,14226939,3,3,3,0,5,210,3,1,1,52,26,1,5,1,6,1,1,5,0,0,0,4,4,0,53,53,20,760,0.02432,141,6112,0.141843971631206,0.12434554973822,80,80,0,1,4,5,0,4,1,5,0,0
16091025,5,nominal-zero,975633406,46437,12576772,1,1,1,0,3,91,1,1,1,44,26,1,5,1,6,1,1,3,0,0,0,2,2,1,0,0,12,460,0.01472,83,3656,0.144578313253012,0.12582056892779,48,48,0,1,2,3,0,2,1,3,0,0
16091025,5,iid20,6049653928,46437,12697361,1,1,1,0,3,91,1,1,1,44,26,1,6,1,7,1,1,3,0,0,0,2,2,1,0,0,14,532,0.017024,83,3656,0.168674698795181,0.145514223194748,56,49,7,2,2,3,0,2,2,3,0,0
16091025,5,prepare-blackout,975559516,46437,12335571,1,1,1,0,3,91,1,1,1,44,26,0,NaN,0,NaN,0,0,0,2,1,0,0,2,1,0,0,18,592,0.018944,83,3656,0.216867469879518,0.161925601750547,72,64,8,8,8,0,0,0,0,2,0,0
16091025,5,quiescent-blackout,975527116,46437,11748240,1,1,1,0,3,91,1,1,1,44,26,0,NaN,0,NaN,0,0,0,3,1,0,0,2,1,0,0,27,808,0.025856,83,3656,0.325301204819277,0.221006564551422,108,100,8,8,16,0,0,0,0,3,0,0
16091025,5,response-blackout,824640562,46437,12459415,1,1,1,0,3,91,1,1,1,44,26,1,5,1,6,0,0,0,3,0,0,0,2,1,0,0,56,2844,0.091008,83,3656,0.674698795180723,0.777899343544858,224,224,0,1,2,30,0,20,0,3,0,0
16091025,5,commit-blackout,974582026,46437,11775894,1,1,1,0,3,91,1,1,1,44,26,1,5,1,6,1,0,1,2,0,1,2,2,1,0,0,17,600,0.0192,83,3656,0.204819277108434,0.164113785557987,68,56,12,1,2,3,0,2,6,3,0,0
16091025,5,revoke-blackout,966271900,46437,12576772,1,1,1,0,3,91,1,1,1,44,26,1,5,1,6,1,1,3,0,0,0,2,2,1,0,0,12,460,0.01472,83,3656,0.144578313253012,0.12582056892779,48,36,12,1,2,3,0,2,1,3,0,0
16091025,5,incomplete-union,975743626,46437,12576772,1,1,1,0,3,91,1,1,1,44,26,1,5,1,6,1,1,3,0,0,0,2,2,0,53,53,12,460,0.01472,83,3656,0.144578313253012,0.12582056892779,48,48,0,1,2,3,0,2,1,3,0,0
16091026,5,nominal-zero,973354745,49231,12849189,2,2,2,0,4,143,2,1,1,48,26,1,5,1,6,1,1,4,0,0,0,3,3,1,0,0,16,610,0.01952,112,4884,0.142857142857143,0.124897624897625,64,64,0,1,3,4,0,3,1,4,0,0
16091026,5,iid20,6079289978,49231,13063094,2,2,2,0,4,143,2,1,1,48,26,1,6,1,7,1,1,4,0,0,0,3,3,1,0,0,20,730,0.02336,112,4884,0.178571428571429,0.149467649467649,80,65,15,2,6,4,0,3,1,4,0,0
16091026,5,prepare-blackout,973280855,49231,12683422,2,2,2,0,4,143,2,1,1,48,26,0,NaN,0,NaN,0,0,0,3,1,0,0,3,1,0,0,27,840,0.02688,112,4884,0.241071428571429,0.171990171990172,108,100,8,8,16,0,0,0,0,3,0,0
16091026,5,quiescent-blackout,973248455,49231,13158164,2,2,2,0,4,143,2,1,1,48,26,0,NaN,0,NaN,0,0,0,4,1,0,0,3,1,0,0,36,1056,0.033792,112,4884,0.321428571428571,0.216216216216216,144,136,8,8,24,0,0,0,0,4,0,0
16091026,5,response-blackout,825072548,49231,13339791,2,2,2,0,4,143,2,1,1,48,26,1,5,1,6,0,0,0,4,0,0,0,3,1,0,0,78,3876,0.124032,112,4884,0.696428571428571,0.793611793611794,312,312,0,1,3,40,0,30,0,4,0,0
16091026,5,commit-blackout,971772275,49231,13081469,2,2,2,0,4,143,2,1,1,48,26,1,5,1,6,1,0,1,3,0,1,3,3,1,0,0,21,750,0.024,112,4884,0.1875,0.153562653562654,84,66,18,1,3,4,0,3,6,4,0,0
16091026,5,revoke-blackout,963993239,49231,12849189,2,2,2,0,4,143,2,1,1,48,26,1,5,1,6,1,1,4,0,0,0,3,3,1,0,0,16,610,0.01952,112,4884,0.142857142857143,0.124897624897625,64,48,16,1,3,4,0,3,1,4,0,0
16091026,5,incomplete-union,973486565,49231,12849189,2,2,2,0,4,143,2,1,1,48,26,1,5,1,6,1,1,4,0,0,0,3,3,0,53,53,16,610,0.01952,112,4884,0.142857142857143,0.124897624897625,64,64,0,1,3,4,0,3,1,4,0,0
16091027,5,nominal-zero,974742689,52286,14226939,3,3,3,0,5,210,3,1,1,52,26,1,5,1,6,1,1,5,0,0,0,4,4,1,0,0,20,760,0.02432,141,6112,0.141843971631206,0.12434554973822,80,80,0,1,4,5,0,4,1,5,0,0
16091027,5,iid20,6076723175,52286,13887857,3,3,3,0,5,210,3,1,1,52,26,1,14,1,15,1,1,5,0,0,0,4,4,1,0,0,45,1740,0.05568,141,6112,0.319148936170213,0.284685863874346,180,147,33,6,19,10,0,4,1,5,0,0
16091027,5,prepare-blackout,974668799,52286,14142606,3,3,3,0,5,210,3,1,1,52,26,0,NaN,0,NaN,0,0,0,4,1,0,0,4,1,0,0,36,1088,0.034816,141,6112,0.25531914893617,0.178010471204188,144,136,8,8,24,0,0,0,0,4,0,0
16091027,5,quiescent-blackout,974636399,52286,13582275,3,3,3,0,5,210,3,1,1,52,26,0,NaN,0,NaN,0,0,0,5,1,0,0,4,1,0,0,45,1304,0.041728,141,6112,0.319148936170213,0.213350785340314,180,172,8,8,32,0,0,0,0,5,0,0
16091027,5,response-blackout,826397602,52286,14378567,3,3,3,0,5,210,3,1,1,52,26,1,5,1,6,0,0,0,5,0,0,0,4,1,0,0,100,4908,0.157056,141,6112,0.709219858156028,0.803010471204188,400,400,0,1,4,50,0,40,0,5,0,0
16091027,5,commit-blackout,972625529,52286,14440624,3,3,3,0,5,210,3,1,1,52,26,1,5,1,6,1,0,1,4,0,1,4,4,1,0,0,25,900,0.0288,141,6112,0.177304964539007,0.147251308900524,100,76,24,1,4,5,0,4,6,5,0,0
16091027,5,revoke-blackout,965381183,52286,14226939,3,3,3,0,5,210,3,1,1,52,26,1,5,1,6,1,1,5,0,0,0,4,4,1,0,0,20,760,0.02432,141,6112,0.141843971631206,0.12434554973822,80,60,20,1,4,5,0,4,1,5,0,0
16091027,5,incomplete-union,974874509,52286,14226939,3,3,3,0,5,210,3,1,1,52,26,1,5,1,6,1,1,5,0,0,0,4,4,0,53,53,20,760,0.02432,141,6112,0.141843971631206,0.12434554973822,80,80,0,1,4,5,0,4,1,5,0,0
16091028,5,nominal-zero,975633406,46437,12576772,1,1,1,0,3,91,1,1,1,44,26,1,5,1,6,1,1,3,0,0,0,2,2,1,0,0,12,460,0.01472,83,3656,0.144578313253012,0.12582056892779,48,48,0,1,2,3,0,2,1,3,0,0
16091028,5,iid20,6041069820,46437,12451290,1,1,1,0,3,91,1,1,1,44,26,1,6,1,7,1,1,3,0,0,0,2,2,1,0,0,21,988,0.031616,83,3656,0.253012048192771,0.270240700218818,84,64,20,2,3,9,0,2,2,3,0,0
