seed,method,scenario,RMSE,MINEVAL,NDATA,NACK,NBROADCAST,MISSION,FORMFAIL,SAFEFAIL
1,P10,Clean,0.0345249153681788,0.554876179588722,3600,0,1800,30,0,0
2,P10,Clean,0.0345249153681788,0.554876179588722,3600,0,1800,30,0,0
3,P10,Clean,0.0345249153681788,0.554876179588722,3600,0,1800,30,0,0
4,P10,Clean,0.0345249153681788,0.554876179588722,3600,0,1800,30,0,0
5,P10,Clean,0.0345249153681788,0.554876179588722,3600,0,1800,30,0,0
6,P10,Clean,0.0345249153681788,0.554876179588722,3600,0,1800,30,0,0
7,P10,Clean,0.0345249153681788,0.554876179588722,3600,0,1800,30,0,0
8,P10,Clean,0.0345249153681788,0.554876179588722,3600,0,1800,30,0,0
9,P10,Clean,0.0345249153681788,0.554876179588722,3600,0,1800,30,0,0
10,P10,Clean,0.0345249153681788,0.554876179588722,3600,0,1800,30,0,0
11,P10,Clean,0.0345249153681788,0.554876179588722,3600,0,1800,30,0,0
12,P10,Clean,0.0345249153681788,0.554876179588722,3600,0,1800,30,0,0
13,P10,Clean,0.0345249153681788,0.554876179588722,3600,0,1800,30,0,0
14,P10,Clean,0.0345249153681788,0.554876179588722,3600,0,1800,30,0,0
15,P10,Clean,0.0345249153681788,0.554876179588722,3600,0,1800,30,0,0
16,P10,Clean,0.0345249153681788,0.554876179588722,3600,0,1800,30,0,0
17,P10,Clean,0.0345249153681788,0.554876179588722,3600,0,1800,30,0,0
18,P10,Clean,0.0345249153681788,0.554876179588722,3600,0,1800,30,0,0
19,P10,Clean,0.0345249153681788,0.554876179588722,3600,0,1800,30,0,0
20,P10,Clean,0.0345249153681788,0.554876179588722,3600,0,1800,30,0,0
1,P20,Clean,0.0211627771768365,0.572446386252435,7200,0,3600,30,0,0
2,P20,Clean,0.0211627771768365,0.572446386252435,7200,0,3600,30,0,0
3,P20,Clean,0.0211627771768365,0.572446386252435,7200,0,3600,30,0,0
4,P20,Clean,0.0211627771768365,0.572446386252435,7200,0,3600,30,0,0
5,P20,Clean,0.0211627771768365,0.572446386252435,7200,0,3600,30,0,0
