N,interferenceMode,source,linkErasureProbability,parentPlanHash,currentPlanHash,planHashExact,repetitionExact,reliabilityExact,boundExact,durationExact,simulatorVersionHash,attempts,physicalBytes,offeredAirtimeSec,reservedDurationSec,attemptExact,byteExact,airtimeExact,deliveryExact,collisionRecipients,duplicateForwards,forbiddenReads
10,spatial-reuse-lower-bound,4,0.3,758512,758512,1,1,1,1,1,64297,32,3072,0.098304,0.143330784111364,1,1,1,1,0,0,0
10,spatial-reuse-lower-bound,5,0.05,761857,761857,1,1,1,1,1,64297,20,1920,0.06144,0.095553856074243,1,1,1,1,0,0,0
10,spatial-reuse-lower-bound,5,0.2,761857,761857,1,1,1,1,1,64297,30,2880,0.09216,0.143330784111364,1,1,1,1,0,0,0
10,spatial-reuse-lower-bound,5,0.3,761857,761857,1,1,1,1,1,64297,40,3840,0.12288,0.191107712148486,1,1,1,1,0,0,0
10,spatial-reuse-lower-bound,6,0.05,759360,759360,1,1,1,1,1,64297,16,1536,0.049152,0.0716653920556822,1,1,1,1,0,0,0
10,spatial-reuse-lower-bound,6,0.2,759360,759360,1,1,1,1,1,64297,24,2304,0.073728,0.107498088083523,1,1,1,1,0,0,0
10,spatial-reuse-lower-bound,6,0.3,759360,759360,1,1,1,1,1,64297,32,3072,0.098304,0.143330784111364,1,1,1,1,0,0,0
10,spatial-reuse-lower-bound,7,0.05,763201,763201,1,1,1,1,1,64297,20,1920,0.06144,0.095553856074243,1,1,1,1,0,0,0
10,spatial-reuse-lower-bound,7,0.2,763201,763201,1,1,1,1,1,64297,30,2880,0.09216,0.143330784111364,1,1,1,1,0,0,0
10,spatial-reuse-lower-bound,7,0.3,763201,763201,1,1,1,1,1,64297,40,3840,0.12288,0.191107712148486,1,1,1,1,0,0,0
10,spatial-reuse-lower-bound,8,0.05,760208,760208,1,1,1,1,1,64297,16,1536,0.049152,0.0716653920556822,1,1,1,1,0,0,0
10,spatial-reuse-lower-bound,8,0.2,760208,760208,1,1,1,1,1,64297,24,2304,0.073728,0.107498088083523,1,1,1,1,0,0,0
10,spatial-reuse-lower-bound,8,0.3,760208,760208,1,1,1,1,1,64297,32,3072,0.098304,0.143330784111364,1,1,1,1,0,0,0
10,spatial-reuse-lower-bound,9,0.05,765707,765707,1,1,1,1,1,64297,20,1920,0.06144,0.095553856074243,1,1,1,1,0,0,0
10,spatial-reuse-lower-bound,9,0.2,765707,765707,1,1,1,1,1,64297,30,2880,0.09216,0.143330784111364,1,1,1,1,0,0,0
10,spatial-reuse-lower-bound,9,0.3,765707,765707,1,1,1,1,1,64297,40,3840,0.12288,0.191107712148486,1,1,1,1,0,0,0
10,spatial-reuse-lower-bound,10,0.05,762563,762563,1,1,1,1,1,64297,20,1920,0.06144,0.0716653920556822,1,1,1,1,0,0,0
10,spatial-reuse-lower-bound,10,0.2,762563,762563,1,1,1,1,1,64297,30,2880,0.09216,0.107498088083523,1,1,1,1,0,0,0
10,spatial-reuse-lower-bound,10,0.3,762563,762563,1,1,1,1,1,64297,40,3840,0.12288,0.143330784111364,1,1,1,1,0,0,0
10,complete-interference-upper-bound,1,0.05,792478,792478,1,1,1,1,1,64297,20,1920,0.06144,0.119442320092804,1,1,1,1,0,0,0
10,complete-interference-upper-bound,1,0.2,792478,792478,1,1,1,1,1,64297,30,2880,0.09216,0.179163480139206,1,1,1,1,0,0,0
10,complete-interference-upper-bound,1,0.3,792478,792478,1,1,1,1,1,64297,40,3840,0.12288,0.238884640185607,1,1,1,1,0,0,0
10,complete-interference-upper-bound,2,0.05,794233,794233,1,1,1,1,1,64297,20,1920,0.06144,0.119442320092804,1,1,1,1,0,0,0
10,complete-interference-upper-bound,2,0.2,794233,794233,1,1,1,1,1,64297,30,2880,0.09216,0.179163480139206,1,1,1,1,0,0,0
10,complete-interference-upper-bound,2,0.3,794233,794233,1,1,1,1,1,64297,40,3840,0.12288,0.238884640185607,1,1,1,1,0,0,0
10,complete-interference-upper-bound,3,0.05,801319,801319,1,1,1,1,1,64297,24,2304,0.073728,0.143330784111364,1,1,1,1,0,0,0
10,complete-interference-upper-bound,3,0.2,801319,801319,1,1,1,1,1,64297,36,3456,0.110592,0.214996176167047,1,1,1,1,0,0,0
10,complete-interference-upper-bound,3,0.3,801319,801319,1,1,1,1,1,64297,48,4608,0.147456,0.286661568222729,1,1,1,1,0,0,0
10,complete-interference-upper-bound,4,0.05,789478,789478,1,1,1,1,1,64297,16,1536,0.049152,0.095553856074243,1,1,1,1,0,0,0
10,complete-interference-upper-bound,4,0.2,789478,789478,1,1,1,1,1,64297,24,2304,0.073728,0.143330784111364,1,1,1,1,0,0,0
10,complete-interference-upper-bound,4,0.3,789478,789478,1,1,1,1,1,64297,32,3072,0.098304,0.191107712148486,1,1,1,1,0,0,0
10,complete-interference-upper-bound,5,0.05,797518,797518,1,1,1,1,1,64297,20,1920,0.06144,0.119442320092804,1,1,1,1,0,0,0
10,complete-interference-upper-bound,5,0.2,797518,797518,1,1,1,1,1,64297,30,2880,0.09216,0.179163480139206,1,1,1,1,0,0,0
10,complete-interference-upper-bound,5,0.3,797518,797518,1,1,1,1,1,64297,40,3840,0.12288,0.238884640185607,1,1,1,1,0,0,0
10,complete-interference-upper-bound,6,0.05,790216,790216,1,1,1,1,1,64297,16,1536,0.049152,0.095553856074243,1,1,1,1,0,0,0
10,complete-interference-upper-bound,6,0.2,790216,790216,1,1,1,1,1,64297,24,2304,0.073728,0.143330784111364,1,1,1,1,0,0,0
10,complete-interference-upper-bound,6,0.3,790216,790216,1,1,1,1,1,64297,32,3072,0.098304,0.191107712148486,1,1,1,1,0,0,0
10,complete-interference-upper-bound,7,0.05,798836,798836,1,1,1,1,1,64297,20,1920,0.06144,0.119442320092804,1,1,1,1,0,0,0
10,complete-interference-upper-bound,7,0.2,798836,798836,1,1,1,1,1,64297,30,2880,0.09216,0.179163480139206,1,1,1,1,0,0,0
10,complete-interference-upper-bound,7,0.3,798836,798836,1,1,1,1,1,64297,40,3840,0.12288,0.238884640185607,1,1,1,1,0,0,0
