seed,controller,method,topology,N,scenario,RMSE,MINEVAL,NDATA,MISSION,SAFEFAIL
2,normalized,Causal-v3,sparse4,20,Moderate,0.163856692177892,0.420636513164071,34143,30,0
3,normalized,Causal-v3,sparse4,20,Moderate,0.163517638596778,0.421837506615092,34050,30,0
1,original,P10,sparse6,20,Moderate,0.288990356608504,0.308403460574038,37200,30,0
2,original,P10,sparse6,20,Moderate,0.28887387130633,0.313913323669097,37200,30,0
3,original,P10,sparse6,20,Moderate,0.289859713477233,0.310185316187807,37200,30,0
1,normalized,P10,sparse6,20,Moderate,0.167941394649934,0.417665526768277,37200,30,0
2,normalized,P10,sparse6,20,Moderate,0.167973967293037,0.418918178386855,37200,30,0
3,normalized,P10,sparse6,20,Moderate,0.168544942509507,0.416425164649384,37200,30,0
1,original,Causal-v3,sparse6,20,Moderate,0.272287807655387,0.327019553910925,46217,30,0
2,original,Causal-v3,sparse6,20,Moderate,0.273051544459878,0.325975175466819,46207,30,0
3,original,Causal-v3,sparse6,20,Moderate,0.273062310095743,0.32636028931671,46343,30,0
1,normalized,Causal-v3,sparse6,20,Moderate,0.152777697765343,0.433055570220242,49274,30,0
2,normalized,Causal-v3,sparse6,20,Moderate,0.152760689873379,0.432657865358686,49289,30,0
3,normalized,Causal-v3,sparse6,20,Moderate,0.152704101335629,0.432360029126987,49294,30,0
1,original,P10,geometric,20,Moderate,0.16985125163465,0.421076197790623,18000,30,0
2,original,P10,geometric,20,Moderate,0.168835609128527,0.418707003524521,18000,30,0
3,original,P10,geometric,20,Moderate,0.169017418539866,0.417148689761237,18000,30,0
1,normalized,P10,geometric,20,Moderate,0.155436467927357,0.4364572678862,18000,30,0
2,normalized,P10,geometric,20,Moderate,0.154735117655491,0.435030685532383,18000,30,0
3,normalized,P10,geometric,20,Moderate,0.154892721500646,0.431232358934148,18000,30,0
1,original,Causal-v3,geometric,20,Moderate,0.155225520809925,0.436667170761112,23706,30,0
2,original,Causal-v3,geometric,20,Moderate,0.154679617225185,0.437028296147214,23656,30,0
3,original,Causal-v3,geometric,20,Moderate,0.155490473494541,0.434088378238554,23787,30,0
1,normalized,Causal-v3,geometric,20,Moderate,0.140934746283613,0.452938158077695,23933,30,0
2,normalized,Causal-v3,geometric,20,Moderate,0.14083345605454,0.450885783968095,23897,30,0
3,normalized,Causal-v3,geometric,20,Moderate,0.141409315881769,0.447815828357221,24005,30,0
1,original,P10,ring2,50,Moderate,0.19297998760892,0.400218166072865,36900,30,0
2,original,P10,ring2,50,Moderate,0.193022212773295,0.403142604039905,36900,30,0
3,original,P10,ring2,50,Moderate,0.19331172496714,0.404713471451079,36900,30,0
1,normalized,P10,ring2,50,Moderate,0.19297998760892,0.400218166072865,36900,30,0
