cell,effect,armA,armB,metric,meanA,meanB,relativePct,difference,pairedTLo,pairedTHi,nPairs,nDropped,crossesZero
n5-csma,adaptive_guard_given_scaled_access,full-v2,access-only,CHANNEL_UTIL,0.262739583333312,0.273916666666644,-4.08046851232102,-0.0111770833333318,-0.0171706999649236,-0.00518346670173994,8,0,0
n5-csma,adaptive_guard_given_scaled_access,full-v2,access-only,COLLISION_FRAMES,134.125,170,-21.1029411764706,-35.875,-57.7326478267863,-14.0173521732136,8,0,0
n5-csma,adaptive_guard_given_scaled_access,full-v2,access-only,DATA_ATTEMPTED,826.125,713,15.8660589060309,113.125,87.3786676144262,138.871332385574,8,0,0
n5-csma,adaptive_guard_given_scaled_access,full-v2,access-only,ACK_ATTEMPTED,61.25,515.625,-88.1212121212121,-454.375,-469.026251743905,-439.723748256095,8,0,0
n5-csma,full_v2_vs_hybrid,full-v2,frozen-hybrid,RMSE,0.0540619630209665,0.0576599513377573,-6.2400127528979,-0.00359798831679077,-0.00427927777371241,-0.00291669885986914,8,0,0
n5-csma,full_v2_vs_hybrid,full-v2,frozen-hybrid,MEAN_TRUE_AOI,0.0722346600331674,0.0788571033720286,-8.39803017823029,-0.00662244333886122,-0.00830625497762909,-0.00493863170009336,8,0,0
n5-csma,full_v2_vs_hybrid,full-v2,frozen-hybrid,OFFERED_UTIL,0.285208333333334,0.2934375,-2.80440184593536,-0.00822916666666661,-0.0166986179817131,0.000240284648379921,8,0,1
n5-csma,full_v2_vs_hybrid,full-v2,frozen-hybrid,CHANNEL_UTIL,0.262739583333312,0.273916666666644,-4.08046851232102,-0.0111770833333318,-0.0171706999649236,-0.00518346670173994,8,0,0
n5-csma,full_v2_vs_hybrid,full-v2,frozen-hybrid,COLLISION_FRAMES,134.125,170,-21.1029411764706,-35.875,-57.7326478267863,-14.0173521732136,8,0,0
n5-csma,full_v2_vs_hybrid,full-v2,frozen-hybrid,DATA_ATTEMPTED,826.125,713,15.8660589060309,113.125,87.3786676144262,138.871332385574,8,0,0
n5-csma,full_v2_vs_hybrid,full-v2,frozen-hybrid,ACK_ATTEMPTED,61.25,515.625,-88.1212121212121,-454.375,-469.026251743905,-439.723748256095,8,0,0
n5-aloha,adaptive_ack_vs_piggyback,adaptive-only,frozen-piggyback,RMSE,0.0797561258910369,0.084371104132719,-5.46985640299617,-0.00461497824168209,-0.0177238064609,0.00849384997753584,8,0,1
n5-aloha,adaptive_ack_vs_piggyback,adaptive-only,frozen-piggyback,MEAN_TRUE_AOI,0.116567164179104,0.123114980652294,-5.31845632310371,-0.00654781647318981,-0.0297727197426542,0.0166770867962746,8,0,1
n5-aloha,adaptive_ack_vs_piggyback,adaptive-only,frozen-piggyback,OFFERED_UTIL,0.76092708333329,0.779999999999951,-2.44524572649514,-0.0190729166666608,-0.0640432673388325,0.0258974340055109,8,0,1
n5-aloha,adaptive_ack_vs_piggyback,adaptive-only,frozen-piggyback,CHANNEL_UTIL,0.488854166666685,0.490395833333353,-0.314371893453642,-0.00154166666666787,-0.0187431343221336,0.0156598009887979,8,0,1
n5-aloha,adaptive_ack_vs_piggyback,adaptive-only,frozen-piggyback,COLLISION_FRAMES,1849.375,1867.375,-0.963919941093781,-18,-183.220603433082,147.220603433082,8,0,1
n5-aloha,adaptive_ack_vs_piggyback,adaptive-only,frozen-piggyback,DATA_ATTEMPTED,2185,2340,-6.62393162393162,-155,-293.597328250954,-16.4026717490459,8,0,0
n5-aloha,adaptive_ack_vs_piggyback,adaptive-only,frozen-piggyback,ACK_ATTEMPTED,314,0,NaN,314,297.13687270558,330.86312729442,8,0,0
n5-aloha,load_guard_given_adaptive,guarded-adaptive,adaptive-only,RMSE,0.076317844126175,0.0797561258910369,-4.31099395369238,-0.00343828176486189,-0.016128196259419,0.00925163272969519,8,0,1
n5-aloha,load_guard_given_adaptive,guarded-adaptive,adaptive-only,MEAN_TRUE_AOI,0.108718905472637,0.116567164179104,-6.73282116944073,-0.00784825870646747,-0.027049463653271,0.011352946240336,8,0,1
n5-aloha,load_guard_given_adaptive,guarded-adaptive,adaptive-only,OFFERED_UTIL,0.738177083333293,0.76092708333329,-2.9897739873234,-0.0227499999999975,-0.0651452904187765,0.0196452904187815,8,0,1
n5-aloha,load_guard_given_adaptive,guarded-adaptive,adaptive-only,CHANNEL_UTIL,0.474635416666681,0.488854166666685,-2.90858725761847,-0.0142187500000041,-0.0303169963797484,0.00187949637974017,8,0,1
n5-aloha,load_guard_given_adaptive,guarded-adaptive,adaptive-only,COLLISION_FRAMES,1786.125,1849.375,-3.42007434944238,-63.25,-218.622541927046,92.1225419270463,8,0,1
