cell,comparator,metric,meanFullV2,meanComparator,difference,pairedTLo,pairedTHi,nPairs,nDropped
n5-csma,frozen-hybrid,RMSE,0.0540619630209665,0.0576599513377573,-0.00359798831679077,-0.00427927777371241,-0.00291669885986914,8,0
n5-csma,frozen-hybrid,OFFERED_UTIL,0.285208333333334,0.2934375,-0.00822916666666661,-0.0166986179817131,0.000240284648379921,8,0
n5-csma,frozen-hybrid,MEAN_TRUE_AOI,0.0722346600331674,0.0788571033720286,-0.00662244333886122,-0.00830625497762909,-0.00493863170009336,8,0
n5-csma,frozen-hybrid,COLLISION_FRAMES,134.125,170,-35.875,-57.7326478267863,-14.0173521732136,8,0
n5-csma,frozen-hybrid,ACK_ATTEMPTED,61.25,515.625,-454.375,-469.026251743905,-439.723748256095,8,0
n5-csma,frozen-piggyback,RMSE,0.0540619630209665,0.0536072186620123,0.000454744358954239,-0.000365158064761541,0.00127464678267002,8,0
n5-csma,frozen-piggyback,OFFERED_UTIL,0.285208333333334,0.280583333333334,0.00462499999999987,-0.00595090462049108,0.0152009046204908,8,0
n5-csma,frozen-piggyback,MEAN_TRUE_AOI,0.0722346600331674,0.0709950248756218,0.00123963515754559,-0.000133741522004582,0.00261301183709576,8,0
n5-csma,frozen-piggyback,COLLISION_FRAMES,134.125,131.125,3,-27.9601989230064,33.9601989230064,8,0
n5-csma,frozen-piggyback,ACK_ATTEMPTED,61.25,0,61.25,55.5490973841662,66.9509026158338,8,0
n5-aloha,frozen-hybrid,RMSE,0.076317844126175,0.0739977669421914,0.00232007718398365,-0.00791182397567614,0.0125519783436434,8,0
n5-aloha,frozen-hybrid,OFFERED_UTIL,0.738177083333293,0.757614583333291,-0.019437499999998,-0.0706979066616961,0.0318229066617001,8,0
n5-aloha,frozen-hybrid,MEAN_TRUE_AOI,0.108718905472637,0.104169430624654,0.00454947484798225,-0.00956379920458209,0.0186627489005466,8,0
n5-aloha,frozen-hybrid,COLLISION_FRAMES,1786.125,1835.875,-49.75,-236.917222108074,137.417222108074,8,0
n5-aloha,frozen-hybrid,ACK_ATTEMPTED,311.375,333.25,-21.875,-58.1472368753082,14.3972368753082,8,0
n5-aloha,frozen-piggyback,RMSE,0.076317844126175,0.084371104132719,-0.00805326000654398,-0.0227767344585287,0.00667021444544073,8,0
n5-aloha,frozen-piggyback,OFFERED_UTIL,0.738177083333293,0.779999999999951,-0.0418229166666583,-0.0868387294955719,0.00319289616225544,8,0
n5-aloha,frozen-piggyback,MEAN_TRUE_AOI,0.108718905472637,0.123114980652294,-0.0143960751796573,-0.0394443611509009,0.0106522107915864,8,0
n5-aloha,frozen-piggyback,COLLISION_FRAMES,1786.125,1867.375,-81.25,-244.19091576545,81.6909157654499,8,0
n5-aloha,frozen-piggyback,ACK_ATTEMPTED,311.375,0,311.375,282.030997407006,340.719002592994,8,0
n5-background030,frozen-hybrid,RMSE,0.0889138310681796,0.0906444624564583,-0.00173063138827872,-0.00571444386024768,0.00225318108369023,8,0
n5-background030,frozen-hybrid,OFFERED_UTIL,0.712177083333292,0.712072916666627,0.000104166666665018,-0.0144576857967325,0.0146660191300626,8,0
n5-background030,frozen-hybrid,MEAN_TRUE_AOI,0.127976782752902,0.128135710337203,-0.000158927584300876,-0.0073188545984065,0.00700099942980475,8,0
n5-background030,frozen-hybrid,COLLISION_FRAMES,1676.625,1691.75,-15.125,-64.3467618790731,34.0967618790731,8,0
n5-background030,frozen-hybrid,ACK_ATTEMPTED,14.625,176.125,-161.5,-177.343486661925,-145.656513338075,8,0
n5-background030,frozen-piggyback,RMSE,0.0889138310681796,0.0896625008233538,-0.000748669755174226,-0.0048120744371288,0.00331473492678034,8,0
n5-background030,frozen-piggyback,OFFERED_UTIL,0.712177083333292,0.72508333333329,-0.0129062499999981,-0.0231433034881294,-0.00266919651186682,8,0
n5-background030,frozen-piggyback,MEAN_TRUE_AOI,0.127976782752902,0.128771420674406,-0.000794637921503877,-0.0110828413453129,0.00949356550230511,8,0
n5-background030,frozen-piggyback,COLLISION_FRAMES,1676.625,1708.125,-31.5,-65.4857818860963,2.48578188609631,8,0
n5-background030,frozen-piggyback,ACK_ATTEMPTED,14.625,0,14.625,12.1799322968334,17.0700677031666,8,0
n5-hidden,frozen-hybrid,RMSE,0.0605695427487749,0.0610070214851845,-0.0004374787364096,-0.00195521856610484,0.00108026109328565,8,0
n5-hidden,frozen-hybrid,OFFERED_UTIL,0.508031249999982,0.511718749999986,-0.00368750000000375,-0.0392403123429975,0.03186531234299,8,0
n5-hidden,frozen-hybrid,MEAN_TRUE_AOI,0.0859038142620231,0.083680210060807,0.00222360420121614,-0.00283679458004992,0.00728400298248219,8,0
n5-hidden,frozen-hybrid,COLLISION_FRAMES,886,947.125,-61.125,-178.80637289499,56.5563728949902,8,0
n5-hidden,frozen-hybrid,ACK_ATTEMPTED,48.375,421.625,-373.25,-395.68168257105,-350.81831742895,8,0
n5-hidden,frozen-piggyback,RMSE,0.0605695427487749,0.0610123936592695,-0.000442850910494575,-0.00281770045714208,0.00193199863615293,8,0
n5-hidden,frozen-piggyback,OFFERED_UTIL,0.508031249999982,0.499333333333315,0.0086979166666665,-0.0266330243293746,0.0440288576627076,8,0
n5-hidden,frozen-piggyback,MEAN_TRUE_AOI,0.0859038142620231,0.0842371475953565,0.00166666666666664,-0.00514815402288693,0.00848148735622021,8,0
n5-hidden,frozen-piggyback,COLLISION_FRAMES,886,876.375,9.625,-107.590923626023,126.840923626023,8,0
n5-hidden,frozen-piggyback,ACK_ATTEMPTED,48.375,0,48.375,44.6112474465257,52.1387525534743,8,0
n10-ring2,frozen-hybrid,RMSE,0.0911889810530974,0.0919913893858122,-0.000802408332714786,-0.00225907124121583,0.00065425457578626,8,0
n10-ring2,frozen-hybrid,OFFERED_UTIL,0.655041666666633,0.969791666666607,-0.314749999999975,-0.351601738523704,-0.277898261476245,8,0
n10-ring2,frozen-hybrid,MEAN_TRUE_AOI,0.0825657427149963,0.0815357735133854,0.00102996920161099,-0.0012267014839276,0.00328663988714958,8,0
n10-ring2,frozen-hybrid,COLLISION_FRAMES,539,1735.25,-1196.25,-1326.35250029867,-1066.14749970133,8,0
n10-ring2,frozen-hybrid,ACK_ATTEMPTED,74.625,901.25,-826.625,-853.485453951175,-799.764546048825,8,0
n10-ring2,frozen-piggyback,RMSE,0.0911889810530974,0.0853176838121563,0.00587129724094113,0.00435301062784824,0.00738958385403401,8,0
n10-ring2,frozen-piggyback,OFFERED_UTIL,0.655041666666633,0.788333333333283,-0.133291666666651,-0.161937355365974,-0.104645977967328,8,0
n10-ring2,frozen-piggyback,MEAN_TRUE_AOI,0.0825657427149963,0.0761377635631366,0.00642797915185974,0.00493850116782,0.00791745713589947,8,0
n10-ring2,frozen-piggyback,COLLISION_FRAMES,539,1033.25,-494.25,-593.163020622151,-395.336979377849,8,0
n10-ring2,frozen-piggyback,ACK_ATTEMPTED,74.625,0,74.625,68.748378604375,80.501621395625,8,0
n20-ring2,frozen-hybrid,RMSE,0.242258023090256,0.497757643678763,-0.255499620588507,-0.271520358449912,-0.239478882727102,8,0
n20-ring2,frozen-hybrid,OFFERED_UTIL,1.10698958333325,2.85459375000024,-1.74760416666699,-1.76448553036687,-1.73072280296711,8,0
