stage,seed,scenario,scenarioLabel,family,arm,pointIndex,parameterValue,method,methodLabel,feedbackMode,N,topology,plant,macType,pAccess,configuredPAccess,backgroundLoad,carrierSenseDensity,interferenceDensity,stationaryMeanDataLoss,stationaryMeanAckLoss,meanBadDurationDataSec,meanBadDurationAckSec,RMSE,MINSEP,SAFEFAIL,DIVERGED,ROLL_PEAK_DEG,PITCH_PEAK_DEG,SATURATION,CONTROL_EFFORT,MEAN_TRUE_AOI,P95_TRUE_AOI,P99_TRUE_AOI,MAX_TRUE_AOI,MEAN_EST_AOI,MEAN_AOI_GAP,DATA_GENERATED,DATA_ATTEMPTED,DATA_DELIVERED,ACK_ATTEMPTED,ACK_ENTRIES_DELIVERED,DATA_RECIPIENT_ATTEMPTS,DATA_RECIPIENT_SUCCESS,DATA_RECIPIENT_LOSS,ACK_RECIPIENT_ATTEMPTS,ACK_RECIPIENT_SUCCESS,ACK_RECIPIENT_LOSS,TERMINAL_ACTIVE_FRAMES,TERMINAL_DATA_INFLIGHT,TERMINAL_ACK_INFLIGHT,COLLISION_FRAMES,COLLISION_RATE,QUEUE_DROPS,SUPERSEDED,RETRIES,OBSOLETE_RETRY_DROPS,MAX_QUEUE,MAX_HISTORY,historySize,STALE_DATA_DISCARDED,STALE_ACK_DISCARDED,EXPIRED_HISTORY_ACK,ACK_BEFORE_ACCEPT,ACK_STANDALONE,ACK_ENTRIES_PIGGYBACKED,ACK_ENTRIES_TRANSFERRED,CHANNEL_UTIL,ADAPTIVE_ACK_PERMITTED,ADAPTIVE_ACK_DEFERRED,ADAPTIVE_ACK_FORCED,MEAN_LOCAL_BUSY,MAX_LOCAL_BUSY,LOAD_GUARD_BLOCKED,LOAD_GUARD_BLOCKED_BUSY,LOAD_GUARD_BLOCKED_QUEUE,LOAD_GUARD_BRANCH3,LOAD_GUARD_BRANCH4,OFFERED_UTIL,DATA_AIRTIME,ACK_AIRTIME,PIGGYBACK_AIRTIME,BACKGROUND_BUSY_TIME,BACKGROUND_COLLISION_FRAMES,ENERGY_PROXY_J,DATA_GOODPUT_HZ,RECIPIENT_GOODPUT_HZ,ACK_GOODPUT_HZ,MEAN_ACCESS_DELAY,P95_ACCESS_DELAY,MEAN_CONFIRM_DELAY,P95_CONFIRM_DELAY,JAIN_FRAME_GOODPUT,DATA_CHANNEL_ATTEMPTS,ACK_CHANNEL_ATTEMPTS,DATA_BAD_ATTEMPT_FRACTION,ACK_BAD_ATTEMPT_FRACTION,TRACE_DATA_BAD_FRACTION,TRACE_ACK_BAD_FRACTION,NETWORK_RUNTIME_SEC,INVARIANT_VIOLATIONS,TRACE_HASH_EXACT,CHANNEL_STATE_HASH,CHANNEL_MODEL_SIGNATURE,ESTIMATOR_HASH_EXACT,CONFIG_HASH
development,16016001,n5-aloha,N5 ALOHA,MAC-aware ablation,guarded-adaptive,5,NaN,mac-aware-broadcast,Adaptive ACK + guard,adaptive,5,ring2,6dof,aloha,0.2,0.2,0,1,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.0686364157133522,0.511752945666487,0,0,9.95661236823097,13.972200041265,0,1.03653329679913,0.0972139303482585,0.24,0.34,0.42,0.164499723604201,0.0672857932559426,895,2098,421,331,407,3878,724,3154,1042,407,635,0,0,0,1762,0.725401399752985,0,3,1206,7,1,32,32,0,0,0,0,331,629,5,0.481666666666684,332,6,0,0.369702215941583,0.520828442227202,88,16,75,85,3,0.73349999999996,8.39199999999952,0.41,0.161024000000002,0,0,1.7603999999999,35.0833333333333,60.3333333333333,33.9166666666667,0.00974145738987242,0.026,0.0356289926289928,0.0577,0.994478889044747,4075,413,0.100613496932515,0.113801452784504,0.0968571904682553,0.102012997833694,1.2404357,0,667199582124,21207615519,105363559,0,133001043
development,16016001,n5-aloha,N5 ALOHA,MAC-aware ablation,full-v2,6,NaN,mac-aware-broadcast,Full MAC-aware v2,adaptive,5,ring2,6dof,aloha,0.2,0.2,0,1,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.0686364157133522,0.511752945666487,0,0,9.95661236823097,13.972200041265,0,1.03653329679913,0.0972139303482585,0.24,0.34,0.42,0.164499723604201,0.0672857932559426,895,2098,421,331,407,3878,724,3154,1042,407,635,0,0,0,1762,0.725401399752985,0,3,1206,7,1,32,32,0,0,0,0,331,629,5,0.481666666666684,332,6,0,0.369702215941583,0.520828442227202,88,16,75,85,3,0.73349999999996,8.39199999999952,0.41,0.161024000000002,0,0,1.7603999999999,35.0833333333333,60.3333333333333,33.9166666666667,0.00974145738987242,0.026,0.0356289926289928,0.0577,0.994478889044747,4075,413,0.100613496932515,0.113801452784504,0.0968571904682553,0.102012997833694,1.1801934,0,667199582124,21207615519,105363559,0,132987728
development,16016001,n5-background030,N5 30% background,MAC-aware ablation,frozen-hybrid,1,NaN,causal-broadcast,Frozen hybrid,hybrid,5,ring2,6dof,csma,0.2,0.2,0.3,1,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.0883241702888007,0.48601109831643,0,0,9.68002884920376,12.8423056614153,0,1.0365303098108,0.125737976782753,0.300000000000001,0.42,0.58,0.267252625760088,0.141514648977336,1015,2007,439,210,369,3707,760,2944,1280,369,910,2,3,1,1625,0.73297248534055,0,222,1215,23,2,32,32,0,0,0,0,210,1003,175,0.740166666666693,0,0,0,0.723499884531644,0.813185589218449,0,0,0,0,0,0.69141666666663,8.02799999999956,0.269,0.256768000000003,3.58699999999965,1321,1.65939999999991,36.5833333333333,63.3333333333333,30.75,0.0174686513306271,0.0449999999999999,0.0506856368563686,0.0892000000000001,0.983295492231945,4081,277,0.0999754962019113,0.0866425992779783,0.0968571904682553,0.102012997833694,2.5026418,0,667199582124,21207615519,105363559,0,133223561
development,16016001,n5-background030,N5 30% background,MAC-aware ablation,frozen-piggyback,2,NaN,causal-broadcast,Frozen piggyback,piggyback,5,ring2,6dof,csma,0.2,0.2,0.3,1,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.0882043353858652,0.485336287136395,0,0,9.68002884920376,12.8423056614153,0,1.03651829581121,0.127728026533997,0.319999999999999,0.44,0.52,0.319480375898286,0.19175234936429,1071,2150,455,0,319,3960,795,3164,1576,319,1255,1,1,2,1674,0.778604651162791,0,217,1296,34,1,32,32,0,0,0,0,0,1576,199,0.745166666666691,0,0,0,0.722793487026156,0.801568956442498,0,0,0,0,0,0.716666666666625,8.5999999999995,0,0.403455999999999,3.58699999999965,1401,1.7199999999999,37.9166666666667,66.25,26.5833333333333,0.0187651162790699,0.0465499999999994,0.0601003134796239,0.1211,0.982814688219516,4516,0,0.0967670504871568,0,0.0968571904682553,0.102012997833694,1.731484,0,667199582124,21207615519,105363559,0,133231711
development,16016001,n5-background030,N5 30% background,MAC-aware ablation,adaptive-only,3,NaN,mac-aware-broadcast,Adaptive ACK only,adaptive,5,ring2,6dof,csma,0.2,0.2,0.3,1,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.0926514042567948,0.481557028216608,0,0,9.68002884920376,12.8423056614153,0,1.03651239476974,0.144742951907131,0.4,0.620000000000001,0.74,0.395688225538972,0.250945273631841,1072,2173,447,14,299,4024,776,3245,1525,299,1224,2,3,2,1714,0.783721993598537,0,219,1322,31,2,32,32,0,0,0,0,14,1497,194,0.749500000000022,14,0,0,0.736044921812655,0.811331202611469,0,0,0,0,0,0.726583333333291,8.69199999999949,0.027,0.383231999999999,3.58699999999965,1445,1.7437999999999,37.25,64.6666666666667,24.9166666666667,0.0186113397347966,0.0469999999999997,0.059160535117057,0.1251,0.985810494116486,4530,28,0.0991169977924945,0.107142857142857,0.0968571904682553,0.102012997833694,1.5185735,0,667199582124,21207615519,105363559,0,133225661
development,16016001,n5-background030,N5 30% background,MAC-aware ablation,access-only,4,NaN,causal-broadcast,Access scaling only,hybrid,5,ring2,6dof,csma,0.2,0.2,0.3,1,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.0883241702888007,0.48601109831643,0,0,9.68002884920376,12.8423056614153,0,1.0365303098108,0.125737976782753,0.300000000000001,0.42,0.58,0.267252625760088,0.141514648977336,1015,2007,439,210,369,3707,760,2944,1280,369,910,2,3,1,1625,0.73297248534055,0,222,1215,23,2,32,32,0,0,0,0,210,1003,175,0.740166666666693,0,0,0,0.723499884531644,0.813185589218449,0,0,0,0,0,0.69141666666663,8.02799999999956,0.269,0.256768000000003,3.58699999999965,1321,1.65939999999991,36.5833333333333,63.3333333333333,30.75,0.0174686513306271,0.0449999999999999,0.0506856368563686,0.0892000000000001,0.983295492231945,4081,277,0.0999754962019113,0.0866425992779783,0.0968571904682553,0.102012997833694,1.3627839,0,667199582124,21207615519,105363559,0,133220665
development,16016001,n5-background030,N5 30% background,MAC-aware ablation,guarded-adaptive,5,NaN,mac-aware-broadcast,Adaptive ACK + guard,adaptive,5,ring2,6dof,csma,0.2,0.2,0.3,1,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.0876427817820883,0.486708543604422,0,0,9.69259382144143,13.0470970838087,0,1.03642479120855,0.121647318960752,0.32,0.420000000000002,0.640000000000001,0.333985627418463,0.212338308457711,871,2058,450,18,334,3797,781,3013,1387,334,1051,2,3,2,1591,0.766377649325626,0,5,1193,17,1,32,32,0,0,0,0,18,1353,15,0.73375000000003,18,5,0,0.729069926918796,0.807527866996247,326,145,217,305,21,0.688583333333295,8.23199999999954,0.031,0.346368,3.58699999999965,1343,1.65259999999991,37.5,65.0833333333333,27.8333333333333,0.0218737957610791,0.0569999999999999,0.0606766467065869,0.1254,0.985449413596769,4229,34,0.0986048711279262,0.0294117647058824,0.0968571904682553,0.102012997833694,1.2459927,0,667199582124,21207615519,105363559,0,133230705
development,16016001,n5-background030,N5 30% background,MAC-aware ablation,full-v2,6,NaN,mac-aware-broadcast,Full MAC-aware v2,adaptive,5,ring2,6dof,csma,0.2,0.2,0.3,1,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.0876427817820883,0.486708543604422,0,0,9.69259382144143,13.0470970838087,0,1.03642479120855,0.121647318960752,0.32,0.420000000000002,0.640000000000001,0.333985627418463,0.212338308457711,871,2058,450,18,334,3797,781,3013,1387,334,1051,2,3,2,1591,0.766377649325626,0,5,1193,17,1,32,32,0,0,0,0,18,1353,15,0.73375000000003,18,5,0,0.729069926918796,0.807527866996247,326,145,217,305,21,0.688583333333295,8.23199999999954,0.031,0.346368,3.58699999999965,1343,1.65259999999991,37.5,65.0833333333333,27.8333333333333,0.0218737957610791,0.0569999999999999,0.0606766467065869,0.1254,0.985449413596769,4229,34,0.0986048711279262,0.0294117647058824,0.0968571904682553,0.102012997833694,1.1522764,0,667199582124,21207615519,105363559,0,133217390
development,16016001,n5-hidden,N5 hidden terminals,MAC-aware ablation,frozen-hybrid,1,NaN,causal-broadcast,Frozen hybrid,hybrid,5,ring2,6dof,csma,0.2,0.2,0,0.6,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.0618038955488303,0.521175251164502,0,0,9.72916024182561,12.7424172942043,0,1.03664897368546,0.0858485351022662,0.199999999999999,0.26,0.299999999999999,0.13420674405749,0.0483582089552239,747,1288,537,421,642,2393,918,1475,1094,642,452,0,0,0,803,0.469865418373318,0,29,570,3,2,32,32,0,0,0,0,421,560,18,0.37541666666665,0,0,0,0.199164258680791,0.317194312788459,0,0,0,0,0,0.473333333333323,5.15199999999988,0.528,0.143360000000001,0,0,1.13599999999998,44.75,76.5,53.5,0.00899063779988303,0.0279999999999998,0.0339672897196262,0.0569999999999995,0.99288653227056,2560,534,0.1046875,0.099250936329588,0.0968571904682553,0.102012997833694,2.3604352,0,667199582124,21207615519,105363559,0,133003849
development,16016001,n5-hidden,N5 hidden terminals,MAC-aware ablation,frozen-piggyback,2,NaN,causal-broadcast,Frozen piggyback,piggyback,5,ring2,6dof,csma,0.2,0.2,0,0.6,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.0584097874225439,0.526944121755354,0,0,9.72916024182561,12.7424172942043,0,1.03660401009365,0.0801768933112216,0.180000000000001,0.24,0.279999999999999,0.166489773355445,0.0863128800442234,842,1373,612,0,594,2566,1049,1517,1295,594,701,0,0,0,739,0.53823743627094,0,57,588,8,1,32,32,0,0,0,0,0,1295,48,0.361833333333312,0,0,0,0.202664976298994,0.326174694034718,0,0,0,0,0,0.457666666666653,5.49199999999984,0,0.331520000000002,0,0,1.09839999999997,51,87.4166666666667,49.5,0.0100167516387473,0.028,0.049868686868687,0.109,0.989077849371501,3026,0,0.103767349636484,0,0.0968571904682553,0.102012997833694,1.573359,0,667199582124,21207615519,105363559,0,133011999
