seed,arm,kind,condition,dataLoss,controlLoss,traceHash,geometryHash,selectorHash,scheduleHash,kernelTraceHash,kernelStateHash,interferenceEventHash,RMSE,MINSEP,SAFEFAIL,DIVERGED,TOTAL_COST,DATA_AIRTIME,MANAGEMENT_AIRTIME,DATA_ATTEMPTS,DATA_RECIPIENT_SUCCESS,DATA_RECIPIENT_LOSS,COLLISION_FRAMES,BACKGROUND_COLLISION_FRAMES,graphAdmissible,graphLocalOnly,graphAddedEdges,graphRemovedEdges,oldSlot,newSlot,eventFrame,eligibleFrame,reacquired,firstReacquiredFrame,finalSuppressed,controlAttempts,controlBytes,controlAirtime,expectedControlAttempts,expectedControlAirtime,expectedDataSuccess,expectedDataErasure,expectedDataCollision,observedDataSuccess,observedDataErasure,observedDataCollision,dataOutcomeMismatches,dataSkippedNoQueue,crossPlaneOverlaps,clockConflictFree,clockResidual,futureRandomReads,receiverTruthReads,suppressionHash,reacquisitionHash,revokeBlackout,responseBlackout,geometryCoupledToPlant,emergencyEnabled,emergencySlot,emergencyOpportunities,emergencyExpectedSuccess,emergencyExpectedErasure,emergencyExpectedCollision
16087001,periodic-iid20,periodic,iid20,0.2,0,1337177,2364930,565053,NaN,NaN,NaN,593702,0.0851640223115,0.500211766229198,0,0,0.255999999999998,3.07199999999997,0,1000,2076,524,0,0,NaN,NaN,NaN,NaN,NaN,NaN,45,48,NaN,NaN,NaN,0,NaN,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,NaN,NaN,0,0,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN
16087001,migration-iid20-no-emergency,migration,iid20,0.2,0.2,1337177,2364930,565053,1133571342,18720692848,140937133,593702,0.0926435064104744,0.489453238930249,0,0,0.235674666666665,2.65113599999998,0.17696,863,1775,473,0,0,1,1,1,0,7,9,45,48,1,52,0,197,5530,0.17696,197,0.17696,1775,473,0,1775,473,0,0,0,0,1,4.44089209850063e-16,0,0,27748,27458,0,0,0,0,NaN,NaN,NaN,NaN,NaN
16087001,migration-iid20-emergency,migration,iid20,0.2,0.2,1337177,2364930,565053,1143939280,18720692848,140937133,593702,0.09046334872788,0.489552028288499,0,0,0.237466666666665,2.67263999999998,0.17696,870,1785,477,0,0,1,1,1,0,7,9,45,48,1,52,0,197,5530,0.17696,197,0.17696,1785,477,0,1785,477,0,0,0,0,1,4.44089209850063e-16,0,0,27748,27458,0,0,0,1,10,7,10,4,0
16087001,migration-iid20-emergency-revoke-blackout,migration,iid20,0.2,0.2,1337177,2364930,565053,1143730915,18715902364,140937133,593702,0.09046334872788,0.489552028288499,0,0,0.237466666666665,2.67263999999998,0.17696,870,1785,477,0,0,1,1,1,0,7,9,45,48,1,52,0,197,5530,0.17696,197,0.17696,1785,477,0,1785,477,0,0,0,0,1,4.44089209850063e-16,0,0,27748,27458,1,0,0,1,10,7,10,4,0
16087001,migration-iid20-emergency-response-blackout,migration,iid20,0.2,0.2,1337177,2364930,565053,1143643204,18528959148,167826695,593702,0.0901153039546514,0.489562745687919,0,0,0.252890666666665,2.67263999999998,0.362048,870,1786,476,0,0,1,1,1,0,7,9,45,48,0,NaN,1,381,11314,0.362048,381,0.362048,1786,476,0,1786,476,0,0,0,0,1,4.44089209850063e-16,0,0,30286,27405,0,1,0,1,10,43,67,19,0
16087001,migration-iid20-no-emergency-response-blackout,migration,iid20,0.2,0.2,1337177,2364930,565053,1094071432,18528959148,167826695,593702,0.183822240943843,0.165230057496746,1,0,0.241882666666665,2.54054399999998,0.362048,827,1719,457,0,0,1,1,1,0,7,9,45,48,0,NaN,1,381,11314,0.362048,381,0.362048,1719,457,0,1719,457,0,0,0,0,1,4.44089209850063e-16,0,0,30286,27405,0,1,0,0,NaN,NaN,NaN,NaN,NaN
16087002,periodic-iid20,periodic,iid20,0.2,0,491661,2364930,565053,NaN,NaN,NaN,593702,0.0851156420091482,0.502528109242001,0,0,0.255999999999998,3.07199999999997,0,1000,2055,545,0,0,NaN,NaN,NaN,NaN,NaN,NaN,45,48,NaN,NaN,NaN,0,NaN,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,NaN,NaN,0,0,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN
16087002,migration-iid20-no-emergency,migration,iid20,0.2,0.2,491661,2364930,565053,1136513985,18627578557,140497577,593702,0.0872931150424915,0.482059947003394,0,0,0.235775999999998,2.65727999999998,0.172032,865,1826,426,0,0,1,1,1,0,7,9,45,48,1,50,0,192,5376,0.172032,192,0.172032,1826,426,0,1826,426,0,0,0,0,1,0,0,0,27645,27456,0,0,0,0,NaN,NaN,NaN,NaN,NaN
16087002,migration-iid20-emergency,migration,iid20,0.2,0.2,491661,2364930,565053,1142972800,18627578557,140497577,593702,0.0863809307412197,0.482134797194179,0,0,0.237055999999998,2.67263999999998,0.172032,870,1832,430,0,0,1,1,1,0,7,9,45,48,1,50,0,192,5376,0.172032,192,0.172032,1832,430,0,1832,430,0,0,0,0,1,0,0,0,27645,27456,0,0,0,1,10,5,6,4,0
16087002,migration-iid20-emergency-revoke-blackout,migration,iid20,0.2,0.2,491661,2364930,565053,1142475867,18622781979,140497577,593702,0.0863809307412197,0.482134797194179,0,0,0.237055999999998,2.67263999999998,0.172032,870,1832,430,0,0,1,1,1,0,7,9,45,48,1,50,0,192,5376,0.172032,192,0.172032,1832,430,0,1832,430,0,0,0,0,1,0,0,0,27645,27456,1,0,0,1,10,5,6,4,0
