seed,jitterStd,RMSE,MAXERR,MINFULL,MINEVAL,AOI,AOIP95,AOIMAX,PDR,ARRIVALRATIO,STALEDISCARD,EFFECTIVEUPDATE,SAFETYFAIL,FORMATIONFAIL
1,0,0.0802955028277136,0.101327341537748,0.254010216789875,0.499094905633904,0.129981834695732,0.17,0.170000000000004,1,0.996666666666667,0,0.996666666666667,0,0
2,0,0.0802955028277136,0.101327341537748,0.254010216789875,0.499094905633904,0.129981834695732,0.17,0.170000000000004,1,0.996666666666667,0,0.996666666666667,0,0
3,0,0.0802955028277136,0.101327341537748,0.254010216789875,0.499094905633904,0.129981834695732,0.17,0.170000000000004,1,0.996666666666667,0,0.996666666666667,0,0
4,0,0.0802955028277136,0.101327341537748,0.254010216789875,0.499094905633904,0.129981834695732,0.17,0.170000000000004,1,0.996666666666667,0,0.996666666666667,0,0
5,0,0.0802955028277136,0.101327341537748,0.254010216789875,0.499094905633904,0.129981834695732,0.17,0.170000000000004,1,0.996666666666667,0,0.996666666666667,0,0
6,0,0.0802955028277136,0.101327341537748,0.254010216789875,0.499094905633904,0.129981834695732,0.17,0.170000000000004,1,0.996666666666667,0,0.996666666666667,0,0
7,0,0.0802955028277136,0.101327341537748,0.254010216789875,0.499094905633904,0.129981834695732,0.17,0.170000000000004,1,0.996666666666667,0,0.996666666666667,0,0
8,0,0.0802955028277136,0.101327341537748,0.254010216789875,0.499094905633904,0.129981834695732,0.17,0.170000000000004,1,0.996666666666667,0,0.996666666666667,0,0
9,0,0.0802955028277136,0.101327341537748,0.254010216789875,0.499094905633904,0.129981834695732,0.17,0.170000000000004,1,0.996666666666667,0,0.996666666666667,0,0
10,0,0.0802955028277136,0.101327341537748,0.254010216789875,0.499094905633904,0.129981834695732,0.17,0.170000000000004,1,0.996666666666667,0,0.996666666666667,0,0
11,0,0.0802955028277136,0.101327341537748,0.254010216789875,0.499094905633904,0.129981834695732,0.17,0.170000000000004,1,0.996666666666667,0,0.996666666666667,0,0
12,0,0.0802955028277136,0.101327341537748,0.254010216789875,0.499094905633904,0.129981834695732,0.17,0.170000000000004,1,0.996666666666667,0,0.996666666666667,0,0
13,0,0.0802955028277136,0.101327341537748,0.254010216789875,0.499094905633904,0.129981834695732,0.17,0.170000000000004,1,0.996666666666667,0,0.996666666666667,0,0
14,0,0.0802955028277136,0.101327341537748,0.254010216789875,0.499094905633904,0.129981834695732,0.17,0.170000000000004,1,0.996666666666667,0,0.996666666666667,0,0
15,0,0.0802955028277136,0.101327341537748,0.254010216789875,0.499094905633904,0.129981834695732,0.17,0.170000000000004,1,0.996666666666667,0,0.996666666666667,0,0
16,0,0.0802955028277136,0.101327341537748,0.254010216789875,0.499094905633904,0.129981834695732,0.17,0.170000000000004,1,0.996666666666667,0,0.996666666666667,0,0
17,0,0.0802955028277136,0.101327341537748,0.254010216789875,0.499094905633904,0.129981834695732,0.17,0.170000000000004,1,0.996666666666667,0,0.996666666666667,0,0
18,0,0.0802955028277136,0.101327341537748,0.254010216789875,0.499094905633904,0.129981834695732,0.17,0.170000000000004,1,0.996666666666667,0,0.996666666666667,0,0
19,0,0.0802955028277136,0.101327341537748,0.254010216789875,0.499094905633904,0.129981834695732,0.17,0.170000000000004,1,0.996666666666667,0,0.996666666666667,0,0
20,0,0.0802955028277136,0.101327341537748,0.254010216789875,0.499094905633904,0.129981834695732,0.17,0.170000000000004,1,0.996666666666667,0,0.996666666666667,0,0
1,0.02,0.086989156812452,0.112161514114131,0.251399540324234,0.488298380462407,0.139844081138359,0.161666666666667,0.173333333333335,1,0.996111111111111,0,0.996111111111111,0,0
2,0.02,0.0866677325825042,0.110690241542719,0.248950306181346,0.491857685653002,0.139821374508023,0.161666666666667,0.181666666666668,1,0.996111111111111,0.000557724484104852,0.995555555555556,0,0
3,0.02,0.086693739855227,0.11076435528792,0.252922544556906,0.492042497980017,0.139283984256737,0.161666666666667,0.173333333333333,1,0.996666666666667,0,0.996666666666667,0,0
4,0.02,0.0867737126756509,0.110196748638159,0.251383911386933,0.489991605069246,0.139533757190433,0.161666666666667,0.181666666666667,1,0.996388888888889,0.000557568999163646,0.995833333333333,0,0
5,0.02,0.0868906064260842,0.110510161335874,0.252095565223531,0.491408218567482,0.140222524977294,0.161666666666667,0.173333333333335,1,0.996388888888889,0,0.996388888888889,0,0
6,0.02,0.0864777598857303,0.110143063507132,0.254866179164425,0.490727696537481,0.139389948531638,0.161666666666667,0.173333333333333,1,0.995833333333333,0.000278940027894003,0.995555555555556,0,0
7,0.02,0.0867415484369839,0.111288750542802,0.252476591638143,0.489428433960172,0.139548894943991,0.161666666666667,0.181666666666666,1,0.996111111111111,0,0.996111111111111,0,0
8,0.02,0.0872051167617039,0.111151377488568,0.250888162545868,0.49223240545194,0.140555555555556,0.16166666666667,0.181666666666667,1,0.995277777777778,0,0.995277777777778,0,0
9,0.02,0.0872563586492423,0.112158723212606,0.253295302521583,0.489516376105119,0.140411746896761,0.161666666666667,0.173333333333333,1,0.995833333333333,0,0.995833333333333,0,0
10,0.02,0.0869194648916072,0.111094190085745,0.254186792037926,0.491053324911245,0.139791099000908,0.161666666666667,0.173333333333333,1,0.996666666666667,0.000278706800445931,0.996388888888889,0,0
11,0.02,0.0869020427902433,0.110897731110381,0.251162486507442,0.491257988784177,0.140056009688162,0.161666666666667,0.181666666666666,1,0.996111111111111,0,0.996111111111111,0,0
12,0.02,0.0870024600296461,0.110956689568805,0.250281101021685,0.489378254042276,0.140336058128974,0.16166666666667,0.173333333333333,1,0.996388888888889,0.000278784499581823,0.996111111111111,0,0
13,0.02,0.0870027299742197,0.110752975157224,0.248259140957259,0.490958481037404,0.139730547986679,0.161666666666667,0.173333333333333,1,0.996388888888889,0,0.996388888888889,0,0
14,0.02,0.0865255916391234,0.111113814351307,0.24864779748269,0.49197229841648,0.139541326067212,0.161666666666667,0.181666666666666,1,0.996388888888889,0.000278784499581823,0.996111111111111,0,0
15,0.02,0.0874449555986713,0.110984962765143,0.254822497580896,0.489399166512064,0.140790190735695,0.161666666666667,0.181666666666668,1,0.996388888888889,0,0.996388888888889,0,0
16,0.02,0.0867961032855144,0.111088407636236,0.252036223759754,0.491810146900598,0.139473206176204,0.16166666666667,0.173333333333333,1,0.996111111111111,0,0.996111111111111,0,0
17,0.02,0.0872643337977357,0.111576512407717,0.253137933523769,0.490932572068611,0.140048440811384,0.16166666666667,0.173333333333333,1,0.996111111111111,0.000278862242052426,0.995833333333333,0,0
18,0.02,0.0868197719952078,0.109683013749885,0.252011300931229,0.490798428764337,0.139828943384802,0.161666666666667,0.181666666666666,1,0.996388888888889,0.00083635349874547,0.995555555555556,0,0
19,0.02,0.0868662612720505,0.110998267432329,0.250483576406586,0.490584349507877,0.139950045413261,0.161666666666667,0.173333333333333,1,0.996388888888889,0.000278784499581823,0.996111111111111,0,0
20,0.02,0.087061251704916,0.111426801134936,0.254405544093304,0.491245550834133,0.139995458673933,0.161666666666667,0.173333333333333,1,0.995277777777778,0,0.995277777777778,0,0
1,0.04,0.0856946617000728,0.110542864915927,0.245047186207078,0.491151279078735,0.139382379654859,0.164999999999999,0.183333333333334,1,0.996111111111111,0.0395984383714445,0.956666666666667,0,0
2,0.04,0.0858680424791863,0.112322005758521,0.258943185102327,0.491615180787954,0.139125037844384,0.164999999999999,0.186666666666667,1,0.995555555555556,0.0340401785714286,0.961666666666667,0,0
3,0.04,0.085954579084439,0.11161371005513,0.252008890957992,0.494019232855305,0.138761731759007,0.161666666666667,0.191666666666666,1,0.995833333333333,0.0398884239888424,0.956111111111111,0,0
4,0.04,0.086100673402017,0.112293906850444,0.252632958404507,0.490692400390462,0.139813805631244,0.163333333333332,0.184999999999996,1,0.995277777777778,0.030142338822216,0.965277777777778,0,0
5,0.04,0.0863057780119347,0.114280453978603,0.253430553035524,0.488471094355375,0.138564940962761,0.163333333333334,0.183333333333334,1,0.996111111111111,0.03792526491913,0.958333333333333,0,0
6,0.04,0.0860218744496148,0.112098025563497,0.259412241814308,0.48897632092287,0.13920829548895,0.16,0.191666666666666,1,0.996388888888889,0.0323390019514915,0.964166666666667,0,0
7,0.04,0.0860282149289616,0.111825936571727,0.252188899834765,0.493648686542797,0.138769300635786,0.161666666666667,0.191666666666667,1,0.995555555555556,0.0304129464285714,0.965277777777778,0,0
8,0.04,0.0864537186960194,0.112141031225374,0.251728760418254,0.492443432621696,0.140252800484408,0.161666666666667,0.185,1,0.995833333333333,0.0340306834030683,0.961944444444444,0,0
9,0.04,0.0854429082687571,0.110830514330083,0.249721986134431,0.489835704174803,0.13857250983954,0.161666666666667,0.186666666666665,1,0.995555555555556,0.0382254464285714,0.9575,0,0
10,0.04,0.086467478690087,0.111138354298015,0.245489679564772,0.493774259138702,0.138988798062368,0.163333333333332,0.181666666666667,1,0.995833333333333,0.0370990237099024,0.958888888888889,0,0
11,0.04,0.0857218917684283,0.109676584725364,0.252193246361256,0.491863060484911,0.138776869512564,0.161666666666667,0.185000000000001,1,0.995555555555556,0.0407366071428571,0.955,0,0
12,0.04,0.0862493437262392,0.112400694751951,0.26069434151506,0.494051271543203,0.13978353012413,0.161666666666668,0.183333333333333,1,0.995833333333333,0.0329149232914923,0.963055555555556,0,0
13,0.04,0.0862383867267574,0.111586597075845,0.249862623895843,0.489733237168395,0.139132606721163,0.161666666666669,0.19,1,0.996111111111111,0.0331846068042387,0.963055555555556,0,0
14,0.04,0.0860273275234402,0.11110140482871,0.256369091669103,0.490209249689316,0.139662428095671,0.161666666666667,0.181666666666666,1,0.996111111111111,0.0348577802565533,0.961388888888889,0,0
15,0.04,0.0868340051702491,0.113466940391367,0.257766848336615,0.492771127636395,0.139647290342113,0.16166666666667,0.183333333333331,1,0.995555555555556,0.03515625,0.960555555555556,0,0
16,0.04,0.0856102212833544,0.111732265608927,0.253277649546583,0.489524733234762,0.138625491976991,0.160000000000002,0.184999999999999,1,0.997222222222222,0.0364902506963788,0.960833333333333,0,0
17,0.04,0.0856228036839651,0.11288107900379,0.241272580683769,0.490017352681772,0.138928247048138,0.161666666666668,0.186666666666667,1,0.995833333333333,0.0401673640167364,0.955833333333333,0,0
18,0.04,0.0861074068203904,0.112499909357829,0.255576159138768,0.491500026521859,0.13908719346049,0.161666666666667,0.18,1,0.995555555555556,0.0396205357142857,0.956111111111111,0,0
19,0.04,0.0859819082476952,0.113950590350509,0.251900102419043,0.491495926423705,0.139950045413261,0.161666666666667,0.181666666666666,1,0.995,0.0368509212730318,0.958333333333333,0,0
20,0.04,0.0869378464089201,0.113538941035437,0.249973512336999,0.489399688411014,0.140336058128974,0.161666666666667,0.181666666666668,1,0.995277777777778,0.036003349148758,0.959444444444444,0,0
1,0.06,0.0852155334442081,0.113276621429815,0.253862808858523,0.493576503286538,0.137588555858311,0.163333333333336,0.188333333333332,1,0.995555555555556,0.100725446428571,0.895277777777778,0,0
2,0.06,0.0849046907399842,0.110540620084883,0.254018497895387,0.490528892638559,0.137111716621253,0.165,0.19,1,0.996666666666667,0.104236343366778,0.892777777777778,0,0
3,0.06,0.0851540365117377,0.111898165917998,0.247356979193768,0.497039441606192,0.137270663033606,0.166666666666667,0.201666666666668,1,0.995555555555556,0.104352678571429,0.891666666666667,0,0
4,0.06,0.0835462237503665,0.108990963987955,0.255388463627856,0.496445823885811,0.136158038147139,0.164999999999999,0.188333333333331,1,0.995555555555556,0.106305803571429,0.889722222222222,0,0
5,0.06,0.0865732785497074,0.114418409741131,0.253350987783804,0.49007548135971,0.13793672419013,0.165,0.198333333333333,1,0.995555555555556,0.0934709821428571,0.9025,0,0
6,0.06,0.0843937961515382,0.111261054533861,0.252585015335013,0.496660716503174,0.136392673327278,0.163333333333331,0.181666666666666,1,0.995833333333333,0.101255230125523,0.895,0,0
7,0.06,0.0861664884871182,0.112041099668964,0.261588279016053,0.488508819977891,0.137664244626097,0.165,0.188333333333333,1,0.995833333333333,0.106834030683403,0.889444444444444,0,0
8,0.06,0.0845731867932236,0.114223907259064,0.251064626819691,0.486131767794048,0.136975476839237,0.165,0.180000000000002,1,0.996388888888889,0.106216894340675,0.890555555555556,0,0
9,0.06,0.0855462916132284,0.113197210372242,0.256574959778069,0.488215962364893,0.138466545564638,0.166666666666666,0.193333333333332,1,0.996111111111111,0.105131065253765,0.891388888888889,0,0
10,0.06,0.086586885022714,0.113087849044082,0.256221360493835,0.488746869410453,0.139632152588556,0.166666666666668,0.186666666666667,1,0.996666666666667,0.103678929765886,0.893333333333333,0,0
11,0.06,0.0864177553683667,0.113488119759616,0.24519684520101,0.489154687318348,0.13943536179231,0.168333333333335,0.198333333333333,1,0.996666666666667,0.10340022296544,0.893611111111111,0,0
12,0.06,0.0850946400256866,0.112997721079889,0.243242130471901,0.488387147329449,0.137414471692401,0.165,0.185000000000002,1,0.995,0.102735901730877,0.892777777777778,0,0
13,0.06,0.0831479495257978,0.111083770149516,0.251705649100835,0.49370548912415,0.135650923402967,0.163333333333334,0.19,1,0.996388888888889,0.106216894340675,0.890555555555556,0,0
14,0.06,0.0850043787163042,0.111488256292284,0.254780613830454,0.490133615130325,0.137384196185286,0.165000000000002,0.194999999999997,1,0.994722222222222,0.106674113376152,0.888611111111111,0,0
15,0.06,0.0854697943593987,0.113306428165081,0.256518395779286,0.490428474196744,0.137013321223131,0.165,0.195000000000001,1,0.995833333333333,0.0940027894002789,0.902222222222222,0,0
16,0.06,0.0858753179504931,0.112387988786553,0.255517296957256,0.488883722991236,0.138534665455646,0.166666666666667,0.184999999999999,1,0.995555555555556,0.107142857142857,0.888888888888889,0,0
17,0.06,0.085052163587302,0.11394632932863,0.26102832894652,0.495914809288383,0.137580986981532,0.168333333333334,0.198333333333333,1,0.996388888888889,0.09785335935322,0.898888888888889,0,0
18,0.06,0.0859811434195765,0.113771410037103,0.244635651465752,0.487505444650353,0.137891310929458,0.166666666666665,0.193333333333334,1,0.996111111111111,0.10345789180145,0.893055555555556,0,0
19,0.06,0.084956910621961,0.111302572206757,0.250951046746508,0.498735093152253,0.137861035422343,0.168333333333333,0.198333333333333,1,0.996111111111111,0.108198549916341,0.888333333333333,0,0
20,0.06,0.0869340468327778,0.114301176593477,0.246162329839464,0.489495386522562,0.140192249470179,0.168333333333333,0.189999999999999,1,0.995555555555556,0.0979352678571429,0.898055555555556,0,0
1,0.08,0.0847761058901045,0.114479818149805,0.262799189528426,0.488089746332149,0.135514683620951,0.166666666666666,0.206666666666668,1,0.994722222222222,0.168947221446523,0.826666666666667,0,0
2,0.08,0.0853993692336332,0.112887787054066,0.261638483813692,0.490327994470338,0.138103239479261,0.173333333333332,0.201666666666666,1,0.996944444444444,0.15881861242686,0.838611111111111,0,0
3,0.08,0.0857042399391658,0.112117646204134,0.251044293748856,0.489713485597527,0.138792007266122,0.171666666666668,0.206666666666666,1,0.995555555555556,0.166852678571429,0.829444444444444,0,0
4,0.08,0.084929778019888,0.112541781201896,0.247226421470739,0.488514417967537,0.138027550711474,0.17,0.201666666666666,1,0.995833333333333,0.16234309623431,0.834166666666667,0,0
5,0.08,0.0838974353073069,0.109201770651283,0.25334610704071,0.495418512164863,0.136241295791704,0.166666666666667,0.194999999999999,1,0.996111111111111,0.156999442275516,0.839722222222222,0,0
6,0.08,0.0853322607358357,0.113491003494507,0.253638302659543,0.488796393764671,0.137603693611868,0.166666666666667,0.196666666666667,1,0.994722222222222,0.157497905612957,0.838055555555556,0,0
7,0.08,0.083611225913165,0.109487727855693,0.252739036450645,0.493126844690867,0.135930971843778,0.167416666666667,0.198333333333333,1,0.995833333333333,0.164295676429568,0.832222222222222,0,0
8,0.08,0.0850060406890974,0.112340883308844,0.258219536553905,0.492561905169379,0.136945201332122,0.171666666666666,0.195,1,0.997777777777778,0.15228285077951,0.845833333333333,0,0
9,0.08,0.0842892030104734,0.112794533123146,0.257224517029846,0.491365957640294,0.136665152891311,0.173333333333333,0.203333333333331,1,0.995277777777778,0.172760256768071,0.823333333333333,0,0
10,0.08,0.0848732021238178,0.115113740671809,0.259135860497853,0.485887079698504,0.135454132606721,0.166666666666666,0.204999999999999,1,0.996111111111111,0.160624651422197,0.836111111111111,0,0
11,0.08,0.0851652390563367,0.113167206565225,0.251505671337948,0.489273040672512,0.137452316076294,0.170750000000001,0.211666666666667,1,0.995277777777778,0.168852916550377,0.827222222222222,0,0
12,0.08,0.0836912870916851,0.109887526583282,0.249762741043533,0.490177151929792,0.135968816227672,0.165000000000003,0.191666666666667,1,0.996944444444444,0.161883533017554,0.835555555555556,0,0
13,0.08,0.0840514025528836,0.11031418424837,0.251758592453652,0.490632665076733,0.135363306085377,0.170000000000001,0.198333333333333,1,0.995,0.164154103852596,0.831666666666667,0,0
14,0.08,0.0856091902976061,0.116378934085136,0.243977286404169,0.487042974968632,0.138322736905843,0.171666666666668,0.204999999999999,1,0.995555555555556,0.16015625,0.836111111111111,0,0
15,0.08,0.0846122461371873,0.110743415596079,0.253896686794435,0.492411236970174,0.136665152891311,0.166666666666667,0.198333333333333,1,0.996111111111111,0.158951477969883,0.837777777777778,0,0
16,0.08,0.0854434010222992,0.1132113268529,0.261727199080173,0.490391481006167,0.136619739630639,0.165000000000001,0.195,1,0.995277777777778,0.164387384873011,0.831666666666667,0,0
17,0.08,0.0849106976097951,0.10891568121283,0.249874877952738,0.492588461476757,0.136597033000303,0.166666666666667,0.203333333333334,1,0.996111111111111,0.162855549358617,0.833888888888889,0,0
18,0.08,0.0849265343083423,0.11304315579127,0.262146354118051,0.49556572553669,0.137043596730245,0.170000000000001,0.198333333333333,1,0.995277777777778,0.164108289143176,0.831944444444444,0,0
19,0.08,0.083963658240147,0.112424646390485,0.256981130043734,0.487724909633875,0.136074780502573,0.170000000000004,0.208333333333335,1,0.996388888888889,0.157792026763312,0.839166666666667,0,0
20,0.08,0.0849827525265305,0.112665480716851,0.241771855383638,0.489983013669392,0.137255525280048,0.168333333333332,0.2,1,0.995277777777778,0.169132012280212,0.826944444444444,0,0
