point,plant,N,topology,scenario,method,RMSEmean,RMSEstd,minSep,safeFailCount,safeEligibleCount,safeFailRate,safeRule,DATA,ACK,Total_w010,Total_w025,Total_w050,airtime,broadcast,AoI,estimatedAoI,saturation,effort,estError,diverged,evaluable,connected,dominated_w_0_10,dominated_w_0_25,dominated_w_0_50,dominated_airtime,dominated_broadcast,sourceExperiment,sourceTag
NOMINAL,6dof,5,ring2,Clean,P10,0.0361460400730118,2.56459005779348e-05,0.552167660406861,0,50,0,all seeds,99.6666666666667,0,99.6666666666667,99.6666666666667,99.6666666666667,4784,59.8,0.0500008356039964,NaN,0,1.01542788448166,NaN,0,50,50,0,0,0,0,0,EXP09A,exp09a-locked
NOMINAL,6dof,5,ring2,Clean,P20,0.0253797782575351,2.54079075356217e-06,0.568381810519995,0,50,0,all seeds,199.666666666667,0,199.666666666667,199.666666666667,199.666666666667,9584,119.8,0.0260001816530427,NaN,0,1.0154568816051,NaN,0,50,50,0,0,0,0,0,EXP09A,exp09a-locked
NOMINAL,6dof,5,ring2,Clean,State-event,0.0823051474578866,0,0.497441307228487,0,50,0,all seeds,43.4333333333333,0,43.4333333333333,43.4333333333333,43.4333333333333,2084.8,26.0666666666667,0.130069028156222,NaN,0,1.01540075823686,NaN,0,50,50,0,0,0,0,0,EXP09A,exp09a-locked
NOMINAL,6dof,5,ring2,Clean,Causal-v3,0.0413792333665601,7.00934133340971e-18,0.545626153048688,0,50,0,all seeds,84.4666666666667,84.4666666666667,92.9133333333333,105.583333333333,126.7,6081.6,135.166666666667,0.0600054495912808,0.080054495912807,0,1.01541068965597,NaN,0,50,50,0,1,1,1,1,EXP09A,exp09a-locked
NOMINAL,6dof,5,ring2,Moderate,P10,0.0975524984549388,0.000843542752969589,0.476995707219272,0,50,0,all seeds,99.6666666666667,0,99.6666666666667,99.6666666666667,99.6666666666667,4784,59.8,0.154794477747502,NaN,0,1.01533926615193,NaN,0,50,50,0,0,0,0,0,EXP09A,exp09a-locked
NOMINAL,6dof,5,ring2,Moderate,P20,0.0752539172223279,0.000283429790207082,0.504548007887639,0,50,0,all seeds,199.666666666667,0,199.666666666667,199.666666666667,199.666666666667,9584,119.8,0.118112588555858,NaN,0,1.0153516855899,NaN,0,50,50,0,0,0,0,0,EXP09A,exp09a-locked
NOMINAL,6dof,5,ring2,Moderate,State-event,0.169350228555524,0.0041974985588536,0.384135824179233,0,50,0,all seeds,43.246,0,43.246,43.246,43.246,2075.808,25.9526666666667,0.273683633060854,NaN,0,1.01532381135406,NaN,0,50,50,0,0,0,0,0,EXP09A,exp09a-locked
NOMINAL,6dof,5,ring2,Moderate,Causal-v3,0.0892032140728966,0.000504519836356545,0.487505623263017,0,50,0,all seeds,134.835333333333,107.618,145.597133333333,161.739833333333,188.644333333333,9054.928,226.314666666667,0.141534059945504,0.220883605812897,0,1.01534986385598,NaN,0,50,50,0,0,0,0,1,EXP09A,exp09a-locked
NOMINAL,6dof,5,ring2,Stressed,P10,0.147653567367204,0.00202573728694418,0.414234067260315,0,50,0,all seeds,99.6666666666667,0,99.6666666666667,99.6666666666667,99.6666666666667,4784,59.8,0.237037711171662,NaN,0,1.01531437723263,NaN,0,50,50,0,0,0,0,0,EXP09A,exp09a-locked
NOMINAL,6dof,5,ring2,Stressed,P20,0.1121247761703,0.00067400181138289,0.458260884036726,0,50,0,all seeds,199.666666666667,0,199.666666666667,199.666666666667,199.666666666667,9584,119.8,0.178676984559491,NaN,0,1.01531614433179,NaN,0,50,50,0,0,0,0,0,EXP09A,exp09a-locked
